C000001_en_000	Armed forces occupations
C000170_en_000	Social work and counselling professionals
C000171_en_000	Religious professionals
C000172_en_000	Authors, journalists and linguists
C000173_en_000	Authors and related writers
C000174_en_000	Journalists
C000175_en_000	Translators, interpreters and other linguists
C000176_en_000	Creative and performing artists
C000177_en_000	Visual artists
C000178_en_000	Musicians, singers and composers
C000179_en_000	Dancers and choreographers
C000180_en_000	Film, stage and related directors and producers
C000181_en_000	Actors
C000182_en_000	Announcers on radio, television and other media
C000183_en_000	Creative and performing artists not elsewhere classified
C000184_en_000	Technicians and associate professionals
C000185_en_000	Science and engineering associate professionals
C000186_en_000	Physical and engineering science technicians
C000187_en_000	Chemical and physical science technicians
C000188_en_000	Civil engineering technicians
C000189_en_000	Electrical engineering technicians
C000190_en_000	Electronics engineering technicians
C000191_en_000	Mechanical engineering technicians
C000192_en_000	Chemical engineering technicians
C000193_en_000	Mining and metallurgical technicians
C000194_en_000	Draughtspersons
C000195_en_000	Physical and engineering science technicians not elsewhere classified
C000196_en_000	Mining, manufacturing and construction supervisors
C000197_en_000	Mining supervisors
C000198_en_000	Manufacturing supervisors
C000199_en_000	Construction supervisors
C000200_en_000	Process control technicians
C000201_en_000	Power production plant operators
C000202_en_000	Incinerator and water treatment plant operators
C000203_en_000	Chemical processing plant controllers
C000204_en_000	Petroleum and natural gas refining plant operators
C000205_en_000	Metal production process controllers
C000206_en_000	Process control technicians not elsewhere classified
C000207_en_000	Life science technicians and related associate professionals
C000208_en_000	Life science technicians (excluding medical)
C000209_en_000	Agricultural technicians
C000210_en_000	Forestry technicians
C000211_en_000	Ship and aircraft controllers and technicians
C000212_en_000	Ships’ engineers
C000213_en_000	Ships' deck officers and pilots
C000214_en_000	Aircraft pilots and related associate professionals
C000215_en_000	Air traffic controllers
C000216_en_000	Air traffic safety electronics technicians
C000217_en_000	Health associate professionals
C000218_en_000	Medical and pharmaceutical technicians
C000219_en_000	Medical imaging and therapeutic equipment technicians
C000220_en_000	Medical and pathology laboratory technicians
C000221_en_000	Pharmaceutical technicians and assistants
C000222_en_000	Medical and dental prosthetic technicians
C000223_en_000	Nursing and midwifery associate professionals
C000224_en_000	Nursing associate professionals
C000225_en_000	Midwifery associate professionals
C000226_en_000	Traditional and complementary medicine associate professionals
C000227_en_000	Traditional and complementary medicine associate professionals
C000228_en_000	Veterinary technicians and assistants
C000229_en_000	Veterinary technicians and assistants
C000230_en_000	Other health associate professionals
C000231_en_000	Dental assistants and therapists
C000232_en_000	Medical records and health information technicians
C000233_en_000	Community health workers
C000234_en_000	Dispensing opticians
C000235_en_000	Physiotherapy technicians and assistants
C000236_en_000	Medical assistants
C000237_en_000	Environmental and occupational health inspectors and associates
C000238_en_000	Ambulance workers
C000239_en_000	Health associate professionals not elsewhere classified
C000240_en_000	Business and administration associate professionals
C000241_en_000	Financial and mathematical associate professionals
C000242_en_000	Securities and finance dealers and brokers
C000243_en_000	Credit and loans officers
C000244_en_000	Accounting associate professionals
C000245_en_000	Statistical, mathematical and related associate professionals
C000246_en_000	Valuers and loss assessors
C000247_en_000	Sales and purchasing agents and brokers
C000248_en_000	Insurance representatives
C000249_en_000	Commercial sales representatives
C000250_en_000	Buyers
C000251_en_000	Trade brokers
C000252_en_000	Business services agents
C000253_en_000	Clearing and forwarding agents
C000254_en_000	Conference and event planners
C000255_en_000	Employment agents and contractors
C000256_en_000	Real estate agents and property managers
C000257_en_000	Business services agents not elsewhere classified
C000258_en_000	Administrative and specialised secretaries
C000259_en_000	Office supervisors
C000260_en_000	Legal secretaries
C000261_en_000	Administrative and executive secretaries
C000262_en_000	Medical secretaries
C000263_en_000	Regulatory government associate professionals
C000264_en_000	Customs and border inspectors
C000265_en_000	Government tax and excise officials
C000266_en_000	Government social benefits officials
C000267_en_000	Government licensing officials
C000268_en_000	Police inspectors and detectives
C000269_en_000	Regulatory government associate professionals not elsewhere classified
C000270_en_000	Legal, social, cultural and related associate professionals
C000271_en_000	Legal, social and religious associate professionals
C000272_en_000	Legal and related associate professionals
C000273_en_000	Social work associate professionals
C000274_en_000	Religious associate professionals
C000275_en_000	Sports and fitness workers
C000276_en_000	Athletes and sports players
C000277_en_000	Sports coaches, instructors and officials
C000278_en_000	Fitness and recreation instructors and program leaders
C000279_en_000	Artistic, cultural and culinary associate professionals
C000280_en_000	Photographers
C000281_en_000	Interior designers and decorators
C000282_en_000	Gallery, museum and library technicians
C000283_en_000	Chefs
C000284_en_000	Other artistic and cultural associate professionals
C000285_en_000	Information and communications technicians
C000286_en_000	Information and communications technology operations and user support technicians
C000287_en_000	Information and communications technology operations technicians
C000288_en_000	Information and communications technology user support technicians
C000289_en_000	Computer network and systems technicians
C000290_en_000	Web technicians
C000291_en_000	Telecommunications and broadcasting technicians
C000292_en_000	Broadcasting and audiovisual technicians
C000293_en_000	Telecommunications engineering technicians
C000294_en_000	Clerical support workers
C000295_en_000	General and keyboard clerks
C000296_en_000	General office clerks
C000297_en_000	General office clerks
C000298_en_000	Secretaries (general)
C000299_en_000	Secretaries (general)
C000300_en_000	Keyboard operators
C000301_en_000	Typists and word processing operators
C000302_en_000	Data entry clerks
C000303_en_000	Customer services clerks
C000304_en_000	Tellers, money collectors and related clerks
C000305_en_000	Bank tellers and related clerks
C000306_en_000	Bookmakers, croupiers and related gaming workers
C000307_en_000	Pawnbrokers and money-lenders
C000308_en_000	Debt-collectors and related workers
C000309_en_000	Client information workers
C000310_en_000	Travel consultants and clerks
C000311_en_000	Contact centre information clerks
C000312_en_000	Telephone switchboard operators
C000313_en_000	Hotel receptionists
C000314_en_000	Enquiry clerks
C000315_en_000	Receptionists (general)
C000316_en_000	Survey and market research interviewers
C000317_en_000	Client information workers not elsewhere classified
C000318_en_000	Numerical and material recording clerks
C000319_en_000	Numerical clerks
C000320_en_000	Accounting and bookkeeping clerks
C000321_en_000	Statistical, finance and insurance clerks
C000322_en_000	Payroll clerks
C000323_en_000	Material-recording and transport clerks
C000324_en_000	Stock clerks
C000325_en_000	Production clerks
C000326_en_000	Transport clerks
C000327_en_000	Other clerical support workers
C000328_en_000	Other clerical support workers
C000329_en_000	Library clerks
C000330_en_000	Mail carriers and sorting clerks
C000331_en_000	Coding, proof-reading and related clerks
C000332_en_000	Scribes and related workers
C000333_en_000	Filing and copying clerks
C000334_en_000	Personnel clerks
C000335_en_000	Clerical support workers not elsewhere classified
C000336_en_000	Service and sales workers
C000337_en_000	Personal service workers
C000338_en_000	Travel attendants, conductors and guides
C000339_en_000	Travel attendants and travel stewards
C000340_en_000	Transport conductors
C000341_en_000	Travel guides
C000342_en_000	Cooks
C000343_en_000	Cooks
C000344_en_000	Waiters and bartenders
C000345_en_000	Waiters
C000346_en_000	Bartenders
C000347_en_000	Hairdressers, beauticians and related workers
C000348_en_000	Hairdressers
C000349_en_000	Beauticians and related workers
C000350_en_000	Building and housekeeping supervisors
C000351_en_000	Cleaning and housekeeping supervisors in offices, hotels and other establishments
C000352_en_000	Domestic housekeepers
C000353_en_000	Building caretakers
C000354_en_000	Other personal services workers
C000355_en_000	Astrologers, fortune-tellers and related workers
C000356_en_000	Companions and valets
C000357_en_000	Undertakers and embalmers
C000358_en_000	Pet groomers and animal care workers
C000359_en_000	Driving instructors
C000360_en_000	Personal services workers not elsewhere classified
C000361_en_000	Sales workers
C000362_en_000	Street and market salespersons
C000363_en_000	Stall and market salespersons
C000364_en_000	Street food salespersons
C000365_en_000	Shop salespersons
C000366_en_000	Shop keepers
C000367_en_000	Shop supervisors
C000368_en_000	Shop sales assistants
C000369_en_000	Cashiers and ticket clerks
C000370_en_000	Cashiers and ticket clerks
C000371_en_000	Other sales workers
C000372_en_000	Fashion and other models
C000373_en_000	Sales demonstrators
C000374_en_000	Door to door salespersons
C000375_en_000	Contact centre salespersons
C000376_en_000	Service station attendants
C000377_en_000	Food service counter attendants
C000378_en_000	Sales workers not elsewhere classified
C000379_en_000	Personal care workers
C000380_en_000	Child care workers and teachers’ aides
C000381_en_000	Child care workers
C000382_en_000	Teachers’ aides
C000383_en_000	Personal care workers in health services
C000384_en_000	Health care assistants
C000385_en_000	Home-based personal care workers
C000386_en_000	Personal care workers in health services not elsewhere classified
C000387_en_000	Protective services workers
C000388_en_000	Protective services workers
C000389_en_000	Fire-fighters
C000390_en_000	Police officers
C000391_en_000	Prison guards
C000392_en_000	Security guards
C000393_en_000	Protective services workers not elsewhere classified
C000394_en_000	Skilled agricultural, forestry and fishery workers
C000395_en_000	Market-oriented skilled agricultural workers
C000396_en_000	Market gardeners and crop growers
C000397_en_000	Field crop and vegetable growers
C000398_en_000	Tree and shrub crop growers
C000399_en_000	Gardeners, horticultural and nursery growers
C000400_en_000	Mixed crop growers
C000401_en_000	Animal producers
C000402_en_000	Livestock and dairy producers
C000403_en_000	Poultry producers
C000404_en_000	Apiarists and sericulturists
C000405_en_000	Animal producers not elsewhere classified
C000406_en_000	Mixed crop and animal producers
C000407_en_000	Mixed crop and animal producers
C000408_en_000	Market-oriented skilled forestry, fishery and hunting workers
C000409_en_000	Forestry and related workers
C000410_en_000	Forestry and related workers
C000411_en_000	Fishery workers, hunters and trappers
C000412_en_000	Aquaculture workers
C000413_en_000	Inland and coastal waters fishery workers
C000414_en_000	Deep-sea fishery workers
C000415_en_000	Hunters and trappers
C000416_en_000	Subsistence farmers, fishers, hunters and gatherers
C000417_en_000	Subsistence crop farmers
C000418_en_000	Subsistence crop farmers
C000419_en_000	Subsistence livestock farmers
C000420_en_000	Subsistence livestock farmers
C000421_en_000	Subsistence mixed crop and livestock farmers
C000422_en_000	Subsistence mixed crop and livestock farmers
C000423_en_000	Subsistence fishers, hunters, trappers and gatherers
C000424_en_000	Subsistence fishers, hunters, trappers and gatherers
C000425_en_000	Craft and related trades workers
C000426_en_000	Building and related trades workers, excluding electricians
C000427_en_000	Building frame and related trades workers
C000428_en_000	House builders
C000429_en_000	Bricklayers and related workers
C000430_en_000	Stonemasons, stone cutters, splitters and carvers
C000431_en_000	Concrete placers, concrete finishers and related workers
C000432_en_000	Carpenters and joiners
C000433_en_000	Building frame and related trades workers not elsewhere classified
C000434_en_000	Building finishers and related trades workers
C000435_en_000	Roofers
C000436_en_000	Floor layers and tile setters
C000437_en_000	Plasterers
C000438_en_000	Insulation workers
C000439_en_000	Glaziers
C000440_en_000	Plumbers and pipe fitters
C000441_en_000	Air conditioning and refrigeration mechanics
C000442_en_000	Painters, building structure cleaners and related trades workers
C000443_en_000	Painters and related workers
C000444_en_000	Spray painters and varnishers
C000445_en_000	Building structure cleaners
C000446_en_000	Metal, machinery and related trades workers
C000447_en_000	Sheet and structural metal workers, moulders and welders, and related workers
C000448_en_000	Metal moulders and coremakers
C000449_en_000	Welders and flamecutters
C000450_en_000	Sheet-metal workers
C000451_en_000	Structural-metal preparers and erectors
C000452_en_000	Riggers and cable splicers
C000453_en_000	Blacksmiths, toolmakers and related trades workers
C000454_en_000	Blacksmiths, hammersmiths and forging press workers
C000455_en_000	Toolmakers and related workers
C000456_en_000	Metal working machine tool setters and operators
C000457_en_000	Metal polishers, wheel grinders and tool sharpeners
C000458_en_000	Machinery mechanics and repairers
C000459_en_000	Motor vehicle mechanics and repairers
C000460_en_000	Aircraft engine mechanics and repairers
C000461_en_000	Agricultural and industrial machinery mechanics and repairers
C000462_en_000	Bicycle and related repairers
C000463_en_000	Handicraft and printing workers
C000464_en_000	Handicraft workers
C000465_en_000	Precision-instrument makers and repairers
C000466_en_000	Musical instrument makers and tuners
C000467_en_000	Jewellery and precious-metal workers
C000468_en_000	Potters and related workers
C000469_en_000	Glass makers, cutters, grinders and finishers
C000470_en_000	Sign writers, decorative painters, engravers and etchers
C000471_en_000	Handicraft workers in wood, basketry and related materials
C000472_en_000	Handicraft workers in textile, leather and related materials
C000473_en_000	Handicraft workers not elsewhere classified
C000474_en_000	Printing trades workers
C000475_en_000	Pre-press technicians
C000476_en_000	Printers
C000477_en_000	Print finishing and binding workers
C000478_en_000	Electrical and electronic trades workers
C000479_en_000	Electrical equipment installers and repairers
C000480_en_000	Building and related electricians
C000481_en_000	Electrical mechanics and fitters
C000482_en_000	Electrical line installers and repairers
C000483_en_000	Electronics and telecommunications installers and repairers
C000484_en_000	Electronics mechanics and servicers
C000485_en_000	Information and communications technology installers and servicers
C000486_en_000	Food processing, wood working, garment and other craft and related trades workers
C000487_en_000	Food processing and related trades workers
C000488_en_000	Butchers, fishmongers and related food preparers
C000489_en_000	Bakers, pastry-cooks and confectionery makers
C000490_en_000	Dairy-products makers
C000491_en_000	Fruit, vegetable and related preservers
C000492_en_000	Food and beverage tasters and graders
C000493_en_000	Tobacco preparers and tobacco products makers
C000494_en_000	Wood treaters, cabinet-makers and related trades workers
C000495_en_000	Wood treaters
C000496_en_000	Cabinet-makers and related workers
C000497_en_000	Woodworking-machine tool setters and operators
C000498_en_000	Garment and related trades workers
C000499_en_000	Tailors, dressmakers, furriers and hatters
C000500_en_000	Garment and related pattern-makers and cutters
C000501_en_000	Sewing, embroidery and related workers
C000502_en_000	Upholsterers and related workers
C000503_en_000	Pelt dressers, tanners and fellmongers
C000504_en_000	Shoemakers and related workers
C000505_en_000	Other craft and related workers
C000506_en_000	Underwater divers
C000507_en_000	Shotfirers and blasters
C000508_en_000	Product graders and testers (excluding foods and beverages)
C000509_en_000	Fumigators and other pest and weed controllers
C000510_en_000	Craft and related workers not elsewhere classified
C000511_en_000	Plant and machine operators and assemblers
C000512_en_000	Stationary plant and machine operators
C000513_en_000	Mining and mineral processing plant operators
C000514_en_000	Miners and quarriers
C000515_en_000	Mineral and stone processing plant operators
C000516_en_000	Well drillers and borers and related workers
C000517_en_000	Cement, stone and other mineral products machine operators
C000518_en_000	Metal processing and finishing plant operators
C000519_en_000	Metal processing plant operators
C000520_en_000	Metal finishing, plating and coating machine operators
C000521_en_000	Chemical and photographic products plant and machine operators
C000522_en_000	Chemical products plant and machine operators
C000523_en_000	Photographic products machine operators
C000524_en_000	Rubber, plastic and paper products machine operators
C000525_en_000	Rubber products machine operators
C000526_en_000	Plastic products machine operators
C000527_en_000	Paper products machine operators
C000528_en_000	Textile, fur and leather products machine operators
C000529_en_000	Fibre preparing, spinning and winding machine operators
C000530_en_000	Weaving and knitting machine operators
C000531_en_000	Sewing machine operators
C000532_en_000	Bleaching, dyeing and fabric cleaning machine operators
C000533_en_000	Fur and leather preparing machine operators
C000534_en_000	Shoemaking and related machine operators
C000535_en_000	Laundry machine operators
C000536_en_000	Textile, fur and leather products machine operators not elsewhere classified
C000537_en_000	Food and related products machine operators
C000538_en_000	Food and related products machine operators
C000539_en_000	Wood processing and papermaking plant operators
C000540_en_000	Pulp and papermaking plant operators
C000541_en_000	Wood processing plant operators
C000542_en_000	Other stationary plant and machine operators
C000543_en_000	Glass and ceramics plant operators
C000544_en_000	Steam engine and boiler operators
C000545_en_000	Packing, bottling and labelling machine operators
C000546_en_000	Stationary plant and machine operators not elsewhere classified
C000547_en_000	Assemblers
C000548_en_000	Assemblers
C000549_en_000	Mechanical machinery assemblers
C000550_en_000	Electrical and electronic equipment assemblers
C000551_en_000	Assemblers not elsewhere classified
C000552_en_000	Drivers and mobile plant operators
C000553_en_000	Locomotive engine drivers and related workers
C000554_en_000	Locomotive engine drivers
C000555_en_000	Railway brake, signal and switch operators
C000556_en_000	Car, van and motorcycle drivers
C000557_en_000	Motorcycle drivers
C000558_en_000	Car, taxi and van drivers
C000559_en_000	Heavy truck and bus drivers
C000560_en_000	Bus and tram drivers
C000561_en_000	Heavy truck and lorry drivers
C000562_en_000	Mobile plant operators
C000563_en_000	Mobile farm and forestry plant operators
C000564_en_000	Earthmoving and related plant operators
C000565_en_000	Crane, hoist and related plant operators
C000566_en_000	Lifting truck operators
C000567_en_000	Ships’ deck crews and related workers
C000568_en_000	Ships’ deck crews and related workers
C000569_en_000	Elementary occupations
C000570_en_000	Cleaners and helpers
C000571_en_000	Domestic, hotel and office cleaners and helpers
C000572_en_000	Domestic cleaners and helpers
C000573_en_000	Cleaners and helpers in offices, hotels and other establishments
C000574_en_000	Vehicle, window, laundry and other hand cleaning workers
C000575_en_000	Hand launderers and pressers
C000576_en_000	Vehicle cleaners
C000577_en_000	Window cleaners
C000578_en_000	Other cleaning workers
C000579_en_000	Agricultural, forestry and fishery labourers
C000580_en_000	Agricultural, forestry and fishery labourers
C000581_en_000	Crop farm labourers
C000582_en_000	Livestock farm labourers
C000583_en_000	Mixed crop and livestock farm labourers
C000584_en_000	Garden and horticultural labourers
C000585_en_000	Forestry labourers
C000586_en_000	Fishery and aquaculture labourers
C000587_en_000	Labourers in mining, construction, manufacturing and transport
C000588_en_000	Mining and construction labourers
C000589_en_000	Mining and quarrying labourers
C000590_en_000	Civil engineering labourers
C000591_en_000	Building construction labourers
C000592_en_000	Manufacturing labourers
C000593_en_000	Hand packers
C000594_en_000	Manufacturing labourers not elsewhere classified
C000595_en_000	Transport and storage labourers
C000596_en_000	Hand and pedal vehicle drivers
C000597_en_000	Drivers of animal-drawn vehicles and machinery
C000598_en_000	Freight handlers
C000599_en_000	Shelf fillers
C000600_en_000	Food preparation assistants
C000601_en_000	Food preparation assistants
C000602_en_000	Fast food preparers
C000603_en_000	Kitchen helpers
C000604_en_000	Street and related sales and service workers
C000605_en_000	Street and related service workers
C000606_en_000	Street and related service workers
C000607_en_000	Street vendors (excluding food)
C000608_en_000	Street vendors (excluding food)
C000609_en_000	Refuse workers and other elementary workers
C000610_en_000	Refuse workers
C000611_en_000	Garbage and recycling collectors
C000612_en_000	Refuse sorters
C000613_en_000	Sweepers and related labourers
C000614_en_000	Other elementary workers
C000615_en_000	Messengers, package deliverers and luggage porters
C000616_en_000	Odd job persons
C000617_en_000	Meter readers and vending-machine collectors
C000618_en_000	Water and firewood collectors
C000619_en_000	Elementary workers not elsewhere classified
C000620_en_000	technical director
C000620_en_001	director of technical arts
C000620_en_002	head of technical
C000620_en_003	head of technical department
C000620_en_004	technical and operations director
C000620_en_005	technical manager
C000620_en_006	technical supervisor
C000621_en_000	metal drawing machine operator
C000621_en_001	draw machine operative
C000621_en_002	draw machine operator
C000621_en_003	draw machine technician
C000621_en_004	forming machine operative
C000621_en_005	forming machine technician
C000621_en_006	metal drawing machine operative
C000621_en_007	metal drawing machine technician
C000621_en_008	wire drawer
C000621_en_009	wiredrawing machine tender
C000621_en_010	wiredrawing setter
C000621_en_011	wirer drawer machine operator
C000622_en_000	precision device inspector
C000622_en_001	inspector of precision devices
C000622_en_002	inspector of precision instruments
C000622_en_003	precision device QC inspector
C000622_en_004	precision device quality assurance supervisor
C000622_en_005	precision device quality control inspector
C000622_en_006	precision device quality control supervisor
C000622_en_007	precision instrument QC inspector
C000622_en_008	precision instrument inspector
C000622_en_009	precision instrument quality control inspector
C000622_en_010	precision instrument supervisor
C000623_en_000	air traffic safety technician
C000623_en_001	air traffic safety electronics engineer
C000623_en_002	air traffic safety electronics hardware specialist
C000623_en_003	air traffic safety electronics software specialist
C000623_en_004	air traffic safety electronics technician
C000623_en_005	air traffic safety engineer
C000623_en_006	air traffic safety hardware specialist
C000623_en_007	air traffic safety software specialist
C000624_en_000	hospitality revenue manager
C000624_en_001	hospitality revenues manager
C000624_en_002	hospitality yields manager
C000624_en_003	revenue manager
C000624_en_004	yield manager
C000625_en_000	medical laboratory assistant
C000625_en_001	assistant clinical researcher
C000625_en_002	assistant in biomedical laboratory
C000625_en_003	assistant in medical laboratory
C000625_en_004	biomedical laboratory assistant
C000625_en_005	biomedical laboratory research assistant
C000625_en_006	clinical research assistant
C000625_en_007	medical lab assistant
C000625_en_008	medical laboratory research assistant
C000626_en_000	asphalt laboratory technician
C000626_en_001	aggregates and asphalt laboratory technician
C000626_en_002	aggregates and bitumen laboratory technician
C000626_en_003	asphalt production technical supervisor
C000626_en_004	asphalt production technician
C000626_en_005	asphalt technician
C000626_en_006	bitumen production technician
C000626_en_007	bitumen technician
C000626_en_008	laboratory technician, asphalt
C000626_en_009	materials technician
C000626_en_010	road surface laboratory technician
C000626_en_011	road surface technician
C000626_en_012	site technician
C000626_en_013	site technician, asphalt
C000626_en_014	technical supervisor, asphalt production
C000627_en_000	primary school teaching assistant
C000627_en_001	primary education teaching assistant
C000627_en_002	primary school TA
C000627_en_003	primary school assistant
C000627_en_004	primary school instructional assistant
C000627_en_005	primary school paraprofessional
C000627_en_006	primary school teaching aide
C000627_en_007	teaching assistant in primary schools
C000628_en_000	physiotherapist
C000628_en_001	bobath physiotherapist
C000628_en_002	business physiotherapist
C000628_en_003	cardiovascular physiotherapist
C000628_en_004	chiropractic therapist
C000628_en_005	chiropractor
C000628_en_006	eurythmy therapist
C000628_en_007	health and well-being therapist
C000628_en_008	health promotion worker
C000628_en_009	hydrotherapist
C000628_en_010	manipulative physiotherapist
C000628_en_011	masseuse
C000628_en_012	neurodevelopmental physiotherapist
C000628_en_013	neurological physiotherapist
C000628_en_014	neuromuscular physiotherapist
C000628_en_015	neuromusculoskeletal physiotherapist
C000628_en_016	occupational physiotherapist
C000628_en_017	occupational therapist
C000628_en_018	osteopath
C000628_en_019	physical therapist
C000628_en_020	physiotherapist manager
C000628_en_021	rehabilitation therapist
C000628_en_022	remedial physiotherapist
C000628_en_023	respiratory physiotherapist
C000628_en_024	respiratory therapist
C000628_en_025	sports physiotherapist
C000629_en_000	performing arts theatre instructor
C000629_en_001	acting school instructor
C000629_en_002	acting school teacher
C000629_en_003	conservatory theatre instructor
C000629_en_004	conservatory theatre lecturer
C000629_en_005	instructor in performing arts
C000629_en_006	professor of theatre
C000629_en_007	theatre instructor
C000629_en_008	theatre instructor in performing arts school
