Q000001	Kadrovski menedžer
Q000187	Oblikovalec gledališke in filmske scene in scenske opreme
Q000188	Menedžer za oskrbo z energenti
Q000189	Vodja kuhinje
Q000190	Gostinski poslovodja
Q000191	Vodja cateringa
Q000192	Tehnični vodja avdiovizualne proizvodnje
Q000193	Šepetalec
Q000194	Kaskader
Q000195	Rekviziter
Q000196	Zabaviščni glasbenik
Q000197	Zabaviščni pevec
Q000198	Zabaviščni plesalec
Q000199	Tatuist
Q000200	Izvajalec body piercinga
Q000201	Tehnik za IKT pomoč uporabnikom
Q000202	Menedžer v rudarstvu
Q000203	Strokovni sodelavec za računalniške sisteme in omrežja
Q000204	Webmaster
Q000205	Skrbnik spletnih strani
Q000206	Filmski in elektronski montažer
Q000207	Operater na televizijskem oddajniku
Q000208	Operater na televiziji
Q000209	Snemalec slike
Q000210	Snemalec zvoka
Q000211	Tonski tehnik
Q000212	Tehnik za razsvetljavo
Q000213	Tehnik za predvajanje programov
Q000214	Operater telegrafskih naprav
Q000215	Mešalec zvoka
Q000216	Mešalec slike
Q000217	Mojster videoopreme
Q000218	Menedžer v gradbeništvu
Q000219	Delovodja telekomunikacij
Q000220	Nadzornik telekomunikacij
Q000221	Operater na telekomunikacijah
Q000222	Tehnik za telekomunikacije
Q000223	Tehnik za telekomunikacije, vodja del
Q000224	Direktor majhnega gradbenega podjetja
Q000225	Uradnik za upravne evidence
Q000226	Vodja vpisnikov na sodišču
Q000227	Tajnik
Q000228	Strojepisec
Q000229	Urejevalec besedil
Q000230	Teleprinterist
Q000231	Telefaksist
Q000232	Ekranski stavec
Q000233	Uradnik, telegrafist
Q000234	Vnašalec podatkov
Q000235	Komercialni direktor za nabavo
Q000236	Bančni uradnik pri okencu
Q000237	Poštni uradnik pri okencu
Q000238	Sprejemalec stav
Q000239	Krupje
Q000240	Organizator igre na elektronskih ruletah
Q000241	Videokontrolor v igralnicah
Q000242	Inšpektor iger na igralnih mizah
Q000243	Kontrolor iger na igralnih mizah
Q000244	Logistični menedžer
Q000245	Zastavljalničar
Q000246	Posojevalec denarja
Q000247	Izvršitelj
Q000248	Zbiralec darov za dobrodelne namene
Q000249	Posredovalec turističnih in prometnih informacij
Q000250	Vodja centralnega skladišča
Q000251	Referent za organizacijo potovanj
Q000252	Referent za prodajo voznih kart
Q000253	Informator v klicnem centru
Q000254	Telefonist
Q000255	Vodja recepcije v hotelu
Q000256	Hotelski receptor
Q000257	Vodja transporta
Q000258	Referent za pritožbe
Q000259	Referent za reklamacijo
Q000260	Receptor (razen v hotelu)
Q000261	Upravnik pošte
Q000262	Uradnik v računovodstvu
Q000263	Uradnik v knjigovodstvu
Q000264	Uradnik za statistiko
Q000265	Uradnik za davke
Q000266	Bančni uradnik (ne pri okencu)
Q000267	Uradnik za zavarovalništvo
Q000268	Uradnik za borzno poslovanje
Q000269	Uradnik za vrednostne papirje
Q000270	Uradnik za posredništvo z nepremičninami
Q000271	Uradnik za plače
Q000272	Skladiščnik
Q000273	Vodja skladišča
Q000274	Skladiščni manipulant
Q000275	Uradnik za nabavo in prodajo
Q000276	Šef železniške postaje
Q000277	Kalkulant in normirec materialov
Q000278	Planer materiala
Q000279	Vlakovodja
Q000280	Transportni manipulant
Q000281	Vlakovni manipulant
Q000282	Knjižnični uradnik
Q000283	Usmerjevalec pošte
Q000284	Pismonoša
Q000285	Koder podatkov
Q000286	Korektor
Q000287	Arhivski uradnik
Q000288	Uradnik za kopiranje dokumentov ipd.
Q000289	Dokumentacijski uradnik
Q000290	Fonotekar
Q000291	Uradnik za kadrovske evidence
Q000292	Pripravljalec klipinga
Q000293	Skrbnik klipinga
Q000294	Menedžer za informacijsko-komunikacijsko tehnologijo
Q000295	Stevard na ladji
Q000296	Stevard na letalu
Q000297	Stevard na vlaku
Q000298	Sprevodnik
Q000299	Sprevodnik žičnice
Q000300	Vodja vlaka
Q000301	Galerijski vodnik
Q000302	Muzejski vodnik
Q000303	Turistični vodnik
Q000304	Oskrbnik muzejske zbirke
Q000305	Oskrbnik etnografskih objektov
Q000306	Kuhar
Q000307	Dietni kuhar
Q000308	Natakar
Q000309	Vodja strežbe
Q000310	Vinski svetovalec
Q000311	Točaj
Q000312	Mešalec pijač
Q000313	Direktor podjetja za varstvo otrok
Q000314	Frizer
Q000315	Lasuljar
Q000316	Kozmetik
Q000317	Maniker
Q000318	Maser
Q000319	Pediker
Q000320	Gostinski gospodinjec
Q000321	Hotelski gospodinjec
Q000322	Ekonom
Q000323	Vodja čistilcev
Q000324	Direktor službe zdravstvene nege
Q000325	Gospodinjec v zasebnem gospodinjstvu
Q000326	Hišnik, vzdrževalec
Q000327	Astrolog
Q000328	Družabnik
Q000329	Direktor zdravstvenega zavoda
Q000330	Grobar
Q000331	Pogrebnik
Q000332	Balzamer
Q000333	Oskrbnik živali
Q000334	Higienik v veterinarstvu
Q000335	Bolničar v veterinarstvu
Q000336	Dreser živali
Q000337	Direktor zdravstvenega doma
Q000338	Vozniški inštruktor
Q000339	Hostesa
Q000340	Turistični animator
Q000341	Glasbenik na ulici
Q000342	Plesalec v nočnem klubu
Q000343	Glavna medicinska sestra
Q000344	Prodajalec na stojnici (razen hrane)
Q000345	Prodajalec v kiosku (razen hrane)
Q000346	Prodajalec okrepčil na prireditvah
Q000347	Trgovec v lastni trgovini
Q000348	Trgovski poslovodja
Q000349	Direktor lekarne
Q000350	Prodajalec
Q000351	Blagajnik
Q000352	Prodajalec vstopnic
Q000353	Cestninar
Q000354	Inkasant
Q000355	Pobiralec parkirnine
Q000356	Model
Q000357	Maneken
Q000358	Demonstrator za prodajo
Q000359	Akviziter
Q000360	Prodajalec po telefonu
Q000361	Menedžer za varstvo starejših občanov
Q000362	Prodajalec na bencinski črpalki
Q000363	Upravljavec stroja za pranje avtomobilov
Q000364	Delavec v pripravi in strežbi hitre hrane
Q000365	Cvetličar
Q000366	Izposojevalec v videoteki
Q000367	Uradnik za najem, lizing vozil
Q000368	Direktor zavoda za pomoč in nego na domu
Q000369	Izposojevalec drugih predmetov široke porabe
Q000370	Izposojevalec športne opreme
Q000371	Varovalci otrok
Q000372	Varuh otrok
Q000373	Spremljevalec gibalno oviranih otrok v šoli
Q000374	Bolničar v socialnovarstvenem zavodu
Q000375	Bolničar v zdravstvenem zavodu
Q000376	Varuh-negovalec v zavodu za otroke s posebnimi potrebami
Q000377	Oskrbovalec in negovalec na domu
Q000378	Delovni inštruktor za osebe s posebnimi potrebami
Q000379	Direktor centra za socialno delo
Q000380	Gasilec
Q000381	Serviser ročnih in prevoznih gasilnih aparatov
Q000382	Gasilski tehnik - preventivec
Q000383	Policist
Q000384	Vodja centra za pomoč na domu osebam s posebnimi potrebami
Q000385	Paznik v zaporu
Q000386	Vodja paznikov
Q000387	Varnostnik
Q000388	Vratar
Q000389	Operater pri prevozu nevarnega blaga
Q000390	Osebni varnostnik
Q000391	Vodja zavoda za pomoč in delo z osebami s posebnimi potrebami
Q000392	Gorski reševalec
Q000393	Jamarski reševalec
Q000394	Reševalec iz vode
Q000395	Ribiški čuvaj
Q000396	Lovski čuvaj
Q000397	Nadzornik v naravnih parkih
Q000398	Komunalni nadzornik
Q000399	Redar na parkirišču
Q000400	Občinski redar
Q000401	Direktor posebnega socialno varstvenega zavoda za odrasle
Q000402	Nadzornik smučišča
Q000403	Ribiški vodnik
Q000404	Vodnik na zavarovanih območjih
Q000405	Poljedelec
Q000406	Zelenjavar
Q000407	Sadjar
Q000408	Vinogradnik
Q000409	Vinar
Q000410	Hmeljar
Q000411	Gojitelj grmičevja
Q000412	Vrtnar
Q000413	Parkovni vrtnar
Q000414	Drevesničar
Q000415	Gojitelj gob
Q000416	Vzdrževalec rekreacijskih in športnih zelenih površin
Q000417	Kmetovalec mešane rastlinske pridelave
Q000418	Živinorejec
Q000419	Planšar
Q000420	Rejec mlečne živine
Q000421	Dekan fakultete
Q000422	Perutninar
Q000423	Čebelar
Q000424	Predelovalec medu
Q000425	Rejec malih živali
Q000426	Rejec kožuharjev
Q000427	Rejec divjadi
Q000428	Dekan visoke šole
Q000429	Kmetovalec na mešani kmetiji
Q000430	Kmetovalec gospodinjec
Q000431	Delovodja v kmetijstvu
Q000432	Ekološki kmetovalec
Q000433	Gospodar na podeželju
Q000434	Gozdar
Q000435	Drvar
Q000436	Ravnatelj srednje šole
Q000437	Odpremljevalec gozdarskih proizvodov
Q000438	Oglar
Q000439	Logar
Q000440	Gozdarski delovodja
Q000441	Ribogojec
Q000442	Gojitelj alg
Q000443	Gojitelj mehkužcev, rakov
Q000444	Gojitelj školjk
Q000445	Direktor šolskega centra
Q000446	Obalni ribič
Q000447	Ribič na odprtem morju
Q000448	Lovec
Q000449	Ravnatelj osnovne šole
Q000450	Zidar
Q000451	Zidar, restavratorski sodelavec
Q000452	Metalurški zidar
Q000453	Pečar
Q000454	Pečar, restavratorski sodelavec
Q000455	Kamnosek
Q000456	Monter kamnoseških izdelkov
Q000457	Kamnosek, restavratorski sodelavec
Q000458	Betoner
Q000459	Teracer
Q000460	Železokrivec
Q000461	Tesar
Q000462	Ladijski tesar
Q000463	Tesar, restavratorski sodelavec
Q000464	Stavbni mizar
Q000465	Ravnatelj vzgojno-izobraževalnega zavoda
Q000466	Vzdrževalec cest
Q000467	Vzdrževalec prog, objektov in opreme prog
Q000468	Figurant
Q000469	Graditelj s tradicionalnimi materiali
Q000470	Vodogradbenik
Q000471	Vzdrževalec dimnikov
Q000472	Krovec klepar
Q000473	Ravnatelj vrtca
Q000474	Krovec - klepar, restavratorski sodelavec
Q000475	Polagalec podov
Q000476	Parketar
Q000477	Polagalec keramičnih ploščic
Q000478	Tlakovalec
Q000479	Polagalec tlakov
Q000480	Štukater
Q000481	Fasader
Q000482	Izolater
Q000483	Izolater inštalacij
Q000484	Zastekljevalec
Q000485	Stavbni steklar
Q000486	Monter vodovodnih naprav
Q000487	Monter ogrevalnih naprav
Q000488	Monter plinskih naprav
Q000489	Monter ladijskih inštalacij
Q000490	Vzdrževalec komunalne opreme
Q000491	Monter hladilnih in klimatskih naprav
Q000492	Monter prezračevalnih in klimatizacijskih sistemov
Q000493	Delovodja zaključnih del
Q000494	Izdelovalec, monter senčil
Q000495	Monter montažnih hiš
Q000496	Vgrajevalec stavbnega pohištva
Q000497	Pleskar
Q000498	Antikorozist
Q000499	Polagalec tapet
Q000500	Avtoličar
Q000501	Dimnikar
Q000502	Dimnikarski delovodja
Q000503	Čistilec fasad
Q000504	Oblikovalec kovin
Q000505	Menedžer finančne podružnice
Q000506	Varilec
Q000507	Spajalec kovin
Q000508	Klepar
Q000509	Stavbni klepar
Q000510	Avtoklepar
Q000511	Kotlar
Q000512	Kovinopasar
Q000513	Monter kovinskih konstrukcij
Q000514	Menedžer zavarovalniške podružnice
Q000515	Monter ladijskih konstrukcij
Q000516	Zakovičar
Q000517	Monter nosilnih in vlečnih kablov
Q000518	Polagalec nosilnih in vlečnih kablov
Q000519	Orodni kovač
Q000520	Podkovski kovač
Q000521	Umetnostni kovač
Q000522	Utopni kovač
Q000523	Orodjar
Q000524	Puškar
Q000525	Ključavničar
Q000526	Strugar
Q000527	Predsednik vlade
Q000528	Operater na CNC-stroju, kovinarstvo
Q000529	Vpenjalec orodij
Q000530	Pripravljalec orodij
Q000531	Nastavljalec strojev za obdelovanje kovin
Q000532	Upravljavec žično krivilnih avtomatov
Q000533	Polirec kovin
Q000534	Direktor zavoda za kulturo
Q000535	Brusilec kovin
Q000536	Ostrilec orodij
Q000537	Avtoserviser
Q000538	Delovodja mehanikov in monterjev motornih vozil in koles
Q000539	Monter motornih vozil
Q000540	Tehnični kontrolor vozil
Q000541	Vzdrževalec pnevmatik in vulkanizer
Q000542	Programski direktor zavoda v kulturi
Q000543	Mehanik letal
Q000544	Monter letal
Q000545	Mehanik kmetijskih, industrijskih in drugih strojev
Q000546	Strojni ključavničar
Q000547	Mehatronik operater
Q000548	Založnik
Q000549	Mehanik za dvokolesa
Q000550	Monter za dvokolesa
Q000551	Instrumentalni optik
Q000552	Galerist
Q000553	Izdelovalec drugih glasbenih instrumentov
Q000554	Uglaševalec glasbenih instrumentov
Q000555	Serviser glasbenih instrumentov
Q000556	Zlatar
Q000557	Draguljar
Q000558	Keramik
Q000559	Lončar
Q000560	Steklar
Q000561	Dekorater stekla
Q000562	Graver stekla
Q000563	Jedkalec stekla
Q000564	Varnostni menedžer
Q000565	Izdelovalec izdelkov domače obrti iz lesa, trstičja, ličja, vrbja, slame ipd.
Q000566	Izdelovalec pletenega pohištva iz trstičja, vrbja ipd.
Q000567	Izdelovalec drugih pletenih izdelkov iz trstičja, vrbja ipd.
Q000568	Sitar
Q000569	Suhorobar
Q000570	Fajfar
Q000571	Pletar iz ličja
Q000572	Menedžer za varovanje oseb in premoženja
Q000573	Slamnikar
Q000574	Pipar
Q000575	Coklar
Q000576	Čipkar
Q000577	Klekljar
Q000578	Ročni tkalec
Q000579	Ročni pletilec
Q000580	Ročni predilec
Q000581	Direktor policijske uprave
Q000582	Svečar
Q000583	Retušer
Q000584	Kopist v tiskarstvu
Q000585	Tiskarski montažer
Q000586	Direktor centra za ravnanje z odpadki
Q000587	Tiskarski stavec
Q000588	Operater grafične priprave za tisk
Q000589	Operater namiznega založništva
Q000590	Tiskar za digitalni tisk
Q000591	Tiskar za visoki tisk
Q000592	Tiskar za tiskanje na blago
Q000593	Tiskar za ploski tisk
Q000594	Ročni sitotiskar
Q000595	Tiskar za globoki tisk
Q000596	Predsednik republike
Q000597	Menedžer za javno higieno
Q000598	Tiskar za propustni tisk
Q000599	Tiskar tekstilij, usnja, krzna
Q000600	Upravljavec knjigoveških strojev
Q000601	Elektroinštalater
Q000602	Menedžer področja v javni upravi
Q000603	Elektroinštalater overovatelj
Q000604	Električar
Q000605	Pomožni električar
Q000606	Elektromehanik
Q000607	Elektromonter
Q000608	Pomožni elektromonter
Q000609	Avtoelektričar
Q000610	Elektrovzdrževalec
Q000611	Serviser električnih naprav in opreme
Q000612	Dispečer stabilnih naprav električne vleke
Q000613	Monter električnega omrežja
Q000614	Vzdrževalec stabilnih naprav električne vleke
Q000615	Mehanik elektronskih naprav in opreme
Q000616	Mehanik IKT opreme
Q000617	Monter IKT opreme
Q000618	Vzdrževalec IKT opreme
Q000619	Serviser IKT opreme
Q000620	Mesar
Q000621	Mesarski poslovodja
Q000622	Mesar, predelovalec
Q000623	Predelovalec rib
Q000624	Črevar
Q000625	Pek kruha in peciva
Q000626	Slaščičar
Q000627	Lectar-medičar
Q000628	Testeninar
Q000629	Izdelovalec kruha, potic, peciva in testenin na tradicionalen način
Q000630	Izdelovalec čokolade in bonbonov
Q000631	Mlekar
Q000632	Sladoledar
Q000633	Maslar
Q000634	Sirar
Q000635	Predelovalec sadja
Q000636	Predelovalec zelenjave
Q000637	Kontrolor živil
Q000638	Ocenjevalec živil
Q000639	Izdelovalec tobačnih izdelkov
Q000640	Ocenjevalec tobaka
Q000641	Pohištveni mizar
Q000642	Mizar, restavratorski sodelavec
Q000643	Sodar
Q000644	Rezbar
Q000645	Izdelovalec športne opreme iz lesa
Q000646	Izdelovalec lesenih igrač
Q000647	Izdelovalec lesenih vodnih plovil
Q000648	Izdelovalec drugih izdelkov iz lesa
Q000649	Serviser športne opreme (lesene)
Q000650	Nastavljalec lesnoobdelovalnih strojev
Q000651	Lakirec lesenih izdelkov
Q000652	Menedžer restavracije
Q000653	Krojač
Q000654	Šiviljec
Q000655	Izdelovalec usnjenih oblačil
Q000656	Krznar, izdelovalec krznenih oblačil
Q000657	Klobučar
Q000658	Modist
Q000659	Rokavičar, usnjarski in krznarski
Q000660	Tehnik usnjenih in krznenih oblačil
Q000661	Predsednik državnega zbora
Q000662	Vodja gostinskega lokala
Q000663	Krojilec
Q000664	Krojilec tapetnik
Q000665	Modelar za konfekcijo
Q000666	Tehnik za konfekcijo
Q000667	Šivalec
Q000668	Dežnikar
Q000669	Vezilec
Q000670	Tapetnik vozil
Q000671	Pohištveni tapetnik
Q000672	Izdelovalec posteljnih vložkov
Q000673	Usnjar
Q000674	Krznar, izdelovalec krzna
Q000675	Ortopedski čevljar
Q000676	Sedlar in jermenar
Q000677	Podvodni monter
Q000678	Menedžer v trgovini na drobno
Q000679	Miner
Q000680	Pirotehnik
Q000681	Rudarski strelec
Q000682	Kontrolor šiviljskih in podobnih izdelkov
Q000683	Kontrolor kovinskih izdelkov
Q000684	Kontrolor gumenih izdelkov
Q000685	Kontrolor lesenih izdelkov
Q000686	Kontrolor električnih izdelkov
Q000687	Kontrolor preciznih instrumentov
Q000688	Kontrolor steklenih izdelkov
Q000689	Kontrolor tiskarskih izdelkov
Q000690	Razkuževalec
Q000691	Izvajalec dezinsekcije, dezinfekcije, deratizacije in dekontaminacije
Q000692	Izdelovalec optičnih leč
Q000693	Direktor trgovinskega predstavništva
Q000694	Upravljavec rudarskih strojev in naprav
Q000695	Kamnolomec
Q000696	Vodar v solinah
Q000697	Upravljavec strojev in naprav za obdelavo rude in kamnin
Q000698	Geovrtalec
Q000699	Upravljavec strojev za proizvodnjo izdelkov iz cementa
Q000700	Upravljavec strojev za proizvodnjo industrijskih diamantov
Q000701	Upravljavec strojev za proizvodnjo izdelkov iz umetnega kamna
Q000702	Upravljavec strojev za vlečenje kovin
Q000703	Upravljavec strojev za iztiskanje kovin
Q000704	Upravljavec procesnih linij za predelavo kovin
Q000705	Upravljavec drobilnih in mešalnih strojev in naprav
Q000706	Upravljavec asfaltne baze
Q000707	Kemijski laborant
Q000708	Farmacevtski laborant
Q000709	Vodja športnega centra
Q000710	Upravljavec strojev za izdelovanje fotografskih izdelkov
Q000711	Upravljavec strojev za razvijanje mikrofilmov
Q000712	Laborant v fotostudiu
Q000713	Upravljavec strojev za proizvodnjo gumenih izdelkov
Q000714	Industrijski vulkanizer
Q000715	Predelovalec avtomobilov, reciklaža
Q000716	Direktor športno rekreacijskega studia
Q000717	Oblikovalec plastike
Q000718	Tehnik za predilstvo
Q000719	Tehnik za tkalstvo
Q000720	Predsednik državnega sveta
Q000721	Menedžer rekreativnih dejavnosti
Q000722	Upravljavec strojev za pletenje
Q000723	Upravljavec strojev za tkanje
Q000724	Upravljavec strojev za proizvodnjo čipk
Q000725	Tehnik za pletilstvo
Q000726	Upravljavec strojev za šivanje oblačil iz usnja in krzna
Q000727	Belilec tekstilij
Q000728	Plemenitilec tekstilij
Q000729	Tehnik za plemenitenje tekstilij
Q000730	Upravljavci strojev za pripravo usnja in krzna
Q000731	Upravljavec strojev za proizvodnjo obutve
Q000732	Upravljavec strojev za proizvodnjo usnjene galanterije
Q000733	Direktor kinematografa
Q000734	Kemični čistilec in pralec
Q000735	Vodja pralnice
Q000736	Čistilec usnjenih in krznenih izdelkov
Q000737	Upravljavec avtomatskega krojilnega stroja
Q000738	Upravljavec strojev za proizvodnjo obrob in vrvic iz tekstilij, usnja in krzna
Q000739	Operater na cutterju
Q000740	Upravljavec stroja za predelavo prehrambnih in podobnih izdelkov
Q000741	Upravljavec stroja za mletje prehrambnih in podobnih izdelkov
Q000742	Upravljavec strojev za pripravo papirjevine
Q000743	Menedžer za storitve turističnih in potovalnih agencij
Q000744	Upravljavec strojev in naprav za proizvodnjo keramičnih izdelkov
Q000745	Upravljavec procesnih strojev za predelavo nekovinskih rudnin
Q000746	Upravljavec strojev za proizvodnjo glazur in brusov
Q000747	Upravljavec parnih strojev in naprav
Q000748	Direktor zavoda za turizem
Q000749	Kurjač parne lokomotive
Q000750	Upravljavec parnega stroja na ladji
Q000751	Strojni pakirec
Q000752	Strojni polnilec tekočin
Q000753	Strojni označevalec izdelkov
Q000754	Polnilec tehničnih plinov
Q000755	Strojni embaler
Q000756	Posluževalec stroja SMD
Q000757	Posluževalec spajkalnega stroja
Q000758	Sestavljalec proizvodnih strojev
Q000759	Sestavljalec letal
Q000760	Razstavljalec avtomobilov, reciklaža
Q000761	Vodja servisa gospodinjskih aparatov
Q000762	Sestavljalec električne opreme
Q000763	Sestavljalec elektronskih naprav in opreme
Q000764	Navijalec navitij in tuljav
Q000765	Impregnator navitij
Q000766	Spajalec navitij in vezij
Q000767	Sestavljalec akumulatorjev
Q000768	Sestavljalec izdelkov iz papirja
Q000769	Sestavljalec pohištva
Q000770	Vodja servisa vozil
Q000771	Sestavljalec stavbnega pohištva
Q000772	Sestavljalec izdelkov iz keramike in podobnih materialov
Q000773	Sestavljalec plastičnih izdelkov
Q000774	Sestavljalec kovinskih izdelkov
Q000775	Sestavljalec izdelkov iz usnja
Q000776	Sestavljalec izdelkov iz tekstilij
Q000777	Izdelovalec palet in lesene embalaže
Q000778	Sestavljalec gumenih izdelkov
Q000779	Menedžer čistilnih servisov
Q000780	Voznik motornih progovnih vozil
Q000781	Strojevodja
Q000782	Inštruktor strojevodij
Q000783	Železniški premikač
Q000784	Vozovni preglednik
Q000785	Kretnik
