C000001_hr_000	Vojna zanimanja
C000110_hr_000	Optometristi/optometristice i očni optičari/očne optičarke
C000111_hr_000	Zdravstveni stručnjaci/zdravstvene stručnjakinje d. n.
C000112_hr_000	Stručnjaci/stručnjakinje za odgoj i obrazovanje
C000113_hr_000	Sveučilišni i visokoškolski nastavnici/sveučilišne i visokoškolske nastavnice
C000114_hr_000	Sveučilišni i visokoškolski nastavnici/ sveučilišne i visokoškolske nastavnice
C000115_hr_000	Strukovni nastavnici/strukovne nastavnice
C000116_hr_000	Strukovni nastavnici/strukovne nastavnice
C000117_hr_000	Nastavnici/nastavnice u srednjim školama
C000118_hr_000	Nastavnici/nastavnice u srednjim školama
C000119_hr_000	Učitelji/učiteljice u osnovnim školama i predškolski odgajatelji/predškolske odgajateljice
C000120_hr_000	Učitelji/učiteljice razredne/predmetne nastave u osnovnim školama
C000121_hr_000	Predškolski odgajatelji/predškolske odgajateljice
C000122_hr_000	Ostali stručnjaci/ostale stručnjakinje za odgoj i obrazovanje
C000123_hr_000	Stručnjaci/stručnjakinje za obrazovne metode
C000124_hr_000	Stručnjaci/stručnjakinje edukacijsko-rehabilitacijskog profila
C000125_hr_000	Nastavnici/nastavnice izvanškolskoga jezičnog obrazovanja
C000126_hr_000	Nastavnici/nastavnice izvanškolskoga glazbenog obrazovanja
C000127_hr_000	Nastavnici/nastavnice izvanškolskoga umjetničkog obrazovanja
C000128_hr_000	Nastavnici/nastavnice izvanškolskoga informatičkog obrazovanja
C000129_hr_000	Stručnjaci/stručnjakinje za odgoj i obrazovanje, d. n.
C000130_hr_000	Stručnjaci/stručnjakinje za poslovanje i upravljanje
C000131_hr_000	Stručnjaci/stručnjakinje za financijsko poslovanje
C000132_hr_000	Računovodstveni stručnjaci/računovodstvene stručnjakinje
C000133_hr_000	Financijski i investicijski savjetnici/financijske i investicijske savjetnice
C000134_hr_000	Financijski analitičari/financijske analitičarke
C000135_hr_000	Stručnjaci/stručnjakinje za upravljanje
C000136_hr_000	Poslovni i organizacijski analitičari/poslovne i organizacijske analitičarke
C000137_hr_000	Stručnjaci/stručnjakinje za strateško planiranje
C000138_hr_000	Stručnjaci/stručnjakinje za ljudske potencijale i upravljanje karijerom
C000139_hr_000	Stručnjaci/stručnjakinje za osposobljavanje i razvoj zaposlenika
C000140_hr_000	Stručnjaci/stručnjakinje za prodaju, marketing i odnose s javnošću
C000141_hr_000	Stručnjaci/stručnjakinje za promidžbu i marketing
C000142_hr_000	Stručnjaci/stručnjakinje za odnose s javnošću
C000143_hr_000	Stručnjaci/stručnjakinje za prodaju tehničke i medicinske opreme (osim opreme informacijske i komunikacijske tehnologije)
C000144_hr_000	Stručnjaci/stručnjakinje za prodaju informacijsko-komunikacijske tehnologije
C000145_hr_000	Stručnjaci/stručnjakinje za informacijsku i komunikacijsku tehnologiju
C000146_hr_000	Stručnjaci/stručnjakinje za razvoj i analizu programske podrške i aplikacija
C000147_hr_000	Analitičari/analitičarke sustava
C000148_hr_000	Razvojni inženjeri/razvojne inženjerke za programsku podršku
C000149_hr_000	Razvojni inženjeri/razvojne inženjerke internetskih i multimedijskih aplikacija
C000150_hr_000	Programeri/programerke za razvoj aplikacija
C000151_hr_000	Razvojni inženjeri i analitičari/razvojne inženjerke i analitičarke za razvoj programske podrške d. n.
C000152_hr_000	Stručnjaci/stručnjakinje za baze podataka i računalne mreže
C000153_hr_000	Stručnjaci/stručnjakinje za razvoj baza podataka
C000154_hr_000	Administratori sustava/administratorice sustava
C000155_hr_000	Stručnjaci/stručnjakinje za razvoj računalnih mreža
C000156_hr_000	Stručnjaci/stručnjakinje za baze podataka i računalne mreže, d. n.
C000157_hr_000	Pravni stručnjaci/pravne stručnjakinje, stručnjaci/stručnjakinje za društvene znanosti i kulturu
C000158_hr_000	Pravni stručnjaci/pravne stručnjakinje
C000159_hr_000	Pravni zastupnici/pravne zastupnice
C000160_hr_000	Suci/sutkinje
C000161_hr_000	Pravni stručnjaci/pravne stručnjakinje d. n.
C000162_hr_000	Knjižničari/knjižničarke, arhivisti/arhivistice i stručno muzejsko osoblje
C000163_hr_000	Arhivisti/arhivistice i stručno muzejsko osoblje
C000164_hr_000	Knjižničari/knjižničarke i informacijski stručnjaci/informacijske stručnjakinje
C000165_hr_000	Stručnjaci/stručnjakinje za društvene i humanističke znanosti i vjerski stručnjaci/vjerske stručnjakinje
C000166_hr_000	Ekonomski stručnjaci/ekonomske stručnjakinje
C000167_hr_000	Sociolozi/sociologinje, antropolozi/antropologinje i srodni stručnjaci/srodne stručnjakinje
C000168_hr_000	Filozofi/filozofkinje, povjesničari/povjesničarke i politolozi/politologinje
C000169_hr_000	Psiholozi/psihologinje
C000170_hr_000	Stručnjaci/stručnjakinje za socijalni rad i savjetovanje
C000171_hr_000	Vjerski stručnjaci/vjerske stručnjakinje
C000172_hr_000	Književnici/književnice, novinari/novinarke i jezikoslovci/jezikoslovke
C000173_hr_000	Književnici/književnice i srodna zanimanja
C000174_hr_000	Novinari/novinarke
C000175_hr_000	Prevoditelji/prevoditeljice, tumači/tumačiteljice i drugi jezikoslovci/druge jezikoslovke
C000176_hr_000	Umjetnici/umjetnice i srodni stručnjaci/stručnjakinje d. n.
C000177_hr_000	Likovni umjetnici/likovne umjetnice
C000178_hr_000	Glazbeni umjetnici/glazbene umjetnice, pjevači/pjevačice i skladatelji/skladateljice
C000179_hr_000	Plesači/plesačice i koreografi/koreografkinje
C000180_hr_000	Filmski i kazališni redatelji i producenti/filmske i kazališne redateljice i producentice i srodna zanimanja
C000181_hr_000	Dramski umjetnici/dramske umjetnice
C000182_hr_000	Spikeri/spikerice na radiju, televiziji i u drugim medijima
C000183_hr_000	Produktivni i reproduktivni umjetnici d. n.
C000184_hr_000	Tehničari/tehničarke i stručni suradnici/stručne suradnice
C000185_hr_000	Tehničari/tehničarke tehničko-tehnoloških zanimanja
C000186_hr_000	Tehničko-tehnološki tehničari/tehničko-tehnološke tehničarke
C000187_hr_000	Tehničari/tehničarke za fiziku, kemiju i srodna zanimanja
C000188_hr_000	Tehničari/tehničarke za arhitekturu, građevinarstvo, geodeziju i srodna zanimanja
C000189_hr_000	Tehničari/tehničarke za elektrotehniku i srodna zanimanja
C000190_hr_000	Tehničari/tehničarke za elektroniku
C000191_hr_000	Tehničari/tehničarke strojarstva, brodogradnje i srodna zanimanja
C000192_hr_000	Tehničari/tehničarke za kemijsku i prehrambenu tehnologiju i biotehnologiju
C000193_hr_000	Tehničari/tehničarke za rudarstvo, metalurgiju i srodna zanimanja
C000194_hr_000	Tehnički crtači/tehničke crtačice
C000195_hr_000	Tehničko-tehnološki tehničari/tehničko-tehnološke tehničarke d. n.
C000196_hr_000	Rudarski nadzornici/rudarske nadzornice, nadzornici/nadzornice u proizvodnim djelatnostima i građevinski nadzornici/građevinske nadzornice
C000197_hr_000	Rudarski nadzornici/rudarske nadzornice
C000198_hr_000	Nadzornici/nadzornice u proizvodnim djelatnostima
C000199_hr_000	Građevinski nadzornici/građevinske nadzornice
C000200_hr_000	Tehničari/tehničarke za nadzor proizvodnje
C000201_hr_000	Rukovoditelji/rukovoditeljice energetskim i srodnim postrojenjima
C000202_hr_000	Rukovoditelji/rukovoditeljice spalionica, pogona za pročišćavanje vode i srodna zanimanja
C000203_hr_000	Kemijsko-procesni tehničari/kemijsko-procesne tehničarke
C000204_hr_000	Rukovoditelji/rukovoditeljice postrojenjima u rafinerijama nafte i prirodnog plina
C000205_hr_000	Metalurški procesni tehničari/metalurške procesne tehničarke
C000206_hr_000	Procesni tehničari/procesne tehničarke d. n.
C000207_hr_000	Laboratorijski tehničari/laboratorijske tehničarke u biomedicini, biologiji, farmakologiji i srodna zanimanja
C000208_hr_000	Laboratorijski tehničari/laboratorijske tehničarke u biomedicini, biologiji, farmakologiji (osim medicinsko-laboratorijskih tehničara)
C000209_hr_000	Poljoprivredni tehničari/poljoprivredne tehničarke
C000210_hr_000	Šumarski tehničari/šumarske tehničarke
C000211_hr_000	Kapetani/kapetanice plovila, piloti/pilotkinje zrakoplova, kontrolori/kontrolorke zračnog prometa i srodna zanimanja
C000212_hr_000	Časnici stroja/časnice stroja i srodna zanimanja
C000213_hr_000	Kapetani/kapetanice plovila i srodna zanimanja
C000214_hr_000	Piloti/pilotkinje zrakoplova i srodni zrakoplovni stručnjaci/srodne zrakoplovne stručnjakinje
C000215_hr_000	Kontrolori/kontrolorke leta
C000216_hr_000	Tehničari/tehničarke za sigurnost zračnog prometa
C000217_hr_000	Tehničari/tehničarke i pomoćnici/pomoćnice u zdravstvu
C000218_hr_000	Medicinski i farmaceutski tehničari/medicinske i farmaceutske tehničarke
C000219_hr_000	Tehničari/tehničarke medicinskih uređaja
C000220_hr_000	Zdravstveno laboratorijski i patološki tehničari/zdravstveno laboratorijske i patološke tehničarke
C000221_hr_000	Farmaceutski tehničari/farmaceutske tehničarke
C000222_hr_000	Dentalni i ortopedski tehničari/dentalne i ortopedske tehničarke
C000223_hr_000	Medicinske sestre/medicinski tehničari
C000224_hr_000	Medicinske sestre/medicinski tehničari
C000225_hr_000	Medicinske sestre-primalje
C000226_hr_000	Zanimanja srodna stručnjacima za tradicionalnu i komplementarnu medicinu
C000227_hr_000	Zanimanja srodna stručnjacima za tradicionalnu i komplementarnu medicinu
C000228_hr_000	Veterinarski tehničari, asistenti/ veterinarske tehničarke, asistentice
C000229_hr_000	Veterinarski tehničari, asistenti/ veterinarske tehničarke, asistentice
C000230_hr_000	Ostali tehničari i asistenti/ostale tehničarke i asistentice u zdravstvu
C000231_hr_000	Dentalni asistenti i terapeuti/dentalne asistentice i terapeutkinje
C000232_hr_000	Tehničari/tehničarke za vođenje zdravstvenih kartoteka i informacija
C000233_hr_000	Patronažni zdravstveni djelatnici/patronažne zdravstvene djelatnice
C000234_hr_000	Optičari/optičarke
C000235_hr_000	Fizioterapeutski tehničari/fizioterapeutske tehničarke
C000236_hr_000	Asistenti/asistentice zdravstvene njege
C000237_hr_000	Inspektori/inspektorice za zaštitu okoliša, higijenu i medicinu rada i srodna zanimanja
C000238_hr_000	Osoblje vozila hitne medicinske pomoći
C000239_hr_000	Zdravstveni radnici/zdravstvene radnice d. n.
C000240_hr_000	Stručni suradnici/stručne suradnice za poslovanje i upravljanje
C000241_hr_000	Financijski, matematički i ekonomski stručni suradnici/financijske matematičke i ekonomske stručne suradnice i srodna zanimanja
C000242_hr_000	Burzovni posrednici/burzovne posrednice
C000243_hr_000	Stručni suradnici/stručne suradnice za kredite i zajmove
C000244_hr_000	Ekonomisti/ekonomistice i voditelji/voditeljice dijelova računovodstva
C000245_hr_000	Statističko-matematički stručnjaci/statističko-matematičke stručnjakinje i srodna zanimanja
C000246_hr_000	Procjenitelji/procjeniteljice vrijednosti i štete
C000247_hr_000	Posrednici/posrednice i zastupnici/zastupnice za prodaju i nabavu
C000248_hr_000	Zastupnici osiguranja/zastupnice osiguranja
C000249_hr_000	Komercijalisti/komercijalistice u prodaji
C000250_hr_000	Referenti/referentice nabave
C000251_hr_000	Posrednici/posrednice za prijevoz, trgovinu i srodna zanimanja
C000252_hr_000	Posrednici/posrednice za poslovne usluge i srodna zanimanja
C000253_hr_000	Špediteri/špediterke i srodna zanimanja
C000254_hr_000	Organizatori/organizatorice konferencija i događaja
C000255_hr_000	Posrednici/posrednice pri zapošljavanju i srodna zanimanja
C000256_hr_000	Agenti/agentice posredovanja u prometu nekretnina
C000257_hr_000	Poslovni posrednici/poslovne posrednice d. n.
C000258_hr_000	Opći i specijalizirani poslovni tajnici/opće i specijalizirane poslovne tajnice
C000259_hr_000	Voditelji/voditeljice ureda
C000260_hr_000	Pravni tajnici/pravne tajnice
C000261_hr_000	Poslovni tajnici/poslovne tajnice u upravi i poslovanju
C000262_hr_000	Poslovni tajnici/poslovne tajnice u zdravstvu
C000263_hr_000	Stručni suradnici/stručne suradnice na poslovima državne regulative
C000264_hr_000	Carinski inspektori/carinske inspektorice i granični inspektori/granične inspektorice
C000265_hr_000	Poreznici/poreznice
C000266_hr_000	Referenti/referentice za socijalnu skrb i srodna zanimanja
C000267_hr_000	Referenti/referentice za koncesije, dozvole i srodna zanimanja
C000268_hr_000	Kriminalisti/kriminalistkinje i srodna zanimanja
C000269_hr_000	Stručni suradnici/stručne suradnice na poslovima državne regulative d. n.
C000270_hr_000	Stručni suradnici/stručne suradnice za pravna pitanja, društvene znanosti, kulturu, šport, umjetnost i srodna zanimanja
C000271_hr_000	Stručni suradnici/stručne suradnice za pravna, društvena i vjerska pitanja
C000272_hr_000	Pravni asistenti/pravne asistentice i srodna zanimanja
C000273_hr_000	Socijalni radnici/socijalne radnice
C000274_hr_000	Stručnjaci/stručnjakinje za vjerska pitanja
C000275_hr_000	Stručni suradnici/stručne suradnice za šport i fitnes
C000276_hr_000	Športaši/športašice i srodna zanimanja
C000277_hr_000	Športski treneri/trenerice; športski instruktori/instruktorice
C000278_hr_000	Instruktori/instruktorice fitnesa i rekreacije i voditelji športskih programa
C000279_hr_000	Stručni suradnici/stručne suradnice za djelatnosti u umjetnosti, kulturi i kulinarstvu
C000280_hr_000	Fotografi/fotografkinje
C000281_hr_000	Dizajneri, dekorateri i aranžeri/dizajnerice, dekoraterke i aranžerke
C000282_hr_000	Galerijski i muzejski tehničari i knjižničari/galerijske i muzejske tehničarke i knjižničarke
C000283_hr_000	Glavni kuhari/glavne kuharice
C000284_hr_000	Stručni suradnici/stručne suradnice za djelatnosti u umjetnosti i kulturi d. n.
C000285_hr_000	Tehničari/tehničarke informacijske i komunikacijske tehnologije te podrške korisnicima
C000286_hr_000	Tehničari/tehničarke informacijske i komunikacijske tehnologije za podršku radu i korisnicima
C000287_hr_000	Tehničari/tehničarke informacijske i komunikacijske tehnologije za podršku radu
C000288_hr_000	Tehničari/tehničarke informacijske i komunikacijske tehnologije za podršku korisnicima
C000289_hr_000	Tehničari/tehničarke za razvoj računalnih mreža i sustava
C000290_hr_000	Tehničari/tehničarke za mrežne aplikacije
C000291_hr_000	Tehničari/tehničarke za telekomunikacije i emitiranje
C000292_hr_000	Tehničari/tehničarke za emitiranje i audio-vizualne sustave
C000293_hr_000	Tehničari/tehničarke za telekomunikacije
C000294_hr_000	Administrativni službenici/administrativne službenice
C000295_hr_000	Službenici/službenice na općim uredskim poslovima i srodna zanimanja
C000296_hr_000	Uredski službenici/uredske službenice za opće poslove
C000297_hr_000	Uredski službenici/uredske službenice za opće poslove
C000298_hr_000	Tajnici/tajnice
C000299_hr_000	Tajnici/tajnice i srodna zanimanja
C000300_hr_000	Daktilografi/daktilografkinje i službenici/službenice unosa podataka
C000301_hr_000	Daktilografi/daktilografkinje i operatori/operaterke za uređivanje teksta na računalu
C000302_hr_000	Službenici/službenice za unos podataka
C000303_hr_000	Službenici/službenice za poslovanje sa strankama
C000304_hr_000	Službenici/službenice za šaltersko novčano poslovanje
C000305_hr_000	Bankarski službenici/bankarske službenice za šaltersko novčano poslovanje i srodna zanimanja
C000306_hr_000	Službenici/službenice u kladionici, kasinu i srodna zanimanja
C000307_hr_000	Šalterski službenici/šalterske službenice u zalagaonicama
C000308_hr_000	Sakupljači/sakupljačice dugova i srodna zanimanja
C000309_hr_000	Službenici/službenice za pružanje informacija strankama
C000310_hr_000	Organizatori/organizatorice putovanja i službenici/službenice u turističkim agencijama
C000311_hr_000	Službenici/službenice za pružanje informacija u kontakt centru
C000312_hr_000	Operatori/operatorice na telefonskoj centrali
C000313_hr_000	Hotelski recepcionari/hotelske recepcionarke
C000314_hr_000	Službenici/službenice za pružanje informacija
C000315_hr_000	Recepcionari/recepcionarke (općenito)
C000316_hr_000	Anketari/anketarke za istraživanje tržišta
C000317_hr_000	Službenici/službenice za šalterske informacije d. n.
C000318_hr_000	Službenici/službenice na obračunskim poslovima i na poslovima materijalnih evidencija
C000319_hr_000	Službenici/službenice u knjigovodstvu, statistici, financijama, osiguranju i srodnim djelatnostima
C000320_hr_000	Službenici/službenice u knjigovodstvu
C000321_hr_000	Službenici/službenice u statistici, financijama i osiguranju
C000322_hr_000	Službenici/službenice za obračun plaća
C000323_hr_000	Službenici/službenice u skladištu, proizvodnji, prometu i srodnim djelatnostima
C000324_hr_000	Skladišni službenici/skladišne službenice
C000325_hr_000	Uredski službenici/uredske službenice u proizvodnji
C000326_hr_000	Prometni uredski službenici/prometne uredske službenice
C000327_hr_000	Ostali administrativni službenici/ostale administrativne službenice
C000328_hr_000	Ostali administrativni službenici/ostale administrativne službenice
C000329_hr_000	Službenici/službenice knjižnica i muzeja
C000330_hr_000	Poštari/poštarice
C000331_hr_000	Šifranti i korektori/šifrantice i korektorice
C000332_hr_000	Pisari/pisarke i srodna zanimanja
C000333_hr_000	Arhivski i kopirni službenici/arhivske i kopirne službenice
C000334_hr_000	Službenici/službenice za ljudske potencijale
C000335_hr_000	Administrativni službenici/administrativne službenice d. n.
C000336_hr_000	Uslužna i trgovačka zanimanja
C000337_hr_000	Uslužna zanimanja
C000338_hr_000	Članovi/članice kabinske posade, kondukteri/kondukterke i vodiči/vodičice
C000339_hr_000	Članovi/članice kabinske posade
C000340_hr_000	Kondukteri/kondukterke
C000341_hr_000	Vodiči/vodičice
C000342_hr_000	Kuhari/kuharice
C000343_hr_000	Kuhari/kuharice
C000344_hr_000	Konobari/konobarice i barmeni/barmenice
C000345_hr_000	Konobari/konobarice
C000346_hr_000	Barmeni/barmenice
C000347_hr_000	Frizeri/frizerke, kozmetičari/kozmetičarke i srodna zanimanja
C000348_hr_000	Frizeri/frizerke
C000349_hr_000	Kozmetičari/kozmetičarke, pedikeri/pedikerke i srodna zanimanja
C000350_hr_000	Kućanska zanimanja, kućepazitelji/kućepaziteljice
C000351_hr_000	Djelatnici/djelatnice za čišćenje i održavanje u uredima, hotelima i drugim objektima
C000352_hr_000	Domaćini/domaćice
C000353_hr_000	Kućepazitelji/kućepaziteljice
C000354_hr_000	Ostala uslužna zanimanja
C000355_hr_000	Astrolozi/astrologinje i srodna zanimanja
C000356_hr_000	Pratitelj/pratiteljice i posluga
C000357_hr_000	Grobari/grobarke, pogrebnici/pogrebnice i srodna zanimanja
C000358_hr_000	Njegovatelji/njegovateljice, radnici/radnice koje skrbe o životinjama
C000359_hr_000	Instruktori /instruktorice vožnje
C000360_hr_000	Uslužna zanimanja, d. n.
C000361_hr_000	Trgovačka zanimanja
C000362_hr_000	Ulični prodavači/ulične prodavačice, prodavači/prodavačice na štandovima
C000363_hr_000	Prodavači/prodavačice na štandovima
C000364_hr_000	Ulični prodavači/ulične prodavačice hrane
C000365_hr_000	Prodavači/prodavačice u trgovinama
C000366_hr_000	Trgovci/trgovke u vlastitim trgovinama
C000367_hr_000	Poslovođe/poslovotkinje u trgovinama
C000368_hr_000	Prodavači/prodavačice u trgovinama
C000369_hr_000	Blagajnici/blagajnice, prodavači/prodavačice ulaznica i srodna zanimanja
C000370_hr_000	Blagajnici/blagajnice, prodavači/prodavačice ulaznica i srodna zanimanja
C000371_hr_000	Ostali prodavači/ostale prodavačice
C000372_hr_000	Manekeni/manekenke, modeli i srodna zanimanja
C000373_hr_000	Demonstratori/demonstratorice za prodaju
C000374_hr_000	Zastupnici/zastupnice direktne prodaje
C000375_hr_000	Prodavači/prodavačice u kontakt centru
C000376_hr_000	Prodavači/prodavačice na benzinskim postajama
C000377_hr_000	Prodavači/prodavačice brze hrane
C000378_hr_000	Prodavači/prodavačice, d. n.
C000379_hr_000	Djelatnici/djelatnice za zdravstvenu i socijalnu skrb i srodna zanimanja
C000380_hr_000	Njegovatelji/njegovateljice djece i pomoćnici /pomoćnice učitelja
C000381_hr_000	Njegovatelji/njegovateljice djece
C000382_hr_000	Pomoćnici učitelja/pomoćnice učitelja
C000383_hr_000	Djelatnici/djelatnice za zdravstvenu skrb, i srodna zanimanja
C000384_hr_000	Djelatnici/djelatnice za zdravstvenu i socijalnu skrb u ustanovama
C000385_hr_000	Djelatnici/djelatnice za zdravstvenu i socijalnu skrb u kući
C000386_hr_000	Djelatnici/djelatnice za zdravstvenu i socijalnu skrb, d.n.
C000387_hr_000	Djelatnici/djelatnice za zaštitu osoba i imovine
C000388_hr_000	Djelatnici/djelatnice za zaštitu osoba i imovine
