C000001_it_000	Forze armate
C000098_it_000	Specialisti della medicina tradizionale e complementare
C000099_it_000	Paramedici
C000100_it_000	Paramedici
C000101_it_000	Veterinari
C000102_it_000	Veterinari
C000103_it_000	Altri specialisti della salute
C000104_it_000	Dentisti
C000105_it_000	Farmacisti
C000106_it_000	Specialisti in medicina ambientale, medicina del lavoro e igiene
C000107_it_000	Fisioterapisti
C000108_it_000	Dietologi e nutrizionisti
C000109_it_000	Audiologi e logopedisti
C000110_it_000	Optometristi e oftalmologi
C000111_it_000	Specialisti della salute non classificati altrove
C000112_it_000	Specialisti dell’educazione
C000113_it_000	Docenti universitari e professori dell’insegnamento superiore
C000114_it_000	Docenti universitari e professori dell’insegnamento superiore
C000115_it_000	Professori dell’educazione professionale
C000116_it_000	Professori dell’educazione professionale
C000117_it_000	Professori di scuola secondaria
C000118_it_000	Professori di scuola secondaria
C000119_it_000	Professori di scuola primaria e pre-primaria
C000120_it_000	Professori di scuola primaria
C000121_it_000	Professori di scuola pre-primaria
C000122_it_000	Altri specialisti dell’educazione
C000123_it_000	Specialisti dei metodi di insegnamento
C000124_it_000	Professori per l’insegnamento ad alunni con esigenze speciali
C000125_it_000	Altri professori di lingue
C000126_it_000	Altri professori di educazione musicale
C000127_it_000	Altri professori di educazione artistica
C000128_it_000	Formatori in tecnologie dell’informazione
C000129_it_000	Specialisti dell’educazione non classificati altrove
C000130_it_000	Specialisti delle scienze commerciali e dell’amministrazione
C000131_it_000	Specialisti finanziari
C000132_it_000	Contabili
C000133_it_000	Consulenti finanziari e per gli investimenti
C000134_it_000	Analisti finanziari
C000135_it_000	Specialisti dell’amministrazione
C000136_it_000	Analisti della gestione e organizzazione
C000137_it_000	Specialisti delle politiche di amministrazione
C000138_it_000	Specialisti di personale e sviluppo di carriera
C000139_it_000	Specialisti della formazione e dello sviluppo delle risorse umane
C000140_it_000	Specialisti delle vendite, del marketing e delle pubbliche relazioni
C000141_it_000	Specialisti della pubblicità e del marketing
C000142_it_000	Specialisti delle pubbliche relazioni
C000143_it_000	Informatori tecnici e scientifici (ad eccezione del settore ICT)
C000144_it_000	Specialisti delle vendite nel settore delle tecnologie dell’informazione e della comunicazione
C000145_it_000	Specialisti delle tecnologie dell’informazione e della comunicazione
C000146_it_000	Sviluppatori e analisti di software e applicazioni
C000147_it_000	Analisti di sistema
C000148_it_000	Sviluppatori di software
C000149_it_000	Sviluppatori Web e multimediali
C000150_it_000	Programmatori di applicazioni
C000151_it_000	Sviluppatori e analisti di software e applicazioni non classificati altrove
C000152_it_000	Specialisti in basi dati e in reti informatiche
C000153_it_000	Specialisti nella progettazione e amministrazione delle basi dati
C000154_it_000	Amministratori di sistema
C000155_it_000	Specialisti in reti informatiche
C000156_it_000	Specialisti in basi dati e in reti informatiche non classificati altrove
C000157_it_000	Specialisti in scienze giuridiche, sociali e culturali
C000158_it_000	Specialisti in scienze giuridiche
C000159_it_000	Avvocati
C000160_it_000	Magistrati
C000161_it_000	Specialisti in scienze giuridiche non classificati altrove
C000162_it_000	Bibliotecari, archivisti e curatori di musei
C000163_it_000	Archivisti e curatori di musei
C000164_it_000	Bibliotecari, documentalisti ed assimilati
C000165_it_000	Specialisti in scienze sociali e in discipline religiose
C000166_it_000	Economisti
C000167_it_000	Sociologi, antropologi ed assimilati
C000168_it_000	Filosofi, storici e specialisti in scienze politiche
C000169_it_000	Psicologi
C000170_it_000	Specialisti nell’assistenza sociale e nell’orientamento
C000171_it_000	Specialisti in discipline religiose
C000172_it_000	Specialisti in discipline linguistiche, letterarie e documentali
C000173_it_000	Scrittori ed assimilati
C000174_it_000	Giornalisti
C000175_it_000	Traduttori, interpreti e altri linguisti
C000176_it_000	Specialisti in discipline artistico-espressive
C000177_it_000	Specialisti delle arti visive
C000178_it_000	Musicisti, cantanti e compositori
C000179_it_000	Ballerini e coreografi
C000180_it_000	Registi, sceneggiatori, produttori ed assimilati
C000181_it_000	Attori
C000182_it_000	Annunciatori della radio e della televisione e di altri media
C000183_it_000	Specialisti in discipline artistico-espressive non classificati altrove
C000184_it_000	Professioni tecniche intermedie
C000185_it_000	Professioni tecniche nelle scienze e nell’ingegneria
C000186_it_000	Tecnici delle scienze fisiche e ingegneristiche
C000187_it_000	Tecnici delle scienze chimiche e fisiche
C000188_it_000	Tecnici delle costruzioni civili
C000189_it_000	Elettrotecnici
C000190_it_000	Tecnici elettronici
C000191_it_000	Tecnici meccanici
C000192_it_000	Tecnici chimici
C000193_it_000	Tecnici metallurgico-minerari
C000194_it_000	Disegnatori industriali
C000195_it_000	Altri tecnici delle scienze fisiche e ingegneristiche non classificati altrove
C000196_it_000	Supervisori delle attività estrattive, manifatturiere e di costruzione
C000197_it_000	Supervisori minerari
C000198_it_000	Supervisori delle attività manifatturiere
C000199_it_000	Supervisori edili
C000200_it_000	Tecnici del controllo del processo di produzione
C000201_it_000	Conduttori di impianti per la produzione di energia elettrica
C000202_it_000	Conduttori di inceneritori e di impianti del trattamento delle acque
C000203_it_000	Tecnici del controllo di impianti per il trattamento chimico
C000204_it_000	Conduttori di impianti per la raffinazione del petrolio e del gas naturale
C000205_it_000	Tecnici per il controllo del processo di produzione del metallo
C000206_it_000	Tecnici del controllo del processo di produzione non classificati altrove
C000207_it_000	Tecnici nelle scienze della vita ed assimilati
C000208_it_000	Tecnici nelle scienze della vita (ad eccezione delle scienze mediche)
C000209_it_000	Tecnici agronomi
C000210_it_000	Tecnici forestali
C000211_it_000	Controllori e tecnici del trasporto aereo e navale
C000212_it_000	Ufficiali di macchina navali
C000213_it_000	Ufficiali di bordo e piloti navali
C000214_it_000	Piloti di aeromobili ed assimilati
C000215_it_000	Controllori del traffico aereo
C000216_it_000	Tecnici elettronici addetti alla sicurezza del traffico aereo
C000217_it_000	Professioni intermedie nelle scienze della salute
C000218_it_000	Tecnici delle scienze mediche e farmaceutiche
C000219_it_000	Tecnici radiologi e di apparecchiature mediche
C000220_it_000	Tecnici di laboratorio medico e patologico
C000221_it_000	Tecnici e assistenti farmaceutici
C000222_it_000	Tecnici protesici e odontotecnici
C000223_it_000	Infermieri e ostetrici (livello intermedio)
C000224_it_000	Infermieri (livello intermedio)
C000225_it_000	Ostetrici (livello intermedio)
C000226_it_000	Assistenti della medicina tradizionale e complementare
C000227_it_000	Assistenti della medicina tradizionale e complementare
C000228_it_000	Tecnici e assistenti veterinari
C000229_it_000	Tecnici e assistenti veterinari
C000230_it_000	Altre professioni intermedie nelle scienze della salute
C000231_it_000	Assistenti odontoiatri e igienisti dentali
C000232_it_000	Addetti alle cartelle cliniche e alla documentazione sanitaria
C000233_it_000	Operatori sanitari della comunità
C000234_it_000	Ottici
C000235_it_000	Tecnici e assistenti della riabilitazione
C000236_it_000	Assistenti medici
C000237_it_000	Ispettori e tecnici della medicina ambientale e del lavoro
C000238_it_000	Infermieri di ambulanza
C000239_it_000	Tecnici delle scienze della salute non classificati altrove
C000240_it_000	Professioni intermedie nelle attività finanziarie e amministrative
C000241_it_000	Tecnici delle attività finanziarie e matematiche
C000242_it_000	Mediatori di borsa e agenti di cambio
C000243_it_000	Operatori crediti e prestiti
C000244_it_000	Contabili (livello intermedio)
C000245_it_000	Tecnici statistici e matematici ed assimilati
C000246_it_000	Valutatori di rischio e periti stimatori di danno
C000247_it_000	Agenti di vendita e acquisto e mediatori
C000248_it_000	Agenti assicurativi
C000249_it_000	Rappresentanti di commercio
C000250_it_000	Responsabili degli acquisti
C000251_it_000	Mediatori commerciali
C000252_it_000	Agenti commerciali
C000253_it_000	Agenti concessionari
C000254_it_000	Organizzatori di conferenze e di eventi
C000255_it_000	Agenti di stesura di contratti di impiego e di reclutamento
C000256_it_000	Agenti immobiliari e amministratori
C000257_it_000	Agenti commerciali non classificati altrove
C000258_it_000	Personale di segreteria addetto ad attività amministrative e specializzate
C000259_it_000	Capiufficio
C000260_it_000	Segretari di studi legali
C000261_it_000	Segretari addetti a mansioni amministrative ed esecutive
C000262_it_000	Segretari di studi medici
C000263_it_000	Membri di organismi di governo con potestà regolamentare (livello intermedio)
C000264_it_000	Ispettori di dogana e di frontiera
C000265_it_000	Agenti delle tasse e delle imposte
C000266_it_000	Agenti dei servizi pubblici di prestazioni sociali
C000267_it_000	Agenti dei servizi pubblici di permessi e licenze
C000268_it_000	Ispettori di polizia e detective
C000269_it_000	Membri di organismi di governo con potestà regolamentare (livello intermedio) non classificati altrove
C000270_it_000	Professioni intermedie nelle scienze giuridiche, sociali e culturali
C000271_it_000	Professioni intermedie delle scienze giuridiche, sociali e delle discipline religiose
C000272_it_000	Tecnici delle scienze giuridiche ed assimilati
C000273_it_000	Tecnici delle scienze sociali
C000274_it_000	Tecnici delle discipline religiose
C000275_it_000	Professioni dello sport e del fitness
C000276_it_000	Atleti e sportivi
C000277_it_000	Allenatori, istruttori e agenti
C000278_it_000	Istruttori di palestra e preparatori atletici
C000279_it_000	Professioni tecniche artistiche, culturali e culinarie
C000280_it_000	Fotografi
C000281_it_000	Designer di interni e decoratori
C000282_it_000	Tecnici delle gallerie, dei musei e delle biblioteche
C000283_it_000	Chef
C000284_it_000	Altre professioni tecniche dei servizi ricreativi e culturali
C000285_it_000	Tecnici dell’informazione e della comunicazione
C000286_it_000	Tecnici per la gestione dell’informazione e della comunicazione e per l’assistenza agli utenti
C000287_it_000	Tecnici per la gestione dell’informazione e della comunicazione
C000288_it_000	Tecnici per l’assistenza agli utenti della tecnologia dell’informazione e della comunicazione
C000289_it_000	Tecnici di rete e sistemi informatici
C000290_it_000	Tecnici Web
C000291_it_000	Tecnici della trasmissione radiotelevisiva e delle telecomunicazioni
C000292_it_000	Tecnici della trasmissione radiotelevisiva e degli apparati audio-video
C000293_it_000	Tecnici dell’ingegneria delle comunicazioni
C000294_it_000	Impiegati di ufficio
C000295_it_000	Impiegati con compiti generali e operatori su macchine di ufficio
C000296_it_000	Personale di ufficio con compiti generali
C000297_it_000	Personale di ufficio con compiti generali
C000298_it_000	Personale di segreteria (compiti generali)
C000299_it_000	Personale di segreteria (compiti generali)
C000300_it_000	Operatori su macchine di ufficio
C000301_it_000	Dattilografi e operatori di trattamento testi
C000302_it_000	Addetti all’inserimento dati
C000303_it_000	Impiegati a contatto diretto con il pubblico
C000304_it_000	Personale addetto allo sportello, cassieri ed assimilati
C000305_it_000	Addetti allo sportello bancario ed assimilati
C000306_it_000	Allibratori, croupier ed assimilati
C000307_it_000	Addetti ad agenzie di pegno e di prestito
C000308_it_000	Esattori di crediti ed assimilati
C000309_it_000	Personale addetto all’informazione della clientela
C000310_it_000	Consulenti turistici e operatori
C000311_it_000	Tecnici dei centri di informazione
C000312_it_000	Operatori di centrali telefoniche
C000313_it_000	Portieri di albergo
C000314_it_000	Addetti all’informazione
C000315_it_000	Addetti alla reception (compiti generali)
C000316_it_000	Addetti alla rilevazione e alle indagini di mercato
C000317_it_000	Personale addetto all’informazione della clientela non classificato altrove
C000318_it_000	Impiegati addetti ai servizi contabili e finanziari e alla registrazione dei materiali
C000319_it_000	Personale addetto ai servizi contabili e finanziari
C000320_it_000	Aiuto contabili
C000321_it_000	Addetti a servizi statistici, finanziari e assicurativi
C000322_it_000	Addetti buste paga
C000323_it_000	Personale addetto alla registrazione dei materiali e alla gestione amministrativa dei trasporti
C000324_it_000	Addetti alla gestione degli stock
C000325_it_000	Addetti alla produzione
C000326_it_000	Addetti alla gestione amministrativa dei trasporti
C000327_it_000	Altri impiegati di ufficio
C000328_it_000	Altri impiegati di ufficio
C000329_it_000	Addetti a biblioteche
C000330_it_000	Addetti all’inoltro e allo smistamento di posta e documentazione
C000331_it_000	Addetti alla codifica, alla correzione di bozze ed assimilati
C000332_it_000	Scrivani ed assimilati
C000333_it_000	Addetti ad archivi e schedari
C000334_it_000	Addetti alla gestione del personale
C000335_it_000	Altri impiegati di ufficio non classificati altrove
C000336_it_000	Professioni nelle attività commerciali e nei servizi
C000337_it_000	Professioni nei servizi alle persone
C000338_it_000	Assistenti di viaggio, accompagnatori e guide
C000339_it_000	Assistenti di viaggio e steward
C000340_it_000	Controllori e bigliettai di trasporti pubblici
C000341_it_000	Guide
C000342_it_000	Cuochi
C000343_it_000	Cuochi
C000344_it_000	Camerieri e baristi
C000345_it_000	Camerieri
C000346_it_000	Baristi
C000347_it_000	Parrucchieri, estetisti ed assimilati
C000348_it_000	Parrucchieri
C000349_it_000	Estetisti ed assimilati
C000350_it_000	Supervisori di servizi di manutenzione e pulizia
C000351_it_000	Supervisori di servizi di pulizia in uffici, esercizi alberghieri ed altri esercizi
C000352_it_000	Collaboratori domestici
C000353_it_000	Custodi di immobili
C000354_it_000	Altre professioni nei servizi alle persone
C000355_it_000	Astrologi, chiromanti ed assimilati
C000356_it_000	Personale di compagnia e valletti
C000357_it_000	Addetti alle pompe funebri e imbalsamatori
C000358_it_000	Personale addetto alla cura degli animali
C000359_it_000	Istruttori di guida automobilistica
C000360_it_000	Professioni nei servizi alle persone non classificati altrove
C000361_it_000	Professioni nelle attività commerciali
C000362_it_000	Commercianti ambulanti
C000363_it_000	Venditori su bancarelle e mercati
C000364_it_000	Venditori ambulanti di generi alimentari
C000365_it_000	Esercenti e addetti alle vendite
C000366_it_000	Esercenti delle vendite
C000367_it_000	Addetto ai controlli delle vendite
C000368_it_000	Assistenti alle vendite
C000369_it_000	Cassieri e addetti al registratore di cassa
C000370_it_000	Cassieri e addetti al registratore di cassa
C000371_it_000	Altre professioni nelle attività commerciali
C000372_it_000	Indossatori, modelli e assimilati
C000373_it_000	Dimostratori
C000374_it_000	Venditori a domicilio
C000375_it_000	Venditori telefonici
C000376_it_000	Addetti ai distributori di carburanti
C000377_it_000	Addetti al banco servizi di ristorazione
C000378_it_000	Professioni nelle attività commerciali non classificate altrove
C000379_it_000	Professioni nell’assistenza alle persone
C000380_it_000	Addetti alla sorveglianza di bambini e assistenti didattici
C000381_it_000	Addetti alla sorveglianza di bambini
C000382_it_000	Assistenti didattici
C000383_it_000	Addetti all’assistenza alle persone nei servizi sanitari
C000384_it_000	Ausiliari sanitari
C000385_it_000	Addetti all’assistenza personale a domicilio
C000386_it_000	Addetti all’assistenza alle persone nei servizi sanitari non classificati altrove
C000387_it_000	Professioni nei servizi di sicurezza, custodia e vigilanza
C000388_it_000	Professioni nei servizi di sicurezza, custodia e vigilanza
C000389_it_000	Vigili del fuoco
C000390_it_000	Agenti di polizia
C000391_it_000	Agenti di custodia carceraria
C000392_it_000	Agenti di sicurezza
C000393_it_000	Professioni nei servizi di sicurezza, custodia e vigilanza non classificati altrove
C000394_it_000	Personale specializzato addetto all’agricoltura, alle foreste e alla pesca
C000395_it_000	Agricoltori e operai agricoli specializzati
C000396_it_000	Agricoltori e operai agricoli specializzati nelle coltivazioni e colture in pieno campo
C000397_it_000	Lavoratori agricoli specializzati di colture in pieno campo e ortive
C000398_it_000	Lavoratori agricoli specializzati di coltivazioni legnose agrarie
C000399_it_000	Lavoratori agricoli specializzati di coltivazioni di fiori e piante ornamentali, di coltivazioni ortive e vivai
C000400_it_000	Lavoratori agricoli specializzati di colture miste
C000401_it_000	Allevatori
C000402_it_000	Lavoratori specializzati nell’allevamento del bestiame e nella produzione del latte
C000403_it_000	Lavoratori specializzati degli allevamenti avicoli
C000404_it_000	Apicoltori e sericoltori
C000405_it_000	Allevatori non classificati altrove
C000406_it_000	Agricoltori di colture miste e allevatori
C000407_it_000	Agricoltori di colture miste e allevatori
C000408_it_000	Lavoratori forestali specializzati, pescatori e cacciatori
C000409_it_000	Lavoratori forestali ed assimilati
C000410_it_000	Lavoratori forestali ed assimilati
C000411_it_000	Pescatori e cacciatori
C000412_it_000	Lavoratori dell’acquacoltura
C000413_it_000	Pescatori della pesca costiera e in acque interne
C000414_it_000	Pescatori d’alto mare
C000415_it_000	Cacciatori
C000416_it_000	Lavoratori dell’agricoltura, della caccia, della pesca e del raccolto di sussistenza
C000417_it_000	Lavoratori dell’agricoltura di sussistenza
C000418_it_000	Lavoratori dell’agricoltura di sussistenza
C000419_it_000	Lavoratori dell’allevamento di sussistenza
C000420_it_000	Lavoratori dell’allevamento di sussistenza
C000421_it_000	Lavoratori delle colture miste e dell’allevamento di sussistenza
C000422_it_000	Lavoratori delle colture miste e dell’allevamento di sussistenza
C000423_it_000	Lavoratori della caccia, della pesca e del raccolto di sussistenza
C000424_it_000	Lavoratori della caccia, della pesca e del raccolto di sussistenza
C000425_it_000	Artigiani e operai specializzati
C000426_it_000	Operai specializzati dell’edilizia ed assimilati, ad eccezione degli elettricisti
C000427_it_000	Operai addetti alla costruzione di strutture edili ed assimilati
C000428_it_000	Addetti alla costruzione di edifici
C000429_it_000	Muratori in mattoni ed assimilati
C000430_it_000	Muratori in pietrame, tagliatori di pietre e cesellatori
C000431_it_000	Muratori in cemento armato, rifinitori ed assimilati
C000432_it_000	Carpentieri e falegnami edili
C000433_it_000	Operai addetti alla costruzione di strutture edili ed assimilati non classificati altrove
C000434_it_000	Operai specializzati addetti alle rifiniture delle costruzioni ed assimilati
C000435_it_000	Copritetti
C000436_it_000	Pavimentatori e posatori di rivestimenti
C000437_it_000	Intonacatori
C000438_it_000	Installatori di impianti di isolamento
C000439_it_000	Vetrai
C000440_it_000	Idraulici e posatori di tubazioni
C000441_it_000	Installatori di impianti di aria condizionata e di raffreddamento
C000442_it_000	Operai specializzati addetti alla pitturazione ed alla pulizia degli esterni degli edifici ed assimilati
C000443_it_000	Imbianchini ed assimilati
C000444_it_000	Laccatori e verniciatori
C000445_it_000	Pulitori di facciate e di esterni
C000446_it_000	Operai metalmeccanici specializzati ed assimilati
C000447_it_000	Lattonieri, carpentieri, fonditori, saldatori ed assimilati
C000448_it_000	Fonditori e animisti di fonderia
C000449_it_000	Saldatori e tagliatori a fiamma
C000450_it_000	Lattonieri e calderai
C000451_it_000	Carpentieri e montatori di carpenteria metallica
C000452_it_000	Attrezzatori e montatori di cavi metallici
C000453_it_000	Fabbri, costruttori di utensili ed assimilati
C000454_it_000	Fabbri, maniscalchi e operatori di presse per la forgiatura
C000455_it_000	Costruttori di utensili ed assimilati
C000456_it_000	Modellatori e tracciatori meccanici di macchine utensili
C000457_it_000	Lucidatori, levigatori e affilatori
C000458_it_000	Meccanici e riparatori di macchine
C000459_it_000	Meccanici e riparatori di veicoli a motore
C000460_it_000	Meccanici e riparatori di motori di aerei
C000461_it_000	Meccanici e riparatori di macchinari agricoli e industriali
C000462_it_000	Meccanici di biciclette e veicoli simili
C000463_it_000	Artigiani e operai specializzati delle attività tipografiche
C000464_it_000	Artigiani
C000465_it_000	Addetti alla costruzione e riparazione di strumenti di precisione
C000466_it_000	Addetti alla costruzione e all’accordatura di strumenti musicali
C000467_it_000	Gioiellieri e orafi
C000468_it_000	Vasai ed assimilati
C000469_it_000	Soffiatori, tagliatori, molatori e levigatori di vetro
C000470_it_000	Pittori di insegne, decoratori, incisori e acquafortisti
C000471_it_000	Artigiani delle lavorazioni del legno, delle ceste e dei materiali affini
C000472_it_000	Artigiani delle lavorazioni dei tessili, del cuoio e simili
C000473_it_000	Artigiani non classificati altrove
C000474_it_000	Operai specializzati delle attività tipografiche
C000475_it_000	Tecnici prestampa
C000476_it_000	Stampatori
C000477_it_000	Rilegatori e rifinitori post-stampa
C000478_it_000	Artigiani e operai specializzati delle attrezzature elettriche ed elettroniche
C000479_it_000	Installatori e riparatori di apparati elettrici
C000480_it_000	Elettricisti dell’edilizia ed assimilati
C000481_it_000	Installatori e riparatori di apparati elettromeccanici
C000482_it_000	Installatori e riparatori di linee elettriche
C000483_it_000	Installatori e riparatori elettronici e delle telecomunicazioni
C000484_it_000	Riparatori e manutentori di apparati elettronici industriali
C000485_it_000	Installatori e manutentori di attrezzature delle tecnologie dell’informazione e della comunicazione
C000486_it_000	Artigiani e operai specializzati delle lavorazioni alimentari, del legno, del tessile ed assimilati
C000487_it_000	Operai specializzati delle lavorazioni alimentari ed assimilati
C000488_it_000	Macellai, pesciaioli ed assimilati
C000489_it_000	Panettieri, pastai e pasticcieri
C000490_it_000	Confezionatori caseari
C000491_it_000	Conservieri di frutta, verdura e simili
C000492_it_000	Degustatori e classificatori di prodotti alimentari e bevande
C000493_it_000	Operai specializzati della preparazione e della lavorazione del tabacco
C000494_it_000	Artigiani e operai specializzati del trattamento del legno, ebanisti ed assimilati
C000495_it_000	Artigiani e operai specializzati del trattamento del legno
C000496_it_000	Ebanisti ed assimilati
C000497_it_000	Modellatori e tracciatori meccanici di macchine utensili
C000498_it_000	Artigiani e operai specializzati del tessile
C000499_it_000	Sarti, confezionatori di capi di abbigliamento, pellicciai e cappellai
C000500_it_000	Modellisti e tagliatori di capi di abbigliamento
C000501_it_000	Cucitori, ricamatori ed assimilati
C000502_it_000	Tappezzieri ed assimilati
C000503_it_000	Conciatori di pelli e di pellicce
C000504_it_000	Confezionatori di calzature ed assimilati
C000505_it_000	Altri artigiani e operai specializzati
C000506_it_000	Sommozzatori
C000507_it_000	Brillatori e artificieri
C000508_it_000	Classificatori e collaudatori di prodotti (ad eccezione dei prodotti alimentari e delle bevande)
C000509_it_000	Fumigatori, disinfestatori e diserbatori
C000510_it_000	Artigiani e operai specializzati non classificati altrove
C000511_it_000	Conduttori di impianti e macchinari e addetti al montaggio
C000512_it_000	Conduttori di impianti e macchinari fissi
C000513_it_000	Conduttori di impianti di miniere e per il trattamento di minerali
C000514_it_000	Minatori e cavapietre
C000515_it_000	Conduttori di impianti per il trattamento di minerali e di pietre
C000516_it_000	Trivellatori, perforatori di pozzi ed assimilati
C000517_it_000	Conduttori di macchinari per prodotti di cemento, pietra e altri minerali
C000518_it_000	Conduttori di impianti per la trasformazione e la finitura dei metalli
C000519_it_000	Conduttori di impianti per la trasformazione dei metalli
C000520_it_000	Addetti ai macchinari per finire, rivestire, placcare metalli e oggetti in metallo
C000521_it_000	Conduttori di impianti e macchinari per la fabbricazione di prodotti derivati dalla chimica e fotografici
C000522_it_000	Conduttori di impianti e macchinari per la fabbricazione di prodotti derivati dalla chimica
C000523_it_000	Conduttori di macchinari per la fabbricazione di prodotti fotografici
C000524_it_000	Conduttori di macchinari per la fabbricazione di articoli in gomma, plastica e carta
C000525_it_000	Conduttori di macchinari per la fabbricazione di articoli in gomma
C000526_it_000	Conduttori di macchinari per la fabbricazione di articoli in plastica
C000527_it_000	Conduttori di macchinari per la fabbricazione di articoli in carta
C000528_it_000	Conduttori di macchinari per la confezione di articoli in stoffa, pelliccia e cuoio
C000529_it_000	Conduttori di macchinari per preparare le fibre, per la filatura e la bobinatura
C000530_it_000	Conduttori di telai meccanici per la tessitura e la maglieria
C000531_it_000	Conduttori di macchinari per la cucitura
C000532_it_000	Conduttori di macchinari per il candeggio, la tintura e la lavatura di filati e tessuti
C000533_it_000	Conduttori di macchinari per la preparazione di pelliccia e cuoio
