C000001_sl_000	Vojaški poklici
C000072_sl_000	Inženirji/inženirke v industriji in proizvodnji
C000073_sl_000	Inženirji/inženirke gradbeništva
C000074_sl_000	Inženirji/inženirke varstva okolja
C000075_sl_000	Inženirji/inženirke strojništva
C000076_sl_000	Kemijski tehnologi/kemijske tehnologinje, živilski tehnologi/živilske tehnologinje ipd.
C000077_sl_000	Inženirji/inženirke rudarstva, metalurgije ipd.
C000078_sl_000	Strokovnjaki/strokovnjakinje tehnično-tehnoloških strok, d. n.
C000079_sl_000	Inženirji/inženirke na področjih elektrotehnologije
C000080_sl_000	Inženirji/inženirke elektrotehnike
C000081_sl_000	Inženirji/inženirke elektronike
C000082_sl_000	Inženirji/inženirke telekomunikacij
C000083_sl_000	Arhitekti/arhitektke, urbanisti/urbanistke, geodeti/geodetinje in oblikovalci/oblikovalke ipd.
C000084_sl_000	Gradbeni arhitekti/gradbene arhitektke
C000085_sl_000	Krajinski arhitekti/krajinske arhitektke
C000086_sl_000	Industrijski oblikovalci/industrijske oblikovalke in modni oblikovalci/modne oblikovalke
C000087_sl_000	Urbanisti/urbanistke
C000088_sl_000	Kartografi/kartografinje in geodeti/geodetinje ipd.
C000089_sl_000	Grafični in multimedijski oblikovalci/grafične in multimedijske oblikovalke
C000090_sl_000	Zdravstveni strokovnjaki/zdravstvene strokovnjakinje
C000091_sl_000	Zdravniki/zdravnice
C000092_sl_000	Splošni zdravniki/splošne zdravnice
C000093_sl_000	Zdravniki specialisti/zdravnice specialistke
C000094_sl_000	Strokovnjaki/strokovnjakinje za zdravstveno nego in babištvo
C000095_sl_000	Strokovnjaki/strokovnjakinje za zdravstveno nego
C000096_sl_000	Strokovnjaki/strokovnjakinje za babištvo
C000097_sl_000	Strokovnjaki/strokovnjakinje za tradicionalno in dopolnilno medicino
C000098_sl_000	Strokovnjaki/strokovnjakinje za tradicionalno in dopolnilno medicino
C000099_sl_000	Paramedicinsko osebje
C000100_sl_000	Paramedicinsko osebje
C000101_sl_000	Veterinarji/veterinarke
C000102_sl_000	Veterinarji/veterinarke
C000103_sl_000	Drugi zdravstveni strokovnjaki/druge zdravstvene strokovnjakinje
C000104_sl_000	Zobozdravniki/zobozdravnice
C000105_sl_000	Farmacevti/farmacevtke
C000106_sl_000	Strokovni sodelavci/strokovne sodelavke za okoljsko zdravstvo in higieno
C000107_sl_000	Fizioterapevti/fizioterapevtke
C000108_sl_000	Strokovnjaki/strokovnjakinje za dietno prehrano, za zdravo prehrano
C000109_sl_000	Avdiologi/avdiologinje in govorni terapevti/govorne terapevtke
C000110_sl_000	Optometristi/optometristke in očesni optiki/očesne optičarke
C000111_sl_000	Zdravstveni strokovnjaki/strokovnjakinje, d. n.
C000112_sl_000	Strokovnjaki/strokovnjakinje za vzgojo in izobraževanje
C000113_sl_000	Univerzitetni in visokošolski učitelji/univerzitetne in visokošolske učiteljice
C000114_sl_000	Univerzitetni in visokošolski učitelji/univerzitetne in visokošolske učiteljice
C000115_sl_000	Učitelji/učiteljice v poklicnem izobraževanju
C000116_sl_000	Učitelji/učiteljice v poklicnem izobraževanju
C000117_sl_000	Srednješolski učitelji/srednješolske učiteljice
C000118_sl_000	Srednješolski učitelji/srednješolske učiteljice
C000119_sl_000	Osnovnošolski učitelji/osnovnošolske učiteljice in vzgojitelji/vzgojiteljice predšolskih otrok
C000120_sl_000	Osnovnošolski učitelji/osnovnošolske učiteljice
C000121_sl_000	Vzgojitelji/vzgojiteljice predšolskih otrok
C000122_sl_000	Drugi strokovnjaki/druge strokovnjakinje za vzgojo in izobraževanje
C000123_sl_000	Strokovnjaki/strokovnjakinje za svetovanje in vzgojno-izobraževalne metode
C000124_sl_000	Učitelji/učiteljice za vzgojo in izobraževanje oseb s posebnimi potrebami
C000125_sl_000	Drugi učitelji jezikov/druge učiteljice jezikov
C000126_sl_000	Drugi učitelji glasbe/druge učiteljice glasbe
C000127_sl_000	Drugi učitelji umetnosti/druge učiteljice umetnosti
C000128_sl_000	Učitelji/učiteljice informacijske tehnologije
C000129_sl_000	Strokovnjaki/strokovnjakinje za vzgojo in izobraževanje, d. n.
C000130_sl_000	Strokovnjaki/strokovnjakinje za poslovanje in upravljanje
C000131_sl_000	Strokovnjaki/strokovnjakinje za finančno poslovanje
C000132_sl_000	Računovodje/računovodkinje
C000133_sl_000	Finančni, naložbeni svetovalci/finančne, naložbene svetovalke
C000134_sl_000	Finančni analitiki/finančne analitičarke
C000135_sl_000	Strokovnjaki/strokovnjakinje za upravljanje
C000136_sl_000	Poslovni in organizacijski analitiki/poslovne in organizacijske analitičarke
C000137_sl_000	Strokovnjaki/strokovnjakinje za upravljanje splošnih zadev
C000138_sl_000	Strokovnjaki/strokovnjakinje za kadre, analizo poklicnega dela ipd.
C000139_sl_000	Strokovnjaki/strokovnjakinje za usposabljanje in poklicni razvoj
C000140_sl_000	Strokovnjaki/strokovnjakinje za prodajo, trženje in odnose z javnostmi
C000141_sl_000	Strokovnjaki/strokovnjakinje za oglaševanja in trženje
C000142_sl_000	Strokovnjaki/strokovnjakinje za odnose z javnostmi
C000143_sl_000	Strokovnjaki/strokovnjakinje za prodajo tehničnih in medicinskih izdelkov (razen IKT)
C000144_sl_000	Strokovnjaki/strokovnjakinje za prodajo informacijske in komunikacijske tehnologije
C000145_sl_000	Strokovnjaki/strokovnjakinje za informacijske in komunikacijske tehnologije
C000146_sl_000	Razvijalci/razvijalke in analitiki/analitičarke programske opreme in računalniških aplikacij
C000147_sl_000	Sistemski analitiki/sistemske analitičarke
C000148_sl_000	Razvijalci/razvijalke programske opreme
C000149_sl_000	Razvijalci/razvijalke spletnih in multimedijskih vsebin
C000150_sl_000	Programerji/programerke računalniških aplikacij
C000151_sl_000	Razvijalci/razvijalke in analitiki/analitičarke programske opreme in računalniških aplikacij, d. n.
C000152_sl_000	Strokovnjaki/strokovnjakinje za podatkovne zbirke in računalniška omrežja
C000153_sl_000	Snovalci/snovalke in upravljavci/upravljavke podatkovnih zbirk
C000154_sl_000	Sistemski upravljavci/sistemske upravljavke
C000155_sl_000	Strokovnjaki/strokovnjakinje za računalniška omrežja
C000156_sl_000	Strokovnjaki/strokovnjakinje za podatkovne baze in računalniška omrežja, d. n.
C000157_sl_000	Strokovnjaki/strokovnjakinje za pravo, družboslovje in kulturo
C000158_sl_000	Pravni strokovnjaki/pravne strokovnjakinje
C000159_sl_000	Odvetniki/odvetnice
C000160_sl_000	Sodniki, sodnice
C000161_sl_000	Pravni strokovnjaki/pravne strokovnjakinje, d. n.
C000162_sl_000	Bibliotekarji/bibliotekarke, arhivarji/arhivarke in konservatorji/konservatorke
C000163_sl_000	Arhivarji/arhivarke in konservatorji/konservatorke
C000164_sl_000	Bibliotekarji/bibliotekarke, dokumentalisti/dokumentalistke ipd.
C000165_sl_000	Strokovnjaki/strokovnjakinje družbenih ved in poklici verskih delavcev/delavk
C000166_sl_000	Ekonomisti/ekonomistke
C000167_sl_000	Sociologi/sociologinje, antropologi/antropologinje ipd.
C000168_sl_000	Filozofi/filozofinje, zgodovinarji/zgodovinarke in politologi/politologinje
C000169_sl_000	Psihologi/psihologinje
C000170_sl_000	Socialni delavci/socialne delavke, svetovalci/svetovalke
C000171_sl_000	Poklici verskih delavcev/delavk
C000172_sl_000	Pisatelji/pisateljice, novinarji/novinarke in jezikoslovci/jezikoslovke
C000173_sl_000	Pisatelji/pisateljice ipd.
C000174_sl_000	Novinarji/novinarke
C000175_sl_000	Prevajalci/prevajalke, tolmači/tolmačke in drugi jezikoslovci/druge jezikoslovke
C000176_sl_000	Umetniški ustvarjalci, poustvarjalci/umetniške ustvarjalke, poustvarjalke
C000177_sl_000	Vizualni umetniki/vizualne umetnice
C000178_sl_000	Glasbeniki/glasbenice, pevci/pevke, skladatelji/skladateljice
C000179_sl_000	Plesalci/plesalke, koreografi/koreografke
C000180_sl_000	Filmski, gledališki direktorji in producenti/filmske, gledališče direktorice in producentke ipd.
C000181_sl_000	Igralci/igralke
C000182_sl_000	Napovedovalci/napovedovalke na radiu, televiziji in drugih medijih
C000183_sl_000	Umetniški ustvarjalci, poustvarjalci/umetniške ustvarjalke, poustvarjalke, d. n.
C000184_sl_000	Tehniki in drugi strokovni sodelavci/tehnice in druge strokovne sodelavke
C000185_sl_000	Tehniki/tehnice tehnično-tehnoloških strok
C000186_sl_000	Tehniki/tehnice tehnično-tehnoloških strok
C000187_sl_000	Tehniki/tehnice za fiziko, kemijo ipd.
C000188_sl_000	Tehniki/tehnice za gradbeništvo, geodezijo ipd.
C000189_sl_000	Tehniki/tehnice za elektrotehniko ipd.
C000190_sl_000	Tehniki/tehnice za elektroniko
C000191_sl_000	Tehniki/tehnice za strojništvo ipd.
C000192_sl_000	Tehniki/tehnice za kemijsko tehnologijo ipd.
C000193_sl_000	Tehniki/tehnice za rudarstvo, metalurgijo ipd.
C000194_sl_000	Tehnični risarji/tehnične risarke
C000195_sl_000	Tehniki/tehnice tehnično-tehnoloških strok, d. n.
C000196_sl_000	Nadzorniki/nadzornice v rudarstvu, predelovalnih dejavnostih in gradbeništvu
C000197_sl_000	Rudarski nadzorniki/rudarske nadzornice
C000198_sl_000	Nadzorniki/nadzornice v predelovalnih dejavnostih
C000199_sl_000	gradbeni nadzorniki/gradbene nadzornice
C000200_sl_000	Tehniki/tehnice za nadzor procesov in naprav
C000201_sl_000	Upravljavci/upravljavke energetskih procesnih strojev
C000202_sl_000	Upravljavci/upravljavke sežigalnih naprav, čistilnih naprav za vodo
C000203_sl_000	Kontrolorji/kontrolorke naprav za kemično predelavo
C000204_sl_000	Upravljavci/upravljavke naprav za predelavo nafte in zemeljskega plina
C000205_sl_000	Kontrolorji/kontrolorke metalurških proizvodnih procesov
C000206_sl_000	Tehniki/tehnice za nadzor procesov in naprav, d. n.
C000207_sl_000	Laboratorijski tehniki/laboratorijske tehnice v biomedicini, biologiji, farmakologiji ipd.
C000208_sl_000	Laboratorijski tehniki/laboratorijske tehnice v biomedicini, biologiji, farmakologiji (razen v zdravstvu)
C000209_sl_000	Laboratorijski tehniki/laboratorijske tehnice v kmetijstvu
C000210_sl_000	Laboratorijski tehniki/laboratorijske tehnice v gozdarstvu
C000211_sl_000	Kapitani/kapitanke ladij, piloti/pilotke letal, kontrolorji/kontrolorke zračnega prometa ipd.
C000212_sl_000	Častniki/častnice ladijskega stroja ipd.
C000213_sl_000	Kapitani/kapitanke ladij ipd.
C000214_sl_000	Piloti/pilotke letal ipd.
C000215_sl_000	Kontrolorji/kontrolorke zračnega prometa
C000216_sl_000	Tehniki/tehnice za varnost zračnega prometa
C000217_sl_000	Tehniki in strokovni sodelavci/tehnice in strokovne sodelavke v zdravstvu
C000218_sl_000	Tehniki/tehnice v zdravstvu in farmaciji
C000219_sl_000	Tehniki/tehnice za opremo za medicinsko slikanje in terapevtsko opremo
C000220_sl_000	Laboratorijski tehniki/laboratorijske tehnice v zdravstvu in patologiji
C000221_sl_000	Farmacevtski tehniki, asistenti/farmacevtske tehnice, asistentke
C000222_sl_000	Zdravstveni tehniki/zdravstvene tehnice in tehniki/tehnice za zobno protetiko
C000223_sl_000	Strokovni sodelavci/strokovne sodelavke za zdravstveno in babiško nego
C000224_sl_000	Strokovni sodelavci/strokovne sodelavke za zdravstveno nego
C000225_sl_000	Strokovni sodelavci/strokovne sodelavke za babištvo
C000226_sl_000	Strokovni sodelavci/strokovne sodelavke za tradicionalno in dopolnilno medicino
C000227_sl_000	Strokovni sodelavci/strokovne sodelavke za tradicionalno in dopolnilno medicino
C000228_sl_000	Veterinarski tehniki in asistenti/veterinarske tehnice in asistentke
C000229_sl_000	Veterinarski tehniki, asistenti/veterinarske tehnice, asistentke
C000230_sl_000	Drugi tehniki in strokovni sodelavci/druge tehnice in strokovne sodelavke v zdravstvu
C000231_sl_000	Zobozdravstveni asistenti/zobozdravstvene asistentke in terapevti/terapevtke
C000232_sl_000	Tehniki/tehnice za vodenje zdravstvenih kartotek in zdravstvenih podatkov
C000233_sl_000	Patronažni zdravstveni delavci/patronažne zdravstvene delavke
C000234_sl_000	Očesni optiki/očesne optičarke
C000235_sl_000	Fizioterapevtski tehniki/fizioterapevtske tehnice in fizioterapevtski asistenti/fizioterapevtske asistentke
C000236_sl_000	Asistenti/asistentke za zdravstveno nego
C000237_sl_000	Inšpektorji/inšpektorice in strokovni sodelavci/strokovne sodelavke za okoljsko zdravstvo, higieno, zdravstvo pri delu
C000238_sl_000	Reševalno osebje
C000239_sl_000	Tehniki in strokovni sodelavci/tehnice in strokovne sodelavke v zdravstvu, d. n.
C000240_sl_000	Strokovni sodelavci/strokovne sodelavke za poslovanje in upravljanje
C000241_sl_000	Strokovni sodelavci/strokovne sodelavke za finančne in matematične postopke
C000242_sl_000	Borzni posredniki/borzne posrednice
C000243_sl_000	Kreditni posredniki in zastopniki/kreditne posrednice in zastopnice
C000244_sl_000	Knjigovodje/knjigovodkinje
C000245_sl_000	Strokovni sodelavci/strokovne sodelavke za statistične, računovodske, zavarovalniške izračune in prikaze ipd.
C000246_sl_000	Cenilci/cenilke in strokovnjaki/strokovnjakinje za ocenitev škode
C000247_sl_000	Zastopniki in posredniki/zastopnice in posrednice za prodajo in nabavo
C000248_sl_000	Zavarovalniški zastopniki/zavarovalniške zastopnice
C000249_sl_000	Komercialni zastopniki/komercialne zastopnice za prodajo ipd.
C000250_sl_000	Nabavni referenti/nabavne referentke
C000251_sl_000	Posredniki/posrednice za prevozništvo, trgovino ipd.
C000252_sl_000	Posredniki/posrednice za poslovne storitve ipd.
C000253_sl_000	Špediterji/špediterke ipd.
C000254_sl_000	Organizatorji/organizatorke konferenc in dogodkov
C000255_sl_000	Posredniki/posrednice za zaposlovanje ipd.
C000256_sl_000	Posredniki/posrednice, upravljavci/upravljavke nepremičnin
C000257_sl_000	Posredniki/posrednice za poslovne storitve, d. n.
C000258_sl_000	Splošni in specializirani poslovni sekretarji/splošne in specializirane poslovne sekretarke
C000259_sl_000	Vodje pisarne
C000260_sl_000	Pravni sekretarji/pravne sekretarke
C000261_sl_000	Sekretarji/sekretarke v upravi in poslovodstvu
C000262_sl_000	Sekretarji/sekretarke v zdravstvu
C000263_sl_000	Strokovni sodelavci/strokovne sodelavke na področju državne regulative
C000264_sl_000	Carinski inšpektorji/carinske inšpektorice in mejni inšpektorji/mejne inšpektorice
C000265_sl_000	Davkarji/davkarice
C000266_sl_000	Referenti/referentke za socialno varnost ipd.
C000267_sl_000	Referenti/referentke za koncesije, dovoljenja ipd.
C000268_sl_000	Policijski preiskovalci/policijske preiskovalke in detektivi/detektivke
C000269_sl_000	Strokovni državni uslužbenci/strokovne državne uslužbenke, d. n.
C000270_sl_000	Strokovni sodelavci/strokovne sodelavke za pravne zadeve, socialno delo, šport, kulturo, umetnost ipd.
C000271_sl_000	Strokovni sodelavci/strokovne sodelavke za pravne zadeve, socialno delo in verske skupnosti
C000272_sl_000	Strokovni sodelavci/strokovne sodelavke za pravne zadeve ipd.
C000273_sl_000	Strokovni sodelavci/strokovne sodelavke za socialno delo
C000274_sl_000	Člani/članice samostanske skupnosti, duhovnikovi pomočniki/duhovnikove pomočnice ipd.
C000275_sl_000	Športni delavci/športne delavke in strokovni delavci/strokovne delavke fitnesa
C000276_sl_000	Športniki/športnice
C000277_sl_000	Športni trenerji, inštruktorji, funkcionarji/športne trenerke, inštruktorice, funkcionarke
C000278_sl_000	Inštruktorji/inštruktorice fitnesa in rekreacije in vodje športnih programov/voditeljice športnih programov
C000279_sl_000	Strokovni sodelavci/strokovne sodelavke za umetniške in kulturne dejavnosti ter kulinariko
C000280_sl_000	Fotografi/fotografinje
C000281_sl_000	Notranji oblikovalci/notranje oblikovalke in dekoraterji/dekoraterke
C000282_sl_000	Strokovni sodelavci/strokovne sodelavke v galerijah, muzejih in knjižnicah
C000283_sl_000	Vodje kuhinj
C000284_sl_000	Drugi strokovni sodelavci/druge strokovne sodelavke za umetniško in kulturno dejavnost
C000285_sl_000	Tehniki/tehnice na področju informacijske in komunikacijske tehnologije
C000286_sl_000	Tehniki/tehnice za dejavnosti na področju informacijske in komunikacijske tehnologije ter podporo uporabnikom
C000287_sl_000	Tehniki/tehnice za dejavnosti na področju informacijske in komunikacijske tehnologije
C000288_sl_000	Tehniki/tehnice za podporo uporabnikom na področju informacijske in komunikacijske tehnologije
C000289_sl_000	Tehniki/tehnice za računalniška omrežja in računalniške sisteme
C000290_sl_000	Tehniki/tehnice za spletne strani
C000291_sl_000	Tehniki/tehnice za telekomunikacije in oddajanje
C000292_sl_000	Tehniki/tehnice za oddajanje in avdiovizualno snemanje
C000293_sl_000	Tehniki/tehnice za elektroniko in telekomunikacije
C000294_sl_000	Uradniki/uradnice
C000295_sl_000	Uradniki/uradnice za pisarniško poslovanje
C000296_sl_000	Uradniki/uradnice za splošno pisarniško poslovanje
C000297_sl_000	Uradniki/uradnice za splošno pisarniško poslovanje
C000298_sl_000	Tajniki/tajnice (splošno)
C000299_sl_000	Tajniki/tajnice (splošno)
C000300_sl_000	Strojepisci/strojepiske ipd.
C000301_sl_000	Strojepisci/strojepiske in urejevalci/urejevalke besedil
C000302_sl_000	Vnašalci/vnašalke podatkov
C000303_sl_000	Uradniki/uradnice za poslovanje s strankami
C000304_sl_000	Uradniki/uradnice za denarno in podobno poslovanje
C000305_sl_000	Bančni uradniki/bančne uradnice pri okencu ipd.
C000306_sl_000	Sprejemalci/sprejemalke stav, krupjeji/krupjejke ipd.
C000307_sl_000	Zastavljalničarji/zastavljalničarke in posojevalci/posojevalke denarja
C000308_sl_000	Izterjevalci/izterjevalke dolgov ipd.
C000309_sl_000	Uradniki/uradnice v turističnih in potovalnih agencijah, receptorji/receptorke, telefonisti/telefonistke ipd.
C000310_sl_000	Zastopniki/zastopnice za potovanja in uradniki/uradnice v turističnih in potovalnih agencijah
C000311_sl_000	Posredovalci informacij/posredovalke informacij v klicnih centrih
C000312_sl_000	Telefonisti/telefonistke
C000313_sl_000	Hotelski receptorji/hotelske receptorke
C000314_sl_000	Uradniki/uradnice za reševanje pritožb in stike s strankami
C000315_sl_000	Receptorji/receptorke (za splošne zadeve)
C000316_sl_000	Anketarji/anketarke za izvajanje splošnih in tržnih raziskav
C000317_sl_000	Uradniki/uradnice v turističnih in potovalnih agencijah, receptorji/receptorke, telefonisti/telefonistke ipd., d. n.
C000318_sl_000	Uradniki/uradnice v računovodstvu, knjigovodstvu, statistiki, financah, skladiščih, prometu ipd.
C000319_sl_000	Uradniki/uradnice v računovodstvu, knjigovodstvu, statistiki, financah ipd.
C000320_sl_000	Uradniki/uradnice v računovodstvu in knjigovodstvu
C000321_sl_000	Uradniki/uradnice v statistiki, financah, zavarovalništvu
C000322_sl_000	Uradniki/uradnice za plače
C000323_sl_000	Uradniki/uradnice v skladiščih in prometu
C000324_sl_000	Skladiščniki/skladiščnice ipd.
C000325_sl_000	Uradniki/uradnice za planiranje proizvodnje ipd.
C000326_sl_000	Uradniki/uradnice za promet
C000327_sl_000	Drugi uradniki/druge uradnice za pisarniško poslovanje
C000328_sl_000	Drugi uradniki/druge uradnice za pisarniško poslovanje
C000329_sl_000	Knjižnični uradniki/knjižnične uradnice
C000330_sl_000	Usmerjevalci/usmerjevalke in raznašalci/raznašalke pošte ipd.
C000331_sl_000	Koderji/koderke, korektorji/korektorice ipd.
C000332_sl_000	Javni pisarji/javne pisarke ipd.
C000333_sl_000	Arhivski uradniki/arhivske uradnice, uradniki/uradnice za kopiranje dokumentov ipd.
C000334_sl_000	Uradniki/uradnice za kadrovske evidence
C000335_sl_000	Drugi uradniki/druge uradnice za pisarniško poslovanje, d. n.
C000336_sl_000	Poklici za storitve, prodajalci/prodajalke
C000337_sl_000	Poklici za osebne storitve
C000338_sl_000	Stevardi/stevardese, sprevodniki/sprevodnice in vodniki/vodnice
C000339_sl_000	Stevardi/stevardese, spremljevalci/spremljevalke
C000340_sl_000	Sprevodniki/sprevodnice
C000341_sl_000	Vodniki/vodnice
C000342_sl_000	Kuharji/kuharice
C000343_sl_000	Kuharji/kuharice
C000344_sl_000	Natakarji/natakarice ipd.
C000345_sl_000	Natakarji/natakarice
C000346_sl_000	Točaji/točajke
C000347_sl_000	Frizerji/frizerke, kozmetiki/kozmetičarke ipd.
C000348_sl_000	Frizerji/frizerke
C000349_sl_000	Kozmetiki/kozmetičarke ipd.
C000350_sl_000	Poklici za gospodinjska dela, hišniki/hišnice
C000351_sl_000	Delovodje v dejavnosti čiščenja in za gospodinjstvo v uradih, hotelih in drugih ustanovah
C000352_sl_000	Gospodinjci/gospodinje v zasebnem gospodinjstvu
C000353_sl_000	Hišniki/hišnice
C000354_sl_000	Drugi poklici za osebne storitve
C000355_sl_000	Astrologi/astrologinje, vedeževalci/vedeževalke ipd.
C000356_sl_000	Osebni spremljevalci/osebne spremljevalke
C000357_sl_000	Grobarji/grobarke, pogrebniki/pogrebnice ipd.
C000358_sl_000	Negovalci/negovalke, oskrbniki/oskrbnice malih živali
C000359_sl_000	Vozniški inštruktorji/vozniške inštruktorice
C000360_sl_000	Poklici za osebne storitve, d. n.
C000361_sl_000	Prodajalci/prodajalke
C000362_sl_000	Poulični prodajalci/poulične prodajalke, prodajalci/prodajalke na stojnicah
C000363_sl_000	Prodajalci/prodajalke na stojnicah
C000364_sl_000	Poulični prodajalci/poulične prodajalke hrane
C000365_sl_000	Prodajalci/prodajalke v trgovinah
C000366_sl_000	Trgovci/trgovke v lastnih trgovinah
C000367_sl_000	Trgovski poslovodja/trgovska poslovodkinja
C000368_sl_000	Prodajalci/prodajalke
C000369_sl_000	Blagajniki/blagajničarke, prodajalci/prodajalke vstopnic ipd.
C000370_sl_000	Blagajniki/blagajničarke, prodajalci/prodajalke vstopnic ipd.
C000371_sl_000	Drugi prodajalci/druge prodajalke
C000372_sl_000	Modeli ipd.
C000373_sl_000	Demonstratorji/demonstratorke za prodajo
C000374_sl_000	Akviziterji/akviziterke
C000375_sl_000	Prodajalci/prodajalke po telefonu
C000376_sl_000	Prodajalci/prodajalke na bencinskih črpalkah
C000377_sl_000	Prodajalci/prodajalke hitre hrane
C000378_sl_000	Prodajalci/prodajalke, d. n.
C000379_sl_000	Poklici za zdravstveno in socialno oskrbo, varstvo otrok in pomoč pri pouku
C000380_sl_000	Varuhi/varuhinje otrok in pomočniki/pomočnice učiteljev/učiteljic
C000381_sl_000	Varuhi/varuhinje otrok
C000382_sl_000	Pomočniki/pomočnice učiteljev/učiteljic
C000383_sl_000	Poklici za socialno oskrbo
C000384_sl_000	Pomočniki/pomočnice za zdravstveno nego
C000385_sl_000	Poklici za zdravstveno in socialno oskrbo na domu ipd.
C000386_sl_000	Poklici za socialno oskrbo, d. n.
C000387_sl_000	Poklici za varovanje oseb in premoženja
C000388_sl_000	Poklici za varovanje oseb in premoženja
C000389_sl_000	Gasilci/gasilke ipd.
C000390_sl_000	Policisti/policistke
C000391_sl_000	Pazniki/paznice v zaporu
