Q000001	Weinbautechniker/in (DI)
Q000268	Bootbauer/in
Q000269	Drechsler/in
Q000270	Drechsler/in
Q000271	Holzbildhauer/in
Q000272	Holzgestalter/in
Q000273	Bildhauer/in (mit Lehrabschluss)
Q000274	Bildhauer/in
Q000275	Klavierbauer/in
Q000276	Orgelbauer/in
Q000277	Geigenbauer/in
Q000278	Streich- und Saiteninstrumentenerzeuger/in
Q000279	Streich- und Saiteninstrumentenbauer/in - Bogen
Q000280	Streich- und Saiteninstrumentenbauer/in - Bogen
Q000281	Bürstenmacher/in
Q000282	Spielwarenmacher/in
Q000283	Gerberhelfer/in
Q000284	Gerber/in - Rotgerben
Q000285	Gerber/in - Weiß- und Sämischgerben
Q000286	Färber/in (Lederzurichtung und -färberei)
Q000287	Lederarbeiter/in (Lederzurichtung und -färberei)
Q000288	Leder- und Lederwarenfärber/in
Q000289	Spanner/in (Lederzurichtung und -färberei)
Q000290	Rauhwarenzurichter/in
Q000291	Lederschärfer/in
Q000292	Lederpresser/in
Q000293	Flachstepper/in
Q000294	Köderarbeiter/in
Q000295	Ledernäher/in
Q000296	Lederstepper/in
Q000297	Maschinennäher/in (Lederwarenerzeugung/Taschnerei)
Q000298	Abnehmer/in
Q000299	Fleyer/in
Q000300	Krempler/in
Q000301	Ringspinner/in
Q000302	Winder/in
Q000303	Zwirner/in
Q000304	Seiler/in
Q000305	Schärer/in
Q000306	Schlichter/in
Q000307	Aufstecker/in
Q000308	Einzieher/in
Q000309	Andreher/in
Q000310	Webermeister/in
Q000311	Webstuhlvorrichter/in
Q000312	Stuhlputzer/in (Weberei)
Q000313	Textiltechniker/in - Webtechnik
Q000314	Textilgestalter/in - Weberei
Q000315	Textilgestalter/in - Weberei
Q000316	Adjustierer/in (Webgutnachbearbeitung)
Q000317	Ausnäher/in
Q000318	Putzer/in
Q000319	Stopfer/in
Q000320	Textilarbeiter/in
Q000321	Webereiarbeiter/in
Q000322	Raschelwirker/in
Q000323	Rundstuhlwirker/in
Q000324	Wirkwarenerzeuger/in
Q000325	Textiltechniker/in - Maschentechnik
Q000326	Automatenstricker/in
Q000327	Linkslinksstricker/in
Q000328	Rundstricker/in
Q000329	Stricker/in
Q000330	Strickermeister/in (Strickwarenerzeugung)
Q000331	Strumpfstricker/in
Q000332	Strickwarenerzeuger/in
Q000333	Textilgestalter/in - Strickwaren
Q000334	Textilgestalter/in - Strickwaren
Q000335	Repasseur/in
Q000336	Strumpfrepasseur/in
Q000337	Adjustierer/in (Wirkerei/Strickerei)
Q000338	Durchseher/in (Wirkerei/Strickerei)
Q000339	Kettler/in
Q000340	Strickereiarbeiter/in
Q000341	Wirkereiarbeiter/in
Q000342	Adjustierer/in (Posamentenerzeugung)
Q000343	Chenilledreher/in
Q000344	Fransenknüpfer/in
Q000345	Galonmaschinenarbeiter/in
Q000346	Gummibandweber/in (Posamentenerzeugung)
Q000347	Gummiumspinner/in
Q000348	Posamentierarbeiter/in
Q000349	Posamentierer/in
Q000350	Textilgestalter/in - Posamentiererei
Q000351	Textilgestalter/in - Posamentiererei
Q000352	Netzmacher/in
Q000353	Textilverflechter/in
Q000354	Maschinsticker/in
Q000355	Sticker-Werkmeister/in
Q000356	Stickereiarbeiter/in
Q000357	Vordrucker/in
Q000358	Nachseher/in
Q000359	Textilgestalter/in - Stickerei
Q000360	Textilgestalter/in - Stickerei
Q000361	Färbereiarbeiter/in
Q000362	Bekleidungsfertiger/in
Q000363	Bekleidungsfertiger/in
Q000364	Bekleidungsgestalter/in - Herrenbekleidung
Q000365	Bekleidungsgestalter/in - Herrenbekleidung
Q000366	Damen- und Herrenschneider/in
Q000367	Schneidermeister/in
Q000368	Damenschneider/in
Q000369	Direktrice (Produktionsleiter)
Q000370	Hausschneider/in
Q000371	Herausschneider/in (Damenschneiderei)
Q000372	Musterschneider/in
Q000373	Bekleidungsgestalter/in - Damenbekleidung
Q000374	Bekleidungsgestalter/in - Damenbekleidung
Q000375	Konfektionsarbeiter/in
Q000376	Bekleidungsgestalter/in - Kürschner/in und Säckler/in
Q000377	Bekleidungsgestalter/in - Kürschner/in und Säckler/in
Q000378	Säckler/in (Lederbekleidungserzeuger/in)
Q000379	Zuschneider/in (Lederbekleidungserzeugung)
Q000380	Handschuhmacher/in
Q000381	Modist/in
Q000382	Fahrzeugtapezierer/in
Q000383	Polster(er)in
Q000384	Tapezierer/in
Q000385	Polster(er)in
Q000386	Teppichknüpfer/in
Q000387	Teppichschneider/in
Q000388	Reparaturschuhmacher/in
Q000389	Schuhmacher/in
Q000390	Schuhfertiger/in
Q000391	Schuhmacher/in
Q000392	Schuhfertiger/in
Q000393	Orthopädieschuhmacher/in
Q000394	Orthopädieschuhmacher/in
Q000395	Schuharbeiter/in
Q000396	Schuhkleber/in
Q000397	Schuhstepper/in
Q000398	Sohlenstanzer/in
Q000399	Stanzer/in (Schuherzeugung)
Q000400	Stepper/in (Schuherzeugung)
Q000401	Tischarbeiter/in (Schuherzeugung)
Q000402	Zuschneider/in (Schuherzeugung)
Q000403	Zwicker/in
Q000404	Hausschuhmacher/in
Q000405	Holzstofferzeugungsarbeiter/in
Q000406	Papierarbeiter/in
Q000407	Papiermaschinenarbeiter/in
Q000408	Verpackungsmittelmechaniker/in
Q000409	Verpackungstechniker/in
Q000410	Verpackungstechniker/in
Q000411	Buchbinder/in
Q000412	Buchbindermeister/in
Q000413	Einleger/in (Buchbinderei)
Q000414	Falzer/in
Q000415	Tischarbeiter/in (Buchbinderei)
Q000416	Buchbindetechniker/in - Buchbinderei
Q000417	Buchbindetechniker/in - Postpresstechnologie
Q000418	Buchbinder/in
Q000419	Buchbindetechniker/in - Buchbinderei
Q000420	Buchbindetechniker/in - Postpresstechnologie
Q000421	Kartonagenarbeiter/in
Q000422	Kartonagenmeister/in
Q000423	Kartonagewarenerzeuger/in
Q000424	Etui- und Kassettenerzeuger/in
Q000425	Kartonagewarenerzeuger/in
Q000426	Papierschneider/in
Q000427	Schriftsetzer/in
Q000428	Kartograf/in (mit Lehrabschluss)
Q000429	Fotograf/in
Q000430	Fotolaborant/in
Q000431	Offsetkopierer/in
Q000432	Offsetdrucker/in
Q000433	Kleinoffsetdrucker/in
Q000434	Siebdrucker/in
Q000435	Flexodrucker/in
Q000436	Textildrucker/in
Q000437	Chemie-Werkmeister/in
Q000438	Chemiefacharbeiter/in
Q000439	Raffinationsarbeiter/in
Q000440	Chemiewerker/in
Q000441	Zündmittelarbeiter/in
Q000442	Pharmatechnolog(e)in
Q000443	Pharmatechnolog(e)in
Q000444	Modelleur/in (Wachszieherei/Kerzenmacherei)
Q000445	Wachszieher/in
Q000446	Vulkaniseur/in
Q000447	Vulkaniseurmeister/in
Q000448	Reifen- und Vulkanisationstechniker/in
Q000449	Reifen- und Vulkanisationstechniker/in
Q000450	Gummiarbeiter/in
Q000451	Extruderführer/in
Q000452	Schallplattenpresser/in
Q000453	Laminierer/in
Q000454	Müller/in
Q000455	Zuckerarbeiter/in
Q000456	Bäcker/in
Q000457	Ofenarbeiter/in (Bäckerei)
Q000458	Bäcker/in
Q000459	Bonbon- und Konfektmacher/in
Q000460	Chocolatier/Chocolatière
Q000461	Bonbon- und Konfektmacher/in
Q000462	Chocolatier/Chocolatière
Q000463	Teigwarenarbeiter/in
Q000464	Schlächter/in
Q000465	Fleischarbeiter/in
Q000466	Molkereiarbeiter/in
Q000467	Milchtechnologe/-technologin
Q000468	Milchtechnologe/-technologin
Q000469	Fettwarenarbeiter/in
Q000470	Destillateur/in
Q000471	Destillateur/in
Q000472	Brauer/in
Q000473	Brau- und Getränketechniker/in
Q000474	Brau- und Getränketechniker/in
Q000475	Obst- und Gemüsekonservierer/in
Q000476	Obst- und Gemüsekonservierer/in
Q000477	Nahrungs- und Genussmittelarbeiter/in
Q000478	Dampfkesselwärter/in
Q000479	Maschinist/in
Q000480	Laufkranführer/in
Q000481	Turmdrehkranführer/in
Q000482	Autokranführer/in
Q000483	Baggerführer/in
Q000484	Gerätefahrer/in
Q000485	Ladegerätführer/in
Q000486	Schwimmbaggerführer/in
Q000487	Walzenführer/in
Q000488	Heizer/in
Q000489	Verpacker/in
Q000490	Lagerarbeiter/in
Q000491	Regalbetreuer/in
Q000492	Versandarbeiter/in
Q000493	Kommissionierer/in
Q000494	Posthilfsbedienstet(er)e (Umleitung/Verladung)
Q000495	Munitionsräumungsarbeiter/in
Q000496	Buchhändler/in
Q000497	Autoverkäufer/in
Q000498	Trafikverkäufer/in
Q000499	Tabakwarenverkäufer/in
Q000500	Abteilungsleiter/in (Handel)
Q000501	Möbelverkäufer/in
Q000502	Einzelhandelskaufmann/-frau
Q000503	Souvenirverkäufer/in
Q000504	Filialleiter-Stellvertreter/in (Lebensmittel)
Q000505	Einrichtungsberater/in
Q000506	Pharmazeutisch-kaufmännisch(er)e Assistent/in
Q000507	Viehhändler/in
Q000508	Einzelhandelskaufmann/-frau - Allgemeiner Einzelhandel
Q000509	Filialleiter/in-Stellvertreter/in
Q000510	Bereichsleiter/in (Verkauf)
Q000511	Pharmazeutisch-kaufmännisch(er)e Assistent/in
Q000512	Einzelhandelskaufmann/-frau - Allgemeiner Einzelhandel
Q000513	Marktfahrer/in
Q000514	Tankstellenleiter/in
Q000515	Einkäufer/in (Handel)
Q000516	Handelsvertreter/in
Q000517	Pharmareferent/in
Q000518	Kundenberater/in
Q000519	Brand Manager/in
Q000520	Werbefachmann/-frau
Q000521	Werbeleiter/in
Q000522	Kundenbetreuer/in
Q000523	Verkaufsberater/in
Q000524	Werbetexter/in
Q000525	Telefonverkäufer/in
Q000526	Marketingassistent/in
Q000527	Interessenvertreter/in (Lobbyist/in)
Q000528	Kommunikations-Manager/in
Q000529	Mediaplaner/in
Q000530	Visual Merchandiser (m./w.)
Q000531	Customer Relationship Manager/in
Q000532	Konsumentenberater/in
Q000533	Schätzmeister/in
Q000534	Auktionator/in
Q000535	Informationsbroker/in
Q000536	Kunstberater/in
Q000537	Kunsthändler/in
Q000538	Immobilienkaufmann/-frau - Makler
Q000539	Immobilienkaufmann/-frau - Makler
Q000540	Gefahrgutbeauftragt(er)e
Q000541	Zugbegleiter/in
Q000542	Bahnhelfer/in
Q000543	Schrankenwärter/in
Q000544	Seilbahnfachmann/-frau
Q000545	Autobuslenker/in
Q000546	Pkw-Lenker/in
Q000547	Taxichauffeur/in
Q000548	Botendienstfahrer/in
Q000549	Betonmischerfahrer/in
Q000550	Kutscher/in
Q000551	Fährmann/-frau
Q000552	Steuermann/-frau
Q000553	Matros(e)in für Binnenschifffahrt
Q000554	Matros(e)in für Binnenschifffahrt
Q000555	Hafenmeister/in
Q000556	Fluglehrer/in
Q000557	Hubschrauberpilot/in
Q000558	Flughafenstationsleiter/in
Q000559	Flugverkehrskontrollor/in
Q000560	Speditionsfachmann/-frau
Q000561	Speditionskaufmann/-frau
Q000562	Zolldeklarant/in
Q000563	Speditionskaufmann/-frau
Q000564	Steward/Hostess
Q000565	Fremdenverkehrskaufmann/-frau
Q000566	Reiseberater/in
Q000567	Transportarbeiter/in
Q000568	Gaststättenkaufmann/-frau
Q000569	Catering-Assistent/in
Q000570	Veranstaltungsassistent/in
Q000571	Veranstaltungsleiter/in
Q000572	Veranstaltungsorganisator/in
Q000573	Küchenleiter/in
Q000574	Hotelpraktikant/in
Q000575	Betriebsdienstleistungskaufmann/-frau
Q000576	Gästebetreuer/in
Q000577	Hotelkaufmann/-frau (Rezeptionist/in)
Q000578	Betriebsdienstleister/in
Q000579	Hotel- und Restaurantfachmann/-frau
Q000580	Betriebsdienstleistungskaufmann/-frau
Q000581	Hotelkaufmann/-frau
Q000582	Betriebsdienstleister/in
Q000583	Hotel- und Restaurantfachmann/-frau
Q000584	Aushilfskellner/in
Q000585	Chef de rang (m./w.)
Q000586	Kellner/in
Q000587	Oberkellner/in
Q000588	Restaurantfachmann/-frau
Q000589	Restaurantfachmann/-frau
Q000590	Bäckereibursch/-mädchen
Q000591	Barmann/-dame
Q000592	Barista (m./w.)
Q000593	Hotelportier/in
Q000594	Flugbegleiter/in
Q000595	Diätkoch/-köchin
Q000596	Systemgastronomiefachmann/-frau
Q000597	Gastronomiefachmann/-frau
Q000598	Koch/Köchin
Q000599	Systemgastronomiefachmann/-frau
Q000600	Gastronomiefachmann/-frau
Q000601	Koch/Köchin (Privathaushalt)
Q000602	Gastgewerbliche Hilfskraft (m./w.)
Q000603	Gesellschafter/in
Q000604	Ankleider/in
Q000605	Babysitter/in
Q000606	Hausgehilf(e)in
Q000607	Kindermädchen/Kinderbetreuer
Q000608	Au-pair-Kraft (m./w.)
Q000609	Hausmeister/in
Q000610	Hauswart/in
Q000611	Gemeindearbeiter/in
Q000612	Fassadenreiniger/in
Q000613	Fensterputzer/in
Q000614	Gebäudereiniger-Vorarbeiter/in
Q000615	WC-/Sanitäranlagenbetreuer/in
Q000616	Grundreiniger/in
Q000617	Raumpfleger/in
Q000618	Reinigungskraft (m./w.)
Q000619	Maschinenwäscher/in
Q000620	Wäscher/in
Q000621	Wäschereiarbeiter/in
Q000622	Wäschereiaufseher/in
Q000623	Produktionsleiter/in (Wäscherei)
Q000624	Bügler/in (Büglerei)
Q000625	Maschinenbügler/in
Q000626	Kanalreiniger/in
Q000627	Straßenarbeiter/in
Q000628	Wagenpfleger/in
Q000629	Reinigungsarbeiter/in
Q000630	Flugzeugkabinenreiniger/in
Q000631	Maschinenreiniger/in
Q000632	Herrenfriseur/in
Q000633	Perückenmacher/in
Q000634	Friseur/in
Q000635	Dipl. Kosmetiker/in
Q000636	Kosmetiker/in
Q000637	Visagist/in
Q000638	Kosmetiker/in
Q000639	Friseurhilfskraft (m./w.)
Q000640	Badewärter/in
Q000641	Bestatter/in
Q000642	Bestattungsgehilf(e)in
Q000643	Schädlingsbekämpfer/in
Q000644	Schädlingsbekämpfer/in
Q000645	Aufseher/in
Q000646	Platzwart/in
Q000647	Portier/in
Q000648	Türsteher/in (Portiere/Wächter)
Q000649	Qualifiziert(er)e Sicherheits-Ordner/in
Q000650	Privatdetektiv/in
Q000651	Croupier/e
Q000652	Dressman (Mannequin)
Q000653	Fremdenführer/in
Q000654	Tour guide (m./w.)
Q000655	Platzanweiser/in
Q000656	Plakatierer/in
Q000657	Schaustellergehilf(e)in
Q000658	Schuhputzer/in
Q000659	Prospektverteiler/in
Q000660	Bergtechniker/in (DI)
Q000661	Hydrotechniker/in (Hydrolog(e)in) (DI)
Q000662	Hüttentechniker/in - Metallurgie (DI)
Q000663	Gießereitechniker/in
Q000664	Hüttentechniker/in - Metallurgie (Ing)
Q000665	Galvanotechniker/in
Q000666	Architekt/in (DI)
Q000667	Regionalwissenschafter/in (DI)
Q000668	Architekt/in (Mag.arch.)
Q000669	Architekt/in
Q000670	Bauleiter/in (DI)
Q000671	Bauingenieur/in (DI)
Q000672	Wirtschaftsingenieur/in - Bauwesen (DI)
Q000673	Straßenbautechniker/in (DI)
Q000674	Baustellenleiter/in (DI)
Q000675	Bautechniker/in-Gebäudetechnik (DI)
Q000676	Bauführer/in (Ing)
Q000677	Bauleiter/in (Ing)
Q000678	Baumeister/in (Ing)
Q000679	Bautechniker/in (Ing)
Q000680	Baustellenleiter/in (Ing)
Q000681	Baukalkulant/in (Ing)
Q000682	Bauführer/in
Q000683	Bauleiter/in
Q000684	Bautechniker/in
Q000685	Baustellenleiter/in
Q000686	Vermessungstechniker/in (Ing)
Q000687	Vermessungstechniker/in
Q000688	Maschinenbauingenieur/in (DI)
Q000689	Installationstechniker/in - Maschinenbau (DI)
Q000690	Kfz-Bautechniker/in (DI)
Q000691	Maschinenbautechniker/in (Ing)
Q000692	Maschinentechniker/in (Ing)
Q000693	Teilkonstrukteur/in (Ing)
Q000694	Qualitätssicherungstechniker/in (Ing)
Q000695	CAD-Konstrukteur/in (Ing)
Q000696	Mechatroniker/in (Ing)
Q000697	Fertigungstechniker/in (Ing)
Q000698	Automatisierungstechniker/in (Ing)
Q000699	Installationstechniker/in - Maschinenbau
Q000700	Maschinenbautechniker/in
Q000701	Qualitätssicherungstechniker/in
Q000702	Mechatroniker/in
Q000703	Elektrotechniker/in (DI)
Q000704	Elektrotechniker/in (Ing)
Q000705	Elektrotechniker/in
Q000706	Kommunikationstechniker/in (DI)
Q000707	Telekommunikationstechniker/in (DI)
Q000708	Tontechniker/in
Q000709	Kommunikationstechniker/in (Ing)
Q000710	Sensortechniker/in (Ing)
Q000711	Telekommunikationstechniker/in (Ing)
Q000712	Messtechniker/in (Ing)
Q000713	Videotechniker/in
Q000714	Kommunikationstechniker/in
Q000715	Prüffeldtechniker/in
Q000716	Sensortechniker/in
Q000717	Biochemiker/in (DI)
Q000718	Chemiker/in (DI)
Q000719	Biotechnolog(e)in (DI)
Q000720	Chemiker/in (Ing)
Q000721	Lebensmittelchemiker/in (Ing)
Q000722	Oberflächentechniker/in (Ing)
Q000723	Chemiker/in (Ing)
Q000724	Oberflächentechniker/in
Q000725	Lebensmitteltechniker/in (DI)
Q000726	Lebensmitteltechniker/in (Ing)
Q000727	Physiker/in (DI)
Q000728	Physiker/in
Q000729	Färbereitechniker/in (Ing)
Q000730	Färbereitechniker/in
Q000731	Arbeitsvorbereiter/in (DI)
Q000732	Betriebstechniker/in (DI)
Q000733	Controller/in
Q000734	Abnahmetechniker/in (DI)
Q000735	Forschungs- und Entwicklungstechniker/in (DI)
Q000736	Innovationstechniker/in (DI)
Q000737	Verkaufstechniker/in (DI)
Q000738	Instandhaltungstechniker/in (DI)
Q000739	Produktionsplaner/in (DI)
Q000740	Leiter/in der Instandhaltung (DI)
Q000741	Technisch(er)e Assistent/in (DI)
Q000742	Arbeitsvorbereiter/in (Ing)
Q000743	Betriebstechniker/in (Ing)
Q000744	Forschungs- und Entwicklungstechniker/in (Ing)
Q000745	Innovationstechniker/in (Ing)
