C000001_et_000	Sõjaväelased
C000074_et_000	Keskkonnateaduste insenerid
C000075_et_000	Mehaanikainsenerid
C000076_et_000	Keemiainsenerid
C000077_et_000	Mäeinsenerid, metallurgid jms alade tippspetsialistid
C000078_et_000	Mujal liigitamata tehnikateaduste tippspetsialistid
C000079_et_000	Elektrotehnikainsenerid
C000080_et_000	Elektriinsenerid
C000081_et_000	Elektroonikainsenerid
C000082_et_000	Telekommunikatsiooniinsenerid
C000083_et_000	Arhitektid, planeerijad, maamõõtjad ja disainerid
C000084_et_000	Hoonearhitektid
C000085_et_000	Maastikuarhitektid
C000086_et_000	Toote- ja rõivadisainerid
C000087_et_000	Linna- ja liiklusplaneerijad
C000088_et_000	Kaardistajad ja maamõõtjad
C000089_et_000	Graafikud ja multimeediakunstnikud
C000090_et_000	Tervishoiu tippspetsialistid
C000091_et_000	Arstid
C000092_et_000	Üldarstid
C000093_et_000	Eriarstid
C000094_et_000	Õendusala tippspetsialistid ja ämmaemandad
C000095_et_000	Õendusala tippspetsialistid
C000096_et_000	Ämmaemandad
C000097_et_000	Rahva- ja alternatiivmeditsiini tippspetsialistid
C000098_et_000	Rahva- ja alternatiivmeditsiini tippspetsialistid
C000099_et_000	Erakorralise abi tippspetsialistid
C000100_et_000	Erakorralise abi tippspetsialistid
C000101_et_000	Loomaarstid
C000102_et_000	Loomaarstid
C000103_et_000	Muud tervishoiu tippspetsialistid
C000104_et_000	Hambaarstid
C000105_et_000	Proviisorid
C000106_et_000	Tervisekaitse-, töötervishoiu- ja hügieenispetsialistid
C000107_et_000	Füsioterapeudid
C000108_et_000	Dietoloogid ja toitumisspetsialistid
C000109_et_000	Audioloogid ja logopeedid
C000110_et_000	Optometristid ja optikud
C000111_et_000	Mujal liigitamata tervishoiutöötajad
C000112_et_000	Pedagoogikaspetsialistid
C000113_et_000	Ülikoolide ja kõrgkoolide õppejõud
C000114_et_000	Ülikoolide ja kõrgkoolide õppejõud
C000115_et_000	Kutsehariduse õpetajad
C000116_et_000	Kutsehariduse õpetajad
C000117_et_000	Üldhariduskoolide vanema astme õpetajad
C000118_et_000	Üldhariduskoolide vanema astme õpetajad
C000119_et_000	Algklasside ja lasteaiaõpetajad
C000120_et_000	Algklasside õpetajad
C000121_et_000	Lasteaiaõpetajad
C000122_et_000	Muud õppespetsialistid
C000123_et_000	Metoodikud
C000124_et_000	Eripedagoogid
C000125_et_000	Muud keeleõpetajad
C000126_et_000	Muud muusikaõpetajad
C000127_et_000	Muud kunstiõpetajad
C000128_et_000	Infotehnoloogia õpetajad ja koolitajad
C000129_et_000	Mujal liigitamata õpetajad ja koolitajad
C000130_et_000	Äri- ja haldusspetsialistid
C000131_et_000	Finantsspetsialistid
C000132_et_000	Raamatupidajad
C000133_et_000	Finantsnõustajad
C000134_et_000	Finantsanalüütikud
C000135_et_000	Haldusspetsialistid
C000136_et_000	Juhtimis- ja korraldusvaldkonna analüütikud
C000137_et_000	Juhtivad haldusspetsialistid
C000138_et_000	Personali- ja karjäärispetsialistid
C000139_et_000	Töötajate koolitus- ja täiendõppespetsialistid
C000140_et_000	Müügi-, turundus- ja avalike suhete spetsialistid
C000141_et_000	Reklaami- ja turundusspetsialistid
C000142_et_000	Avalike suhete spetsialistid
C000143_et_000	Tehnika (v.a info- ja kommunikatsioonitehnoloogia) ja meditsiiniseadmete müügispetsialistid
C000144_et_000	Info- ja kommunikatsioonitehnoloogia müügispetsialistid
C000145_et_000	Info- ja kommunikatsioonitehnoloogia spetsialistid
C000146_et_000	Tarkvara ja rakenduste arendajad ning analüütikud
C000147_et_000	Süsteemianalüütikud
C000148_et_000	Tarkvara arendajad
C000149_et_000	Veebi- ja multimeediaarendajad
C000150_et_000	Rakenduste programmeerijad
C000151_et_000	Tarkvara ja rakenduste arendajad ning analüütikud, mujal liigitamata
C000152_et_000	Andmebaaside ja võrgustikega tegelevad spetsialistid
C000153_et_000	Andmebaaside kujundajad ja haldajad
C000154_et_000	Süsteemiadministraatorid
C000155_et_000	Elektrooniliste võrgustike spetsialistid
C000156_et_000	Andmebaaside ja võrgustikega tegelevad spetsialistid, mujal liigitamata
C000157_et_000	Õigus-, sotsiaal- ja kultuurivaldkonna spetsialistid
C000158_et_000	Õigusspetsialistid
C000159_et_000	Juristid
C000160_et_000	Kohtunikud
C000161_et_000	Mujal liigitamata õigusspetsialistid
C000162_et_000	Raamatukoguhoidjad, arhivaarid ja kuraatorid
C000163_et_000	Arhivaarid ja kuraatorid
C000164_et_000	Raamatukoguhoidjad jms teabespetsialistid
C000165_et_000	Sotsioloogid ja religiooni valdkonna spetsialistid
C000166_et_000	Majandusteadlased
C000167_et_000	Sotsioloogid, antropoloogid jms alade spetsialistid
C000168_et_000	Filosoofid, ajaloolased ja politoloogid
C000169_et_000	Psühholoogid
C000170_et_000	Sotsiaaltöötajad ja nõustajad
C000171_et_000	Religiooni valdkonna spetsialistid
C000172_et_000	Kirjanikud, ajakirjanikud ja keeleteadlased
C000173_et_000	Kirjanikud
C000174_et_000	Ajakirjanikud
C000175_et_000	Tõlgid, tõlkijad ja keeleteadlased
C000176_et_000	Loomingulised töötajad
C000177_et_000	Kujutavad kunstnikud
C000178_et_000	Muusikud, lauljad ja heliloojad
C000179_et_000	Tantsijad ja koreograafid
C000180_et_000	Filmi-, teatri- jms lavastajad ja produtsendid
C000181_et_000	Näitlejad
C000182_et_000	Raadio-, televisiooni- jms diktorid
C000183_et_000	Mujal liigitamata loomingulised töötajad
C000184_et_000	Tehnikud ja keskastme spetsialistid
C000185_et_000	Loodus- ja inseneriteaduste abispetsialistid
C000186_et_000	Füüsika- ja inseneriteaduste tehnikud
C000187_et_000	Keemia- ja füüsikateaduste tehnikud
C000188_et_000	Ehitustehnikud
C000189_et_000	Elektrotehniliste alade tehnikud
C000190_et_000	Elektroonikatehnikud
C000191_et_000	Masinaehitustehnikud
C000192_et_000	Keemiatööstuse tehnikud
C000193_et_000	Mäe- ja metallurgiatehnikud
C000194_et_000	Joonestajad
C000195_et_000	Füüsika-, keemia-, inseneriteaduse jms alade tehnikud, mujal liigitamata
C000196_et_000	Kaevandus-, tööstus- ja ehitusjärelevalveinspektorid
C000197_et_000	Kaevandusjärelevalveinspektorid
C000198_et_000	Tööstusjärelevalveinspektorid
C000199_et_000	Ehitusjärelevalveinspektorid
C000200_et_000	Protsessijuhtimistehnikud
C000201_et_000	Energiatootmisettevõtete operaatorid
C000202_et_000	Jäätmepõletustehaste ja veepuhastusjaamade operaatorid
C000203_et_000	Keemiatööstuse tehnikud
C000204_et_000	Nafta- ja gaasitööstuse tehnikud
C000205_et_000	Metallurgiatehnik
C000206_et_000	Mujal liigitamata protsessijuhtimistehnikud
C000207_et_000	Bioteaduste tehnikud jms spetsialistid
C000208_et_000	Biotehnikud (v.a meditsiini alal töötavad tehnikud)
C000209_et_000	Põllumajandustehnikud
C000210_et_000	Metsandustehnikud
C000211_et_000	Laevade ja õhusõidukite juhid ning tehnikud
C000212_et_000	Laevamehaanikud
C000213_et_000	Laeva tekiohvitserid ja lootsid
C000214_et_000	Õhusõidukipiloodid ja teised meeskonna liikmed
C000215_et_000	Lennujuhid
C000216_et_000	Lennuohutuselektroonika tehnikud
C000217_et_000	Tervishoiu abispetsialistid
C000218_et_000	Meditsiinitehnikud ja farmatseudid
C000219_et_000	Meditsiiniliste kuvamis- ja raviseadmete tehnikud
C000220_et_000	Meditsiini- ja patoloogialaborite tehnikud
C000221_et_000	Farmatseudid
C000222_et_000	Meditsiiniliste proteeside tehnikud ja hambatehnikud
C000223_et_000	Hooldusõed ja ämmaemanda abid
C000224_et_000	Hooldusõed
C000225_et_000	Ämmaemanda abid
C000226_et_000	Rahva- ja alternatiivmeditsiini abipersonal
C000227_et_000	Rahva- ja alternatiivmeditsiini abipersonal
C000228_et_000	Abiloomaarstid
C000229_et_000	Abiloomaarstid
C000230_et_000	Muud tervishoiu abispetsialistid
C000231_et_000	Hambaarstiabid ja dentistid
C000232_et_000	Meditsiiniregistrite ja terviseteabe tehnikud
C000233_et_000	Kohalike omavalitsuste tervishoiutöötajad
C000234_et_000	Prillipoe optikud
C000235_et_000	Füsioteraapia tehnikud ja füsioterapeutide abid
C000236_et_000	Meditsiiniline abipersonal
C000237_et_000	Tervisekaitse- ja töötervishoiuinspektorid jms spetsialistid
C000238_et_000	Erakorralise abi spetsialistid
C000239_et_000	Mujal liigitamata tervishoiu alal töötavad spetsialistid
C000240_et_000	Äri- ja haldusalal töötavad spetsialistid
C000241_et_000	Finantsala töötajad ja muud matemaatikaga tegelevad spetsialistid
C000242_et_000	Väärtpaberi- ja valuutamaaklerid ning -vahendajad
C000243_et_000	Krediidi- ja laenupakkujad
C000244_et_000	Raamatupidamise abispetsialistid
C000245_et_000	Statistika, matemaatika jms alade töötajad
C000246_et_000	Hindajad, sh kahjuhindajad
C000247_et_000	Ostu- ja müügiagendid ja -vahendajad
C000248_et_000	Kindlustusagendid
C000249_et_000	Müügiesindajad
C000250_et_000	Varustajad
C000251_et_000	Kaubamaaklerid
C000252_et_000	Äriteenuste agendid
C000253_et_000	Nõustajad ja edasimüüjad
C000254_et_000	Konverentside ja ürituste korraldajad
C000255_et_000	Tööhõiveametnikud ja töölepingute sõlmijad
C000256_et_000	Kinnisvaramaaklerid ja -haldajad
C000257_et_000	Äriteenuste agendid, mujal liigitamata
C000258_et_000	Sekretärid-asjaajajad jms sekretärid
C000259_et_000	Kabinettide esindajad
C000260_et_000	Juristid-asjaajajad
C000261_et_000	Sekretärid-asjaajajad ja sekretärid-juhiabid
C000262_et_000	Meditsiinialal töötavad sekretärid
C000263_et_000	Valitsuse haldusalade ametnikud
C000264_et_000	Tolli- ja piiriinspektorid
C000265_et_000	Maksu- ja aktsiisiametnikud
C000266_et_000	Sotsiaalkindlustusametnikud
C000267_et_000	Litsentsi- ja passiametnikud
C000268_et_000	Politseiinspektorid ja detektiivid
C000269_et_000	Valitsuse haldusalade ametnikud, mujal liigitamata
C000270_et_000	Õigus-, sotsiaal-, kultuuri- jms alade töötajad
C000271_et_000	Õigus-, sotsiaal- ja religiooni valdkonna spetsialistid
C000272_et_000	Õigusvaldkonna spetsialistid
C000273_et_000	Sotsiaaltöötajad
C000274_et_000	Religiooni valdkonna töötajad
C000275_et_000	Spordivaldkonna spetsialistid
C000276_et_000	Sportlased
C000277_et_000	Treenerid, spordiinstruktorid ja -ametnikud
C000278_et_000	Tervisespordiinstruktorid ja rekreatsioonikorraldajad
C000279_et_000	Kunsti-, kultuuri- ja kulinaaria valdkonna töötajad
C000280_et_000	Fotograafid
C000281_et_000	Sisekujundajad ja dekoraatorid
C000282_et_000	Galeriide, muuseumide ja raamatukogude tehnilised töötajad
C000283_et_000	Peakokad
C000284_et_000	Muud kunsti- ja kultuuriala töötajad
C000285_et_000	Info- ja kommunikatsioonitehnoloogia tehnilised töötajad
C000286_et_000	Info- ja kommunikatsioonitehnoloogia operaatorid ning kasutajatoetusteenuse pakkujad
C000287_et_000	Info- ja kommunikatsioonitehnoloogia operatsioonitehnikud
C000288_et_000	Info- ja kommunikatsioonitehnoloogia kasutajatoetusteenuse pakkujad
C000289_et_000	Arvutivõrkude ja süsteemide hooldajad
C000290_et_000	Veebitehnikud
C000291_et_000	Telekommunikatsiooni ja ringhäälingu tehnilised töötajad
C000292_et_000	Ringhäälingu ja audiovisuaalala tehnilised töötajad
C000293_et_000	Telekommunikatsiooni insenertehniliste alade töötajad
C000294_et_000	Ametnikud
C000295_et_000	Lihtametnikud ja arvutiametnikud
C000296_et_000	Kontoriametnikud
C000297_et_000	Kontoriametnikud
C000298_et_000	Üldsekretärid
C000299_et_000	Üldsekretärid
C000300_et_000	Arvutioperaatorid
C000301_et_000	Masinakirjutajad ja andmetöötlejad
C000302_et_000	Andmesisestajad
C000303_et_000	Klienditeenindajad
C000304_et_000	Kassapidajad, laekurid jms ametnikud
C000305_et_000	Pangatellerid jms ametnikud
C000306_et_000	Kihlvedude vahendajad, krupjeed jm hasartmängude vahendajad
C000307_et_000	Pandimajapidajad ja rahalaenajad
C000308_et_000	Võlgade sissenõudjad jms töötajad
C000309_et_000	Kliendinõustajad
C000310_et_000	Reisikonsultandid ja reisibüroo ametnikud
C000311_et_000	Infotelefonide operaatorid
C000312_et_000	Telefonikeskjaama operaatorid
C000313_et_000	Hotellide administraatorid
C000314_et_000	Infopunktide töötajad
C000315_et_000	Administraatorid (üldiselt)
C000316_et_000	Uuringute sh turu-uuringute tegijad
C000317_et_000	Mujal liigitamata klienditeenindajad
C000318_et_000	Arve- ja registripidamisametnikud
C000319_et_000	Arveametnikud
C000320_et_000	Arve- ja raamatupidamisametnikud
C000321_et_000	Statistika-, rahandus- ja kindlustusametnikud
C000322_et_000	Palgaarvestajad
C000323_et_000	Ladustus- ja transpordiametnikud
C000324_et_000	Laoametnikud
C000325_et_000	Tootmisega seotud ametnikud
C000326_et_000	Transpordiametnikud
C000327_et_000	Muud teenindusala lihtametnikud
C000328_et_000	Muud teenindusala lihtametnikud
C000329_et_000	Raamatukogutöötajad
C000330_et_000	Postisorteerijad ja -kättetoimetajad
C000331_et_000	Kodeerijad, korrektorid jms ametnikud
C000332_et_000	Kirjaabilised
C000333_et_000	Kartoteegi- või registripidajad
C000334_et_000	Isikuteenindajad
C000335_et_000	Mujal liigitamata lihtametnikud
C000336_et_000	Teenindus- ja müügitöötajad
C000337_et_000	Inimestele isiklikke teenuseid osutavad isikud
C000338_et_000	Reisijate teenindajad, kontrolörid ja konduktorid, giidid
C000339_et_000	Reisijate teenindajad ning stjuuardid ja stjuardessid
C000340_et_000	Kontrolörid ja konduktorid
C000341_et_000	Giidid
C000342_et_000	Kokad
C000343_et_000	Kokad
C000344_et_000	Ettekandjad ja kelnerid ning baarmenid ja baaridaamid
C000345_et_000	Ettekandjad ja kelnerid
C000346_et_000	Baarmenid ja baaridaamid
C000347_et_000	Juuksurid, kosmeetikud jms alade töötajad
C000348_et_000	Juuksurid
C000349_et_000	Kosmeetikud jms alade töötajad
C000350_et_000	Majapidamisteenuseid osutavad isikud
C000351_et_000	Ametiasutuste, hotellide ja muude hoonete koristajad
C000352_et_000	Majapidajad
C000353_et_000	Majahoidjad
C000354_et_000	Muud inimestele isiklikke teenuseid osutavad isikud
C000355_et_000	Astroloogid, ennustajad jms töötajad
C000356_et_000	Ajaviiteseltsilised ja teenrid
C000357_et_000	Surnumatjad ja kremeerijad
C000358_et_000	Lemmikloomade iluteenuste osutajad ja lemmikloomade hooldajad
C000359_et_000	Sõiduinstruktorid
C000360_et_000	Inimestele teenuseid osutavad isikud, mujal liigitamata
C000361_et_000	Müüjad
C000362_et_000	Tänaval ja turul müüjad
C000363_et_000	Kioski- ja välimüüjad
C000364_et_000	Tänaval toidu müüjad
C000365_et_000	Poodide müügipersonal
C000366_et_000	Väikepoepidajad
C000367_et_000	Vanemmüüjad
C000368_et_000	Müügiassistendid
C000369_et_000	Kassapidajad ja piletimüüjad
C000370_et_000	Kassapidajad ja piletimüüjad
C000371_et_000	Muud müügiga tegelevad teenindajad
C000372_et_000	Rõiva- ja muud modellid
C000373_et_000	Tootetutvustajad
C000374_et_000	Majast majja müüjad
C000375_et_000	Telefonimüügi agendid
C000376_et_000	Tankijad ja tanklamüüjad
C000377_et_000	Toidukioski müüjad
C000378_et_000	Mujal liigitamata müüjad
C000379_et_000	Inimeste hooldamisega tegelevad töötajad
C000380_et_000	Lapsehoidjad ja kasvatajaabid
C000381_et_000	Lapsehoidjad
C000382_et_000	Lasteaaia abiõpetajad
C000383_et_000	Hooldustöötajad meditsiiniasutustes
C000384_et_000	Hooldajad
C000385_et_000	Hooldustöötajad kodus
C000386_et_000	Hooldustöötajad meditsiiniasutustes, mujal liigitamata
C000387_et_000	Kaitseteenindajad
C000388_et_000	Kaitseteenindajad
C000389_et_000	Tuletõrjujad
C000390_et_000	Politseinikud
C000391_et_000	Vangivalvurid
C000392_et_000	Turvamehed
C000393_et_000	Mujal liigitamata kaitseteenindajad
C000394_et_000	Põllumajanduse, metsanduse (jahinduse) ja kalanduse oskustöölised
C000395_et_000	Turule orienteeritud aia- ja põllusaaduste kasvatajad
C000396_et_000	Põllu- ja aiasaaduste kasvatajad
C000397_et_000	Põllusaaduste ja köögiviljakasvatajad
C000398_et_000	Puuvilja- ja marjakasvatajad
C000399_et_000	Aednikud, puukooli töötajad ja istikukasvatajad
C000400_et_000	Segakultuuride kasvatajad
C000401_et_000	Loomakasvatajad
C000402_et_000	Veisekasvatajad
C000403_et_000	Linnukasvatajad
C000404_et_000	Mesinikud ja siidiussikasvatajad
C000405_et_000	Loomakasvatajad, mujal liigitamata
C000406_et_000	Talunikud, kes kasvatavad nii põllusaadusi kui ka loomi
C000407_et_000	Talunikud, kes kasvatavad nii põllusaadusi kui ka loomi
C000408_et_000	Metsanduse, kalanduse ja jahinduse oskustöölised, kelle toodang on mõeldud müügiks
C000409_et_000	Metsatöölised jms töölised
C000410_et_000	Metsatöölised jms töölised
C000411_et_000	Kalamehed, jahimehed ja karusnahakütid
C000412_et_000	Veeloomade ja -taimede kasvatajad
C000413_et_000	Sisevete- ja rannapüügikalurid
C000414_et_000	Avamerekalurid
C000415_et_000	Jahimehed ja karusnahakütid
C000416_et_000	Ainult oma tarbeks talupidamise, kalapüügi, jahi ning metsasaaduste korjamisega tegelevad isikud
C000417_et_000	Ainult oma tarbeks põllusaadusi tootvad talunikud
C000418_et_000	Ainult oma tarbeks põllusaadusi tootvad talunikud
C000419_et_000	Ainult oma tarbeks loomi kasvatavad talunikud
C000420_et_000	Ainult oma tarbeks loomi kasvatavad talunikud
C000421_et_000	Talunikud, kes peavad loomi ning kasvatavad aia- ja/või põllusaadusi ainult oma tarbeks
C000422_et_000	Talunikud, kes peavad loomi ning kasvatavad aia- ja/või põllusaadusi ainult oma tarbeks
C000423_et_000	Ainult oma tarbeks kalapüügi, jahi ja metsasaaduste korjamisega tegelevad isikud
C000424_et_000	Ainult oma tarbeks kalapüügi, jahi ja metsasaaduste korjamisega tegelevad isikud
C000425_et_000	Oskus- ja käsitöölised
C000426_et_000	Ehitustöölised, v.a elektrikud
C000427_et_000	Üldkonstruktsioone jms ehitavad töölised
C000428_et_000	Ehitajad
C000429_et_000	Müürsepad jms töölised
C000430_et_000	Kiviraidurid, tahujad jms töölised
C000431_et_000	Betoonijad, betoonpindade viimistlejad jms alade töölised
C000432_et_000	Puusepad
C000433_et_000	Mujal liigitamata üldehitustöölised
C000434_et_000	Ehitusviimistlejad jms alade töölised
C000435_et_000	Katusekatjad
C000436_et_000	Põrandategijad ja plaatijad
C000437_et_000	Krohvijad
C000438_et_000	Isoleerijad
C000439_et_000	Klaasijad
C000440_et_000	Torulukksepad
C000441_et_000	Õhukonditsioneeride ja külmutusseadmete mehaanikud
C000442_et_000	Maalrid, ehitustarindite puhastajad jms alade töölised
C000443_et_000	Maalrid jms töölised
C000444_et_000	Lakkijad-värvijad
C000445_et_000	Ehitustarindite puhastajad
C000446_et_000	Metallitöötluse, masinaehituse jms alade oskustöölised
C000447_et_000	Lehtmetalli töötlejad, metallkonstruktsioonide valmistajad, valuvormide valmistajad, keevitajad jms alade töölised
C000448_et_000	Valuvormide ja kärnide valmistajad
C000449_et_000	Keevitajad ja leeklõikajad
C000450_et_000	Lehtmetalli töötlejad
C000451_et_000	Metallkonstruktsioonide valmistajad ja montöörid
C000452_et_000	Troppijad ja trossijätkajad
C000453_et_000	Sepad, tööriistavalmistajad jms alade oskustöölised
C000454_et_000	Sepad, vasara- ja stantsisepad
C000455_et_000	Tööriistavalmistajad jms alade töölised
C000456_et_000	Tööpinkide seadistajad
C000457_et_000	Metallilihvijad ja -poleerijad, tööriistateritajad
C000458_et_000	Masinate mehaanikud ja lukksepad
C000459_et_000	Mootorsõidukite mehaanikud ja lukksepad
C000460_et_000	Lennumasinate mootorite mehaanikud ja lukksepad
C000461_et_000	Põllumajandus- ja tööstusmasinate mehaanikud ning lukksepad
C000462_et_000	Jalgrataste jms sõidukite mehaanikud
C000463_et_000	Käsi- ja trükitöölised
C000464_et_000	Käsitöölised
C000465_et_000	Täppisriistade valmistajad ja parandajad
C000466_et_000	Muusikariistade valmistajad ja häälestajad
C000467_et_000	Juveeli- ja väärismetallitöölised
C000468_et_000	Pottsepad jms oskustöölised
C000469_et_000	Klaasimeistrid, -lõikajad, -lihvijad ja -viimistlejad
C000470_et_000	Klaasi, keraamika jms materjalide dekoratiivmaalijad, graveerijad ja -söövitajad
C000471_et_000	Käsitöölised, kes kasutavad puitu ning punumis- jms materjale
C000472_et_000	Käsitöölised, kes kasutavad tekstiile, nahka jms materjale
C000473_et_000	Mujal liigitamata käsitöölised
C000474_et_000	Trükitööstuse töölised
C000475_et_000	Ladujad, küljendajad jms töölised
C000476_et_000	Trükitöölised
C000477_et_000	Trükitööde viimistlejad ja köitjad
C000478_et_000	Elektri- ja elektroonikatööstuse töölised
C000479_et_000	Elektriseadmete paigaldajad ja hooldajad
C000480_et_000	Ehituselektrikud
C000481_et_000	Elektriseadmete mehhaanikud ja paigaldajad
C000482_et_000	Elektriliinide paigaldajad ja hooldajad
C000483_et_000	Elektroonikud ning telekommunikatsiooniseadmete paigaldajad ja hooldajad
C000484_et_000	Elektroonikaseadmete mehaanikud ja hooldajad
C000485_et_000	Info- ja kommunikatsiooniseadmete paigaldajad ja hooldajad
C000486_et_000	Toiduainete töötlejad, toitlustustöölised, rõivatööstuse ja muude käsitööalade töölised
C000487_et_000	Toiduainetööstuse jms alade töölised
C000488_et_000	Liha- ja kalatöötlejad jms töölised
C000489_et_000	Pagarid, kondiitrid ja maiustusevalmistajad
C000490_et_000	Piimatöötlejad
C000491_et_000	Puu- ja köögivilja ning marjade töötlejad
C000492_et_000	Toidu ja jookide degusteerijad ja hindajad
C000493_et_000	Tubakatootjad ja tubakatoodete valmistajad
C000494_et_000	Puidutöötlejad, tislerid jms töölised
C000495_et_000	Puidutöötlejad
C000496_et_000	Tislerid jms töölised
C000497_et_000	Puidutöötluspinkide seadistajad ja operaatorid
C000498_et_000	Rõivatööstuse jms alade töölised
C000499_et_000	Rätsepad, õmblejad, köösnerid ja kübarategijad
C000500_et_000	Rõivaste jms toodete lekaalide tegijad ja juurdelõikajad
C000501_et_000	Õmblejad, tikkijad jms töölised
C000502_et_000	Polsterdajad jms töölised
C000503_et_000	Toorkarusnaha ettevalmistajad ja parkalid
C000504_et_000	Kingsepad jms töölised
C000505_et_000	Muud käsi- ja oskustöölised
C000506_et_000	Sukeldujad
C000507_et_000	Lõhkajad ja õhkijad
C000508_et_000	Toodete (v.a toidud ja joogid) testijad
C000509_et_000	Kahjuritõrje spetsialistid
C000510_et_000	Mujal liigitamata oskustöölised
C000511_et_000	Seadme- ja masinaoperaatorid ja montöörid
C000512_et_000	Seadme- ja masinaoperaatorid
C000513_et_000	Mäeseadmete operaatorid
C000514_et_000	Kaevurid ja kivitöötlejad
C000515_et_000	Mäe- ja kivitöötlusmasinate operaatorid
C000516_et_000	Puurimismasinate operaatorid
C000517_et_000	Tsemendi-, kivi- ja muude mineraalide töötlemise masinate operaatorid
C000518_et_000	Metallitootmis- ja töötlusseadmete operaatorid
C000519_et_000	Metallitootmisseadmete operaatorid
C000520_et_000	Metallitöötlusmasinate operaatorid
C000521_et_000	Keemia- ja fotograafiaseadmete ning -masinate operaatorid
C000522_et_000	Keemiaseadmete ja -masinate operaatorid
C000523_et_000	Fotograafiatoodete valmistamiseks kasutatavate masinate operaatorid
C000524_et_000	Kummi-, plasti- ja paberitootmismasinate operaatorid
C000525_et_000	Kummitoodete valmistamiseks kasutatavate masinate operaatorid
