Q000001	Helyi önkormányzat kinevezett vezetője
Q000146	Feldolgozóipari szakmai irányító, felügyelő
Q000147	Építőipari szakmai irányító, felügyelő
Q000148	Irodai szakmai irányító, felügyelő
Q000149	Ápoló, szakápoló
Q000150	Szülész(nő)i tevékenység segítője
Q000151	Általános egészségügyi asszisztens
Q000152	Egészségügyi dokumentátor
Q000153	Orvosi képalkotó diagnosztikai és terápiás berendezések kezelője
Q000154	Orvosi laboratóriumi asszisztens
Q000155	Fogászati asszisztens
Q000156	Gyógyszertári és gyógyszerellátási asszisztens
Q000157	Alternatív gyógymódok alkalmazásának segítője
Q000158	Környezet- és foglalkozás-egészségügyi kiegészítő foglalkozású
Q000159	Fizioterápiás asszisztens, masszőr
Q000160	Fogtechnikus
Q000161	Ortopédiai eszközkészítő
Q000162	Látszerész
Q000163	Egyéb, humánegészségügyhöz kapcsolódó foglalkozású
Q000164	Állatorvosi asszisztens
Q000165	Növényorvosi (növényvédelmi) asszisztens
Q000166	Oktatási asszisztens
Q000167	Szociális segítő
Q000168	Hivatásos nevelőszülő, főállású anya
Q000169	Szociális gondozó, szakgondozó
Q000170	Jelnyelvi tolmács
Q000171	Munkaerő-piaci szolgáltatási ügyintéző
Q000172	Pénzintézeti ügyintéző
Q000173	Tőzsde- és pénzügyi ügynök, bróker
Q000174	Számviteli ügyintéző
Q000175	Statisztikai ügyintéző
Q000176	Értékbecslő, kárbecslő, kárszakértő
Q000177	Kereskedelmi ügyintéző
Q000178	Anyaggazdálkodó, felvásárló
Q000179	Ügynök (a biztosítási ügynök kivételével)
Q000180	Egyéb, máshova nem sorolható üzleti jellegű szolgáltatás ügyintézője
Q000181	Jogi asszisztens
Q000182	Vám- és pénzügyőr
Q000183	Adó- és illetékhivatali ügyintéző
Q000184	Társadalombiztosítási és segélyezési hatósági ügyintéző
Q000185	Hatósági engedélyek kiadásával foglalkozó ügyintéző
Q000186	Nyomozó
Q000187	Végrehajtó, adósságbehajtó
Q000188	Egyéb hatósági ügyintéző
Q000189	Segédszínész, statiszta
Q000190	Fényképész
Q000191	Kiegészítő filmgyártási és színházi foglalkozású
Q000192	Kulturális intézményi szaktechnikus
Q000193	Egyéb művészeti és kulturális foglalkozású
Q000194	Sportoló
Q000195	Egyéb vallási foglalkozású
Q000196	Titkár(nő)
Q000197	Gépíró, szövegszerkesztő
Q000198	Könyvelő (analitikus)
Q000199	Bérelszámoló
Q000200	Pénzügyi, statisztikai, biztosítási adminisztrátor
Q000201	Készlet- és anyagnyilvántartó
Q000202	Szállítási, szállítmányozási nyilvántartó
Q000203	Humánpolitikai adminisztrátor
Q000204	Postai szolgáltató (kézbesítő, válogató)
Q000205	Iratkezelő, irattáros
Q000206	Egyéb, máshova nem sorolható irodai, ügyviteli foglalkozású
Q000207	Banki pénztáros
Q000208	Szerencsejáték-szervező
Q000209	Zálogházi ügyintéző és pénzkölcsönző
Q000210	Utazásszervező, tanácsadó
Q000211	Recepciós
Q000212	Ügyfél- (vevő)tájékoztató
Q000213	Ügyfélszolgálati központ tájékoztatója
Q000214	Lakossági kérdező, összeíró
Q000215	Postai ügyfélkapcsolati foglalkozású
Q000216	Egyéb ügyfélkapcsolati foglalkozású
Q000217	Kereskedő
Q000218	Vezető eladó
Q000219	Bolti eladó
Q000220	Piaci, utcai árus
Q000221	Üzemanyagtöltő állomás kezelője
Q000222	Áru- és divatbemutató
Q000223	Telefonos (multimédiás) értékesítési ügynök
Q000224	Egyéb, máshova nem sorolható kereskedelmi foglalkozású
Q000225	Vendéglős
Q000226	Pincér
Q000227	Pultos
Q000228	Szakács
Q000229	Cukrász
Q000230	Kozmetikus
Q000231	Egyéb személyi szolgáltatási foglalkozású
Q000232	Segédápoló, műtőssegéd
Q000233	Házi gondozó
Q000234	Egyéb személygondozási foglalkozású
Q000235	Idegenvezető
Q000236	Rendőr
Q000237	Tűzoltó
Q000238	Büntetés-végrehajtási őr
Q000239	Természetvédelmi őr
Q000240	Közterület-felügyelő
Q000241	Egyéb személy- és vagyonvédelmi foglalkozású
Q000242	Járművezető-oktató
Q000243	Temetkezési foglalkozású
Q000244	Egyéb, máshova nem sorolható szolgáltatási foglalkozású
Q000245	Szántóföldinövény-termesztő
Q000246	Bionövény-termesztő
Q000247	Szőlő-, gyümölcstermesztő
Q000248	Egyéb növénytermesztési foglalkozású
Q000249	Baromfitartó és -tenyésztő
Q000250	Méhész
Q000251	Erdészeti foglalkozású
Q000252	Fakitermelő (favágó)
Q000253	Vadgazdálkodási foglalkozású
Q000254	Halászati foglalkozású
Q000255	Gyümölcs- és zöldségfeldolgozó, -tartósító
Q000256	Borász és egyéb szeszesital-gyártó, szikvízkészítő
Q000257	Szabásminta-készítő
Q000258	Szabó, varró
Q000259	Tímár
Q000260	Bőrdíszműves, bőröndös, bőrtermékkészítő, -javító
Q000261	Famegmunkáló
Q000262	Faesztergályos
Q000263	Kádár, bognár
Q000264	Nyomdász, nyomdai gépmester
Q000265	Fémöntőminta-készítő
Q000266	Lakatos
Q000267	Hegesztő, lángvágó
Q000268	Kovács
Q000269	Festékszóró, fényező
Q000270	Fém- és egyéb tartószerkezet-szerelő
Q000271	Mechanikaigép-karbantartó, -javító (műszerész)
Q000272	Kerékpár-karbantartó, -javító
Q000273	Villamos gépek és készülékek műszerésze, javítója
Q000274	Címfestő
Q000275	Keramikus
Q000276	Üveggyártó
Q000277	Hangszerkészítő
Q000278	Textilműves, hímző, csipkeverő
Q000279	Kőműves
Q000280	Gipszkartonozó, stukkózó
Q000281	Ács
Q000282	Építményszerkezet-szerelő
Q000283	Egyéb építőmesteri foglalkozású
Q000284	Szellőző-, hűtő- és klimatizálóberendezés-szerelő
Q000285	Felvonószerelő
Q000286	Szigetelő
Q000287	Tetőfedő
Q000288	Épület-, építménybádogos
Q000289	Burkoló
Q000290	Kőfaragó, műköves
Q000291	Kályha- és kandallóépítő
Q000292	Ipari búvár
Q000293	Ipari alpinista
Q000294	Robbantómester
Q000295	Egyéb, máshova nem sorolható ipari és építőipari foglalkozású
Q000296	Élelmiszer-, italgyártó gép kezelője
Q000297	Textilipari gép kezelője és gyártósor mellett dolgozó
Q000298	Ruházati gép kezelője és gyártósor mellett dolgozó
Q000299	Bőrkikészítő és -feldolgozó gép kezelője és gyártósor mellett dolgozó
Q000300	Cipőgyártó gép kezelője és gyártósor mellett dolgozó
Q000301	Fafeldolgozó gép kezelője és gyártósor mellett dolgozó
Q000302	Papír- és cellulóztermék-gyártó gép kezelője és gyártósor mellett dolgozó
Q000303	Kőolaj- és földgázfeldolgozó gép kezelője
Q000304	Vegyi alapanyagot és terméket gyártó gép kezelője
Q000305	Gyógyszergyártó gép kezelője
Q000306	Műanyagtermék-gyártó gép kezelője
Q000307	Gumitermékgyártó gép kezelője
Q000308	Fotó- és mozgófilmlaboráns
Q000309	Cement-, kő- és egyéb ásványianyag-feldolgozó gép kezelője
Q000310	Papíripari alapanyagot gyártó gép kezelője
Q000311	Fémmegmunkáló, felületkezelő gép kezelője
Q000312	Egyéb, máshova nem sorolható feldolgozóipari gép kezelője
Q000313	Mechanikaigép-összeszerelő
Q000314	Villamosberendezés-összeszerelő
Q000315	Egyéb termék-összeszerelő
Q000316	Szilárdásvány-kitermelő gép kezelője (szén, kő)
Q000317	Kútfúró, mélyfúró gép kezelője (kőolaj, földgáz, víz)
Q000318	Energetikai gép kezelője
Q000319	Vízgazdálkodási gép kezelője
Q000320	Kazángépkezelő
Q000321	Sugármentesítő gép, berendezés kezelője
Q000322	Csomagoló-, palackozó- és címkézőgép kezelője
Q000323	Mozigépész, vetítőgépész
Q000324	Mosodai gép kezelője
Q000325	Egyéb, máshova nem sorolható, helyhez kötött gép kezelője
Q000326	Mozdonyvezető
Q000327	Vasútijármű-vezetéshez kapcsolódó foglalkozású
Q000328	Villamosvezető
Q000329	Metróvezető
Q000330	Trolibuszvezető
Q000331	Személygépkocsi-vezető
Q000332	Tehergépkocsi-vezető, kamionsofőr
Q000333	Autóbuszvezető
Q000334	Egyéb járművezető és kapcsolódó foglalkozású
Q000335	Mezőgazdasági, erdőgazdasági, növényvédő gép kezelője
Q000336	Földmunkagép és hasonló könnyű- és nehézgép kezelője
Q000337	Daru, felvonó és hasonló anyagmozgató gép kezelője
Q000338	Targoncavezető
Q000339	Hajószemélyzet, kormányos, matróz
Q000340	Háztartási takarító és kisegítő
Q000341	Intézményi takarító és kisegítő
Q000342	Kézi mosó, vasaló
Q000343	Járműtakarító
Q000344	Ablaktisztító
Q000345	Szemétgyűjtő, utcaseprő
Q000346	Hulladékosztályozó
Q000347	Pedálos vagy kézi hajtású gépek vezetője
Q000348	Állati erővel vont jármű hajtója
Q000349	Rakodómunkás
Q000350	Pultfeltöltő, árufeltöltő
Q000351	Kézi csomagoló
Q000352	Mérőóra-leolvasó és hasonló egyszerű foglalkozású
Q000353	Hivatalsegéd, kézbesítő
Q000354	Hordár, csomagkihordó
Q000355	Gyorséttermi eladó
Q000356	Konyhai kisegítő
Q000357	Parkolóőr
Q000358	Egyéb, máshova nem sorolható egyszerű szolgáltatási és szállítási foglalkozású
Q000359	Egyszerű ipari foglalkozású
Q000360	Kubikos
Q000361	Egyéb egyszerű építőipari foglalkozású
Q000362	Egyszerű erdészeti, vadászati és halászati foglalkozású
