C000001_lv_000	Armijas profesijas
C000093_lv_000	Specialitāšu ārsti
C000094_lv_000	Vecākās medicīnas māsas un vecmātes
C000095_lv_000	Vecākās medicīnas māsas
C000096_lv_000	Vecmātes
C000097_lv_000	Tradicionālās un komplimentārās medicīnas vecākie speciālisti
C000098_lv_000	Tradicionālās un komplimentārās medicīnas vecākie speciālisti
C000099_lv_000	Ārstu palīgi
C000100_lv_000	Ārstu palīgi
C000101_lv_000	Veterinārārsti
C000102_lv_000	Veterinārārsti
C000103_lv_000	Citi vecākie veselības aprūpes speciālisti
C000104_lv_000	Zobārsti
C000105_lv_000	Farmaceiti un farmakologi
C000106_lv_000	Vides veselības, arodveselības un higiēnas vecākie speciālisti
C000107_lv_000	Fizioterapeiti
C000108_lv_000	Dietologi un vecākie uztura speciālisti
C000109_lv_000	Audiologi un runas terapijas vecākie speciālisti
C000110_lv_000	Optometristi un redzes korekciju optiķi
C000111_lv_000	Citur neklasificēti vecākie veselības aprūpes speciālisti
C000112_lv_000	Vecākie izglītības speciālisti
C000113_lv_000	Universitāšu un citu augstākās izglītības iestāžu akadēmiskais personāls
C000114_lv_000	Universitāšu un citu augstākās izglītības iestāžu pasniedzēji
C000115_lv_000	Profesionālās izglītības pedagogi
C000116_lv_000	Profesionālās izglītības pedagogi
C000117_lv_000	Vidējās izglītības iestāžu pedagogi
C000118_lv_000	Vidējās izglītības iestāžu pedagogi
C000119_lv_000	Pamatizglītības un pirmsskolas pedagogi
C000120_lv_000	Pamatizglītības pedagogi
C000121_lv_000	Pirmsskolas pedagogi
C000122_lv_000	Citi izglītības jomas vecākie speciālisti
C000123_lv_000	Izglītības metodikas speciālisti
C000124_lv_000	Skolotāji bērniem ar īpašām vajadzībām
C000125_lv_000	Citi valodu skolotāji
C000126_lv_000	Citi mūzikas skolotāji
C000127_lv_000	Citi mākslas skolotāji
C000128_lv_000	Informātikas pasniedzēji
C000129_lv_000	Citur neklasificēti izglītības jomas vecākie speciālisti
C000130_lv_000	Komercdarbības un pārvaldes (administrācijas) vecākie speciālisti
C000131_lv_000	Vecākie finanšu speciālisti
C000132_lv_000	Grāmatveži
C000133_lv_000	Finanšu un investīciju konsultanti
C000134_lv_000	Finanšu analītiķi
C000135_lv_000	Pārvaldes (administrācijas) vecākie speciālisti
C000136_lv_000	Vadības un organizācijas analītiķi
C000137_lv_000	Politikas pārvaldības vecākie speciālisti
C000138_lv_000	Personāla un izaugsmes vecākie speciālisti
C000139_lv_000	Apmācības un personāla attīstības vecākie speciālisti
C000140_lv_000	Tirdzniecības, tirgzinības un sabiedrisko attiecību vecākie speciālisti
C000141_lv_000	Reklāmas un tirgzinības vecākie speciālisti
C000142_lv_000	Sabiedrisko attiecību vecākie speciālisti
C000143_lv_000	Vecākie speciālisti tehnisko un medicīnas preču tirdzniecības jomā (izņemot IKT)
C000144_lv_000	Informācijas un komunikāciju tehnoloģiju tirdzniecības vecākie speciālisti
C000145_lv_000	Informācijas un komunikāciju tehnoloģiju vecākie speciālisti
C000146_lv_000	Programmētāji un lietojumprogrammu veidotāji un analītiķi
C000147_lv_000	Sistēmanalītiķi
C000148_lv_000	Programmētāji
C000149_lv_000	Tīmekļa lapu un multimediju veidotāji
C000150_lv_000	Lietojumprogrammu izstrādātāji
C000151_lv_000	Citur neklasificēti programmētāji un lietojumprogrammu veidotāji un analītiķi
C000152_lv_000	Datubāzu un tīklu vecākie speciālisti
C000153_lv_000	Datubāzu veidotāji un administratori
C000154_lv_000	Sistēmu administratori
C000155_lv_000	Datortīklu vecākie speciālisti
C000156_lv_000	Citur neklasificēti datubāzu un tīklu vecākie speciālisti
C000157_lv_000	Juridisko, sociālo un kultūras lietu vecākie speciālisti
C000158_lv_000	Juristi
C000159_lv_000	Juristi
C000160_lv_000	Tiesneši
C000161_lv_000	Citur neklasificēti juridisko lietu vecākie speciālisti
C000162_lv_000	Bibliotekāri, arhīvisti un tiem radniecīgo profesiju vecākie speciālisti
C000163_lv_000	Arhīvisti un muzeju vecākie speciālisti
C000164_lv_000	Bibliotekāri un tiem radniecīgu profesiju vecākie speciālisti
C000165_lv_000	Sociālo un reliģisko lietu vecākie speciālisti
C000166_lv_000	Ekonomisti
C000167_lv_000	Sociologi, antropologi un tiem radniecīgu profesiju vecākie speciālisti
C000168_lv_000	Filozofi, vēsturnieki un politologi
C000169_lv_000	Psihologi
C000170_lv_000	Sociālā darba un konsultāciju vecākie speciālisti
C000171_lv_000	Reliģisko lietu vecākie speciālisti
C000172_lv_000	Rakstnieki, žurnālisti un lingvisti
C000173_lv_000	Rakstnieki un tiem radniecīgu profesiju vecākie speciālisti
C000174_lv_000	Žurnālisti
C000175_lv_000	Tulkotāji, tulki un citi lingvisti
C000176_lv_000	Radošo un izpildītājmākslu mākslinieki
C000177_lv_000	Vizuālo mākslu mākslinieki
C000178_lv_000	Mūziķi, dziedātāji un komponisti
C000179_lv_000	Dejotāji un horeogrāfi
C000180_lv_000	Kino, teātra un tiem radniecīgu jomu režisori un producenti
C000181_lv_000	Aktieri
C000182_lv_000	Radio, televīzijas un citu mediju diktori
C000183_lv_000	Citur neklasificēti mākslinieki radošo un izpildītājmākslu jomā
C000184_lv_000	Speciālisti
C000185_lv_000	Zinātnes un inženierzinātņu speciālisti
C000186_lv_000	Fizikas un inženierzinātņu speciālisti
C000187_lv_000	Ķīmijas un fizikas zinātņu speciālisti
C000188_lv_000	Būvniecības speciālisti
C000189_lv_000	Elektrotehnikas speciālisti
C000190_lv_000	Elektronikas speciālisti
C000191_lv_000	Inženiermehānikas speciālisti
C000192_lv_000	Inženierķīmijas speciālisti
C000193_lv_000	Ieguves rūpniecības un metalurģijas speciālisti
C000194_lv_000	Rasētāji
C000195_lv_000	Citur neklasificēti fizikas un inženierzinātņu speciālisti
C000196_lv_000	Ieguves, apstrādes rūpniecības un būvniecības uzraugi
C000197_lv_000	Ieguves rūpniecības uzraugi
C000198_lv_000	Apstrādes rūpniecības uzraugi
C000199_lv_000	Būvniecības uzraugi
C000200_lv_000	Tehnoloģisko procesu kontroles speciālisti
C000201_lv_000	Elektrostaciju operatori
C000202_lv_000	Atkritumu dedzināšanas un ūdens attīrīšanas iekārtu operatori
C000203_lv_000	Ķīmiskās pārstrādes rūpnīcu operatori
C000204_lv_000	Naftas un dabasgāzes pārstrādes rūpnīcu operatori
C000205_lv_000	Metāla ražošanas procesu speciālisti
C000206_lv_000	Citur neklasificēti tehnoloģisko procesu kontroles speciālisti
C000207_lv_000	Dzīvās dabas zinātņu un tām radniecīgu zinātņu speciālisti
C000208_lv_000	Dzīvās dabas zinātņu speciālisti (izņemot medicīnu)
C000209_lv_000	Lauksaimniecības speciālisti
C000210_lv_000	Mežsaimniecības speciālisti
C000211_lv_000	Kuģu un gaisa kuģu vadītāji un tehniskie speciālisti
C000212_lv_000	Kuģu mehāniķi
C000213_lv_000	Kuģu stūrmaņi un loči
C000214_lv_000	Gaisa kuģu piloti un tiem radniecīgu profesiju speciālisti
C000215_lv_000	Gaisa satiksmes vadības dispečeri
C000216_lv_000	Gaisa satiksmes drošības elektronikas speciālisti
C000217_lv_000	Veselības aprūpes speciālisti
C000218_lv_000	Medicīnas un farmācijas speciālisti
C000219_lv_000	Attēldiagnostikas un terapijas iekārtu speciālisti
C000220_lv_000	Klīnisko un patoloģijas laboratoriju speciālisti
C000221_lv_000	Farmācijas speciālisti un asistenti
C000222_lv_000	Medicīnas ierīču un zobu protēžu speciālisti
C000223_lv_000	Medicīnas māsas un vecmāšu palīgi
C000224_lv_000	Medicīnas māsas
C000225_lv_000	Vecmāšu palīgi
C000226_lv_000	Tradicionālās un komplimentārās medicīnas speciālisti
C000227_lv_000	Tradicionālās un komplimentārās medicīnas speciālisti
C000228_lv_000	Veterinārfeldšeri un veterinārārstu asistenti
C000229_lv_000	Veterinārfeldšeri un veterinārārstu asistenti
C000230_lv_000	Citi veselības aprūpes speciālisti
C000231_lv_000	Zobārstu asistenti un palīgi
C000232_lv_000	Medicīniskās dokumentācijas un informācijas apstrādes speciālisti
C000233_lv_000	Sabiedrības veselības darbinieki
C000234_lv_000	Praktizējoši optiķi
C000235_lv_000	Fizioterapijas speciālisti un asistenti
C000236_lv_000	Medicīniskie asistenti
C000237_lv_000	Vides un arodveselības inspektori un radniecīgu profesiju speciālisti
C000238_lv_000	Neatliekamās medicīniskās palīdzības darbinieki
C000239_lv_000	Citur neklasificēti veselības aprūpes speciālisti
C000240_lv_000	Komercdarbības un pārvaldes (administrācijas) speciālisti
C000241_lv_000	Finanšu un matemātikas speciālisti
C000242_lv_000	Vērtspapīru un finanšu mākleri un brokeri
C000243_lv_000	Kredītu un aizņēmumu speciālisti
C000244_lv_000	Grāmatvedības speciālisti
C000245_lv_000	Statistiķi, matemātiķi un tiem radniecīgu profesiju speciālisti
C000246_lv_000	Novērtētāji un izsolītāji
C000247_lv_000	Tirdzniecības un iepirkumu aģenti un starpnieki
C000248_lv_000	Apdrošināšanas pārstāvji
C000249_lv_000	Tirdzniecības pārstāvji
C000250_lv_000	Iepirkumu speciālisti
C000251_lv_000	Tirdzniecības starpnieki
C000252_lv_000	Komercpakalpojumu speciālisti
C000253_lv_000	Preču pārvadājumu aģenti
C000254_lv_000	Konferenču un pasākumu organizatori
C000255_lv_000	Nodarbinātības aģenti
C000256_lv_000	Nekustamā īpašuma mākleri un īpašumu pārvaldes speciālisti
C000257_lv_000	Citur neklasificēti komercpakalpojumu jomas speciālisti
C000258_lv_000	Administratīvie sekretāri un sekretāri ar specializāciju noteiktā jomā
C000259_lv_000	Biroja vadītāji
C000260_lv_000	Juridiskie sekretāri
C000261_lv_000	Administratīvie sekretāri un izpildsekretāri
C000262_lv_000	Medicīnas jomas sekretāri
C000263_lv_000	Valsts varas īstenošanas speciālisti
C000264_lv_000	Muitnieki un robežinspektori
C000265_lv_000	Valsts nodokļu inspektori
C000266_lv_000	Valsts sociālās apdrošināšanas speciālisti
C000267_lv_000	Valsts licencēšanas speciālisti
C000268_lv_000	Policijas inspektori un izmeklētāji
C000269_lv_000	Citur neklasificēti valsts varas īstenošanas speciālisti
C000270_lv_000	Juridisko, sociālo un kultūras lietu un tām radniecīgu lietu speciālisti
C000271_lv_000	Juridisko, sociālo un reliģijas lietu speciālisti
C000272_lv_000	Juristi un tiem radniecīgu profesiju speciālisti
C000273_lv_000	Sociālā darba speciālisti
C000274_lv_000	Reliģisko lietu speciālisti
C000275_lv_000	Sporta un fiziskās sagatavotības speciālisti
C000276_lv_000	Individuālo un komandu sporta veidu sportisti
C000277_lv_000	Sporta treneri, instruktori un speciālisti
C000278_lv_000	Fiziskās sagatavotības instruktori un sporta pasākumu organizatori
C000279_lv_000	Mākslas, kultūras un kulinārijas speciālisti
C000280_lv_000	Fotogrāfi
C000281_lv_000	Dizaina speciālisti un dekoratori
C000282_lv_000	Galeriju, muzeju un bibliotēku speciālisti
C000283_lv_000	Šefpavāri
C000284_lv_000	Citi mākslas un kultūras speciālisti
C000285_lv_000	Informācijas un komunikāciju speciālisti
C000286_lv_000	Informācijas un komunikāciju tehnoloģiju darbības un lietotāju atbalsta speciālisti
C000287_lv_000	Informācijas un komunikāciju tehnoloģiju darbības speciālisti
C000288_lv_000	Informācijas un komunikāciju tehnoloģiju lietotāju atbalsta speciālisti
C000289_lv_000	Datortīklu un datorsistēmu speciālisti
C000290_lv_000	Tīmekļa vietņu speciālisti
C000291_lv_000	Telekomunikāciju un radiosakaru speciālisti
C000292_lv_000	Radiosakaru un audiovizuālās jomas speciālisti
C000293_lv_000	Inženiertelekomunikāciju speciālisti
C000294_lv_000	Kalpotāji
C000295_lv_000	Vispārīgie kalpotāji un kancelejas tehnikas operatori
C000296_lv_000	Vispārīgie biroja kalpotāji
C000297_lv_000	Vispārīgie biroja kalpotāji
C000298_lv_000	Sekretāri (vispārīgi)
C000299_lv_000	Sekretāri (vispārīgi)
C000300_lv_000	Kancelejas tehnikas operatori
C000301_lv_000	Mašīnrakstītāji un dokumentu sagatavošanas darbinieki
C000302_lv_000	Datu ievadīšanas operatori
C000303_lv_000	Klientu apkalpotāji
C000304_lv_000	Kasieri un tiem radniecīgu profesiju darbinieki
C000305_lv_000	Bankas kasieri un tiem radniecīgu profesiju darbinieki
C000306_lv_000	Bukmeikeri, krupjē un tiem radniecīgi spēļu industrijas darbinieki
C000307_lv_000	Lombardu darbinieki un naudas aizdevēji
C000308_lv_000	Parādu piedzinēji un tiem radniecīgu profesiju darbinieki
C000309_lv_000	Klientu informētāji
C000310_lv_000	Ceļojumu konsultanti un ceļojumu biroju darbinieki
C000311_lv_000	Apkalpošanas un informācijas centru darbinieki
C000312_lv_000	Telefona pārslēgšanas pults operatori
C000313_lv_000	Viesnīcu reģistratori
C000314_lv_000	Uzziņu operatori
C000315_lv_000	Reģistratori (vispārīgi)
C000316_lv_000	Aptauju un tirgus pētījumu veicēji
C000317_lv_000	Citur neklasificēti klientu informēšanas darbinieki
C000318_lv_000	Uzskaites un materiālo vērtību reģistrēšanas darbinieki
C000319_lv_000	Uzskaites darbinieki
C000320_lv_000	Uzskaites un grāmatvedības darbinieki
C000321_lv_000	Statistikas, finanšu un apdrošināšanas darbinieki
C000322_lv_000	Algu aprēķināšanas darbinieki
C000323_lv_000	Materiālo vērtību un transporta darbības uzskaites darbinieki
C000324_lv_000	Noliktavu darbinieki
C000325_lv_000	Ražošanas uzskaites darbinieki
C000326_lv_000	Transporta uzskaites darbinieki
C000327_lv_000	Citi kalpotāji
C000328_lv_000	Citi kalpotāji
C000329_lv_000	Bibliotēku darbinieki
C000330_lv_000	Pasta piegādes un šķirošanas darbinieki
C000331_lv_000	Informācijas kodētāji, korektori un tiem radniecīgu profesiju darbinieki
C000332_lv_000	Rakstveži un tiem radniecīgu profesiju darbinieki
C000333_lv_000	Arhivēšanas un kopēšanas darbu darbinieki
C000334_lv_000	Personāla uzskaites darbinieki
C000335_lv_000	Citur neklasificēti kalpotāji
C000336_lv_000	Pakalpojumu un tirdzniecības darbinieki
C000337_lv_000	Individuālo pakalpojumu jomas darbinieki
C000338_lv_000	Ceļojumu pavadoņi, konduktori un gidi
C000339_lv_000	Ceļojumu pavadoņi un stjuarti
C000340_lv_000	Transporta konduktori
C000341_lv_000	Ceļojumu gidi
C000342_lv_000	Pavāri
C000343_lv_000	Pavāri
C000344_lv_000	Viesmīļi un bārmeņi
C000345_lv_000	Viesmīļi
C000346_lv_000	Bārmeņi
C000347_lv_000	Frizieri, skaistumkopšanas darbinieki un tiem radniecīgu profesiju darbinieki
C000348_lv_000	Frizieri
C000349_lv_000	Skaistumkopšanas un tai radniecīgu profesiju darbinieki
C000350_lv_000	Namu pārziņi un saimniecības vadītāji
C000351_lv_000	Uzkopšanas un saimniecības daļas vadītāji birojos, viesnīcās un citās iestādēs
C000352_lv_000	Saimniecības vadītāji mājsaimniecībās
C000353_lv_000	Ēku uzraugi
C000354_lv_000	Citi individuālo pakalpojumu darbinieki
C000355_lv_000	Astrologi, zīlnieki un tiem radniecīgu profesiju darbinieki
C000356_lv_000	Pavadoņi un sulaiņi
C000357_lv_000	Apbedīšanas pakalpojumu darbinieki
C000358_lv_000	Mājdzīvnieku kopēji un dzīvnieku aprūpes darbinieki
C000359_lv_000	Braukšanas apmācības instruktori
C000360_lv_000	Citur neklasificēti individuālo pakalpojumu jomas darbinieki
C000361_lv_000	Tirdzniecības darbinieki
C000362_lv_000	Ielu un tirgus pārdevēji
C000363_lv_000	Kiosku un tirgus pārdevēji
C000364_lv_000	Ielu pārtikas tirgotāji
C000365_lv_000	Veikalu pārdevēji
C000366_lv_000	Mazu veikalu vadītāji
C000367_lv_000	Vecākie pārdevēji
C000368_lv_000	Veikalu pārdevēji
C000369_lv_000	Kasieri un biļešu pārdevēji
C000370_lv_000	Kasieri un biļešu pārdevēji
C000371_lv_000	Citi tirdzniecības darbinieki
C000372_lv_000	Tērpu demonstrētāji un citi modeļi
C000373_lv_000	Preču demonstrētāji
C000374_lv_000	Komivojažieri
C000375_lv_000	Pārdevēji pa telefonu
C000376_lv_000	Pārdevēji degvielas uzpildes stacijā
C000377_lv_000	Ēdnīcas kasieri-pārdevēji
C000378_lv_000	Citur neklasificēti tirdzniecības darbinieki
C000379_lv_000	Individuālās aprūpes darbinieki
C000380_lv_000	Bērnu pieskatītāji un skolotāju palīgi
C000381_lv_000	Bērnu aprūpes darbinieki
C000382_lv_000	Skolotāju palīgi
C000383_lv_000	Individuālās aprūpes darbinieki veselības pakalpojumu jomā
C000384_lv_000	Veselības aprūpes speciālistu palīgi
C000385_lv_000	Individuālās mājaprūpes darbinieki
C000386_lv_000	Citur neklasificēti individuālās aprūpes darbinieki veselības pakalpojumu jomā
C000387_lv_000	Apsardzes pakalpojumu nozares darbinieki
C000388_lv_000	Apsardzes pakalpojumu darbinieki
C000389_lv_000	Ugunsdzēsēji
C000390_lv_000	Policisti
C000391_lv_000	Cietumsargi
C000392_lv_000	Apsargi
C000393_lv_000	Citur neklasificēti apsardzes pakalpojumu jomas darbinieki
C000394_lv_000	Kvalificēti lauksaimniecības, mežsaimniecības un zivsaimniecības darbinieki
C000395_lv_000	Kvalificēti uz tirdzniecību orientētas lauksaimniecības darbinieki
C000396_lv_000	Kultūraugu audzētāji
C000397_lv_000	Labības un sakņaugu audzētāji
C000398_lv_000	Koku un krūmu audzētāji
C000399_lv_000	Dārznieki, dārza kultūru un stādu audzētāji
C000400_lv_000	Jauktu lauksaimniecības kultūru audzētāji
C000401_lv_000	Lopkopji
C000402_lv_000	Mājlopu un piena lopu audzētāji
C000403_lv_000	Mājputnu audzētāji
C000404_lv_000	Biškopji un zīdtārpiņu audzētāji
C000405_lv_000	Citur neklasificēti lopkopji
C000406_lv_000	Jauktu lauksaimniecības kultūru audzētāji un lopkopji
C000407_lv_000	Jauktu lauksaimniecības kultūru audzētāji un lopkopji
C000408_lv_000	Kvalificēti uz tirdzniecību orientētas mežsaimniecības, zivsaimniecības un medību jomas darbinieki
C000409_lv_000	Mežkopji un tiem radniecīgu profesiju darbinieki
C000410_lv_000	Mežkopji un tiem radniecīgu profesiju darbinieki
C000411_lv_000	Zivsaimniecības darbinieki un mednieki
C000412_lv_000	Akvakultūras jomas darbinieki
C000413_lv_000	Iekšējo ūdeņu un piekrastes zvejnieki
C000414_lv_000	Dziļūdens zvejnieki
C000415_lv_000	Mednieki
C000416_lv_000	Personiskā patēriņa lauksaimnieki, zvejnieki, mednieki un vācēji
C000417_lv_000	Personiskam patēriņam paredzētu lauksaimniecības kultūru audzētāji
C000418_lv_000	Personiskam patēriņam paredzētu lauksaimniecības kultūru audzētāji
C000419_lv_000	Personiskā patēriņa lopkopji
C000420_lv_000	Personiskā patēriņa lopkopji
C000421_lv_000	Personiskam patēriņam paredzētu jauktu lauksaimniecības kultūru audzētāji un lopkopji
C000422_lv_000	Personiskam patēriņam paredzētu jauktu lauksaimniecības kultūru audzētāji un lopkopji
C000423_lv_000	Personiskā patēriņa zvejnieki, mednieki un vācēji
C000424_lv_000	Personiskā patēriņa zvejnieki, mednieki un vācēji
C000425_lv_000	Kvalificēti strādnieki un amatnieki
C000426_lv_000	Būvniecības un radniecīgo profesiju strādnieki, izņemot elektriķus
C000427_lv_000	Būvnieki un tiem radniecīgu profesiju strādnieki
C000428_lv_000	Ēku būvnieki
C000429_lv_000	Mūrnieki un tiem radniecīgo profesiju strādnieki
C000430_lv_000	Mūrnieki un akmeņkaļi
C000431_lv_000	Betonētāji un tiem radniecīgu profesiju strādnieki
C000432_lv_000	Namdari un galdnieki
C000433_lv_000	Citur neklasificēti būvnieki un radniecīgo profesiju strādnieki
C000434_lv_000	Apdares būvdarbu un radniecīgo profesiju strādnieki
C000435_lv_000	Jumiķi
C000436_lv_000	Grīdu seguma klājēji un flīzētāji
C000437_lv_000	Apmetēji
C000438_lv_000	Izolētāji
C000439_lv_000	Stiklinieki
C000440_lv_000	Santehniķi
C000441_lv_000	Gaisa kondicionēšanas un atdzesēšanas iekārtu mehāniķi
C000442_lv_000	Krāsotāji, būvniecības konstrukciju tīrītāji un radniecīgo profesiju strādnieki
C000443_lv_000	Krāsotāji un tiem radniecīgu profesiju darbinieki
C000444_lv_000	Krāsotāji, kas veic krāsošanu ar izsmidzināšanu, un lakotāji
C000445_lv_000	Būvniecības konstrukciju tīrītāji
C000446_lv_000	Metālapstrādes, mašīnbūves un radniecīgo profesiju strādnieki
C000447_lv_000	Valcētāji, skārdnieki un metāla konstrukciju montētāji, metāllējēji, metinātāji un radniecīgo profesiju strādnieki
C000448_lv_000	Metālliešanas veidņu izgatavotāji
C000449_lv_000	Metinātāji un griezēji
C000450_lv_000	Valcētāji un skārdnieki
C000451_lv_000	Metāla konstrukciju sagatavotāji un montētāji
C000452_lv_000	Takelētāji
C000453_lv_000	Kalēji, instrumentu izgatavotāji un radniecīgo profesiju strādnieki
C000454_lv_000	Kalēji un presētāji
C000455_lv_000	Instrumentatslēdznieki un tiem radniecīgu profesiju strādnieki
C000456_lv_000	Metālapstrādes darbgaldu strādnieki un operatori
C000457_lv_000	Metāla pulētāji, slīpētāji un instrumentu asinātāji
C000458_lv_000	Mašīnu mehāniķi un atslēdznieki
C000459_lv_000	Mehānisko transportlīdzekļu mehāniķi un atslēdznieki
C000460_lv_000	Lidmašīnu mehāniķi un atslēdznieki
C000461_lv_000	Lauksaimniecības un rūpniecības mašīnu mehāniķi un atslēdznieki
C000462_lv_000	Velosipēdu atslēdznieki un tiem radniecīgu profesiju strādnieki
C000463_lv_000	Amatnieki un iespieddarbu strādnieki
C000464_lv_000	Amatnieki
C000465_lv_000	Precīzijas izstrādājumu izgatavotāji un labotāji
C000466_lv_000	Mūzikas instrumentu izgatavotāji un skaņotāji
C000467_lv_000	Juvelieri
C000468_lv_000	Podnieki un tiem radniecīgu profesiju strādnieki
C000469_lv_000	Stikla izstrādājumu izgatavotāji un apdarinātāji
C000470_lv_000	Dekoratīvie apgleznotāji, gravētāji un kodinātāji
C000471_lv_000	Koka, pinumu un tiem radniecīgu materiālu mākslas priekšmetu izgatavotāji
