C000001_lt_000	Ginkluotųjų pajėgų profesijos
C000050_lt_000	Viešbučių ir restoranų vadovai
C000051_lt_000	Viešbučių vadovai
C000052_lt_000	Restoranų vadovai
C000053_lt_000	Mažmeninės ir didmeninės prekybos vadovai
C000054_lt_000	Mažmeninės ir didmeninės prekybos vadovai
C000055_lt_000	Kitų paslaugų sričių vadovai
C000056_lt_000	Sporto, laisvalaikio ir kultūros centrų vadovai
C000057_lt_000	Kitur nepriskirti profesinių paslaugų srities vadovai
C000058_lt_000	Specialistai
C000059_lt_000	Mokslo ir inžinerijos specialistai
C000060_lt_000	Fizinių ir žemės mokslų specialistai
C000061_lt_000	Fizikai ir astronomai
C000062_lt_000	Meteorologai
C000063_lt_000	Chemikai
C000064_lt_000	Geologai ir geofizikai
C000065_lt_000	Matematikai, aktuarijai ir statistikai
C000066_lt_000	Matematikai, aktuarai ir statistikai
C000067_lt_000	Gyvosios gamtos mokslų specialistai
C000068_lt_000	Biologai, botanikai, zoologai ir susijusių profesijų specialistai
C000069_lt_000	Žemės ir miškų ūkio bei žuvininkystės konsultantai
C000070_lt_000	Aplinkos apsaugos specialistai
C000071_lt_000	Inžinerijos specialistai (išskyrus elektros technologijų)
C000072_lt_000	Technologijų ir gamybos inžinieriai
C000073_lt_000	Civilinės statybos inžinieriai
C000074_lt_000	Aplinkos apsaugos inžinieriai
C000075_lt_000	Mechanikos inžinieriai
C000076_lt_000	Chemijos inžinieriai
C000077_lt_000	Gavybos inžinieriai, metalurgai ir susijusių profesijų specialistai
C000078_lt_000	Kitur nepriskirti inžinerijos specialistai
C000079_lt_000	Elektros technologijų inžinieriai
C000080_lt_000	Elektros inžinieriai
C000081_lt_000	Elektronikos inžinieriai
C000082_lt_000	Telekomunikacijų inžinieriai
C000083_lt_000	Architektai, planuotojai, topografai ir dizaineriai
C000084_lt_000	Statybos architektai
C000085_lt_000	Kraštovaizdžio architektai
C000086_lt_000	Produktų ir drabužių dizaineriai
C000087_lt_000	Miestų ir kelių eismo planuotojai
C000088_lt_000	Kartografai ir topografai
C000089_lt_000	Grafikos ir multimedijos dizaineriai
C000090_lt_000	Sveikatos priežiūros specialistai
C000091_lt_000	Gydytojai
C000092_lt_000	Bendrosios praktikos gydytojai
C000093_lt_000	Gydytojai specialistai
C000094_lt_000	Slaugos ir akušerijos specialistai
C000095_lt_000	Slaugos specialistai
C000096_lt_000	Akušerijos specialistai
C000097_lt_000	Tradicinės ir liaudies medicinos specialistai
C000098_lt_000	Tradicinės ir liaudies medicinos specialistai
C000099_lt_000	Paramedikai
C000100_lt_000	Paramedikai
C000101_lt_000	Veterinarai
C000102_lt_000	Veterinarai
C000103_lt_000	Kiti sveikatos priežiūros specialistai
C000104_lt_000	Gydytojai odontologai
C000105_lt_000	Vaistininkai
C000106_lt_000	Aplinkos ir profesinės sveikatos ir higienos specialistai
C000107_lt_000	Fizioterapeutai
C000108_lt_000	Dietistai ir mitybos specialistai
C000109_lt_000	Audiologai ir kalbos terapeutai
C000110_lt_000	Optometrijos specialistai ir optikai
C000111_lt_000	Kitur nepriskirti sveikatos priežiūros specialistai
C000112_lt_000	Mokymo specialistai
C000113_lt_000	Aukštųjų mokyklų dėstytojai
C000114_lt_000	Aukštųjų mokyklų dėstytojai
C000115_lt_000	Profesijos mokytojai
C000116_lt_000	Profesijos mokytojai
C000117_lt_000	Pagrindinio ir vidurinio ugdymo mokytojai
C000118_lt_000	Pagrindinio ir vidurinio ugdymo mokytojai
C000119_lt_000	Pradinio ir ikimokyklinio ugdymo mokytojai
C000120_lt_000	Pradinio ugdymo mokytojai
C000121_lt_000	Ikimokyklinio ugdymo mokytojai
C000122_lt_000	Kiti mokymo specialistai
C000123_lt_000	Švietimo metodų specialistai
C000124_lt_000	Specialiųjų poreikių mokinių mokytojai
C000125_lt_000	Kiti kalbų mokytojai
C000126_lt_000	Kiti muzikos mokytojai
C000127_lt_000	Kiti meninio ugdymo mokytojai
C000128_lt_000	Informacinių technologijų mokytojai
C000129_lt_000	Kitur nepriskirti mokymo specialistai
C000130_lt_000	Verslo ir administravimo specialistai
C000131_lt_000	Finansų specialistai
C000132_lt_000	Buhalteriai
C000133_lt_000	Finansų ir investicijų konsultantai
C000134_lt_000	Finansų analitikai
C000135_lt_000	Administravimo specialistai
C000136_lt_000	Vadybos ir organizavimo analitikai
C000137_lt_000	Politikos administravimo specialistai
C000138_lt_000	Personalo ir profesinio orientavimo specialistai
C000139_lt_000	Mokymo ir darbuotojų ugdymo specialistai
C000140_lt_000	Pardavimo, rinkodaros ir ryšių su visuomene specialistai
C000141_lt_000	Reklamos ir rinkodaros specialistai
C000142_lt_000	Ryšių su visuomene specialistai
C000143_lt_000	Techninės ir medicinos sričių pardavimo specialistai (išskyrus informacinių technologijų ir ryšių)
C000144_lt_000	Informacinių technologijų ir ryšių paslaugų pardavimo specialistai
C000145_lt_000	Informacinių technologijų ir ryšių specialistai
C000146_lt_000	Programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
C000147_lt_000	Sistemų analitikai
C000148_lt_000	Programinės įrangos kūrėjai
C000149_lt_000	Saityno ir multimedijos kūrėjai
C000150_lt_000	Taikomųjų programų programuotojai
C000151_lt_000	Kitur nepriskirti programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
C000152_lt_000	Duomenų bazių ir tinklų specialistai
C000153_lt_000	Duomenų bazių projektuotojai ir administratoriai
C000154_lt_000	Sistemų administratoriai
C000155_lt_000	Kompiuterių tinklų specialistai
C000156_lt_000	Kitur nepriskirti duomenų bazių ir tinklų specialistai
C000157_lt_000	Teisės, socialinės ir kultūros sričių specialistai
C000158_lt_000	Teisės specialistai
C000159_lt_000	Teisininkai
C000160_lt_000	Teisėjai
C000161_lt_000	Kitur nepriskirti teisės specialistai
C000162_lt_000	Bibliotekininkai, archyvų ir muziejų specialistai
C000163_lt_000	Archyvų ir muziejų specialistai
C000164_lt_000	Bibliotekininkai ir kiti informacijos specialistai
C000165_lt_000	Socialinės ir religinės sričių specialistai
C000166_lt_000	Ekonomistai
C000167_lt_000	Sociologai, antropologai ir susijusių profesijų specialistai
C000168_lt_000	Filosofai, istorikai ir politologai
C000169_lt_000	Psichologai
C000170_lt_000	Socialiniai darbuotojai ir konsultantai
C000171_lt_000	Religijų specialistai
C000172_lt_000	Autoriai, žurnalistai ir lingvistai
C000173_lt_000	Autoriai ir susiję rašytojai
C000174_lt_000	Žurnalistai
C000175_lt_000	Vertėjai raštu, vertėjai žodžiu ir kiti lingvistai
C000176_lt_000	Kūrybiniai darbuotojai ir atlikėjai
C000177_lt_000	Regimojo meno kūrėjai ir atlikėjai
C000178_lt_000	Muzikantai, dainininkai ir kompozitoriai
C000179_lt_000	Šokėjai ir choreografai
C000180_lt_000	Kino, teatro ir susijusių sričių režisieriai ir prodiuseriai
C000181_lt_000	Aktoriai
C000182_lt_000	Radijo, televizijos ir kitų informacijos sklaidos priemonių diktoriai
C000183_lt_000	Kitur nepriskirti kūrybiniai darbuotojai ir atlikėjai
C000184_lt_000	Technikai ir jaunesnieji specialistai
C000185_lt_000	Jaunesnieji mokslo ir inžinerijos specialistai
C000186_lt_000	Fizinių ir inžinerijos mokslų technikai
C000187_lt_000	Chemijos ir fizinių mokslų technikai
C000188_lt_000	Civilinės inžinerijos technikai
C000189_lt_000	Elektrotechnikai
C000190_lt_000	Elektronikos inžinerijos technikai
C000191_lt_000	Mechanikos inžinerijos technikai
C000192_lt_000	Cheminės inžinerijos technikai
C000193_lt_000	Gavybos ir metalurgijos technikai
C000194_lt_000	Braižytojai
C000195_lt_000	Kitur nepriskirti, fizinių ir inžinerijos mokslų technikai
C000196_lt_000	Gavybos, gamybos ir statybos darbų prižiūrėtojai
C000197_lt_000	Gavybos darbų prižiūrėtojai
C000198_lt_000	Gamybos darbų prižiūrėtojai
C000199_lt_000	Statybos darbų prižiūrėtojai
C000200_lt_000	Technologinių procesų valdymo technikai
C000201_lt_000	Elektrinių operatoriai
C000202_lt_000	Atliekų deginimo ir vandens valymo įrenginių operatoriai
C000203_lt_000	Cheminio apdorojimo įrenginių operatoriai
C000204_lt_000	Naftos ir gamtinių dujų perdirbimo įrenginių operatoriai
C000205_lt_000	Metalurgijos technologinių procesų valdymo įrangos operatoriai
C000206_lt_000	Kitur nepriskirti technologinių procesų valdymo technikai
C000207_lt_000	Gyvosios gamtos mokslų technikai ir jaunesnieji susijusių profesijų specialistai
C000208_lt_000	Gyvosios gamtos mokslų technikai (išskyrus medicinos)
C000209_lt_000	Žemės ūkio technikai
C000210_lt_000	Miškininkystės technikai
C000211_lt_000	Laivų ir aviacijos valdymo vadovai ir technikai
C000212_lt_000	Laivų mechanikai
C000213_lt_000	Laivavedžiai ir kapitonai
C000214_lt_000	Orlaivių pilotai ir jaunesnieji susijusių profesijų specialistai
C000215_lt_000	Skrydžių vadovai
C000216_lt_000	Skrydžių saugos elektronikos technikai
C000217_lt_000	Jaunesnieji sveikatos priežiūros specialistai
C000218_lt_000	Medicinos ir farmacijos technikai
C000219_lt_000	Medicininio vizualizavimo ir medicininės įrangos technikai
C000220_lt_000	Medicinos ir patologijos laboratorijų technikai
C000221_lt_000	Farmacijos technikai ir vaistininkų padėjėjai
C000222_lt_000	Medicinos ir dantų technikai
C000223_lt_000	Jaunesnieji slaugos ir akušerijos specialistai
C000224_lt_000	Jaunesnieji slaugos specialistai
C000225_lt_000	Jaunesnieji akušerijos specialistai
C000226_lt_000	Jaunesnieji tradicinės ir liaudies medicinos specialistai
C000227_lt_000	Jaunesnieji tradicinės ir liaudies medicinos specialistai
C000228_lt_000	Veterinarijos technikai ir felčeriai
C000229_lt_000	Veterinarijos technikai ir felčeriai
C000230_lt_000	Kiti jaunesnieji sveikatos priežiūros specialistai
C000231_lt_000	Gydytojo odontologo padėjėjai ir burnos higienistai
C000232_lt_000	Medicininių įrašų ir sveikatos informacijos technikai
C000233_lt_000	Visuomenės sveikatos priežiūros darbuotojai
C000234_lt_000	Optikos technikai
C000235_lt_000	Fizioterapijos technikai ir fizioterapeutų padėjėjai
C000236_lt_000	Gydytojo padėjėjai
C000237_lt_000	Aplinkos ir profesinės sveikatos inspektoriai ir darbuotojai
C000238_lt_000	Greitosios medicinos pagalbos darbuotojai
C000239_lt_000	Kitur nepriskirti jaunesnieji sveikatos priežiūros specialistai
C000240_lt_000	Jaunesnieji verslo ir administravimo specialistai
C000241_lt_000	Jaunesnieji finansų ir matematikos specialistai
C000242_lt_000	Vertybinių popierių ir finansų makleriai ir brokeriai
C000243_lt_000	Kreditų ir paskolų vadybininkai
C000244_lt_000	Jaunesnieji apskaitos specialistai
C000245_lt_000	Statistikai, matematikai ir jaunesnieji susijusių profesijų specialistai
C000246_lt_000	Vertintojai ir nuostolių vertintojai
C000247_lt_000	Pardavimo ir pirkimo agentai ir brokeriai
C000248_lt_000	Draudimo agentai
C000249_lt_000	Pardavimo atstovai
C000250_lt_000	Pirkimo specialistai
C000251_lt_000	Prekybos brokeriai
C000252_lt_000	Verslo paslaugų agentai
C000253_lt_000	Muitinės dokumentų tvarkymo ir prekių vežimo agentai
C000254_lt_000	Konferencijų ir renginių planuotojai
C000255_lt_000	Įdarbinimo agentai ir darbo sutarčių sudarytojai
C000256_lt_000	Nekilnojamojo turto agentai ir turto valdytojai
C000257_lt_000	Kitur nepriskirti verslo paslaugų agentai
C000258_lt_000	Administracijos ir specialių sričių sekretoriai
C000259_lt_000	Įstaigų tarnautojų prižiūrėtojai
C000260_lt_000	Sekretoriai teisininkai
C000261_lt_000	Administracijos ir vykdomieji sekretoriai
C000262_lt_000	Medicinos sekretoriai
C000263_lt_000	Jaunesnieji valstybės tarnybų specialistai
C000264_lt_000	Muitinės ir pasienio inspektoriai
C000265_lt_000	Mokesčių ir akcizo tarnybų pareigūnai
C000266_lt_000	Socialinių išmokų pareigūnai
C000267_lt_000	Licencijų išdavimo pareigūnai
C000268_lt_000	Policijos inspektoriai ir sekliai
C000269_lt_000	Kitur nepriskirti jaunesnieji valstybinių tarnybų specialistai
C000270_lt_000	Jaunesnieji teisės, socialinės srities, kultūros ir susijusių profesijų specialistai
C000271_lt_000	Jaunesnieji teisės, socialinių ir religijos profesijų specialistai
C000272_lt_000	Jaunesnieji teisės ir susijusių profesijų specialistai
C000273_lt_000	Jaunesnieji socialiniai darbuotojai
C000274_lt_000	Jaunesnieji religijos profesijų specialistai
C000275_lt_000	Sporto ir kūno rengybos darbuotojai
C000276_lt_000	Sportininkai ir žaidėjai
C000277_lt_000	Sporto treneriai, instruktoriai ir pareigūnai
C000278_lt_000	Kūno rengybos ir poilsio instruktoriai ir programų vadovai
C000279_lt_000	Jaunesnieji meno, kultūros ir kulinarijos specialistai
C000280_lt_000	Fotografai
C000281_lt_000	Interjero dizaineriai ir dekoratoriai
C000282_lt_000	Galerijų, muziejų ir bibliotekų technikai
C000283_lt_000	Vyriausieji virėjai
C000284_lt_000	Kiti jaunesnieji meno ir kultūros specialistai
C000285_lt_000	Informacinių ir ryšių sistemų technikai
C000286_lt_000	Informacinių technologijų ir ryšių sistemų eksploatavimo ir pagalbos jų naudotojams technikai
C000287_lt_000	Informacinių technologijų ir ryšių sistemų eksploatavimo technikai
C000288_lt_000	Pagalbos informacinių technologijų ir ryšių sistemų naudotojams technikai
C000289_lt_000	Kompiuterių tinklų ir sistemų technikai
C000290_lt_000	Saityno technikai
C000291_lt_000	Telekomunikacijų ir transliavimo technikai
C000292_lt_000	Transliavimo ir garso bei vaizdo sistemų technikai
C000293_lt_000	Telekomunikacijų inžinerijos technikai
C000294_lt_000	Įstaigų tarnautojai
C000295_lt_000	Tarnautojai ir klavišinių įtaisų operatoriai, atliekantys bendras funkcijas
C000296_lt_000	Įstaigų tarnautojai, atliekantys bendras funkcijas
C000297_lt_000	Įstaigų tarnautojai, atliekantys bendras funkcijas
C000298_lt_000	Sekretoriai (atliekantys bendras funkcijas)
C000299_lt_000	Sekretoriai (atliekantys bendras funkcijas)
C000300_lt_000	Klavišinių įtaisų operatoriai
C000301_lt_000	Mašininkai ir tekstų tvarkybos operatoriai
C000302_lt_000	Duomenų įvesties operatoriai
C000303_lt_000	Klientų aptarnavimo tarnautojai
C000304_lt_000	Kasininkai ir susijusių profesijų tarnautojai
C000305_lt_000	Bankų kasininkai ir panašūs tarnautojai
C000306_lt_000	Lažybų tarpininkai, lošimo namų tarnautojai ir susiję lošimų tarnautojai
C000307_lt_000	Lombardų tarnautojai ir pinigų skolintojai
C000308_lt_000	Skolų išieškotojai ir susijusių profesijų tarnautojai
C000309_lt_000	Klientų informavimo tarnautojai
C000310_lt_000	Kelionių konsultantai ir tarnautojai
C000311_lt_000	Ryšių centro informavimo tarnautojai
C000312_lt_000	Telefono stoties operatoriai
C000313_lt_000	Viešbučių registratoriai
C000314_lt_000	Tarnautojai, atsakantys į užklausas
C000315_lt_000	Klientų priėmimo tarnautojai (atliekantys bendras funkcijas)
C000316_lt_000	Tyrimų ir rinkotyros apklausėjai
C000317_lt_000	Kitur nepriskirti klientų informavimo tarnautojai
C000318_lt_000	Apskaitos, statistikos, finansų ir materialinių vertybių apskaitos tarnautojai
C000319_lt_000	Apskaitos, statistikos ir finansų tarnautojai
C000320_lt_000	Apskaitos ir buhalterijos tarnautojai
C000321_lt_000	Statistikos, finansų ir draudimo tarnautojai
C000322_lt_000	Darbo užmokesčio apskaitos tarnautojai
C000323_lt_000	Materialinių vertybių apskaitos ir transporto tarnautojai
C000324_lt_000	Sandėliavimo tarnautojai
C000325_lt_000	Tiekimo tarnautojai
C000326_lt_000	Transporto tarnautojai
C000327_lt_000	Kiti įstaigų tarnautojai
C000328_lt_000	Kiti įstaigų tarnautojai
C000329_lt_000	Bibliotekų tarnautojai
C000330_lt_000	Paštininkai ir panašių profesijų tarnautojai
C000331_lt_000	Informacijos kodavimo, korektūros ir kitokios tvarkybos tarnautojai
C000332_lt_000	Raštininkai ir susijusių profesijų tarnautojai
C000333_lt_000	Kartotekų ir kopijavimo tarnautojai
C000334_lt_000	Darbuotojų informacijos tarnautojai
C000335_lt_000	Kitur nepriskirti įstaigų tarnautojai
C000336_lt_000	Paslaugų sektoriaus darbuotojai ir pardavėjai
C000337_lt_000	Paslaugų asmenims darbuotojai
C000338_lt_000	Kelionių palydovai, konduktoriai ir gidai
C000339_lt_000	Kelionių palydovai
C000340_lt_000	Transporto konduktoriai
C000341_lt_000	Kelionių gidai
C000342_lt_000	Virėjai
C000343_lt_000	Virėjai
C000344_lt_000	Padavėjai ir barmenai
C000345_lt_000	Padavėjai
C000346_lt_000	Barmenai
C000347_lt_000	Kirpėjai, kosmetologai ir susijusių profesijų darbuotojai
C000348_lt_000	Kirpėjai
C000349_lt_000	Kosmetologai ir susijusių profesijų darbuotojai
C000350_lt_000	Ūkvedžiai, valytojų ir kambarinių koordinatoriai
C000351_lt_000	Biurų, viešbučių ir kitų įstaigų ūkvedžiai, valytojų ir kambarinių prižiūrėtojai
C000352_lt_000	Namų ūkio ūkvedžiai
C000353_lt_000	Pastatų sargai ir prižiūrėtojai
C000354_lt_000	Kiti paslaugų asmenims darbuotojai
C000355_lt_000	Astrologai, būrėjai ir susijusių profesijų darbuotojai
C000356_lt_000	Tarnai ir palydovai
C000357_lt_000	Laidojimo paslaugų darbuotojai ir balzamuotojai
C000358_lt_000	Gyvūnų augintinių kirpėjai ir gyvūnų priežiūros darbuotojai
C000359_lt_000	Vairavimo instruktoriai
C000360_lt_000	Kitur nepriskirti paslaugų asmenims darbuotojai
C000361_lt_000	Pardavėjai
C000362_lt_000	Gatvės prekystalių ir turgaus prekeiviai
C000363_lt_000	Kioskų pardavėjai ir turgaus prekeiviai
C000364_lt_000	Gatvės maisto prekeiviai
C000365_lt_000	Parduotuvių pardavėjai
C000366_lt_000	Krautuvininkai
C000367_lt_000	Parduotuvių prižiūrėtojai
C000368_lt_000	Parduotuvių pardavėjai
C000369_lt_000	Kasininkai ir bilietų pardavėjai
C000370_lt_000	Kasininkai ir bilietų pardavėjai
C000371_lt_000	Kiti pardavėjai
C000372_lt_000	Madų ir panašūs demonstruotojai
C000373_lt_000	Prekių demonstruotojai
C000374_lt_000	Išnešiojamosios prekybos pardavėjai
C000375_lt_000	Ryšių centro pardavėjai
C000376_lt_000	Degalinių operatoriai
C000377_lt_000	Maitinimo paslaugų prekystalių pardavėjai
C000378_lt_000	Kitur nepriskirti pardavėjai
C000379_lt_000	Asmens priežiūros darbuotojai
C000380_lt_000	Vaikų priežiūros darbuotojai ir mokytojų padėjėjai
C000381_lt_000	Vaikų priežiūros darbuotojai
C000382_lt_000	Mokytojų padėjėjai
C000383_lt_000	Asmens sveikatos priežiūros darbuotojai
C000384_lt_000	Asmens sveikatos priežiūros padėjėjai
C000385_lt_000	Asmens priežiūros namuose darbuotojai
C000386_lt_000	Kitur nepriskirti asmens sveikatos priežiūros darbuotojai
C000387_lt_000	Apsaugos darbuotojai
C000388_lt_000	Apsaugos darbuotojai
C000389_lt_000	Ugniagesiai
C000390_lt_000	Policijos pareigūnai
C000391_lt_000	Įkalinimo įstaigų sargybiniai
C000392_lt_000	Apsaugos darbuotojai
C000393_lt_000	Kitur nepriskirti apsaugos darbuotojai
C000394_lt_000	Kvalifikuoti žemės ūkio, miškininkystės ir žuvininkystės darbininkai
C000395_lt_000	Kvalifikuoti prekinio žemės ūkio darbininkai
C000396_lt_000	Augalų augintojai
C000397_lt_000	Kultūrinių lauko augalų ir daržovių augintojai
C000398_lt_000	Vaismedžių ir vaiskrūmių augintojai
C000399_lt_000	Sodininkai, daržininkai, medelynų ir daigynų darbuotojai
C000400_lt_000	Mišriųjų kultūrinių augalų augintojai
C000401_lt_000	Gyvūnų augintojai
C000402_lt_000	Gyvulių augintojai
C000403_lt_000	Naminių paukščių augintojai
C000404_lt_000	Bitininkai ir šilkverpių augintojai
C000405_lt_000	Kitur nepriskirti gyvūnų augintojai
C000406_lt_000	Augalų ir gyvūnų augintojai
C000407_lt_000	Augalų ir gyvūnų augintojai
C000408_lt_000	Kvalifikuoti prekinės miškininkystės, žuvininkystės ir medžioklės darbininkai
C000409_lt_000	Miškininkystės ir susijusių profesijų darbininkai
C000410_lt_000	Miškininkystės ir susijusių profesijų darbininkai
C000411_lt_000	Žuvininkai ir medžiotojai
C000412_lt_000	Akvakultūros darbininkai
C000413_lt_000	Vidaus ir jūros pakrantės vandenų žvejai
C000414_lt_000	Giliavandenės žvejybos žvejai
C000415_lt_000	Medžiotojai
C000416_lt_000	Natūraliojo ūkio ūkininkai, žvejai, medžiotojai, miško gėrybių ir vaistažolių rinkėjai
C000417_lt_000	Natūraliojo žemės ūkio kultūrinių augalų augintojai
C000418_lt_000	Natūraliojo žemės ūkio kultūrinių augalų augintojai
C000419_lt_000	Natūraliojo žemės ūkio gyvulių augintojai
C000420_lt_000	Natūraliojo žemės ūkio gyvulių augintojai
C000421_lt_000	Natūraliojo žemės ūkio kultūrinių augalų ir gyvulių augintojai
C000422_lt_000	Natūraliojo žemės ūkio kultūrinių augalų ir gyvulių augintojai
C000423_lt_000	Natūraliojo ūkio žvejai, medžiotojai, miško gėrybių ir vaistažolių rinkėjai
C000424_lt_000	Natūraliojo ūkio žvejai, medžiotojai, miško gėrybių ir vaistažolių rinkėjai
C000425_lt_000	Kvalifikuoti darbininkai ir amatininkai
C000426_lt_000	Statybininkai ir susijusių profesijų darbininkai, išskyrus elektrikus
C000427_lt_000	Statybininkai montuotojai ir susijusių profesijų darbininkai
C000428_lt_000	Statybininkai
C000429_lt_000	Plytų mūrytojai ir susijusių profesijų darbininkai
C000430_lt_000	Akmens mūrytojai, akmenskaldžiai, akmentašiai ir raižytojai
C000431_lt_000	Betonuotojai, tinkuotojai ir susijusių profesijų darbininkai
C000432_lt_000	Dailidės ir staliai
C000433_lt_000	Kitur nepriskirti statybininkai montuotojai ir susijusių profesijų darbininkai
C000434_lt_000	Statybininkai apdailininkai ir susijusių profesijų darbininkai
C000435_lt_000	Stogdengiai
C000436_lt_000	Grindų ir plytelių klojėjai
C000437_lt_000	Tinkuotojai
C000438_lt_000	Darbininkai izoliuotojai
C000439_lt_000	Stikliai
C000440_lt_000	Vandentiekininkai ir vamzdynų montuotojai
C000441_lt_000	Oro kondicionavimo ir šaldymo įrenginių mechanikai
C000442_lt_000	Dažytojai, statybos konstrukcijų valytojai ir susijusių profesijų darbininkai
C000443_lt_000	Dažytojai ir susijusių profesijų darbininkai
C000444_lt_000	Dažytojai purškėjai ir lakuotojai
C000445_lt_000	Statybos konstrukcijų valytojai
C000446_lt_000	Metalo apdirbimo, mašinų gamybos ir susijusių profesijų darbininkai
C000447_lt_000	Skardininkai, metalinių konstrukcijų ruošėjai, montuotojai, metalo liejikai, formuotojai, suvirintojai ir susijusių profesijų darbininkai
C000448_lt_000	Metalo liejikai ir liejimo formų gamintojai
C000449_lt_000	Suvirintojai
C000450_lt_000	Valcuotojai, skardininkai ir susijusių profesijų darbininkai
C000451_lt_000	Metalinių konstrukcijų ruošėjai ir montuotojai
C000452_lt_000	Takelažininkai, lynų montuotojai ir sujungėjai
C000453_lt_000	Kalviai, įrankininkai ir susijusių profesijų darbininkai
C000454_lt_000	Kalviai, štampuotojai ir kalimo presų operatoriai
C000455_lt_000	Įrankininkai ir susijusių profesijų darbininkai
C000456_lt_000	Metalo apdirbimo staklių derintojai ir operatoriai
C000457_lt_000	Metalo poliruotojai, šlifuotojai ir įrankių galąstojai
C000458_lt_000	Mašinų mechanikai ir taisytojai
C000459_lt_000	Variklinių transporto priemonių mechanikai ir taisytojai
C000460_lt_000	Orlaivių variklių mechanikai ir taisytojai
C000461_lt_000	Pramonės ir žemės ūkio mašinų mechanikai ir taisytojai
C000462_lt_000	Dviračių ir panašių mechanizmų taisytojai
C000463_lt_000	Amatininkai ir spausdinimo darbininkai
C000464_lt_000	Amatininkai
C000465_lt_000	Tiksliųjų prietaisų ir įrankių gamintojai ir taisytojai
C000466_lt_000	Muzikos instrumentų gamintojai ir derintojai
C000467_lt_000	Juvelyrai ir tauriųjų metalų apdirbėjai
C000468_lt_000	Keramikai, puodžiai ir susijusių profesijų darbininkai
C000469_lt_000	Stiklo dirbinių meistrai, pjaustytojai ir šlifuotojai
C000470_lt_000	Ženklų kūrėjai, piešėjai, graveriai ir ėsdintojai
C000471_lt_000	Amatininkai, gaminantys dirbinius iš medienos, vytelių ir panašių medžiagų
C000472_lt_000	Amatininkai, gaminantys dirbinius iš tekstilės, odos ir panašių medžiagų
C000473_lt_000	Kitur nepriskirti amatininkai
C000474_lt_000	Spausdinimo darbininkai
C000475_lt_000	Spausdinimo formų surinkėjai ir paruošėjai
C000476_lt_000	Spaustuvininkai
C000477_lt_000	Spaudinių įrišimo darbininkai ir knygrišiai
C000478_lt_000	Elektromechaninių ir elektroninių įrenginių mechanikai
