C000001_da_000	Militært arbejde
C000059_da_000	Arbejde inden for naturvidenskab og ingeniørvirksomhed
C000060_da_000	Arbejde inden for fysik og geologi
C000061_da_000	Arbejde inden for fysik og astronomi
C000062_da_000	Arbejde inden for meteorologi
C000063_da_000	Arbejde inden for kemi
C000064_da_000	Arbejde inden for geologi og geofysik
C000065_da_000	Arbejde med matematiske, aktuariske og statistiske metoder og teorier
C000066_da_000	Arbejde med matematiske, aktuariske og statistiske metoder og teorier
C000067_da_000	Arbejde inden for biovidenskab
C000068_da_000	Arbejde inden for biologi, botanik, zoologi og beslægtede områder
C000069_da_000	Rådgivning inden for landbrug, skovbrug og fiskeri
C000070_da_000	Arbejde inden for miljøbeskyttelse
C000071_da_000	Ingeniørarbejde (undtagen inden for elektroteknologi)
C000072_da_000	Ingeniørarbejde i industri og produktion
C000073_da_000	Ingeniørarbejde vedrørende bygninger og anlæg
C000074_da_000	Ingeniørarbejde inden for miljø
C000075_da_000	Ingeniørarbejde inden for mekaniske systemer
C000076_da_000	Ingeniørarbejde inden for kemi
C000077_da_000	Ingeniørarbejde inden for minedrift, metallurgi og beslægtede områder
C000078_da_000	Andet ingeniørarbejde (undtagen elektroteknologi)
C000079_da_000	Ingeniørarbejde inden for elektroteknologi
C000080_da_000	Ingeniørarbejde inden for elektricitet
C000081_da_000	Ingeniørarbejde inden for elektronik
C000082_da_000	Ingeniørarbejde inden for telekommunikation
C000083_da_000	Arbejde med arkitektur, infrastruktur og design
C000084_da_000	Arbejde med bygningsarkitektur
C000085_da_000	Arbejde med landskabsarkitektur
C000086_da_000	Arbejde med produkt- og tøjdesign
C000087_da_000	Arbejde med by- og trafikplanlægning
C000088_da_000	Arbejde med kartografi og landinspektørarbejde
C000089_da_000	Arbejde med grafisk og multimediedesign
C000090_da_000	Arbejde inden for sundhedsområdet
C000091_da_000	Lægearbejde
C000092_da_000	Alment lægearbejde
C000093_da_000	Speciallægearbejde
C000094_da_000	Sygeplejerske- og jordemoderarbejde
C000095_da_000	Sygeplejerskearbejde
C000096_da_000	Jordemoderarbejde
C000097_da_000	Arbejde inden for naturmedicin og alternativ behandling
C000098_da_000	Arbejde inden for naturmedicin og alternativ behandling
C000099_da_000	Paramedicinsk arbejde
C000100_da_000	Paramedicinsk arbejde
C000101_da_000	Dyrlægearbejde
C000102_da_000	Dyrlægearbejde
C000103_da_000	Andet sundhedsarbejde
C000104_da_000	Tandlægearbejde
C000105_da_000	Farmaceutarbejde
C000106_da_000	Arbejde inden for arbejdsmiljø og hygiejne
C000107_da_000	Fysioterapeut- og afspændingspædagogarbejde
C000108_da_000	Kost- og ernæringsarbejde
C000109_da_000	Arbejde inden for audiologi og logopædi
C000110_da_000	Optiker/optometristarbejde
C000111_da_000	Sundhedsarbejde ikke klassificeret andetsteds
C000112_da_000	Undervisning og pædagogisk arbejde
C000113_da_000	Undervisning og forskning ved universiteter og højere læreranstalter
C000114_da_000	Undervisning og forskning på universiteter og højere læreranstalter
C000115_da_000	Undervisning ved erhvervsuddannelser
C000116_da_000	Undervisning ved erhvervsuddannelser
C000117_da_000	Undervisning på gymnasialt niveau
C000118_da_000	Undervisning på gymnasialt niveau
C000119_da_000	Undervisning og pædagogisk arbejde
C000120_da_000	Undervisning på grundskoleniveau (inkl. 10. klasse)
C000121_da_000	Undervisning før grundskoleniveau
C000122_da_000	Andet undervisnings- og pædagogisk arbejde
C000123_da_000	Forskning, udvikling og rådgivning inden for undervisningsmetoder
C000124_da_000	Specialundervisning
C000125_da_000	Anden sprogundervisning
C000126_da_000	Anden musik- og sangundervisning
C000127_da_000	Anden undervisning inden for kreative fag
C000128_da_000	Anden undervisning inden for informationsteknologi
C000129_da_000	Undervisnings- og pædagogisk arbejde ikke klassificeret andetsteds
C000130_da_000	Arbejde, der forudsætter viden på højeste niveau inden for økonomi, administration og salg
C000131_da_000	Arbejde inden for finans og økonomi
C000132_da_000	Revisions- og regnskabscontrollerarbejde
C000133_da_000	Rådgivning inden for finans, forsikring og investering
C000134_da_000	Arbejde med analyse, udvikling og vedligeholdelse inden for finans og forsikring
C000135_da_000	Arbejde inden for virksomhedsadministration — privat og offentlig
C000136_da_000	Analytikerarbejde inden for ledelse og virksomhedsorganisation
C000137_da_000	Arbejde med virksomhedsstrategi/policy
C000138_da_000	Arbejde med analyse og rådgivning inden for HR
C000139_da_000	Arbejde med personaleudvikling og -oplæring
C000140_da_000	Arbejde inden for salg, marketing og PR
C000141_da_000	Arbejde inden for reklame og marketing
C000142_da_000	Arbejde inden for PR
C000143_da_000	Arbejde inden for teknisk og medicinsk salg (undtagen informations- og kommunikationsteknologi)
C000144_da_000	Arbejde inden for salg af informations- og kommunikationsteknologi
C000145_da_000	Arbejde inden for informations- og kommunikationsteknologi
C000146_da_000	Udvikling og analyse af software og applikationer
C000147_da_000	Systemanalytikerarbejde
C000148_da_000	Softwareudvikling
C000149_da_000	Web- og multimedieudvikling
C000150_da_000	Vedligeholdelse og dokumentation af software
C000151_da_000	Andet arbejde med software, herunder test og kvalitetssikring
C000152_da_000	Arbejde med databaser og netværk
C000153_da_000	Design og administration af databaser
C000154_da_000	Systemadministration
C000155_da_000	Arbejde med computernetværk
C000156_da_000	Andet arbejde med databaser og netværk
C000157_da_000	Arbejde inden for jura, samfundsvidenskab og kultur
C000158_da_000	Juridisk arbejde
C000159_da_000	Advokatarbejde
C000160_da_000	Dommerarbejde
C000161_da_000	Andet juridisk arbejde
C000162_da_000	Bibliotekar-, arkivar- og museumsinspektørarbejde
C000163_da_000	Arkivar- og museumsinspektørarbejde
C000164_da_000	Bibliotekararbejde og andet informationsarbejde
C000165_da_000	Arbejde inden for samfundsvidenskab og religion
C000166_da_000	Arbejde inden for samfundsøkonomi
C000167_da_000	Arbejde inden for sociologi, antropologi og beslægtede områder
C000168_da_000	Arbejde inden for filosofi, historie og statskundskab
C000169_da_000	Arbejde inden for psykologi
C000170_da_000	Socialrådgivning
C000171_da_000	Arbejde inden for religion
C000172_da_000	Forfatterarbejde og journalistisk og sprogvidenskabeligt arbejde
C000173_da_000	Forfatterarbejde
C000174_da_000	Journalistisk arbejde
C000175_da_000	Translatørarbejde og andet sprogvidenskabeligt arbejde
C000176_da_000	Arbejde med kunst og kreative fag
C000177_da_000	Kunstnerisk arbejde inden for visuelle kunstarter
C000178_da_000	Kunstnerisk arbejde inden for musik og sang
C000179_da_000	Kunstnerisk arbejde inden for dans og koreografi
C000180_da_000	Arbejde med instruktion og produktion af film, teater og beslægtede funktioner
C000181_da_000	Skuespilarbejde
C000182_da_000	Speakerarbejde på radio, tv og andre medier
C000183_da_000	Andet arbejde med kunst og kreative fag
C000184_da_000	Arbejde, der forudsætter viden på mellemniveau
C000185_da_000	Teknikerarbejde inden for videnskab, ingeniørvirksomhed og skibs- og luftfart
C000186_da_000	Teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed
C000187_da_000	Teknikerarbejde inden for kemisk og fysisk videnskab
C000188_da_000	Teknikerarbejde inden for byggeri og anlæg
C000189_da_000	Teknikerarbejde inden for det elektriske område
C000190_da_000	Teknikerarbejde inden for det elektroniske område
C000191_da_000	Teknikerarbejde inden for det mekaniske område
C000192_da_000	Teknikerarbejde inden for det kemiske område
C000193_da_000	Teknikerarbejde inden for minedrift og metallurgi
C000194_da_000	Teknisk tegnearbejde
C000195_da_000	Andet teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed
C000196_da_000	Tilsynsarbejde inden for minedrift, fremstillingsvirksomhed samt byggeri og anlæg
C000197_da_000	Tilsynsarbejde inden for minedrift
C000198_da_000	Tilsynsarbejde inden for fremstillingsvirksomhed
C000199_da_000	Tilsynsarbejde inden for byggeri og anlæg
C000200_da_000	Teknisk kontrolarbejde inden for processtyring
C000201_da_000	Teknisk kontrolarbejde på kraftværker
C000202_da_000	Teknisk kontrolarbejde på forbrændings- og vandrensningsanlæg
C000203_da_000	Teknisk kontrolarbejde på kemiske behandlingsanlæg
C000204_da_000	Teknisk kontrolarbejde på olie- og naturgasraffinaderier
C000205_da_000	Teknisk kontrolarbejde ved metalproduktion
C000206_da_000	Andet teknisk kontrolarbejde inden for processtyring
C000207_da_000	Teknikerarbejde inden for biovidenskab
C000208_da_000	Teknikerarbejde inden for biovidenskab (undtagen medicinsk område)
C000209_da_000	Landbrugsteknikerarbejde
C000210_da_000	Skovbrugsteknikerarbejde
C000211_da_000	Teknikerarbejde inden for skibs- og luftfart
C000212_da_000	Teknikerarbejde inden for skibsfart
C000213_da_000	Skibsførerarbejde
C000214_da_000	Flypilotarbejde
C000215_da_000	Flyvelederarbejde
C000216_da_000	Teknikerarbejde inden for luftfartssikkerhed
C000217_da_000	Teknikerarbejde og assisterende arbejde inden for sundhedsområdet
C000218_da_000	Teknikerarbejde inden for det medicinske og farmaceutiske område
C000219_da_000	Teknikerarbejde inden for brug af medicinsk røntgen- og behandlingsudstyr
C000220_da_000	Teknikerarbejde i medicinske og patologiske laboratorier
C000221_da_000	Arbejde inden for farmaci på mellemniveau
C000222_da_000	Teknikerarbejde inden for fremstilling af proteser
C000223_da_000	Assisterende arbejde inden for sygepleje og jordemoderarbejde
C000224_da_000	Assisterende arbejde inden for sygepleje
C000225_da_000	Assisterende arbejde inden for fødselshjælp
C000226_da_000	Assisterende arbejde inden for naturmedicin og alternativ behandling
C000227_da_000	Assisterende arbejde inden for naturmedicin og alternativ behandling
C000228_da_000	Dyrlægeassistenter og -teknikere
C000229_da_000	Dyrlægeassistent- og teknikerarbejde
C000230_da_000	Andet tekniker- og assistentarbejde inden for sundhedsområdet
C000231_da_000	Arbejde med tandpleje
C000232_da_000	Teknikerarbejde inden for medicinsk registrering og sundhedsinformation
C000233_da_000	Assisterende sundhedsarbejde ved lokale/akutte behandlingscentre
C000234_da_000	Teknikerarbejde inden for fremstilling af synshjælpemidler
C000235_da_000	Assisterende arbejde inden for fysioterapi
C000236_da_000	Assisterende arbejde inden for sundhedsområdet
C000237_da_000	Arbejde med kontrol af arbejdsmiljø og sikkerhed
C000238_da_000	Redningsarbejde (Ambulancebehandler)
C000239_da_000	Tekniker- og assistentarbejde inden for sundhedsområdet ikke klassificeret andetsteds
C000240_da_000	Arbejde på mellemniveau inden for forretningsservice, økonomi, administration og salg
C000241_da_000	Arbejde med finans, regnskab og matematik
C000242_da_000	Arbejde med omsætning af værdipapirer og valuta
C000243_da_000	Arbejde med kredit- og långivning
C000244_da_000	Regnskabsarbejde
C000245_da_000	Arbejde med statistik og matematik
C000246_da_000	Vurderings- og takseringsarbejde
C000247_da_000	Agent- og mæglerarbejde inden for salg og indkøb
C000248_da_000	Forsikringsarbejde
C000249_da_000	Salgsarbejde (ekskl. detailsalg)
C000250_da_000	Indkøbsarbejde
C000251_da_000	Erhvervsmæglerarbejde
C000252_da_000	Arbejde inden for forretningsservice
C000253_da_000	Speditørarbejde
C000254_da_000	Konference- og eventplanlægning
C000255_da_000	Jobformidling
C000256_da_000	Ejendomsmægler- og ejendomsadministratorarbejde
C000257_da_000	Andet arbejde inden for forretningsservice
C000258_da_000	Administrativt sekretærarbejde
C000259_da_000	Kontorledere
C000260_da_000	Advokatsekretærarbejde
C000261_da_000	Chef- og direktionssekretærarbejde
C000262_da_000	Lægesekretærarbejde
C000263_da_000	Arbejde med forvaltning og udøvelse af lovgivning
C000264_da_000	Told- og grænsebetjentarbejde
C000265_da_000	Administration af skatte- og afgiftslovgivning
C000266_da_000	Formidling af offentlige ydelser
C000267_da_000	Udstedelse af pas, kørekort o.l.
C000268_da_000	Politimæssigt undersøgelsesarbejde
C000269_da_000	Andet arbejde med forvaltning og udøvelse af lovgivning
C000270_da_000	Arbejde på mellemniveau inden for jura, samfundsvidenskab og kultur
C000271_da_000	Arbejde inden for jura og samfundsforhold
C000272_da_000	Juridisk arbejde på mellemniveau
C000273_da_000	Socialt rådgivningsarbejde på mellemniveau
C000274_da_000	Arbejde med tilknytning til religion på mellemniveau
C000275_da_000	Arbejde med sport og fitness
C000276_da_000	Sportsudøvere
C000277_da_000	Træner-, instruktør- og dommerarbejde inden for sport
C000278_da_000	Instruktørarbejde inden for fitness og beslægtede områder
C000279_da_000	Arbejde inden for kunstneriske, kulturelle og kulinariske områder
C000280_da_000	Fotografarbejde
C000281_da_000	Indretningsarkitekt- og dekoratørarbejde
C000282_da_000	Galleri-, museums- og biblioteksteknikerarbejde
C000283_da_000	Køkkenchefarbejde
C000284_da_000	Andet arbejde inden for kunstneriske, kulturelle og kulinariske områder
C000285_da_000	Informations- og kommunikationsteknikerarbejde
C000286_da_000	Driftsteknikerarbejde og brugersupportarbejde inden for informations- og kommunikationsteknologi
C000287_da_000	Driftsteknikerarbejde inden for informations- og kommunikationsteknologi
C000288_da_000	Brugersupportarbejde inden for informations- og kommunikationsteknologi
C000289_da_000	Netværks- og systemteknikerarbejde inden for informations- og kommunikationsteknologi
C000290_da_000	Internetteknikerarbejde
C000291_da_000	Teknikerarbejde inden for audiovisuelle medier og telekommunikation
C000292_da_000	Teknikerarbejde inden for audiovisuelle medier
C000293_da_000	Teknikerarbejde inden for telekommunikation
C000294_da_000	Almindeligt kontor- og kundeservicearbejde
C000295_da_000	Almindeligt kontor- og sekretærarbejde
C000296_da_000	Almindeligt kontorarbejde
C000297_da_000	Almindeligt kontorarbejde
C000298_da_000	Almindeligt sekretærarbejde
C000299_da_000	Almindeligt sekretærarbejde
C000300_da_000	Indtastningsarbejde
C000301_da_000	Tekstbehandlingsarbejde
C000302_da_000	Dataregistreringsarbejde
C000303_da_000	Kundeservice
C000304_da_000	Kasserer- og inkassatorarbejde samt beslægtede funktioner
C000305_da_000	Kundebetjening og kassererarbejde i pengeinstitutter
C000306_da_000	Bookmaker- og croupierarbejde samt beslægtede funktioner
C000307_da_000	Pantelånerarbejde og beslægtede funktioner
C000308_da_000	Inkassatorarbejde og beslægtede funktioner
C000309_da_000	Kundeinformationsarbejde
C000310_da_000	Rejsebureauarbejde
C000311_da_000	Informationsarbejde på kundekontaktcentre
C000312_da_000	Telefonomstillingsarbejde
C000313_da_000	Hotelreceptionistarbejde
C000314_da_000	Oplysnings- og forespørgselsarbejde
C000315_da_000	Almindeligt receptionistarbejde, ekskl. hotelreceptionistarbejde
C000316_da_000	Interviewarbejde inden for markedsundersøgelse
C000317_da_000	Andet kundeinformationsarbejde
C000318_da_000	Almindeligt beregnings- og registreringsarbejde
C000319_da_000	Almindeligt beregningsarbejde
C000320_da_000	Almindeligt regnskabs- og bogføringsarbejde
C000321_da_000	Almindeligt kontorarbejde vedrørende statistik, finansielle transaktioner og forsikringer
C000322_da_000	Almindeligt kontorarbejde inden for lønbehandling
C000323_da_000	Kontorarbejde inden for materialeregistrering og transport
C000324_da_000	Lagerekspeditionsarbejde
C000325_da_000	Registreringsarbejde inden for produktion
C000326_da_000	Registreringsarbejde inden for transport- og trafikstyring
C000327_da_000	Andet almindeligt kontor- og kundeservicearbejde
C000328_da_000	Andet almindeligt kontor- og kundeservicearbejde
C000329_da_000	Biblioteksservicearbejde
C000330_da_000	Postbud- og -betjentarbejde samt postsorteringsarbejde
C000331_da_000	Korrekturlæsning og beslægtede funktioner
C000332_da_000	Skrivearbejde og beslægtede funktioner
C000333_da_000	Arbejde med arkivering og kopiering
C000334_da_000	Almindeligt kontorarbejde inden for HR
C000335_da_000	Almindeligt kontor- og kundeservicearbejde ikke klassificeret andetsteds
C000336_da_000	Service- og salgsarbejde
C000337_da_000	Servicearbejde
C000338_da_000	Service- og kontrolarbejde under transport og rejser
C000339_da_000	Servicearbejde af passagerer under rejser
C000340_da_000	Kontrolarbejde under rejser
C000341_da_000	Turist- og rejselederarbejde
C000342_da_000	Kokkearbejde
C000343_da_000	Kokkearbejde
C000344_da_000	Tjenere og bartendere
C000345_da_000	Tjenerarbejde
C000346_da_000	Bartenderarbejde
C000347_da_000	Frisørarbejde og kosmetologarbejde samt beslægtede funktioner
C000348_da_000	Frisørarbejde
C000349_da_000	Kosmetologarbejde og beslægtede funktioner
C000350_da_000	Inspektørarbejde inden for rengøring, husholdning og ejendomme
C000351_da_000	Rengøringsinspektørarbejde
C000352_da_000	Husbestyrerarbejde
C000353_da_000	Ejendomsinspektørarbejde
C000354_da_000	Andet servicearbejde
C000355_da_000	Astrologiarbejde og beslægtede funktioner
C000356_da_000	Kammertjenerarbejde
C000357_da_000	Bedemandsarbejde
C000358_da_000	Arbejde med kæledyr
C000359_da_000	Kørelærerarbejde
C000360_da_000	Servicearbejde ikke klassificeret andetsteds
C000361_da_000	Salgsarbejde
C000362_da_000	Salgsarbejde på gade og marked
C000363_da_000	Stade- og markedssalg
C000364_da_000	Gadesalg af fødevarer
C000365_da_000	Salgsarbejde i butik
C000366_da_000	Butiksejere
C000367_da_000	Butiksledere
C000368_da_000	Salgsarbejde i butik
C000369_da_000	Kasseassistentarbejde og beslægtet kundebetjening
C000370_da_000	Kasseassistentarbejde og beslægtet kundebetjening
C000371_da_000	Andet salgsarbejde
C000372_da_000	Modelarbejde
C000373_da_000	Demonstrationsarbejde
C000374_da_000	Dørsalg
C000375_da_000	Salgsarbejde i kundekontaktcentre
C000376_da_000	Salgsarbejde på servicestationer
C000377_da_000	Kasseassistentarbejde inden for catering og fastfood
C000378_da_000	Salgsarbejde ikke klassificeret andetsteds
C000379_da_000	Omsorgsarbejde
C000380_da_000	Børneomsorgsarbejde og hjælpelærerarbejde
C000381_da_000	Børneomsorgsarbejde
C000382_da_000	Hjælpelærerarbejde
C000383_da_000	Omsorgsarbejde inden for sundhedsområdet
C000384_da_000	Omsorgsarbejde på institutioner (ekskl. plejehjem)
C000385_da_000	Social- og sundhedsarbejde i private hjem (inkl. plejehjem)
C000386_da_000	Andet omsorgsarbejde inden for sundhedsområdet
C000387_da_000	Rednings- og overvågningsarbejde
C000388_da_000	Rednings- og overvågningsarbejde
C000389_da_000	Brandslukningsarbejde
C000390_da_000	Politiarbejde
C000391_da_000	Fængselsbetjentarbejde
C000392_da_000	Sikkerhedsvagtarbejde
C000393_da_000	Andet rednings- og overvågningsarbejde
C000394_da_000	Arbejde inden for landbrug, skovbrug og fiskeri ekskl. medhjælp
C000395_da_000	Arbejde inden for landbrug og gartneri ekskl. medhjælp
C000396_da_000	Arbejde med plantevækst
C000397_da_000	Dyrkning af markafgrøder inden for jordbrug
C000398_da_000	Dyrkning af afgrøder fra træer og buske
C000399_da_000	Væksthus- og anlægsgartnerarbejde
C000400_da_000	Dyrkning af blandede afgrøder
C000401_da_000	Arbejde med dyreopdræt
C000402_da_000	Arbejde med opdræt af husdyr, ekskl. fjerkræ
C000403_da_000	Arbejde med opdræt af fjerkræ
C000404_da_000	Arbejde med bi- og silkeavl
C000405_da_000	Andet arbejde med dyreopdræt
C000406_da_000	Arbejde med dyrkning af plantevækst og opdræt af dyr
C000407_da_000	Arbejde med dyrkning af plantevækst og opdræt af dyr
C000408_da_000	Arbejde inden for skovbrug, fiskeri og jagt
C000409_da_000	Skovbrugsarbejde
C000410_da_000	Skovbrugsarbejde
C000411_da_000	Arbejde med fiskeri og jagt
C000412_da_000	Arbejde inden for akvakultur
C000413_da_000	Arbejde med fiskeri i kyst- og søområder
C000414_da_000	Arbejde med havfiskeri
C000415_da_000	Jagtarbejde
C000416_da_000	Arbejde inden for landbrug, fiskeri og jagt til dækning af eget forbrug
C000417_da_000	Arbejde med afgrøder til eget forbrug
C000418_da_000	Arbejde med afgrøder til eget forbrug
C000419_da_000	Arbejde med opdræt af dyr til eget forbrug
C000420_da_000	Arbejde med opdræt af dyr til eget forbrug
C000421_da_000	Arbejde med afgrøder og opdræt af dyr til eget forbrug
C000422_da_000	Arbejde med afgrøder og opdræt af dyr til eget forbrug
C000423_da_000	Fiskeri og jagt til dækning af eget forbrug
C000424_da_000	Fiskeri og jagt til dækning af eget forbrug
C000425_da_000	Håndværkspræget arbejde
C000426_da_000	Håndværkspræget arbejde inden for byggeri, undtagen elektrikere
C000427_da_000	Bygningsarbejde (ekskl. medhjælpere) — basis
C000428_da_000	Husbyggerarbejde
C000429_da_000	Murer- og brolægningsarbejde
C000430_da_000	Stenhuggerarbejde
C000431_da_000	Arbejde med opførelse af betonkonstruktioner
C000432_da_000	Tømrer- og bygningssnedkerarbejde
C000433_da_000	Andet bygningsarbejde — basis
C000434_da_000	Bygningsarbejde (ekskl. medhjælpere) — finish
C000435_da_000	Arbejde med tagdækning
C000436_da_000	Arbejde med gulv- og klinkelægning
C000437_da_000	Stukkatørarbejde
C000438_da_000	Arbejde med isolering af bygninger
C000439_da_000	Glarmesterarbejde
C000440_da_000	VVS-arbejde
C000441_da_000	Montørarbejde inden for klima- og køleteknik
C000442_da_000	Malere og arbejde inden for rensning af bygninger
C000443_da_000	Malerarbejde
C000444_da_000	Sprøjtelakererarbejde
C000445_da_000	Rensning af bygninger
C000446_da_000	Metal- og maskinarbejde
C000447_da_000	Pladearbejde, svejsning og beslægtede funktioner
C000448_da_000	Formning og støbning af emner i metal
C000449_da_000	Svejsearbejde og skærebrænding
C000450_da_000	Pladesmedarbejde
C000451_da_000	Stålkonstruktionsarbejde
C000452_da_000	Riggerarbejde
C000453_da_000	Smede, værktøjsmagere og beslægtede funktioner
C000454_da_000	Smedearbejde
C000455_da_000	Værktøjsmagerarbejde
C000456_da_000	Operatør- og opstillingsarbejde af metalforarbejdningsmaskiner
C000457_da_000	Arbejde med polering og slibning af emner i metal
C000458_da_000	Mekanikerarbejde
C000459_da_000	Mekanikerarbejde inden for motorkøretøjer
C000460_da_000	Flymekanikerarbejde
C000461_da_000	Mekanikerarbejde, landbrugs- og industrimaskiner
C000462_da_000	Mekanikerarbejde, cykler og tilsvarende køretøjer
C000463_da_000	Præcisionshåndværk og grafisk arbejde
C000464_da_000	Præcisionshåndværk
C000465_da_000	Finmekanikerarbejde
C000466_da_000	Håndfremstilling af musikinstrumenter
C000467_da_000	Juveler-, guld- og sølvsmedearbejde
C000468_da_000	Pottemagerarbejde og beslægtede funktioner
C000469_da_000	Glaspusterarbejde og arbejde med færdiggørelse af glasprodukter
C000470_da_000	Skiltemaler-, dekoratør- og gravørarbejde
C000471_da_000	Håndfremstilling af produkter i træ og tilsvarende materialer
C000472_da_000	Håndfremstilling af produkter i tekstil, læder og tilsvarende materialer
C000473_da_000	Andet præcisionshåndværk
C000474_da_000	Grafisk arbejde
C000475_da_000	Prepress-arbejde og grafisk formfremstilling
C000476_da_000	Trykkerarbejde
C000477_da_000	Arbejde med færdiggørelse og indbinding af trykte produkter
C000478_da_000	Arbejde inden for det elektriske og elektroniske område
C000479_da_000	Installation og reparation af elektrisk udstyr
C000480_da_000	Elektrikerarbejde
C000481_da_000	Elektromekanikerarbejde
C000482_da_000	Installation og reparation af elektrisk ledningsføring inden for forsyningsvirksomhed
C000483_da_000	Installation og reparation af elektronik og telekommunikation
C000484_da_000	Elektronikmekanikerarbejde
C000485_da_000	Installation og service inden for informations- og kommunikationsteknologi
C000486_da_000	Fødevarefremstilling, snedkeriarbejde, beklædningsfremstilling og beslægtede håndværk
C000487_da_000	Arbejde inden for nærings- og nydelsesmiddelområdet
C000488_da_000	Slagterarbejde, fiskehandel og beslægtet arbejde inden for fødevarefremstilling
C000489_da_000	Bager- og konditorarbejde, ekskl. industri
C000490_da_000	Fremstilling af mejeriprodukter
C000491_da_000	Fremstilling og konservering af frugt, grøntsager og tilsvarende produkter
C000492_da_000	Prøvesmagning af nærings- og nydelsesmidler
C000493_da_000	Fremstilling af tobaksprodukter
C000494_da_000	Håndværkspræget arbejde i træindustri
C000495_da_000	Håndværkspræget træimprægneringsarbejde
C000496_da_000	Møbelsnedkerarbejde
C000497_da_000	Operatør- og opstillingsarbejde af træforarbejdningsmaskiner
C000498_da_000	Tekstil- og beklædningsarbejde
C000499_da_000	Skrædderarbejde og beslægtet arbejde
C000500_da_000	Tilskærerarbejde
C000501_da_000	Syarbejde og beslægtet arbejde
C000502_da_000	Møbelpolstrerarbejde
C000503_da_000	Forarbejdning af skind
