Q000001	Chief Executives
Q000340	Pharmacy Technicians
Q000341	Psychiatric Technicians
Q000342	Surgical Technologists
Q000343	Veterinary Technologists and Technicians
Q000344	Opticians, Dispensing
Q000345	Orthotists and Prosthetists
Q000346	Hearing Aid Specialists
Q000347	Neurodiagnostic Technologists
Q000348	Midwives
Q000349	Home Health Aides
Q000350	Nursing Assistants
Q000351	Orderlies
Q000352	Occupational Therapy Assistants
Q000353	Occupational Therapy Aides
Q000354	Massage Therapists
Q000355	Dental Assistants
Q000356	Medical Assistants
Q000357	Medical Equipment Preparers
Q000358	Medical Transcriptionists
Q000359	Pharmacy Aides
Q000360	Veterinary Assistants and Laboratory Animal Caretakers
Q000361	Phlebotomists
Q000362	First-Line Supervisors of Correctional Officers
Q000363	First-Line Supervisors of Police and Detectives
Q000364	First-Line Supervisors of Security Workers
Q000365	Firefighters
Q000366	Fire Inspectors and Investigators
Q000367	Forest Fire Inspectors and Prevention Specialists
Q000368	Bailiffs
Q000369	Correctional Officers and Jailers
Q000370	Detectives and Criminal Investigators
Q000371	Intelligence Analysts
Q000372	Fish and Game Wardens
Q000373	Parking Enforcement Workers
Q000374	Animal Control Workers
Q000375	Private Detectives and Investigators
Q000376	Gambling Surveillance Officers and Gambling Investigators
Q000377	Security Guards
Q000378	Transportation Security Screeners
Q000379	School Bus Monitors
Q000380	Chefs and Head Cooks
Q000381	Cooks, Fast Food
Q000382	Cooks, Institution and Cafeteria
Q000383	Cooks, Private Household
Q000384	Cooks, Restaurant
Q000385	Cooks, Short Order
Q000386	Food Preparation Workers
Q000387	Bartenders
Q000388	Fast Food and Counter Workers
Q000389	Baristas
Q000390	Waiters and Waitresses
Q000391	Dishwashers
Q000392	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop
Q000393	First-Line Supervisors of Housekeeping and Janitorial Workers
Q000394	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Q000395	Maids and Housekeeping Cleaners
Q000396	Pest Control Workers
Q000397	Landscaping and Groundskeeping Workers
Q000398	Pesticide Handlers, Sprayers, and Applicators, Vegetation
Q000399	Tree Trimmers and Pruners
Q000400	First-Line Supervisors of Gambling Services Workers
Q000401	Animal Trainers
Q000402	Animal Caretakers
Q000403	Gambling Dealers
Q000404	Gambling and Sports Book Writers and Runners
Q000405	Motion Picture Projectionists
Q000406	Amusement and Recreation Attendants
Q000407	Costume Attendants
Q000408	Embalmers
Q000409	Funeral Attendants
Q000410	Morticians, Undertakers, and Funeral Arrangers
Q000411	Barbers
Q000412	Makeup Artists, Theatrical and Performance
Q000413	Manicurists and Pedicurists
Q000414	Shampooers
Q000415	Skincare Specialists
Q000416	Tour Guides and Escorts
Q000417	Childcare Workers
Q000418	Nannies
Q000419	Exercise Trainers and Group Fitness Instructors
Q000420	Recreation Workers
Q000421	Residential Advisors
Q000422	First-Line Supervisors of Non-Retail Sales Workers
Q000423	Cashiers
Q000424	Counter and Rental Clerks
Q000425	Parts Salespersons
Q000426	Retail Salespersons
Q000427	Advertising Sales Agents
Q000428	Insurance Sales Agents
Q000429	Securities, Commodities, and Financial Services Sales Agents
Q000430	Travel Agents
Q000431	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products
Q000432	Solar Sales Representatives and Assessors
Q000433	Demonstrators and Product Promoters
Q000434	Models
Q000435	Real Estate Brokers
Q000436	Real Estate Sales Agents
Q000437	Sales Engineers
Q000438	Telemarketers
Q000439	First-Line Supervisors of Office and Administrative Support Workers
Q000440	Switchboard Operators, Including Answering Service
Q000441	Bill and Account Collectors
Q000442	Billing and Posting Clerks
Q000443	Gambling Cage Workers
Q000444	Payroll and Timekeeping Clerks
Q000445	Procurement Clerks
Q000446	Tellers
Q000447	Brokerage Clerks
Q000448	Correspondence Clerks
Q000449	Customer Service Representatives
Q000450	File Clerks
Q000451	Hotel, Motel, and Resort Desk Clerks
Q000452	Library Assistants, Clerical
Q000453	New Accounts Clerks
Q000454	Order Clerks
Q000455	Human Resources Assistants, Except Payroll and Timekeeping
Q000456	Reservation and Transportation Ticket Agents and Travel Clerks
Q000457	Freight Forwarders
Q000458	Public Safety Telecommunicators
Q000459	Meter Readers, Utilities
Q000460	Postal Service Clerks
Q000461	Postal Service Mail Carriers
Q000462	Postal Service Mail Sorters, Processors, and Processing Machine Operators
Q000463	Shipping, Receiving, and Inventory Clerks
Q000464	Executive Secretaries and Executive Administrative Assistants
Q000465	Legal Secretaries and Administrative Assistants
Q000466	Medical Secretaries and Administrative Assistants
Q000467	Data Entry Keyers
Q000468	Word Processors and Typists
Q000469	Desktop Publishers
Q000470	Insurance Claims and Policy Processing Clerks
Q000471	Mail Clerks and Mail Machine Operators, Except Postal Service
Q000472	Office Clerks, General
Q000473	Statistical Assistants
Q000474	Agricultural Inspectors
Q000475	Animal Breeders
Q000476	Graders and Sorters, Agricultural Products
Q000477	Agricultural Equipment Operators
Q000478	Farmworkers, Farm, Ranch, and Aquacultural Animals
Q000479	Fishing and Hunting Workers
Q000480	Forest and Conservation Workers
Q000481	Logging Equipment Operators
Q000482	Log Graders and Scalers
Q000483	Boilermakers
Q000484	Brickmasons and Blockmasons
Q000485	Stonemasons
Q000486	Carpenters
Q000487	Carpet Installers
Q000488	Cement Masons and Concrete Finishers
Q000489	Construction Laborers
Q000490	Paving, Surfacing, and Tamping Equipment Operators
Q000491	Pile Driver Operators
Q000492	Electricians
Q000493	Glaziers
Q000494	Insulation Workers, Floor, Ceiling, and Wall
Q000495	Insulation Workers, Mechanical
Q000496	Painters, Construction and Maintenance
Q000497	Paperhangers
Q000498	Pipelayers
Q000499	Solar Thermal Installers and Technicians
Q000500	Roofers
Q000501	Sheet Metal Workers
Q000502	Structural Iron and Steel Workers
Q000503	Solar Photovoltaic Installers
Q000504	Energy Auditors
Q000505	Elevator and Escalator Installers and Repairers
Q000506	Fence Erectors
Q000507	Highway Maintenance Workers
Q000508	Rail-Track Laying and Maintenance Equipment Operators
Q000509	Segmental Pavers
Q000510	Derrick Operators, Oil and Gas
Q000511	Excavating and Loading Machine and Dragline Operators, Surface Mining
Q000512	Explosives Workers, Ordnance Handling Experts, and Blasters
Q000513	Continuous Mining Machine Operators
Q000514	Roof Bolters, Mining
Q000515	Loading and Moving Machine Operators, Underground Mining
Q000516	Rock Splitters, Quarry
Q000517	Roustabouts, Oil and Gas
Q000518	Helpers--Extraction Workers
Q000519	Computer, Automated Teller, and Office Machine Repairers
Q000520	Radio, Cellular, and Tower Equipment Installers and Repairers
Q000521	Telecommunications Equipment Installers and Repairers, Except Line Installers
Q000522	Avionics Technicians
Q000523	Electric Motor, Power Tool, and Related Repairers
Q000524	Electrical and Electronics Installers and Repairers, Transportation Equipment
Q000525	Electrical and Electronics Repairers, Commercial and Industrial Equipment
Q000526	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay
Q000527	Electronic Equipment Installers and Repairers, Motor Vehicles
Q000528	Security and Fire Alarm Systems Installers
Q000529	Aircraft Mechanics and Service Technicians
Q000530	Automotive Body and Related Repairers
Q000531	Automotive Glass Installers and Repairers
Q000532	Automotive Service Technicians and Mechanics
Q000533	Farm Equipment Mechanics and Service Technicians
Q000534	Motorboat Mechanics and Service Technicians
Q000535	Motorcycle Mechanics
Q000536	Outdoor Power Equipment and Other Small Engine Mechanics
Q000537	Bicycle Repairers
Q000538	Recreational Vehicle Service Technicians
Q000539	Tire Repairers and Changers
Q000540	Mechanical Door Repairers
Q000541	Heating, Air Conditioning, and Refrigeration Mechanics and Installers
Q000542	Home Appliance Repairers
Q000543	Industrial Machinery Mechanics
Q000544	Maintenance Workers, Machinery
Q000545	Millwrights
Q000546	Electrical Power-Line Installers and Repairers
Q000547	Telecommunications Line Installers and Repairers
Q000548	Camera and Photographic Equipment Repairers
Q000549	Musical Instrument Repairers and Tuners
Q000550	Watch and Clock Repairers
Q000551	Maintenance and Repair Workers, General
Q000552	Wind Turbine Service Technicians
Q000553	Coin, Vending, and Amusement Machine Servicers and Repairers
Q000554	Locksmiths and Safe Repairers
Q000555	Manufactured Building and Mobile Home Installers
Q000556	Riggers
Q000557	Signal and Track Switch Repairers
Q000558	Geothermal Technicians
Q000559	First-Line Supervisors of Production and Operating Workers
Q000560	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
Q000561	Electrical and Electronic Equipment Assemblers
Q000562	Electromechanical Equipment Assemblers
Q000563	Engine and Other Machine Assemblers
Q000564	Fiberglass Laminators and Fabricators
Q000565	Team Assemblers
Q000566	Bakers
Q000567	Butchers and Meat Cutters
Q000568	Slaughterers and Meat Packers
Q000569	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
Q000570	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
Q000571	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
Q000572	Metal-Refining Furnace Operators and Tenders
Q000573	Pourers and Casters, Metal
Q000574	Model Makers, Metal and Plastic
Q000575	Foundry Mold and Coremakers
Q000576	Tool and Die Makers
Q000577	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders
Q000578	Tool Grinders, Filers, and Sharpeners
Q000579	Print Binding and Finishing Workers
Q000580	Laundry and Dry-Cleaning Workers
Q000581	Pressers, Textile, Garment, and Related Materials
Q000582	Sewing Machine Operators
Q000583	Textile Bleaching and Dyeing Machine Operators and Tenders
Q000584	Textile Cutting Machine Setters, Operators, and Tenders
Q000585	Textile Knitting and Weaving Machine Setters, Operators, and Tenders
Q000586	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers
Q000587	Fabric and Apparel Patternmakers
Q000588	Upholsterers
Q000589	Cabinetmakers and Bench Carpenters
Q000590	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
Q000591	Nuclear Power Reactor Operators
Q000592	Power Plant Operators
Q000593	Biomass Plant Technicians
Q000594	Hydroelectric Plant Technicians
Q000595	Gas Plant Operators
Q000596	Chemical Equipment Operators and Tenders
Q000597	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders
Q000598	Jewelers and Precious Stone and Metal Workers
Q000599	Dental Laboratory Technicians
Q000600	Medical Appliance Technicians
Q000601	Ophthalmic Laboratory Technicians
Q000602	Semiconductor Processing Technicians
Q000603	Computer Numerically Controlled Tool Operators
Q000604	Computer Numerically Controlled Tool Programmers
Q000605	Glass Blowers, Molders, Benders, and Finishers
Q000606	Potters, Manufacturing
Q000607	Tire Builders
Q000608	Helpers--Production Workers
Q000609	Aircraft Cargo Handling Supervisors
Q000610	Recycling Coordinators
Q000611	Airline Pilots, Copilots, and Flight Engineers
Q000612	Commercial Pilots
Q000613	Air Traffic Controllers
Q000614	Airfield Operations Specialists
Q000615	Flight Attendants
Q000616	Ambulance Drivers and Attendants, Except Emergency Medical Technicians
Q000617	Driver/Sales Workers
Q000618	Heavy and Tractor-Trailer Truck Drivers
Q000619	Bus Drivers, School
Q000620	Bus Drivers, Transit and Intercity
Q000621	Taxi Drivers
Q000622	Locomotive Engineers
Q000623	Rail Yard Engineers, Dinkey Operators, and Hostlers
Q000624	Ship Engineers
Q000625	Parking Attendants
Q000626	Aviation Inspectors
Q000627	Dredge Operators
Q000628	Cleaners of Vehicles and Equipment
Q000629	Packers and Packagers, Hand
Q000630	Stockers and Order Fillers
Q000631	Pump Operators, Except Wellhead Pumpers
Q000632	Wellhead Pumpers
Q000633	Refuse and Recyclable Material Collectors
