C000001_de_000	Angehörige der regulären Streitkräfte
C000049_de_000	Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen
C000050_de_000	Führungskräfte in Hotels und Restaurants
C000051_de_000	Führungskräfte in Hotels
C000052_de_000	Führungskräfte in Restaurants
C000053_de_000	Führungskräfte in Groß- und Einzelhandel
C000054_de_000	Führungskräfte in Groß- und Einzelhandel
C000055_de_000	Führungskräfte in der Erbringung sonstiger Dienstleistungen
C000056_de_000	Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur
C000057_de_000	Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt
C000058_de_000	Akademische Berufe
C000059_de_000	Naturwissenschaftler, Mathematiker und Ingenieure
C000060_de_000	Physiker, Chemiker, Geologen und verwandte Berufe
C000061_de_000	Physiker und Astronomen
C000062_de_000	Meteorologen
C000063_de_000	Chemiker
C000064_de_000	Geologen und Geophysiker
C000065_de_000	Mathematiker, Versicherungsmathematiker und Statistiker
C000066_de_000	Mathematiker, Versicherungsmathematiker und Statistiker
C000067_de_000	Biowissenschaftler
C000068_de_000	Biologen, Botaniker, Zoologen und verwandte Berufe
C000069_de_000	Agrar-, Forst- und Fischereiwissenschaftler und -berater
C000070_de_000	Umweltwissenschaftler
C000071_de_000	Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)
C000072_de_000	Wirtschafts- und Produktionsingenieure
C000073_de_000	Bauingenieure
C000074_de_000	Umweltschutzingenieure
C000075_de_000	Maschinenbauingenieure
C000076_de_000	Chemieingenieure
C000077_de_000	Bergbauingenieure, Metallurgen und verwandte Berufe
C000078_de_000	Ingenieure, anderweitig nicht genannt
C000079_de_000	Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik
C000080_de_000	Ingenieure im Bereich Elektrotechnik
C000081_de_000	Ingenieure im Bereich Elektronik
C000082_de_000	Ingenieure im Bereich Telekommunikationstechnik
C000083_de_000	Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer
C000084_de_000	Architekten
C000085_de_000	Landschaftsarchitekten
C000086_de_000	Produkt- und Textildesigner
C000087_de_000	Raum-, Stadt- und Verkehrsplaner
C000088_de_000	Kartografen und Vermessungsingenieure
C000089_de_000	Grafik- und Multimediadesigner
C000090_de_000	Akademische und verwandte Gesundheitsberufe
C000091_de_000	Ärzte
C000092_de_000	Allgemeinärzte
C000093_de_000	Fachärzte
C000094_de_000	Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte
C000095_de_000	Akademische und vergleichbare Krankenpflegefachkräfte
C000096_de_000	Akademische und vergleichbare Geburtshilfefachkräfte
C000097_de_000	Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin
C000098_de_000	Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin
C000099_de_000	Feldscher und vergleichbare paramedizinische Praktiker
C000100_de_000	Feldscher und vergleichbare paramedizinische Praktiker
C000101_de_000	Tierärzte
C000102_de_000	Tierärzte
C000103_de_000	Sonstige akademische und verwandte Gesundheitsberufe
C000104_de_000	Zahnärzte
C000105_de_000	Apotheker
C000106_de_000	Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene
C000107_de_000	Physiotherapeuten
C000108_de_000	Diätologen und Ernährungsberater
C000109_de_000	Audiologen und Sprachtherapeuten
C000110_de_000	Optometristen und Orthoptisten
C000111_de_000	Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt
C000112_de_000	Lehrkräfte
C000113_de_000	Universitäts- und Hochschullehrer
C000114_de_000	Universitäts- und Hochschullehrer
C000115_de_000	Lehrkräfte im Bereich Berufsbildung
C000116_de_000	Lehrkräfte im Bereich Berufsbildung
C000117_de_000	Lehrkräfte im Sekundarbereich
C000118_de_000	Lehrkräfte im Sekundarbereich
C000119_de_000	Lehrkräfte im Primar- und Vorschulbereich
C000120_de_000	Lehrkräfte im Primarbereich
C000121_de_000	Lehrkräfte und Erzieher im Vorschulbereich
C000122_de_000	Sonstige Lehrkräfte
C000123_de_000	Pädagogik- und Didaktikspezialisten
C000124_de_000	Lehrkräfte im Bereich Sonderpädagogik
C000125_de_000	Sonstige Sprachlehrer
C000126_de_000	Sonstige Musiklehrer
C000127_de_000	Sonstige Kunstlehrer
C000128_de_000	Ausbilder im Bereich Informationstechnologie
C000129_de_000	Lehrkräfte, anderweitig nicht genannt
C000130_de_000	Betriebswirte und vergleichbare akademische Berufe
C000131_de_000	Akademische und vergleichbare Fachkräfte im Bereich Finanzen
C000132_de_000	Wirtschaftsprüfer, Steuerberater und verwandte Berufe
C000133_de_000	Finanz- und Anlageberater
C000134_de_000	Finanzanalysten
C000135_de_000	Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung
C000136_de_000	Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse
C000137_de_000	Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft
C000138_de_000	Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute
C000139_de_000	Fachkräfte in Personalschulung und -entwicklung
C000140_de_000	Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit
C000141_de_000	Akademische und vergleichbare Fachkräfte in Werbung und Marketing
C000142_de_000	Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit
C000143_de_000	Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)
C000144_de_000	Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie
C000145_de_000	Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie
C000146_de_000	Entwickler und Analytiker von Software und Anwendungen
C000147_de_000	Systemanalytiker
C000148_de_000	Softwareentwickler
C000149_de_000	Web- und Multimediaentwickler
C000150_de_000	Anwendungsprogrammierer
C000151_de_000	Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt
C000152_de_000	Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke
C000153_de_000	Datenbankentwickler und -administratoren
C000154_de_000	Systemadministratoren
C000155_de_000	Akademische und vergleichbare Fachkräfte für Computernetzwerke
C000156_de_000	Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt
C000157_de_000	Juristen, Sozialwissenschaftler und Kulturberufe
C000158_de_000	Juristen
C000159_de_000	Anwälte
C000160_de_000	Richter
C000161_de_000	Juristen, anderweitig nicht genannt
C000162_de_000	Archiv-, Bibliotheks- und Museumswissenschaftler
C000163_de_000	Archiv- und Museumswissenschaftler
C000164_de_000	Bibliothekswissenschaftler und verwandte Informationswissenschaftler
C000165_de_000	Sozialwissenschaftler, Geistliche und Seelsorger
C000166_de_000	Volkswirtschaftler
C000167_de_000	Soziologen, Anthropologen und verwandte Wissenschaftler
C000168_de_000	Philosophen, Historiker und Politologen
C000169_de_000	Psychologen
C000170_de_000	Sozialarbeiter
C000171_de_000	Geistliche Seelsorger
C000172_de_000	Autoren, Journalisten und Linguisten
C000173_de_000	Autoren und verwandte schriftstellerische Berufe
C000174_de_000	Journalisten
C000175_de_000	Übersetzer, Dolmetscher und andere Linguisten
C000176_de_000	Bildende und darstellende Künstler
C000177_de_000	Bildende Künstler
C000178_de_000	Musiker, Sänger und Komponisten
C000179_de_000	Tänzer und Choreografen
C000180_de_000	Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen
C000181_de_000	Schauspieler
C000182_de_000	Sprecher im Rundfunk, Fernsehen und sonstigen Medien
C000183_de_000	Bildende und darstellende Künstler, anderweitig nicht genannt
C000184_de_000	Techniker und gleichrangige nichttechnische Berufe
C000185_de_000	Ingenieurtechnische und vergleichbare Fachkräfte
C000186_de_000	Material- und ingenieurtechnische Fachkräfte
C000187_de_000	Chemo- und Physikotechniker
C000188_de_000	Bautechniker
C000189_de_000	Elektrotechniker
C000190_de_000	Techniker im Bereich Elektronik
C000191_de_000	Maschinenbautechniker
C000192_de_000	Chemiebetriebs- und Verfahrenstechniker
C000193_de_000	Bergbau- und Hüttentechniker
C000194_de_000	Technische Zeichner
C000195_de_000	Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt
C000196_de_000	Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau
C000197_de_000	Produktionsleiter im Bergbau
C000198_de_000	Produktionsleiter bei der Herstellung von Waren
C000199_de_000	Bauleiter
C000200_de_000	Techniker in der Prozesssteuerung
C000201_de_000	Steuerer von Energieerzeugungsanlagen
C000202_de_000	Steuerer von Verbrennungs- und Wasserbehandlungsanlagen
C000203_de_000	Steuerer von chemischen Verfahrensanlagen
C000204_de_000	Steuerer von Erdöl- und Erdgasraffinationsanlagen
C000205_de_000	Steuerer von Verfahren in der Metallerzeugung
C000206_de_000	Techniker in der Prozesssteuerung, anderweitig nicht genannt
C000207_de_000	Biotechniker und verwandte technische Berufe
C000208_de_000	Biotechniker (ohne medizinische Fachberufe)
C000209_de_000	Agrartechniker
C000210_de_000	Forsttechniker
C000211_de_000	Schiffsführer, Flugzeugführer und verwandte Berufe
C000212_de_000	Technische Schiffsoffiziere
C000213_de_000	Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen
C000214_de_000	Flugzeugführer und verwandte Berufe
C000215_de_000	Flugverkehrslotsen
C000216_de_000	Flugsicherungstechniker
C000217_de_000	Assistenzberufe im Gesundheitswesen
C000218_de_000	Medizinische und pharmazeutische Fachberufe
C000219_de_000	Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte
C000220_de_000	Medizintechniker im Bereich Labor und Pathologie
C000221_de_000	Pharmazeutisch-technische Assistenten
C000222_de_000	Medizinische und zahnmedizinische Prothetiktechniker
C000223_de_000	Nicht akademische Krankenpflege- und Geburtshilfefachkräfte
C000224_de_000	Nicht akademische Krankenpflegefachkräfte
C000225_de_000	Nicht akademische Geburtshilfefachkräfte
C000226_de_000	Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin
C000227_de_000	Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin
C000228_de_000	Veterinärmedizinische Fachkräfte und Assistenten
C000229_de_000	Veterinärmedizinische Fachkräfte und Assistenten
C000230_de_000	Sonstige Assistenzberufe im Gesundheitswesen
C000231_de_000	Zahnmedizinische Assistenten und Dentalhygieniker
C000232_de_000	Fachkräfte im Bereich medizinische Dokumentation und Information
C000233_de_000	Fachkräfte in der öffentlichen Gesundheitsfürsorge
C000234_de_000	Augenoptiker
C000235_de_000	Physiotherapeutische Techniker und Assistenten
C000236_de_000	Medizinische Assistenten
C000237_de_000	Nicht akademische Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe
C000238_de_000	Rettungsdienstpersonal
C000239_de_000	Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt
C000240_de_000	Nicht akademische betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte
C000241_de_000	Nicht akademische Fachkräfte im Bereich Finanzen und mathematische Verfahren
C000242_de_000	Wertpapierhändler, -makler und Finanzmakler
C000243_de_000	Kreditsachbearbeiter
C000244_de_000	Nicht akademische Fachkräfte im Rechnungswesen
C000245_de_000	Nicht akademische statistische, mathematische und verwandte Fachkräfte
C000246_de_000	Schätzer und Schadensgutachter
C000247_de_000	Vertriebsagenten, Einkäufer und Handelsmakler
C000248_de_000	Versicherungsvertreter
C000249_de_000	Vertriebsagenten
C000250_de_000	Einkäufer
C000251_de_000	Handelsmakler
C000252_de_000	Fachkräfte für unternehmensbezogene Dienstleistungen
C000253_de_000	Fachkräfte für Abrechnungs- und Speditionsdienstleistungen
C000254_de_000	Konferenz- und Veranstaltungsplaner
C000255_de_000	Arbeits- und Personalvermittler
C000256_de_000	Immobilienmakler und -verwalter
C000257_de_000	Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt
C000258_de_000	Sekretariatsfachkräfte
C000259_de_000	Sekretariatsleiter
C000260_de_000	Sekretariatsfachkräfte im juristischen Bereich
C000261_de_000	Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung
C000262_de_000	Sekretariatsfachkräfte im Gesundheitswesen
C000263_de_000	Fachkräfte in der öffentlichen Verwaltung
C000264_de_000	Fachkräfte im Zolldienst und Grenzschutz
C000265_de_000	Fachkräfte in der Steuerverwaltung
C000266_de_000	Fachkräfte in Sozialverwaltung und -versicherung
C000267_de_000	Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen
C000268_de_000	Polizeikommissare und Kriminalbeamte
C000269_de_000	Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt
C000270_de_000	Nicht akademische juristische, sozialpflegerische, kulturelle und verwandte Fachkräfte
C000271_de_000	Nicht akademische juristische, sozialpflegerische und religiöse Berufe
C000272_de_000	Nicht akademische Fachkräfte für Rechts- und verwandte Angelegenheiten
C000273_de_000	Nicht akademische sozialpflegerische Fachkräfte
C000274_de_000	Ordensbrüder/-schwestern und Seelsorgehelfer
C000275_de_000	Fachkräfte im Bereich Sport und Fitness
C000276_de_000	Athleten und Berufssportler
C000277_de_000	Sportlehrer, Sporttrainer und Sportfunktionäre
C000278_de_000	Trainer und Betreuer im Bereich Fitness und Erholung
C000279_de_000	Fachkräfte in Gestaltung und Kultur sowie Küchenchefs
C000280_de_000	Fotografen
C000281_de_000	Raumgestalter und Dekorateure
C000282_de_000	Fachkräfte in Kunstgalerien, Museen und Bibliotheken
C000283_de_000	Küchenchefs
C000284_de_000	Sonstige Fachkräfte in Gestaltung und Kultur
C000285_de_000	Informations- und Kommunikationstechniker
C000286_de_000	Techniker für den Betrieb von Informations- und Kommunikationstechnologie und für die Anwenderbetreuung
C000287_de_000	Techniker für den Betrieb von Informations- und Kommunikationstechnologie
C000288_de_000	Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie
C000289_de_000	Techniker für Computernetzwerke und -systeme
C000290_de_000	Webmaster
C000291_de_000	Telekommunikations- und Rundfunktechniker
C000292_de_000	Techniker für Rundfunk und audiovisuelle Medien
C000293_de_000	Telekommunikationstechniker
C000294_de_000	Bürokräfte und verwandte Berufe
C000295_de_000	Allgemeine Büro- und Sekretariatskräfte
C000296_de_000	Allgemeine Bürokräfte
C000297_de_000	Allgemeine Bürokräfte
C000298_de_000	Sekretariatskräfte (allgemein)
C000299_de_000	Sekretariatskräfte (allgemein)
C000300_de_000	Schreibkräfte und Datenerfasser
C000301_de_000	Schreibkräfte und Bediener von Textverarbeitungsanlagen
C000302_de_000	Datenerfasser
C000303_de_000	Bürokräfte mit Kundenkontakt
C000304_de_000	Schalterbedienstete, Inkassobeauftragte und verwandte Berufe
C000305_de_000	Bank- und andere Schalterbedienstete
C000306_de_000	Buchmacher, Croupiers und verwandte Berufe im Bereich Glücks- und Wettspiele
C000307_de_000	Pfandleiher und Geldverleiher
C000308_de_000	Inkassobeauftragte und verwandte Berufe
C000309_de_000	Berufe im Bereich Kundeninformation
C000310_de_000	Reiseverkehrsfachkräfte
C000311_de_000	Kundeninformationsfachkräfte in Call Centers
C000312_de_000	Telefonisten
C000313_de_000	Hotelrezeptionisten
C000314_de_000	Auskunftspersonal
C000315_de_000	Empfangskräfte (allgemein)
C000316_de_000	Interviewer im Bereich Umfragen und Marktforschung
C000317_de_000	Berufe im Bereich Kundeninformation, anderweitig nicht genannt
C000318_de_000	Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft
C000319_de_000	Bürokräfte im Finanz- und Rechnungswesen und in der Statistik
C000320_de_000	Bürokräfte im Rechnungswesen und in der Buchhaltung
C000321_de_000	Bürokräfte in der Statistik, im Finanz- und Versicherungswesen
C000322_de_000	Bürokräfte in der Lohnbuchhaltung
C000323_de_000	Bürokräfte im Bereich Materialwirtschaft und Transport und verwandte Berufe
C000324_de_000	Fachkräfte in der Lagerwirtschaft
C000325_de_000	Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe
C000326_de_000	Bürokräfte in der Transportwirtschaft und verwandte Berufe
C000327_de_000	Sonstige Bürokräfte und verwandte Berufe
C000328_de_000	Sonstige Bürokräfte und verwandte Berufe
C000329_de_000	Bibliotheksassistenten
C000330_de_000	Postverteiler und -sortierer
C000331_de_000	Kodierer, Korrekturleser und verwandte Bürokräfte
C000332_de_000	Schreiber und verwandte Arbeitskräfte
C000333_de_000	Bürokräfte für Registratur und Dokumentation
C000334_de_000	Bürokräfte im Personalwesen
C000335_de_000	Bürokräfte und verwandte Berufe, anderweitig nicht genannt
C000336_de_000	Dienstleistungsberufe und Verkäufer
C000337_de_000	Berufe im Bereich personenbezogener Dienstleistungen
C000338_de_000	Reisebegleiter, Schaffner und Reiseleiter
C000339_de_000	Reisebegleiter und Stewards
C000340_de_000	Schaffner
C000341_de_000	Reiseleiter/Fremdenführer
C000342_de_000	Köche
C000343_de_000	Köche
C000344_de_000	Kellner und Barkeeper
C000345_de_000	Kellner
C000346_de_000	Barkeeper
C000347_de_000	Friseure, Kosmetiker und verwandte Berufe
C000348_de_000	Friseure
C000349_de_000	Kosmetiker und verwandte Berufe
C000350_de_000	Hauswarte und Hauswirtschaftsleiter
C000351_de_000	Reinigungs- und Hauswirtschaftsleiter in Büros, Hotels und anderen Einrichtungen
C000352_de_000	Hauswirtschafter in Privathaushalten
C000353_de_000	Hauswarte
C000354_de_000	Sonstige Berufe im Bereich personenbezogener Dienstleistungen
C000355_de_000	Astrologen, Wahrsager und verwandte Berufe
C000356_de_000	Gesellschafter und Zofen/Kammerdiener
C000357_de_000	Bestatter und Einbalsamierer
C000358_de_000	Tierpfleger und -betreuer
C000359_de_000	Fahrschullehrer
C000360_de_000	Berufe im Bereich personenbezogener Dienstleistungen, anderweitig nicht genannt
C000361_de_000	Verkaufskräfte
C000362_de_000	Straßen- und Marktverkäufer
C000363_de_000	Verkaufsstand- und Marktverkäufer
C000364_de_000	Straßenverkäufer von Lebensmitteln
C000365_de_000	Verkaufskräfte in Handelsgeschäften
C000366_de_000	Leiter eines Einzelhandelsgeschäftes
C000367_de_000	Verkaufsaufsichtskräfte in Handelsgeschäften
C000368_de_000	Verkäufer und Verkaufshilfskräfte in Handelsgeschäften
C000369_de_000	Kassierer und Kartenverkäufer
C000370_de_000	Kassierer und Kartenverkäufer
C000371_de_000	Sonstige Verkaufskräfte
C000372_de_000	Mannequins/Dressmen und sonstige Modelle
C000373_de_000	Produktvorführer
C000374_de_000	Haustürverkäufer
C000375_de_000	Telefonverkäufer
C000376_de_000	Tankwarte
C000377_de_000	Imbissverkäufer
C000378_de_000	Verkaufskräfte, anderweitig nicht genannt
C000379_de_000	Betreuungsberufe
C000380_de_000	Kinder- und Lernbetreuer
C000381_de_000	Kinderbetreuer
C000382_de_000	Lernbetreuer
C000383_de_000	Betreuungsberufe im Gesundheitswesen
C000384_de_000	Pflegehelfer
C000385_de_000	Haus- und Familienpfleger
C000386_de_000	Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt
C000387_de_000	Schutzkräfte und Sicherheitsbedienstete
C000388_de_000	Schutzkräfte und Sicherheitsbedienstete
C000389_de_000	Feuerwehrleute
C000390_de_000	Polizisten (ohne Polizeikommissare)
C000391_de_000	Gefängnisaufseher
C000392_de_000	Sicherheitswachpersonal
C000393_de_000	Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt
C000394_de_000	Fachkräfte in Land- und Forstwirtschaft und Fischerei
C000395_de_000	Fachkräfte in der Landwirtschaft
C000396_de_000	Gärtner und Ackerbauern
C000397_de_000	Ackerbauern und Gemüseanbauer
C000398_de_000	Baum- und Strauchfrüchteanbauer
C000399_de_000	Gärtner, Saat- und Pflanzenzüchter
C000400_de_000	Fachkräfte in der Mischkulturlandwirtschaft
C000401_de_000	Tierhalter
C000402_de_000	Nutztierhalter (ohne Geflügel) und Milchproduzenten
C000403_de_000	Geflügelhalter
C000404_de_000	Imker und Seidenraupenzüchter
C000405_de_000	Tierhalter, anderweitig nicht genannt
C000406_de_000	Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)
C000407_de_000	Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)
C000408_de_000	Fachkräfte in Forstwirtschaft, Fischerei und Jagd — Marktproduktion
C000409_de_000	Forstarbeitskräfte und verwandte Berufe
C000410_de_000	Forstarbeitskräfte und verwandte Berufe
C000411_de_000	Fischer, Jäger und Fallensteller
C000412_de_000	Fachkräfte im Bereich Aquakultur
C000413_de_000	Binnen- und Küstenfischer
C000414_de_000	Hochseefischer
C000415_de_000	Jäger und Fallensteller
C000416_de_000	Landwirte, Fischer, Jäger und Sammler für den Eigenbedarf
C000417_de_000	Ackerbauern für den Eigenbedarf
C000418_de_000	Ackerbauern für den Eigenbedarf
C000419_de_000	Nutztierhalter für den Eigenbedarf
C000420_de_000	Nutztierhalter für den Eigenbedarf
C000421_de_000	Ackerbauern und Nutztierhalter (ohne ausgeprägten Schwerpunkt) für den Eigenbedarf
C000422_de_000	Ackerbauern und Nutztierhalter (ohne ausgeprägten Schwerpunkt) für den Eigenbedarf
C000423_de_000	Fischer, Jäger, Fallensteller und Sammler für den Eigenbedarf
C000424_de_000	Fischer, Jäger, Fallensteller und Sammler für den Eigenbedarf
C000425_de_000	Handwerks- und verwandte Berufe
C000426_de_000	Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
C000427_de_000	Baukonstruktions- und verwandte Berufe
C000428_de_000	Rohbaufacharbeiter im Hochbau
C000429_de_000	Maurer und verwandte Berufe
C000430_de_000	Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer
C000431_de_000	Betonierer, Betonoberflächenfertiger und verwandte Berufe
C000432_de_000	Zimmerleute und Bautischler
C000433_de_000	Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt
C000434_de_000	Ausbaufachkräfte und verwandte Berufe
C000435_de_000	Dachdecker
C000436_de_000	Boden- und Fliesenleger
C000437_de_000	Stuckateure
C000438_de_000	Isolierer
C000439_de_000	Glaser
C000440_de_000	Bauspengler und Sanitär- und Heizungsinstallateure
C000441_de_000	Klima- und Kälteanlagenbauer
C000442_de_000	Maler, Gebäudereiniger und verwandte Berufe
C000443_de_000	Maler und verwandte Berufe
C000444_de_000	Lackierer und verwandte Berufe
C000445_de_000	Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer
C000446_de_000	Metallarbeiter, Mechaniker und verwandte Berufe
C000447_de_000	Blechkaltverformer, Baumetallverformer, Former (für Metallguss), Schweißer und verwandte Berufe
C000448_de_000	Former und Kernmacher (für Metallguss)
C000449_de_000	Schweißer und Brennschneider
C000450_de_000	Blechkaltverformer
C000451_de_000	Baumetallverformer und Metallbauer
C000452_de_000	Verspannungsmonteure und Seilspleißer
C000453_de_000	Grobschmiede, Werkzeugmechaniker und verwandte Berufe
C000454_de_000	Grobschmiede, Hammerschmiede und Schmiedepresser
C000455_de_000	Werkzeugmechaniker und verwandte Berufe
C000456_de_000	Werkzeugmaschineneinrichter und -bediener
C000457_de_000	Metallpolierer, Rundschleifer und Werkzeugschärfer
C000458_de_000	Maschinenmechaniker und -schlosser
C000459_de_000	Kraftfahrzeugmechaniker und -schlosser
C000460_de_000	Flugmotorenmechaniker und -schlosser
C000461_de_000	Landmaschinen- und Industriemaschinenmechaniker und -schlosser
C000462_de_000	Fahrradmechaniker und verwandte Berufe
C000463_de_000	Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe
C000464_de_000	Präzisionshandwerker und kunsthandwerkliche Berufe
C000465_de_000	Präzisionsinstrumentenmacher und -instandsetzer
C000466_de_000	Musikinstrumentenbauer und -stimmer
C000467_de_000	Schmuckwarenhersteller und Edelmetallbearbeiter
C000468_de_000	Keramiker und verwandte Berufe
C000469_de_000	Glasmacher, -schneider, -schleifer und -veredler
C000470_de_000	Schildermaler, Dekormaler, Graveure und Ätzer
C000471_de_000	Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien
C000472_de_000	Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien
C000473_de_000	Kunsthandwerkliche Berufe, anderweitig nicht genannt
C000474_de_000	Druckhandwerker
C000475_de_000	Techniker in der Druckvorstufe
C000476_de_000	Drucker
C000477_de_000	Berufe in der Druckweiterverarbeitung und Buchbinder
