C000001_sv_000	Militära yrken
C000083_sv_000	Arkitekter, stadsplanerare, designer m.fl.
C000084_sv_000	Arkitekter
C000085_sv_000	Landskapsarkitekter
C000086_sv_000	Industri- och modedesigner
C000087_sv_000	Stadsplanerare
C000088_sv_000	Lantmätare
C000089_sv_000	Grafiska formgivare m.fl.
C000090_sv_000	Yrken med krav på fördjupad högskolekompetens inom hälso- och sjukvård
C000091_sv_000	Läkare
C000092_sv_000	Allmänläkare
C000093_sv_000	Specialistläkare
C000094_sv_000	Barnmorskor och sjuksköterskor med särskild kompetens
C000095_sv_000	Sjuksköterskor med särskild kompetens
C000096_sv_000	Barnmorskor med särskild kompetens
C000097_sv_000	Utövare av komplementär och alternativ medicin med särskild kompetens
C000098_sv_000	Utövare av komplementär och alternativ medicin med särskild kompetens
C000099_sv_000	Paramedicinare
C000100_sv_000	Paramedicinare
C000101_sv_000	Veterinärer
C000102_sv_000	Veterinärer
C000103_sv_000	Andra hälso- och sjukvårdsspecialister
C000104_sv_000	Tandläkare
C000105_sv_000	Apotekare
C000106_sv_000	Arbetsmiljöingenjörer, yrkes- och miljöhygieniker
C000107_sv_000	Sjukgymnaster
C000108_sv_000	Dietister och nutritionister
C000109_sv_000	Audiologer och logopeder
C000110_sv_000	Optiker
C000111_sv_000	Övriga hälso- och sjukvårdsspecialister
C000112_sv_000	Yrken med krav på fördjupad högskolekompetens inom utbildning
C000113_sv_000	Universitets- och högskollärare
C000114_sv_000	Universitets- och högskollärare
C000115_sv_000	Lärare i yrkesämnen
C000116_sv_000	Lärare i yrkesämnen
C000117_sv_000	Gymnasielärare
C000118_sv_000	Gymnasielärare
C000119_sv_000	Grund- och förskollärare
C000120_sv_000	Grundskollärare
C000121_sv_000	Förskollärare
C000122_sv_000	Andra pedagoger med teoretisk specialistkompetens
C000123_sv_000	Skol- och utbildningskonsulenter
C000124_sv_000	Specialpedagoger m.fl.
C000125_sv_000	Övriga språklärare
C000126_sv_000	Övriga musiklärare
C000127_sv_000	Övriga lärare i konstnärliga ämnen
C000128_sv_000	Utbildare inom informationsteknik
C000129_sv_000	Övriga pedagoger med teoretisk specialistkompetens
C000130_sv_000	Yrken med krav på fördjupad högskolekompetens inom ekonomi och förvaltning
C000131_sv_000	Företagsekonomer m.fl.
C000132_sv_000	Revisorer m.fl.
C000133_sv_000	Finans- och investeringsrådgivare
C000134_sv_000	Finansanalytiker
C000135_sv_000	Administratörer med teoretisk specialistkompetens
C000136_sv_000	Lednings- och organisationsutvecklare
C000137_sv_000	Planerare och utredare
C000138_sv_000	Personaltjänstemän och yrkesvägledare
C000139_sv_000	Utbildare och personalutvecklare
C000140_sv_000	Marknadsförare, informatörer och försäljare med teoretisk specialistkompetens
C000141_sv_000	Marknadsanalytiker och marknadsförare
C000142_sv_000	Informatörer, kommunikatörer och PR-specialister
C000143_sv_000	Försäljare inom teknik och medicin (utom IKT)
C000144_sv_000	Försäljare inom informations- och kommunikationsteknik (IKT)
C000145_sv_000	Yrken med krav på fördjupad högskolekompetens inom it
C000146_sv_000	System- och mjukvaruutvecklare
C000147_sv_000	Systemutvecklare och analytiker
C000148_sv_000	Mjukvaruutvecklare
C000149_sv_000	Webb- och multimedieutvecklare
C000150_sv_000	Applikationsprogrammerare
C000151_sv_000	Övriga system- och mjukvaruutvecklare
C000152_sv_000	Databas- och nätverksadministratörer
C000153_sv_000	Databasutvecklare och administratörer
C000154_sv_000	Systemadministratörer
C000155_sv_000	Nätverksadministratörer
C000156_sv_000	Övriga databas- och nätverksadministratörer
C000157_sv_000	Yrken med krav på fördjupad högskolekompetens inom juridik, kultur, socialt arbete m.m.
C000158_sv_000	Jurister
C000159_sv_000	Advokater och åklagare
C000160_sv_000	Domare
C000161_sv_000	Övriga jurister
C000162_sv_000	Bibliotekarier, arkivarier och museitjänstemän
C000163_sv_000	Arkivarier och museitjänstemän
C000164_sv_000	Bibliotekarier m.fl.
C000165_sv_000	Samhällsvetare, psykologer och präster
C000166_sv_000	Nationalekonomer
C000167_sv_000	Sociologer, antropologer m.fl.
C000168_sv_000	Filosofer, historiker och statsvetare
C000169_sv_000	Psykologer
C000170_sv_000	Socialsekreterare och kuratorer
C000171_sv_000	Präster
C000172_sv_000	Författare, journalister och språkvetare
C000173_sv_000	Författare
C000174_sv_000	Journalister
C000175_sv_000	Översättare, tolkar och andra språkvetare
C000176_sv_000	Konstnärer, skådespelare m.fl.
C000177_sv_000	Konstnärer
C000178_sv_000	Musiker, sångare och kompositörer
C000179_sv_000	Koreografer och dansare
C000180_sv_000	Regissörer och producenter av film, teater m.m.
C000181_sv_000	Skådespelare
C000182_sv_000	Presentatörer inom radio, tv och andra media
C000183_sv_000	Övriga konstnärer, skådespelare m.fl.
C000184_sv_000	Yrken med krav på högskolekompetens eller motsvarande
C000185_sv_000	Yrken med krav på högskolekompetens eller motsvarande inom teknik
C000186_sv_000	Ingenjörer och tekniker
C000187_sv_000	Laboratorieingenjörer
C000188_sv_000	Byggnadsingenjörer och byggnadstekniker
C000189_sv_000	Elingenjörer och eltekniker
C000190_sv_000	Ingenjörer och tekniker, elektronik
C000191_sv_000	Maskiningenjörer och maskintekniker
C000192_sv_000	Kemiingenjörer och kemitekniker
C000193_sv_000	Ingenjörer och tekniker, gruvteknik och metallurgi
C000194_sv_000	Kartingenjörer m.fl.
C000195_sv_000	Övriga ingenjörer och tekniker
C000196_sv_000	Arbetsledare inom gruvdrift, tillverkning och byggverksamhet
C000197_sv_000	Arbetsledare inom gruvdrift
C000198_sv_000	Arbetsledare inom tillverkning
C000199_sv_000	Arbetsledare inom bygg och anläggning
C000200_sv_000	Processövervakare och drifttekniker
C000201_sv_000	Drifttekniker, värmekraftverk m.m.
C000202_sv_000	Drifttekniker, förbränningsstationer, vatten- och reningsverk
C000203_sv_000	Processövervakare, kemisk industri
C000204_sv_000	Processövervakare, raffinering av petroleum och naturgas
C000205_sv_000	Processövervakare, metallproduktion
C000206_sv_000	Övriga processövervakare och drifttekniker
C000207_sv_000	Lantmästare, skogskonsulenter m.fl.
C000208_sv_000	Biologtekniker m.fl.
C000209_sv_000	Lantmästare m.fl.
C000210_sv_000	Skogskonsulenter
C000211_sv_000	Piloter, fartygsbefäl m.fl.
C000212_sv_000	Maskinbefäl
C000213_sv_000	Fartygsbefäl m.fl.
C000214_sv_000	Piloter m.fl.
C000215_sv_000	Flygledare
C000216_sv_000	Flygtekniker
C000217_sv_000	Yrken med krav på högskolekompetens eller motsvarande inom hälso- och sjukvård
C000218_sv_000	Medicintekniker och receptarier
C000219_sv_000	Tekniker, bilddiagnostik och medicinteknisk utrustning
C000220_sv_000	Biomedicinska analytiker m.fl.
C000221_sv_000	Receptarier
C000222_sv_000	Protestekniker och tandtekniker
C000223_sv_000	Sjuksköterskor, barnmorskor
C000224_sv_000	Sjuksköterskor
C000225_sv_000	Barnmorskor
C000226_sv_000	Utövare av komplementär och alternativ medicin
C000227_sv_000	Utövare av komplementär och alternativ medicin
C000228_sv_000	Djursjukvårdare m.fl.
C000229_sv_000	Djursjukvårdare m.fl.
C000230_sv_000	Tandsköterskor, optikerassistenter m.fl.
C000231_sv_000	Tandhygienister och tandsköterskor
C000232_sv_000	Patientadministratörer m.fl.
C000233_sv_000	Hälsoinformatörer
C000234_sv_000	Optikerassistenter
C000235_sv_000	Sjukgymnastassistenter
C000236_sv_000	Sjukvårdsassistenter
C000237_sv_000	Miljö- och hälsoskyddsinspektörer m.fl.
C000238_sv_000	Ambulanssjukvårdare
C000239_sv_000	Övriga tandsköterskor, optikerassistenter m.fl.
C000240_sv_000	Yrken med krav på högskolekompetens eller motsvarande inom ekonomi och förvaltning
C000241_sv_000	Redovisningsekonomer, banktjänstemän m.fl.
C000242_sv_000	Värdepappersmäklare
C000243_sv_000	Banktjänstemän
C000244_sv_000	Redovisningsekonomer m.fl.
C000245_sv_000	Statistikassistenter m.fl.
C000246_sv_000	Värderare m.fl.
C000247_sv_000	Företagssäljare, inköpare och agenter
C000248_sv_000	Försäkringsrepresentanter
C000249_sv_000	Företagssäljare
C000250_sv_000	Inköpare
C000251_sv_000	Agenter
C000252_sv_000	Förmedlare m.fl.
C000253_sv_000	Speditörer
C000254_sv_000	Konferens- och evenemangsplanerare
C000255_sv_000	Platsförmedlare och arbetsvägledare
C000256_sv_000	Fastighetsmäklare, fastighetsförvaltare m.fl.
C000257_sv_000	Övriga förmedlare m.fl.
C000258_sv_000	Administrativa assistenter m.fl.
C000259_sv_000	Arbetsledare för kontorspersonal
C000260_sv_000	Juristsekreterare
C000261_sv_000	Administrativa assistenter
C000262_sv_000	Läkarsekreterare
C000263_sv_000	Tull-, taxerings- och socialförsäkringstjänstemän m.fl.
C000264_sv_000	Tulltjänstemän
C000265_sv_000	Taxeringstjänstemän
C000266_sv_000	Socialförsäkringstjänstemän
C000267_sv_000	Tillståndsinspektörer
C000268_sv_000	Polisinspektörer och kommissarier
C000269_sv_000	Övriga tull-, taxerings- och socialförsäkringstjänstemän m.fl.
C000270_sv_000	Yrken med krav på högskolekompetens eller motsvarande inom kultur, friskvård, socialt arbete m.m.
C000271_sv_000	Boutredare, behandlingsassistenter m.fl.
C000272_sv_000	Boutredare, domstolssekreterare m.fl.
C000273_sv_000	Behandlingsassistenter och socialpedagoger
C000274_sv_000	Pastorer
C000275_sv_000	Idrottstränare, professionella idrottsutövare m.fl.
C000276_sv_000	Professionella idrottsutövare m.fl.
C000277_sv_000	Idrottstränare, instruktörer och funktionärer
C000278_sv_000	Motions- och fritidsledare m.fl.
C000279_sv_000	Fotografer, inredare m.fl.
C000280_sv_000	Fotografer
C000281_sv_000	Inredare och dekoratörer
C000282_sv_000	Galleri-, musei- och bibliotekstekniker
C000283_sv_000	Chefskockar
C000284_sv_000	Övriga fotografer, inredare m.fl.
C000285_sv_000	Yrken med krav på högskolekompetens eller motsvarande inom it, ljud- och ljusteknik m.m.
C000286_sv_000	Drift-, support- och nätverkstekniker m.fl.
C000287_sv_000	Drifttekniker, IKT
C000288_sv_000	Datatekniker, service och support
C000289_sv_000	Nätverk- och systemtekniker
C000290_sv_000	Webbtekniker
C000291_sv_000	Ingenjörer och tekniker inom kommunikationsteknik
C000292_sv_000	Bild-, ljud- och sändningstekniker
C000293_sv_000	Ingenjörer och tekniker inom teleteknik
C000294_sv_000	Yrken inom administration och kundtjänst
C000295_sv_000	Kontorsassistenter och sekreterare
C000296_sv_000	Kontorsassistenter och sekreterare
C000297_sv_000	Allmänkontorister
C000298_sv_000	Kontorssekreterare
C000299_sv_000	Kontorssekreterare
C000300_sv_000	Textbehandlare m.fl.
C000301_sv_000	Maskinskrivare och textbehandlare
C000302_sv_000	Dataregistrerare
C000303_sv_000	Kundserviceyrken
C000304_sv_000	Kassapersonal m.fl.
C000305_sv_000	Bank- och postkassörer m.fl.
C000306_sv_000	Oddssättare, croupierer m.fl.
C000307_sv_000	Pantlånare
C000308_sv_000	Inkasserare m.fl.
C000309_sv_000	Kundtjänstpersonal
C000310_sv_000	Resebyråtjänstemän
C000311_sv_000	Kundkommunikatörer
C000312_sv_000	Telefonister
C000313_sv_000	Hotellreceptionister
C000314_sv_000	Kundinformatörer
C000315_sv_000	Receptionister (utom hotell)
C000316_sv_000	Marknadsundersökare, intervjuare
C000317_sv_000	Övrig kundtjänstpersonal
C000318_sv_000	Yrken inom materialförvaltning m.m.
C000319_sv_000	Bokförings- och redovisningsassistenter m.fl.
C000320_sv_000	Bokförings- och redovisningsassistenter
C000321_sv_000	Statistikkontorister m.fl.
C000322_sv_000	Löneassistenter
C000323_sv_000	Materialförvaltnings- och transportassistenter
C000324_sv_000	Lagerassistenter
C000325_sv_000	Produktionsassistenter
C000326_sv_000	Transportassistenter
C000327_sv_000	Andra kontors- och kundserviceyrken
C000328_sv_000	Annan kontors- och kundservicepersonal
C000329_sv_000	Biblioteksassistenter
C000330_sv_000	Brevbärare och brevsorterare
C000331_sv_000	Kodare, korrekturläsare m.fl.
C000332_sv_000	Skrivare
C000333_sv_000	Arkivassistenter och kopieringskontorister
C000334_sv_000	Personalassistenter
C000335_sv_000	Övrig kontors- och kundservicepersonal
C000336_sv_000	Service-, omsorgs- och försäljningsyrken
C000337_sv_000	Serviceyrken
C000338_sv_000	Kabinpersonal, tågvärdar, guider m.fl.
C000339_sv_000	Kabinpersonal m.fl.
C000340_sv_000	Tågvärdar, ombordansvariga m.fl.
C000341_sv_000	Guider och reseledare
C000342_sv_000	Kockar och kallskänkor
C000343_sv_000	Kockar och kallskänkor
C000344_sv_000	Hovmästare, servitörer och bartendrar
C000345_sv_000	Hovmästare och servitörer
C000346_sv_000	Bartendrar
C000347_sv_000	Frisörer, hudterapeuter m.fl.
C000348_sv_000	Frisörer
C000349_sv_000	Hudterapeuter m.fl.
C000350_sv_000	Städledare, fastighetsskötare m.fl.
C000351_sv_000	Städledare och husfruar
C000352_sv_000	Hushållerskor
C000353_sv_000	Fastighetsskötare
C000354_sv_000	Annan servicepersonal, personliga tjänster
C000355_sv_000	Astrologer, siare m.fl.
C000356_sv_000	Sällskapsdamer och betjänter
C000357_sv_000	Begravningsentreprenörer
C000358_sv_000	Djurfrisörer och djurskötare
C000359_sv_000	Trafiklärare
C000360_sv_000	Övrig servicepersonal, personliga tjänster
C000361_sv_000	Försäljningsyrken inom detaljhandeln m.m.
C000362_sv_000	Torg- och marknadsförsäljare m.fl.
C000363_sv_000	Torg- och marknadsförsäljare (utom mat)
C000364_sv_000	Matförsäljare på gator, torg m.m.
C000365_sv_000	Butikspersonal
C000366_sv_000	Butiksinnehavare
C000367_sv_000	Säljande butikschefer och avdelningschefer i butik
C000368_sv_000	Butikssäljare
C000369_sv_000	Butikskassörer, biljettförsäljare m.fl.
C000370_sv_000	Butikskassörer, biljettförsäljare m.fl.
C000371_sv_000	Övriga yrken inom försäljning
C000372_sv_000	Modeller
C000373_sv_000	Butiksdemonstratörer m.fl.
C000374_sv_000	Hemförsäljare
C000375_sv_000	Telefonförsäljare
C000376_sv_000	Bensinstationspersonal
C000377_sv_000	Biträden på caféer, konditorier, barer m.m.
C000378_sv_000	Övrig försäljningspersonal
C000379_sv_000	Vård- och omsorgsarbete
C000380_sv_000	Barnskötare, elevassistenter m.fl.
C000381_sv_000	Barnskötare
C000382_sv_000	Elevassistenter m.fl.
C000383_sv_000	Vård- och omsorgspersonal
C000384_sv_000	Undersköterskor, sjukvårdsbiträden m.fl.
C000385_sv_000	Hemtjänstassistenter, personliga assistenter m.fl.
C000386_sv_000	Övrig vård- och omsorgspersonal
C000387_sv_000	Bevaknings- och säkerhetsyrken
C000388_sv_000	Säkerhetspersonal
C000389_sv_000	Brandmän
C000390_sv_000	Poliser (utom inspektörer och kommissarier)
C000391_sv_000	Kriminalvårdare
C000392_sv_000	Väktare och ordningsvakter
C000393_sv_000	Övrig säkerhetspersonal
C000394_sv_000	Yrken inom lantbruk, trädgård, skogsbruk och fiske
C000395_sv_000	Lantbruks- och trädgårdsyrken (för försäljning)
C000396_sv_000	Växtodlare inom jordbruk och trädgård
C000397_sv_000	Odlare av jordbruksväxter, frukt- och bärodlare
C000398_sv_000	Odlare av träd och buskar
C000399_sv_000	Trädgårdsodlare, trädgårdsanläggare m.fl.
C000400_sv_000	Odlare av blandade växtslag
C000401_sv_000	Djuruppfödare
C000402_sv_000	Husdjursuppfödare och husdjursskötare
C000403_sv_000	Fjäderfäuppfödare
C000404_sv_000	Biodlare och silkesodlare
C000405_sv_000	Övriga djuruppfödare
C000406_sv_000	Växtodlare och djuruppfödare, blandad drift
C000407_sv_000	Växtodlare och djuruppfödare, blandad drift
C000408_sv_000	Yrken inom skogsbruk, fiske och jakt (för försäljning)
C000409_sv_000	Skogsbrukare m.fl.
C000410_sv_000	Skogsbrukare m.fl.
C000411_sv_000	Fiskare och jägare
C000412_sv_000	Fiskodlare
C000413_sv_000	Fiskare (kustfiske och insjöfiske)
C000414_sv_000	Fiskare (havsfiske)
C000415_sv_000	Jägare
C000416_sv_000	Yrken inom lantbruk, fiske och jakt (självhushållning)
C000417_sv_000	Växtodlare (självhushållning)
C000418_sv_000	Växtodlare (självhushållning)
C000419_sv_000	Djuruppfödare (självhushållning)
C000420_sv_000	Djuruppfödare (självhushållning)
C000421_sv_000	Växtodlare och djuruppfödare, blandad drift (självhushållning)
C000422_sv_000	Växtodlare och djuruppfödare, blandad drift (självhushållning)
C000423_sv_000	Fiskare, jägare och samlare (självhushållning)
C000424_sv_000	Fiskare, jägare och samlare (självhushållning)
C000425_sv_000	Yrken inom byggverksamhet, tillverkning m.m.
C000426_sv_000	Byggnads- och anläggningsyrken, utom elektriker
C000427_sv_000	Byggnads- och anläggningsarbetare
C000428_sv_000	Husbyggare
C000429_sv_000	Murare m.fl.
C000430_sv_000	Stenhuggare m.fl.
C000431_sv_000	Betongarbetare
C000432_sv_000	Byggnadsträarbetare, inredningssnickare m.fl.
C000433_sv_000	Övriga byggnads- och anläggningsarbetare
C000434_sv_000	Takmontörer, golvläggare, VVS-montörer m.fl.
C000435_sv_000	Takmontörer
C000436_sv_000	Golvläggare
C000437_sv_000	Gipsarbetare
C000438_sv_000	Isoleringsmontörer
C000439_sv_000	Glastekniker
C000440_sv_000	VVS-montörer m.fl.
C000441_sv_000	Kyl- och värmepumpstekniker m.fl.
C000442_sv_000	Målare, lackerare, skorstensfejare m.fl.
C000443_sv_000	Målare
C000444_sv_000	Lackerare och industrimålare
C000445_sv_000	Skorstensfejare och saneringsarbetare
C000446_sv_000	Metallhantverks- och reparatörsyrken
C000447_sv_000	Gjutare, svetsare, plåtslagare m.fl.
C000448_sv_000	Gjutare
C000449_sv_000	Svetsare och gasskärare
C000450_sv_000	Tunnplåtslagare
C000451_sv_000	Stålkonstruktionsmontörer och grovplåtslagare
C000452_sv_000	Riggare och kabelsplitsare
C000453_sv_000	Smeder, verktygsmakare m.fl.
C000454_sv_000	Smeder
C000455_sv_000	Verktygsmakare
C000456_sv_000	Verktygsuppsättare, metallarbete
C000457_sv_000	Slipare m.fl.
C000458_sv_000	Maskin- och motorreparatörer
C000459_sv_000	Motorfordonsmekaniker och motorfordonsreparatörer
C000460_sv_000	Flygmekaniker och flygreparatörer
C000461_sv_000	Underhållsmekaniker och maskinreparatörer
C000462_sv_000	Cykelreparatörer m.fl.
C000463_sv_000	Konsthantverk och grafiskt arbete
C000464_sv_000	Konsthantverkare m.fl.
C000465_sv_000	Finmekaniker
C000466_sv_000	Musikinstrumentmakare m.fl.
C000467_sv_000	Guld- och silversmeder
C000468_sv_000	Drejare m.fl.
C000469_sv_000	Glashyttearbetare m.fl.
C000470_sv_000	Skyltmålare, dekorationsmålare, gravörer och etsare
C000471_sv_000	Konsthantverkare i trä m.m.
C000472_sv_000	Konsthantverkare i textil, läder m.m.
C000473_sv_000	Övriga konsthantverkare m.fl.
C000474_sv_000	Grafiker
C000475_sv_000	Prepressoperatörer
C000476_sv_000	Tryckare
C000477_sv_000	Bokbindare m.fl.
C000478_sv_000	Installations- och servicearbete inom el och elektronik
C000479_sv_000	Starkströmselektriker
C000480_sv_000	Installations- och serviceelektriker
C000481_sv_000	Industrielektriker
C000482_sv_000	Distributionselektriker
C000483_sv_000	Installatörer och reparatörer, elektronik och teleteknik
C000484_sv_000	Elektronikreparatörer m.fl.
C000485_sv_000	Kommunikationselektriker
C000486_sv_000	Annat hantverksarbete inom livsmedel, trä, textil m.m.
C000487_sv_000	Livsmedelsarbetare m.fl.
C000488_sv_000	Slaktare, styckare m.fl
C000489_sv_000	Bagare och konditorer
C000490_sv_000	Livsmedelsarbetare, mejeriprodukter
C000491_sv_000	Frukt- och grönsaksberedare
C000492_sv_000	Provsmakare och kvalitetsbedömare
C000493_sv_000	Tobaksberedare och tillverkare av tobaksvaror
C000494_sv_000	Möbelsnickare, modellsnickare m.fl.
C000495_sv_000	Ytbehandlare, trä
C000496_sv_000	Möbelsnickare m.fl.
C000497_sv_000	Trämaskinställare och trämaskinskötare
C000498_sv_000	Skräddare, tillskärare, tapetserare m.fl
C000499_sv_000	Skräddare, modister, körsnärer och ateljésömmerskor
C000500_sv_000	Tillskärare
C000501_sv_000	Sömmare
C000502_sv_000	Tapetserare
C000503_sv_000	Garvare och skinnberedare
C000504_sv_000	Skomakare m.fl.
C000505_sv_000	Andra hantverksarbetare
C000506_sv_000	Dykare
C000507_sv_000	Bergsprängare
C000508_sv_000	Produkttestare och kvalitetsbedömare (utom drycker och livsmedel)
C000509_sv_000	Skadedjurssanerare m.fl.
C000510_sv_000	Övriga hantverksarbetare
C000511_sv_000	Yrken inom maskinell tillverkning, transport m.m.
C000512_sv_000	Process- och maskinoperatörsyrken
C000513_sv_000	Malmförädlingsoperatörer, brunnsborrare m.fl.
C000514_sv_000	Gruv- och stenbrottsarbetare
C000515_sv_000	Processoperatörer, stenkross- och malmförädlingsanläggning
C000516_sv_000	Brunnsborrare m.fl.
C000517_sv_000	Maskinoperatörer, cement-, sten- och betongvaror
C000518_sv_000	Processoperatörer vid stål-och metallverk
C000519_sv_000	Processoperatörer vid stål- och metallverk
C000520_sv_000	Maskinoperatörer, ytbehandling
C000521_sv_000	Maskinoperatörer, kemiska och farmaceutiska produkter m.m.
C000522_sv_000	Maskinoperatörer, kemiska och farmaceutiska produkter
C000523_sv_000	Maskinoperatörer, fotografiska produkter
C000524_sv_000	Maskinoperatörer, gummi-, plast- och pappersvaruindustri
C000525_sv_000	Maskinoperatörer, gummiindustri
C000526_sv_000	Maskinoperatörer, plastindustri
C000527_sv_000	Maskinoperatörer, pappersvaruindustri
C000528_sv_000	Maskinoperatörer, textil-, skinn- och läderindustri
C000529_sv_000	Maskinoperatörer, garnberedning
C000530_sv_000	Maskinoperatörer, vävning och stickning
C000531_sv_000	Symaskinoperatörer
C000532_sv_000	Maskinoperatörer, blekning, färgning m.m.
C000533_sv_000	Maskinoperatörer, pälsskinnsberedning, garvning
C000534_sv_000	Maskinoperatörer, skoindustri m.m.
C000535_sv_000	Maskinoperatörer, tvätteri
C000536_sv_000	Övriga maskinoperatörer, textil-, skinn- och läderindustri
C000537_sv_000	Maskinoperatörer, livsmedelsindustri m.m.
C000538_sv_000	Maskinoperatörer, livsmedelsindustri m.m.
C000539_sv_000	Processoperatörer, trä- och pappersindustri
C000540_sv_000	Processoperatörer, pappersmassa, papper
C000541_sv_000	Sågverksoperatörer
C000542_sv_000	Andra process- och maskinoperatörer
C000543_sv_000	Processoperatörer, glas och keramiska produkter
C000544_sv_000	Ångmaskinister
C000545_sv_000	Maskinoperatörer, packning, påfyllning och märkning
C000546_sv_000	Övriga process- och maskinoperatörer
C000547_sv_000	Monteringsarbete
C000548_sv_000	Montörer
C000549_sv_000	Fordonsmontörer m.fl.
C000550_sv_000	Montörer, elektrisk och elektronisk utrustning
C000551_sv_000	Övriga montörer
C000552_sv_000	Transport- och maskinföraryrken
C000553_sv_000	Lokförare och bangårdspersonal
C000554_sv_000	Lokförare
C000555_sv_000	Bangårdspersonal
C000556_sv_000	Bil- och motorcykelförare
C000557_sv_000	Motorcykelförare
C000558_sv_000	Bil- och taxiförare
C000559_sv_000	Lastbils- och bussförare
C000560_sv_000	Buss- och spårvagnsförare
C000561_sv_000	Lastbilsförare
C000562_sv_000	Maskinförare
C000563_sv_000	Förare av jordbruks- och skogsmaskiner
C000564_sv_000	Anläggningsmaskinförare m.fl.
C000565_sv_000	Kranförare m.fl.
C000566_sv_000	Truckförare
C000567_sv_000	Matroser, jungmän m.fl.
C000568_sv_000	Matroser, jungmän m.fl.
C000569_sv_000	Yrken med krav på kortare utbildning eller introduktion
C000570_sv_000	Städyrken
