Q000001	Klottersanerare
Q000181	Processtekniker, tillverkningsindustri
Q000182	Golvläggare, utan yrkesbevis
Q000183	Hyttmästare/Produktionsledare, glasbruk
Q000184	Folkhälsosekreterare
Q000185	Imitatör
Q000186	Mjölkbedömare
Q000187	Naturvårdare
Q000188	Miljösamordnare/Miljökoordinator
Q000189	Lotsoperatör
Q000190	Silversmed
Q000191	Krossoperatör
Q000192	Varvssnickare
Q000193	Lekterapeut
Q000194	Produktionsingenjör, gruv, metallurgi
Q000195	Båtvärdinna/Båtvärd
Q000196	Forskare, humaniora
Q000197	Projektledare, bioteknik
Q000198	Anestesisjuksköterska
Q000199	Processtekniker, gjuteri
Q000200	Fasadputsare
Q000201	Vårdbiträde
Q000202	Planeringsingenjör, elektronik
Q000203	Mekatronikingenjör
Q000204	Geodatasamordnare
Q000205	Betongarbetare
Q000206	Forskare, odontologi
Q000207	Filmtekniker
Q000208	Lärling, plattsättare
Q000209	Kakelugnsmakare
Q000210	Slipmaterialarbetare
Q000211	Hörselvårdskonsulent
Q000212	Bakteriolog
Q000213	Industrirobotoperatör
Q000214	Patentingenjör/Patentkonsult
Q000215	Utlandstelefonist
Q000216	Fartygsplåtslagare
Q000217	Produktionsdesigner/Production designer
Q000218	Plastreparatör
Q000219	Forskare, virologi
Q000220	Fjärrtågklarerare
Q000221	Aktieanalytiker
Q000222	Garvare/Skinnberedare
Q000223	Imam
Q000224	Statistiker
Q000225	Polismästare
Q000226	Manusförfattare
Q000227	Studioman
Q000228	Elektrofilterskötare
Q000229	Områdeschef, barnomsorg
Q000230	Kontrollingenjör, elektronik
Q000231	Transportadministratör
Q000232	Alkohol- och drogterapeut
Q000233	Affärsområdeschef
Q000234	Processutvecklare, kemi
Q000235	Lärling, beläggningsarbete
Q000236	Informationsarkitekt
Q000237	Geodet
Q000238	El- och avioniktekniker/IERA- tekniker
Q000239	Säkerhetsmontör
Q000240	Avdelningschef, statlig
Q000241	Tappare, bryggeri
Q000242	Växeltelefonist
Q000243	Kommunikationsstrateg
Q000244	Forskningsingenjör, metallurgi
Q000245	Taltjänsttolk
Q000246	Ingenjörsgeolog
Q000247	Laborant, biologi
Q000248	Naturterapeut
Q000249	Fanerare
Q000250	Lärling, beläggningsmaskinförare
Q000251	Konstkonsult
Q000252	Miljökemist
Q000253	Husdjursrådgivare/Husdjurskonsulent
Q000254	Budgetsekreterare
Q000255	Bergsingenjör
Q000256	Kursutvecklare
Q000257	Kyl- och värmepumpstekniker
Q000258	Schablontillverkare, screentryck
Q000259	Planslipare, glas
Q000260	Accounting controller
Q000261	Vinodlare
Q000262	Marinmeteorolog
Q000263	Kontrollingenjör
Q000264	Skorstensfejarmästare
Q000265	Yogainstruktör/Yogalärare
Q000266	Partikelfysiker
Q000267	Enhetschef inom social omsorg/Föreståndare inom social omsorg
Q000268	Geograf
Q000269	Danspedagog
Q000270	Skatterådgivare
Q000271	Utvecklingsingenjör, gruv
Q000272	Organisk kemist
Q000273	Beräkningsingenjör, el-tele
Q000274	Programsekreterare
Q000275	Depåtekniker, prospektering
Q000276	Generaldirektör
Q000277	LSS-handläggare
Q000278	Blanksticksgravör
Q000279	Geofysiker
Q000280	Projektledare, maskin
Q000281	Tvättchef
Q000282	Instruktionsstädare
Q000283	Antikvarie
Q000284	Lantmätare/Förrättningslantmätare
Q000285	Skogstransportförare
Q000286	Lärling, ställningsbyggare
Q000287	Betongvaruarbetare
Q000288	Landskapsingenjör
Q000289	Konstinramare/Rammakare
Q000290	Kyrkvaktmästare
Q000291	Fullstack-utvecklare
Q000292	Köksmästare
Q000293	Tunnplåtslagare
Q000294	Trafikförman
Q000295	Skogsplanläggare
Q000296	Köp- och försäljningsmäklare, fartyg
Q000297	Mudderverkskötare
Q000298	Civilingenjör, produktion, maskin
Q000299	Handpaketerare
Q000300	Lärling, grävlastare
Q000301	Videojournalist/Videoreporter
Q000302	Kabinettsekreterare
Q000303	Pressare, träfiber, spånskivor
Q000304	Kafébiträde/Konditoribiträde
Q000305	Klinikchef, tandvård/Verksamhetschef, tandvård
Q000306	Driftchef, vattenverk
Q000307	Maskinskötare, tegelbruk
Q000308	Affischör/Affischuppsättare
Q000309	Modellbyggare
Q000310	Intendenturpersonal, försvaret
Q000311	Fritidsombud, försäkringar
Q000312	Kameraassistent
Q000313	Präst, grekisk-ortodox kyrka
Q000314	Kalkhusarbetare, garveri
Q000315	Datorlingvist/Datalingvist
Q000316	Råhudsarbetare
Q000317	Importspeditör
Q000318	Ombudsman
Q000319	Elkraftingenjör
Q000320	Skogsekonom
Q000321	Maskinsnickare, snickeri/Operatör, snickeri/Operatör, inredning
Q000322	Musikagent
Q000323	Demontör, återvinning
Q000324	Molntekniker/Cloudutvecklare
Q000325	Lärling, bandschaktarförare
Q000326	Uppackare/Furnerare
Q000327	Mjuklödare
Q000328	Copywriter
Q000329	Retuschör
Q000330	Logistiker
Q000331	Färdledare/Turledare
Q000332	Forskningsingenjör, maskin
Q000333	Befraktningsmäklare
Q000334	Backend-utvecklare
Q000335	Arkeolog
Q000336	Skogsarbetare, plantering
Q000337	Invandrarkonsulent
Q000338	Yogamassör
Q000339	Provsmakare
Q000340	Bildmixer
Q000341	Mjukvarutestare
Q000342	Hammarsmed
Q000343	Bandschaktarförare
Q000344	Herrfrisör
Q000345	Civilingenjör, tillverkningsindustri
Q000346	Ämneslärare, gymnasieskolan
Q000347	Skadedjurstekniker
Q000348	Inspelningsledare
Q000349	Sufflör
Q000350	Plastmaskinoperatör
Q000351	Utbildningschef
Q000352	Byggstädare
Q000353	Redovisningsekonom
Q000354	Orderplanerare
Q000355	Emaljerare, keramik
Q000356	Överstyrman
Q000357	Djursjukskötare
Q000358	Projektledare, kemiteknik
Q000359	Forskningsrådgivare
Q000360	Föreståndare, äldreboende
Q000361	Formpressare, skiktträ
Q000362	Laborant, fysik
Q000363	Mobilkranförare
Q000364	Lastmaskinförare
Q000365	Skogsinspektor
Q000366	Färdtjänstbussförare
Q000367	Parkförvaltare
Q000368	Clown
Q000369	Shiatsuterapeut
Q000370	Account manager
Q000371	Lärling, undertaksmontör
Q000372	Solcellsinstallatör
Q000373	Utvecklingsingenjör, tillverkningsindustri
Q000374	Exploateringsingenjör
Q000375	Kopparslagare
Q000376	Business controller
Q000377	Formsättare
Q000378	VVS-ingenjör
Q000379	CNC-operatör, trä
Q000380	Forskare, beräkningsbiologi
Q000381	Kemtvättare
Q000382	Kabelmontör, elkraft
Q000383	Pjäsmekaniker
Q000384	Elektromekaniker
Q000385	Truckreparatör
Q000386	Gravör, ädelmetall
Q000387	Stadsträdgårdsmästare
Q000388	Näringsforskare
Q000389	Servicedesigner/Tjänstedesigner
Q000390	Syntolk
Q000391	Revisionschef
Q000392	Skeppsmätare
Q000393	Domstolsjurist
Q000394	Civilingenjör, trafik
Q000395	Trycksaksfaktor
Q000396	Gradare
Q000397	Diakon
Q000398	Korsordsmakare/Korsordskonstruktör
Q000399	Elverkschef
Q000400	Flygklarerare
Q000401	Läkare
Q000402	Spårsvetsare
Q000403	Affärsanalytiker/Business analyst
Q000404	Fastighetsförmedlare
Q000405	Stansare, tunnplåt
Q000406	Lärling, grävmaskinförare
Q000407	Fastighetstekniker/Drifttekniker, fastighet
Q000408	Sprängingenjör
Q000409	Kabinchef/Purser
Q000410	Generalkonsul
Q000411	Dataingenjör
Q000412	Bilinspektör
Q000413	Valideringsingenjör
Q000414	Notariattjänsteman, bank
Q000415	Ändringsskräddare
Q000416	Vindkraftstekniker
Q000417	Kvalitetschef
Q000418	Civilskadereglerare
Q000419	Fartygsstädare
Q000420	Pizzabagare
Q000421	Statist
Q000422	Signalman
Q000423	Formare, keramik
Q000424	Processoperatör, bryggeri
Q000425	Driftchef, energi
Q000426	Valutaförsäljare
Q000427	Tandtekniker
Q000428	Processoperatör, betong
Q000429	Besiktningsassistent
Q000430	Systemdesigner
Q000431	Kopieringsmaskinskötare
Q000432	Prognosmeteorolog
Q000433	Rörriktare
Q000434	Badvaktmästare
Q000435	Teleskoptruckförare, anläggning
Q000436	IT-säkerhetstekniker
Q000437	Butiksansvarig
Q000438	Regionchef, försäkring
Q000439	Digital Imaging Technician/DIT/Loggare
Q000440	Kallsågare, metall
Q000441	Geokemist
Q000442	Arbetsledare, anläggning
Q000443	Ombordansvarig, tåg
Q000444	Habiliteringspedagog
Q000445	Maskinoperatör, fotografiska produkter
Q000446	Utbildningsledare, trafikskola
Q000447	Brandskyddsmålare
Q000448	Fraktexpeditör, flyg
Q000449	Speditionschef
Q000450	Maskinoperatör, hårdband
Q000451	Maskinbokbindare/Bokbinderiarbetare
Q000452	Elmontör
Q000453	Stensvarvare
Q000454	Projektledare: kultur, media, film
Q000455	IT-samordnare
Q000456	Dekan/Dekanus
Q000457	Braskaminmontör
Q000458	Ekonomiföreståndare/Kursgårdsföreståndare/Storhushållsföreståndare
Q000459	Montör, papp- och textilprodukter
Q000460	Skyltgravör
Q000461	Kriminolog
Q000462	Förvaltningsassistent
Q000463	Plastbåtbyggare
Q000464	Miljöekonom
Q000465	Cementbrännare
Q000466	Teknisk skribent
Q000467	Valutahandlare
Q000468	Fältskadereglerare
Q000469	Forskningssjuksköterska
Q000470	Bovärd/Fastighetsvärd/Husvärd
Q000471	Solenergiprojektör/Solcellsprojektör
Q000472	Koncerncontroller
Q000473	Svarvare
Q000474	Passagerarkoordinator
Q000475	Hälsovårdsinspektör
Q000476	Kennelföreståndare
Q000477	Elektrotekniker
Q000478	Produktionsingenjör, gjuteri
Q000479	Miljöstatistiker
Q000480	Vägvakt
Q000481	Godsmottagare
Q000482	Flismaskinförare, skogsbruk
Q000483	Byggnadskonsult
Q000484	Synkonsulent
Q000485	Stålgravör
Q000486	Familjevårdsinspektör
Q000487	Åklagaraspirant
Q000488	Avbytare, jordbruk
Q000489	Glaserare, keramik
Q000490	Präglare, metall
Q000491	Strålningsfysiker
Q000492	Biträdande butikschef/Säljande butikschef
Q000493	Kapellvaktmästare
Q000494	Ekonomiassistent
Q000495	Inläggare, valsverk
Q000496	Fiskerikonsulent
Q000497	Colorist
Q000498	Mätarjusterare
Q000499	Fjärrbilsförare
Q000500	Skolsekreterare
Q000501	Tapettryckare
Q000502	Serviceingenjör, elkraft
Q000503	Kronofogde
Q000504	Super cargo
Q000505	Ismaskinförare
Q000506	Sprinklermontör
Q000507	Tågklarerare
Q000508	Distriktsbarnmorska
Q000509	Arkivkanslist
Q000510	Fritidskonsulent
Q000511	Massaberedare, keramik/Massaberedare, tegel
Q000512	Maskinoperatör, kött
Q000513	Skolassistent
Q000514	Revisorsassistent
Q000515	Mesabrännare
Q000516	F&B Manager/Food and beverage manager
Q000517	Läkepedagog
Q000518	Entomolog
Q000519	Metodanalytiker, IT
Q000520	Studiovärdinna
Q000521	Departementsråd
Q000522	Logoped
Q000523	Liftmaskinist
Q000524	Lästmodellör
Q000525	Säljkonsulent
Q000526	Liftdumper- och lastväxlarförare
Q000527	Asfaltmaskinist, asfaltframställning
Q000528	Sprängämnesarbetare
Q000529	Meteorologisk observatör
Q000530	Dietist
Q000531	Porslinsdekoratör
Q000532	Engine programmer
Q000533	Programledare
Q000534	Lärling, väg- och anläggningsarbetare
Q000535	Skidpatrullör/Pistör
Q000536	Fastighetsskötare/Fastighetsarbetare
Q000537	Listarbetare
Q000538	Lärling, murare
Q000539	Hudsorterare
Q000540	Förbundsjurist
Q000541	Automationstekniker, tillverkningsindustri
Q000542	Avgjutare
Q000543	Bandsågare, metall
Q000544	Ansvarig reklamutgivare/ARU
Q000545	Ergonom/Företagsgymnast
Q000546	Bandlastarförare
Q000547	Turbinreparatör
Q000548	Antagningssekreterare, utbildning
Q000549	Produktionssekreterare
Q000550	Båtförsäljare
Q000551	Plastarbetare
Q000552	Verksjurist
Q000553	Stugvärd
Q000554	Barnsjuksköterska
Q000555	Fastighetsinspektör
Q000556	Civilingenjör, systemutveckling
Q000557	Värderingsman
Q000558	Hårdvarutestare
Q000559	Linnesömmerska
Q000560	Terminalarbetare
Q000561	Dammskötare, fiskodling
Q000562	Krukmakare
Q000563	Transportsamordnare
Q000564	Livsmedelsarbetare, mejeri
Q000565	Applikationsutvecklare
Q000566	Drifttekniker, data
Q000567	Huvudtillsyningsman, järnväg
Q000568	Transportledare
Q000569	Redovisningskonsult
Q000570	Dragspelsreparatör
Q000571	Glassberedare
Q000572	Apoteksassistent
Q000573	Trafikvakt
Q000574	Biträdande rektor
Q000575	Astronom
Q000576	Enhetschef inom socialtjänst
Q000577	Forskare, trädgårdsvetenskap
Q000578	Borrare, metall
Q000579	Grillbiträde/Gatuköksbiträde
Q000580	Svetsoperatör/Automatsvetsare
Q000581	Skolkonsulent
Q000582	Annonsproducent
Q000583	Pälsskinnberedare
Q000584	Länsarkitekt
Q000585	Ritare, maskin
Q000586	Recensent
Q000587	Härdare, plast
Q000588	Batteriarbetare/Ackumulatorarbetare
Q000589	Lärling, byggnadsplåtslagare
Q000590	Eurytmist
Q000591	Plastsvetsare
Q000592	Radiofysiker
Q000593	Publikchef
Q000594	Beredare, elkraft
Q000595	Barnmorska
Q000596	Parkförman
Q000597	Steriltekniker/Undersköterska, sterilcentral
Q000598	Modellgjutare, keramik
Q000599	Personalansvarig
Q000600	OB-tekniker
Q000601	Dockspelare
Q000602	Förrättningsassistent
Q000603	Organist
Q000604	Plastvaruarbetare
Q000605	Mikromekaniker
Q000606	Demonstratör
Q000607	Gruppchef, teknik
Q000608	Museiintendent
Q000609	Stadsbyggnadschef/Stadsbyggnadsdirektör
Q000610	Universitetsrektor
Q000611	Bandsågare, träfiberskivor
Q000612	Plåtriktare
Q000613	Standardiseringsingenjör
Q000614	Finmekaniker
Q000615	Värmeverkschef
Q000616	Cityledare
Q000617	Etolog
Q000618	Ärftlighetsforskare
Q000619	Leveransbevakare
Q000620	Bohags- och flyttbilsförare
Q000621	Skyddsvakt
Q000622	Bilglasmontör
Q000623	Mältare
Q000624	Vårdkoordinator/Vårdplatskoordinator
Q000625	Uppslagare, gjuteri
Q000626	Fastighetsingenjör
Q000627	Civilingenjör, teknisk fysik
Q000628	Klimatanpassningssamordnare
Q000629	Arbetsledare, skogsbruk
Q000630	Företagssjuksköterska/Företagssköterska
Q000631	Formare, gipsplattor
Q000632	Lösullsinstallatör
Q000633	Designassistent
Q000634	Art Director/AD
Q000635	Aktiemäklare
Q000636	Planare, glas
Q000637	Serviceingenjör, kemiteknik
Q000638	Arkivarie
Q000639	Cargo surveyor
Q000640	Kvalitetsingenjör, maskin/Kvalitetstekniker, maskin
Q000641	Utvecklingsingenjör, metallurgi
Q000642	Redigerare
Q000643	Elkonstruktör
Q000644	Grävmaskinförare
Q000645	Hotellchef
Q000646	Distriktschef, bilprovning
Q000647	Gårdsmästare, växtodling/Rättare, växtodling
Q000648	Creative director/CD
Q000649	Reservdelsspecialist/Bildelsspecialist
Q000650	Folierare
Q000651	Fastighetsförvaltare
Q000652	Studievägledare
Q000653	Chef för valuta och fixed income
Q000654	Barkmaskinskötare, skogsbruk
Q000655	Riksarkivarie
Q000656	Yrkesjägare
Q000657	Möbelsnickare
Q000658	Biobränslechef
Q000659	Konstsmed
Q000660	Civilingenjör, järnväg
Q000661	Lärling, motorschaktvagnförare
Q000662	Sjukvårdsbiträde/Servicevärd inom vården
Q000663	Marknadsanalytiker
Q000664	Tjärkokare
Q000665	Kontorsreceptionist
Q000666	Processoperatör, cementtillverkning
Q000667	OB-assistent
Q000668	Epoxigjutare
Q000669	Specialistofficer
Q000670	Bolagsjurist
Q000671	Florist
Q000672	Ventilationstekniker
Q000673	Servicetekniker, kontorsmaskiner
Q000674	Parkarbetare/Utemiljöarbetare/Miljövärd
Q000675	Hälsocoach
Q000676	Cykelmekaniker
Q000677	Avdelningschef, butik
Q000678	VTS-operatör
Q000679	Servicetekniker, data
Q000680	Belysningstekniker
Q000681	Jurist, förvaltningsdomstol
Q000682	Gitarrtekniker
Q000683	Vildmarksguide
Q000684	Trädgårdsingenjör/Trädgårdstekniker
Q000685	Riskbedömare
Q000686	Teamledare
Q000687	Travkusk
Q000688	Maskinskärare
Q000689	Instruktionsförare
Q000690	Verktygsställare
Q000691	Avsynare, betongvaror
Q000692	Smed
Q000693	Betongelementmontör
Q000694	Satellitoperatör
Q000695	Oorganisk kemist
Q000696	Advokatfiskal
Q000697	Flygledare
Q000698	Musiktekniker
Q000699	Dövkonsulent
Q000700	Arbetsrättsjurist
Q000701	Fiskodlingsarbetare
Q000702	Pumpmontör
Q000703	Ugnsmurare
Q000704	Projektledare, VS
Q000705	Geolog
Q000706	Dekorationsmålare, bygg
Q000707	Kvalitetsrevisor
Q000708	Producent: kultur, media, film, dataspel
Q000709	Eventsäljare/Eventförsäljare
Q000710	Stand-up-komiker
Q000711	Inspelningstekniker
Q000712	Miljöskyddschef
Q000713	Områdeschef, äldre- och handikappomsorg
Q000714	Tävlingsryttare
Q000715	Kundtjänsteman, försäkring
Q000716	Modellmakare
Q000717	Grillkock, snabbmat
Q000718	Blästrare, glas
Q000719	Kabelmaskinoperatör
Q000720	Familjebehandlare/Familjepedagog
Q000721	Verkstadssnickare
Q000722	Djurvårdare
Q000723	Civilingenjör, elkraft
Q000724	Civilingenjör, farkostteknik
Q000725	Besiktningsingenjör, el-tele
Q000726	Arbetsförmedlingschef
Q000727	Förbundsdirektör
Q000728	Regummerare
Q000729	Forskningslaborant, fysik
Q000730	Planeringsingenjör, elkraft
Q000731	Distriktschef, skogsbruk
Q000732	Piercare
Q000733	Lantmäteriingenjör
Q000734	Vandrarhemsföreståndare
Q000735	Driftingenjör, VA
Q000736	Frontend-utvecklare
Q000737	Redaktör
Q000738	Skorstenstätare
Q000739	Hantverkspedagog
Q000740	Lagerplanerare
Q000741	Truckförare
Q000742	Driftledare, IT
Q000743	Ränteanalytiker
Q000744	Demograf
Q000745	Lärling, väghyvelförare
Q000746	Säkerhetsingenjör
Q000747	Fälttekniker, geologi
Q000748	Kemiingenjör
Q000749	Bygglovshandläggare
Q000750	Drifttekniker, värmeverk
Q000751	Departementssekreterare
Q000752	Drifttekniker ledningsnät VA
Q000753	Kundmäklare
Q000754	Rekvisitör
Q000755	Skattejurist
Q000756	Ocularist
Q000757	Hundförare
Q000758	Embryolog
Q000759	Matematisk statistiker
Q000760	Avplockare, keramikbränning
Q000761	Fartygsreparatör
Q000762	Supply chain manager/SCM manager
Q000763	Kravanalytiker
Q000764	Spårvagnsförare
Q000765	Inköpstekniker
Q000766	Reseproducent
Q000767	Spikmaskinskötare
Q000768	Energiingenjör
Q000769	Pressare, spånskivor
Q000770	Skidliftvärd
Q000771	Kommissarie, Polisen
Q000772	Tivoliarbetare
Q000773	Controller
Q000774	Landstingssekreterare
Q000775	Taxitelefonist
Q000776	Cisternvårdare
Q000777	Bildarkivarie
Q000778	Kontorsvaktmästare
Q000779	Bibliotekarie
Q000780	Tech and Tools programmer
Q000781	Travbaneföreståndare
Q000782	Location scout/Platsletare, film
Q000783	Teateragent
Q000784	PKC-operatör
Q000785	Ridinstruktör/Ridlärare
Q000786	Byggnadskonstruktör
Q000787	Lärling, anläggningsdykare
Q000788	Kammarrättsfiskal
Q000789	Akrobat
Q000790	Parkettarbetare
Q000791	Försäljningsassistent/Säljadministratör
Q000792	Motorcykelbud
Q000793	Fräsare, trä
Q000794	Ladugårdsföreståndare/Ladugårdsförman, djuruppfödning
Q000795	Kärnmakare
Q000796	Packmästare, tillverkning
Q000797	Rehabiliteringskoordinator/Rehabkoordinator
Q000798	Varpare
Q000799	Bänkarbetare
Q000800	Konstintendent
Q000801	Ringverksarbetare
Q000802	Testförare
Q000803	Sjuksköterska, barnavårdscentral
Q000804	Stuguthyrare
Q000805	Yrkeslärare
Q000806	Tingsnotarie/Notarie
Q000807	Dekorsnickare
Q000808	Skördarförare, skogsbruk
Q000809	Kemist
Q000810	Förvaltningschef, kommun
Q000811	Mässman, fartyg
Q000812	Veterinärinspektör
Q000813	Träarbetare, gruva
Q000814	Forskningshandledare
Q000815	Maskinreparatör
Q000816	Forskare, IT
Q000817	Gruvgeolog
Q000818	Kranbilsförare
Q000819	Patentjurist
Q000820	Affärsarkitekt
Q000821	Servicehusföreståndare
Q000822	Hygiensjuksköterska
Q000823	Trädgårdsrådgivare/Trädgårdskonsulent
Q000824	Kallskänka
Q000825	Drift- och underhållsingenjör, anläggning
Q000826	Mediaplanerare
Q000827	Distributionsförare
Q000828	Stenslipare
Q000829	Möbellackerare
Q000830	Instrumentmontör
Q000831	Tråddragare
Q000832	Kylmontör/Kyltekniker
Q000833	Planeringsingenjör, maskin
Q000834	Säkerhetsadministratör, IT
Q000835	Homeopat
Q000836	Cateringarbetare
Q000837	Utbildningshandläggare
Q000838	Skogsarbetare, röjning
Q000839	Processingenjör, el-tele
Q000840	Konstgjutare
Q000841	Lärare i förskoleklass
Q000842	Budgetassistent
Q000843	Serviceingenjör, elektronik
Q000844	Tonsättare
Q000845	Vävare
Q000846	Pianotekniker
Q000847	Förhandlingschef
Q000848	Trädgårdsmästare, anläggning
Q000849	Arbetsledare, tillverkning kemiska produkter
Q000850	Driftingenjör, elkraft
Q000851	Dentaltekniker/Dentalutrustningstekniker
Q000852	Forskare, rättsvetenskap
Q000853	Bilförsäljare
Q000854	Forskningslaborant, kemi
Q000855	Markberedningsförare, skogsbruk
Q000856	Solvare
Q000857	TV-fotograf
Q000858	Produktionsledare, distribution
Q000859	Bokbussförare
Q000860	Drifttekniker, förbränningsstation
Q000861	Cykelbud
Q000862	Nagelterapeut/Nagelteknolog
Q000863	Ventilationssanerare
Q000864	Dramaturg
Q000865	Arkoffsettryckare
Q000866	Elnätsspecialist
Q000867	Lärling, tornkranförare
Q000868	Forskare, skogsbruk
Q000869	Laddare, gruva
Q000870	Rampförman, flygplats
Q000871	Familjerättsjurist
Q000872	Emballerare
Q000873	IT-jurist
Q000874	Utredningssekreterare
Q000875	Slaktare
Q000876	Skötare
Q000877	Redigerare, rörlig bild
Q000878	Prorektor
Q000879	Serviceelektriker, installation
