C000001_ro_000	Forțele armate
C000037_ro_000	Conducători de unități din domeniul construcțiilor
C000038_ro_000	Conducători de unități din domeniul aprovizionării și desfacerii de mărfuri
C000039_ro_000	Conducători în servicii de tehnologia informației și comunicațiilor
C000040_ro_000	Conducători în servicii de tehnologia informației și comunicațiilor
C000041_ro_000	Conducători de unități de prestări servicii
C000042_ro_000	Conducători de unități din domeniul îngrijirii copilului
C000043_ro_000	Conducători de unități din domeniul sănătății
C000044_ro_000	Conducători de unități din domeniul îngrijirii persoanelor în vârstă
C000045_ro_000	Conducători de unități din domeniul asistenței sociale
C000046_ro_000	Conducători de unități de învățământ
C000047_ro_000	Conducători de unități furnizoare de servicii financiare și de asigurări
C000048_ro_000	Conducători de unități de prestări servicii, neclasificați în grupele de bază anterioare
C000049_ro_000	Conducători de unități din industria hotelieră, comerț și alte servicii
C000050_ro_000	Conducători de unități hoteliere și de restaurante
C000051_ro_000	Conducători de unități hoteliere
C000052_ro_000	Conducători de restaurante
C000053_ro_000	Conducători de unități din domeniul comerțului
C000054_ro_000	Conducători de unități din domeniul comerțului
C000055_ro_000	Conducători ai altor tipuri de unități de servicii
C000056_ro_000	Conducători de centre sportive, recreative și culturale
C000057_ro_000	Conducători ai altor tipuri de unități de servicii neclasificați în grupele de bază anterioare
C000058_ro_000	Specialiști în diverse domenii de activitate
C000059_ro_000	Specialiști în domeniul științei și ingineriei
C000060_ro_000	Specialiști în fizică și știința pământului
C000061_ro_000	Fizicieni și astronomi
C000062_ro_000	Meteorologi
C000063_ro_000	Chimiști
C000064_ro_000	Geologi și geofizicieni
C000065_ro_000	Matematicieni, actuari și statisticieni
C000066_ro_000	Matematicieni, actuari și statisticieni
C000067_ro_000	Specialiști în științele vieții
C000068_ro_000	Biologi, botaniști, zoologi și asimilați
C000069_ro_000	Consultanți în agricultură, silvicultură și pescuit
C000070_ro_000	Specialiști în domeniul protecției mediului
C000071_ro_000	Ingineri (exclusiv în electrotehnologie)
C000072_ro_000	Ingineri tehnologi și de producție
C000073_ro_000	Ingineri constructori
C000074_ro_000	Ingineri în domeniul protecției mediului
C000075_ro_000	Ingineri mecanici
C000076_ro_000	Ingineri chimiști
C000077_ro_000	Ingineri mineri, petroliști, metalurgiști și asimilați
C000078_ro_000	Ingineri și asimilați neclasificați în grupele de bază anterioare
C000079_ro_000	Ingineri în electrotehnologie
C000080_ro_000	Ingineri electricieni
C000081_ro_000	Ingineri electroniști
C000082_ro_000	Ingineri în domeniul telecomunicațiilor
C000083_ro_000	Arhitecți, proiectanți, topografi și designeri
C000084_ro_000	Arhitecți constructori
C000085_ro_000	Arhitecți în domeniul peisagistic
C000086_ro_000	Designeri produse și îmbrăcăminte
C000087_ro_000	Proiectanți în domeniul urbanismului și de sistematizare a traficului
C000088_ro_000	Cartografi și topografi
C000089_ro_000	Designeri grafică și multimedia
C000090_ro_000	Specialiști în domeniul sănătății
C000091_ro_000	Medici
C000092_ro_000	Medici de medicină de familie/medicină generală
C000093_ro_000	Medici specialiști
C000094_ro_000	Asistenți medicali generaliști și moașe
C000095_ro_000	Asistenți medicali generaliști
C000096_ro_000	Moașe
C000097_ro_000	Practicieni de medicină complementară/alternativă
C000098_ro_000	Practicieni de medicină complementară/alternativă
C000099_ro_000	Paramedici
C000100_ro_000	Paramedici
C000101_ro_000	Medici veterinari
C000102_ro_000	Medici veterinari
C000103_ro_000	Alți specialiști în domeniul sănătății
C000104_ro_000	Medici dentiști
C000105_ro_000	Farmaciști
C000106_ro_000	Specialiști în domeniul mediului și al igienei și sănătății ocupaționale
C000107_ro_000	Fizioterapeuți
C000108_ro_000	Dieteticieni și nutriționiști
C000109_ro_000	Audiologi și specialiști în logopedie
C000110_ro_000	Optometriști și opticieni
C000111_ro_000	Specialiști în domeniul sănătății, neclasificați în grupele de bază anterioare
C000112_ro_000	Specialiști în învățământ
C000113_ro_000	Profesori universitari și asimilați
C000114_ro_000	Profesori universitari și asimilați
C000115_ro_000	Profesori în învățământul profesional
C000116_ro_000	Profesori în învățământul profesional
C000117_ro_000	Profesori în învățământul secundar
C000118_ro_000	Profesori în învățământul secundar
C000119_ro_000	Profesori în învățământul primar și preșcolar
C000120_ro_000	Profesori în învățământul primar
C000121_ro_000	Educatori în învățământul preșcolar
C000122_ro_000	Alți specialiști în învățământ
C000123_ro_000	Specialiști în metodologie didactică
C000124_ro_000	Instructori-formatori pentru elevi cu nevoi speciale
C000125_ro_000	Alți instructori-formatori de limbi străine
C000126_ro_000	Alți instructori-formatori de muzică
C000127_ro_000	Alți instructori-formatori de artă
C000128_ro_000	Instructori-formatori în tehnologia informației
C000129_ro_000	Specialiști în învățământ neclasificați în grupele de bază anterioare
C000130_ro_000	Specialiști cu funcții administrative și comerciale
C000131_ro_000	Specialiști în domeniul finanțelor
C000132_ro_000	Contabili
C000133_ro_000	Specialiști consultanți în domeniul financiar și al investițiilor
C000134_ro_000	Analiști financiari
C000135_ro_000	Specialiști în domeniul administrativ
C000136_ro_000	Analiști de management și organizare
C000137_ro_000	Specialiști în domeniul politicilor administrative
C000138_ro_000	Specialiști în domeniul resurselor umane și de personal
C000139_ro_000	Specialiști în formarea și dezvoltarea personalului
C000140_ro_000	Specialiști în vânzări, marketing și relații publice
C000141_ro_000	Specialiști în publicitate și marketing
C000142_ro_000	Specialiști în relații publice
C000143_ro_000	Specialiști în vânzarea de produse tehnice și medicale (exclusiv TIC)
C000144_ro_000	Specialiști în vânzarea produselor de tehnologia informației și comunicațiilor
C000145_ro_000	Specialiști în tehnologia informației și comunicațiilor
C000146_ro_000	Analiști programatori în domeniul software
C000147_ro_000	Analiști de sistem
C000148_ro_000	Proiectanți de software
C000149_ro_000	Proiectanți de sisteme web și multimedia
C000150_ro_000	Programatori de aplicații
C000151_ro_000	Analiști programatori în domeniul software neclasificați în grupele de bază anterioare
C000152_ro_000	Specialiști în baze de date și rețele
C000153_ro_000	Designeri și administratori de baze de date
C000154_ro_000	Administratori de sistem
C000155_ro_000	Specialiști în rețele de calculatoare
C000156_ro_000	Specialiști în baze de date și rețele neclasificați în grupele de bază anterioare
C000157_ro_000	Specialiști în domeniul juridic, social și cultural
C000158_ro_000	Specialiști în domeniul juridic
C000159_ro_000	Avocați
C000160_ro_000	Magistrați
C000161_ro_000	Specialiști în domeniul juridic neclasificați în grupele de bază anterioare
C000162_ro_000	Bibliotecari, arhivari și curatori
C000163_ro_000	Arhivari și curatori
C000164_ro_000	Bibliotecari și specialiști în alte servicii de informare
C000165_ro_000	Specialiști în domeniul social și religios
C000166_ro_000	Economiști
C000167_ro_000	Sociologi, antropologi și asimilați
C000168_ro_000	Filozofi, istorici și specialiști în științe politice
C000169_ro_000	Psihologi
C000170_ro_000	Specialiști în asistență socială și consiliere
C000171_ro_000	Specialiști în religie
C000172_ro_000	Autori, jurnaliști și lingviști
C000173_ro_000	Autori și asimilați
C000174_ro_000	Jurnaliști
C000175_ro_000	Traducători, interpreți și alți lingviști
C000176_ro_000	Artiști creatori și actori
C000177_ro_000	Specialiști în arte vizuale
C000178_ro_000	Muzicieni, cântăreți și compozitori
C000179_ro_000	Dansatori și coregrafi
C000180_ro_000	Regizori și producători de film, teatru și alte spectacole
C000181_ro_000	Actori
C000182_ro_000	Crainici la radio, televiziune și alte mijloace de comunicare
C000183_ro_000	Artiști creatori și actori neclasificați în grupele de bază anterioare
C000184_ro_000	Tehnicieni și alți specialiști din domeniul tehnic
C000185_ro_000	Specialiști asimilați în știință și inginerie
C000186_ro_000	Tehnicieni în științe inginerești
C000187_ro_000	Tehnicieni în domeniul chimiei și fizicii
C000188_ro_000	Tehnicieni constructori
C000189_ro_000	Tehnicieni energeticieni și electricieni
C000190_ro_000	Tehnicieni în electronică
C000191_ro_000	Tehnicieni mecanici
C000192_ro_000	Tehnicieni în chimie industrială și petrochimie
C000193_ro_000	Tehnicieni mineri și metalurgiști
C000194_ro_000	Tehnicieni proiectanți
C000195_ro_000	Tehnicieni în științe inginerești neclasificați în grupele de bază anterioare
C000196_ro_000	Controlori-supraveghetori în industria extractivă, industria prelucrătoare și construcții
C000197_ro_000	Controlori-supraveghetori în industria extractivă
C000198_ro_000	Controlori-supraveghetori în industria prelucrătoare
C000199_ro_000	Controlori-supraveghetori în construcții
C000200_ro_000	Tehnicieni controlori de procese industriale
C000201_ro_000	Operatori în centralele de producere a energiei electrice
C000202_ro_000	Operatori incineratoare și uzine de tratare a apei
C000203_ro_000	Controlori uzine de prelucrare chimică
C000204_ro_000	Operatori în uzine de rafinare a țițeiului și gazelor naturale
C000205_ro_000	Controlori în procesul de producție metalurgică
C000206_ro_000	Tehnicieni controlori de procese industriale neclasificați în grupele de bază anterioare
C000207_ro_000	Tehnicieni în științele vieții și alți specialiști asimilați
C000208_ro_000	Tehnicieni în științele vieții (exclusiv cei din medicină)
C000209_ro_000	Tehnicieni în domeniul agriculturii
C000210_ro_000	Tehnicieni în domeniul silviculturii
C000211_ro_000	Controlori și operatori pentru trafic naval și aerian
C000212_ro_000	Mecanici navali
C000213_ro_000	Ofițeri de punte și pilotaj nave
C000214_ro_000	Piloți de avioane și alți specialiști asimilați
C000215_ro_000	Controlori de trafic aerian
C000216_ro_000	Tehnicieni pentru siguranța traficului aerian
C000217_ro_000	Tehnicieni și asimilați în domeniul sănătății
C000218_ro_000	Tehnicieni în domeniul medical și farmaceutic
C000219_ro_000	Tehnicieni specialiști în echipamente medicale de imagistică și tratament
C000220_ro_000	Tehnicieni în laboratoare medicale și de patologie
C000221_ro_000	Tehnicieni și asistenți de farmacie
C000222_ro_000	Tehnicieni de protetică medicală și dentară
C000223_ro_000	Surori medicale, inclusiv puericultoare și asimilați
C000224_ro_000	Surori medicale
C000225_ro_000	Surori puericultoare
C000226_ro_000	Practicieni asociați în domeniul medicinii complementare/alternative
C000227_ro_000	Practicieni asociați în domeniul medicinii complementare/alternative
C000228_ro_000	Tehnicieni și asistenți veterinari
C000229_ro_000	Tehnicieni și asistenți veterinari
C000230_ro_000	Alți specialiști în domeniul sănătății, asimilați
C000231_ro_000	Asistenți și terapeuți în stomatologie
C000232_ro_000	Tehnicieni fișe medicale și informații privind starea de sănătate
C000233_ro_000	Lucrător în domeniul sănătății publice
C000234_ro_000	Tehnicieni în optică medicală
C000235_ro_000	Tehnicieni și asistenți în fizioterapie
C000236_ro_000	Personal auxiliar de îngrijire de sănătate
C000237_ro_000	Inspectori în domeniul protecției mediului și sănătății ocupaționale, asimilați
C000238_ro_000	Lucrători pe ambulanță
C000239_ro_000	Specialiști în domeniul sănătății, asimilați, neclasificați în grupele de bază anterioare
C000240_ro_000	Specialiști în servicii administrative și asimilați
C000241_ro_000	Specialiști financiari și matematicieni, asimilați
C000242_ro_000	Agenți și brokeri în domeniul financiar și bancar
C000243_ro_000	Ofițeri de credite
C000244_ro_000	Specialiști în contabilitate auxiliari
C000245_ro_000	Specialiști statisticieni, matematicieni și alți specialiști auxiliari asimilați
C000246_ro_000	Evaluatori asigurări
C000247_ro_000	Agenți și brokeri în vânzări și aprovizionare
C000248_ro_000	Agenți de asigurări
C000249_ro_000	Agenți de vânzări
C000250_ro_000	Agenți contractări și achiziții
C000251_ro_000	Brokeri comerciali
C000252_ro_000	Agenți de servicii comerciale
C000253_ro_000	Agenți concesionari
C000254_ro_000	Organizatori de conferințe și evenimente
C000255_ro_000	Agenți de recrutare și contractori
C000256_ro_000	Agenți și administratori imobiliari
C000257_ro_000	Agenți de servicii comerciale neclasificați în grupele de bază anterioare
C000258_ro_000	Secretari administrativi și specializați
C000259_ro_000	Coordonatori de birou
C000260_ro_000	Secretari în domeniul serviciilor juridice
C000261_ro_000	Secretari executivi în domeniul administrativ
C000262_ro_000	Secretari în domeniul medical
C000263_ro_000	Specialiști guvernamentali cu funcții de reglementare și asimilați
C000264_ro_000	Inspectori de vamă și frontieră
C000265_ro_000	Inspectori fiscali
C000266_ro_000	Inspectori de asigurări sociale
C000267_ro_000	Inspectori guvernamentali în licențe, permise și autorizații
C000268_ro_000	Inspectori de poliție și detectivi
C000269_ro_000	Specialiști guvernamentali cu funcții de reglementare și asimilați neclasificați în grupele de bază anterioare
C000270_ro_000	Alți specialiști în domeniul juridic, social și cultural
C000271_ro_000	Alți specialiști în domeniul juridic și social
C000272_ro_000	Specialiști în domeniul juridic, asimilați
C000273_ro_000	Specialiști în asistență socială, asimilați
C000274_ro_000	Specialiști în domeniul religiei, asimilați
C000275_ro_000	Lucrători în domeniul sportului și al pregătirii fizice
C000276_ro_000	Atleți și sportivi
C000277_ro_000	Antrenori, instructori și funcționari din domeniul sportului
C000278_ro_000	Instructori și coordonatori de programe de pregătire fizică și activități recreative
C000279_ro_000	Alți specialiști în domeniul artistic, cultural și culinar
C000280_ro_000	Fotografi
C000281_ro_000	Designeri de interior și decoratori
C000282_ro_000	Tehnicieni în domeniul artei (expoziții, muzee și biblioteci)
C000283_ro_000	Bucătari șefi
C000284_ro_000	Alți specialiști asimilați din domeniul artistic și cultural
C000285_ro_000	Tehnicieni în informatică și comunicații
C000286_ro_000	Tehnicieni pentru operațiuni în domeniul tehnologiei informației și comunicațiilor și pentru asigurarea suportului tehnic pentru utilizatori
C000287_ro_000	Tehnicieni pentru operațiuni în domeniul tehnologiei informației și comunicațiilor
C000288_ro_000	Tehnicieni pentru asigurarea suportului tehnic pentru utilizatori
C000289_ro_000	Tehnicieni rețele de calculatoare și sisteme
C000290_ro_000	Tehnicieni web
C000291_ro_000	Tehnicieni în domeniul telecomunicațiilor și al radiodifuziunii și televiziunii
C000292_ro_000	Tehnicieni în radiodifuziune și televiziune
C000293_ro_000	Tehnicieni în transporturi, poștă și telecomunicații
C000294_ro_000	Funcționari administrativi
C000295_ro_000	Funcționari cu atribuții generale și operatori la mașini de scris și de calcul
C000296_ro_000	Funcționari cu atribuții generale
C000297_ro_000	Funcționari cu atribuții generale
C000298_ro_000	Secretari (general)
C000299_ro_000	Secretari (general)
C000300_ro_000	Operatori la mașini de scris și de calcul
C000301_ro_000	Dactilografe și operator la prelucrarea textelor
C000302_ro_000	Operatori introducere date
C000303_ro_000	Funcționari în serviciul cu publicul
C000304_ro_000	Casieri, operatori la ghișeu și asimilați
C000305_ro_000	Casieri de bancă și asimilați
C000306_ro_000	Agenți de pariuri, crupieri și alți lucrători asimilați
C000307_ro_000	Agenți la case de amanet și birouri de împrumut nebancare
C000308_ro_000	Agenți de colectare a creanțelor și asimilați
C000309_ro_000	Agenți în centre de informare
C000310_ro_000	Consultanți și funcționari la agențiile de voiaj
C000311_ro_000	Funcționari în centrele de informare
C000312_ro_000	Operatori centrale telefonice
C000313_ro_000	Recepționeri în domeniul hotelier
C000314_ro_000	Funcționari la birouri de informații
C000315_ro_000	Recepționeri (exclusiv în domeniul hotelier)
C000316_ro_000	Operatori de interviu pentru sondaje și cercetare de piață
C000317_ro_000	Agenți în centre de informare neclasificați în grupele de bază anterioare
C000318_ro_000	Funcționari în serviciile de evidență contabilă și financiară
C000319_ro_000	Funcționari în gestiune economică și administrativă
C000320_ro_000	Funcționari în servicii de evidență contabilă
C000321_ro_000	Funcționari în domeniul statistic, financiar și asigurări
C000322_ro_000	Funcționari în domeniul salarizării
C000323_ro_000	Funcționari în gestiunea materialelor și în transport
C000324_ro_000	Funcționari evidența stocurilor
C000325_ro_000	Funcționari de planificare și urmărire a producției
C000326_ro_000	Funcționari în transporturi
C000327_ro_000	Alți lucrători în servicii suport în domeniul administrativ
C000328_ro_000	Alți lucrători în servicii suport în domeniul administrativ
C000329_ro_000	Funcționari bibliotecă
C000330_ro_000	Curieri și sortatori corespondență
C000331_ro_000	Codificatori, corectori și asimilați
C000332_ro_000	Copiști și funcționari asimilați
C000333_ro_000	Funcționari pentru activități de secretariat
C000334_ro_000	Funcționari în domeniul resurselor umane
C000335_ro_000	Lucrători în servicii suport neclasificați în grupele de bază anterioare
C000336_ro_000	Lucrători în domeniul serviciilor
C000337_ro_000	Lucrători în domeniul serviciilor personale
C000338_ro_000	Însoțitori de zbor, conductori și ghizi
C000339_ro_000	Însoțitori de zbor și stewardese
C000340_ro_000	Conductori în transporturi
C000341_ro_000	Ghizi
C000342_ro_000	Bucătari
C000343_ro_000	Bucătari
C000344_ro_000	Chelneri și barmani
C000345_ro_000	Chelneri
C000346_ro_000	Barmani
C000347_ro_000	Coafori, cosmeticieni și asimilați
C000348_ro_000	Coafori
C000349_ro_000	Cosmeticieni și asimilați
C000350_ro_000	Supraveghetori clădiri și gospodărie
C000351_ro_000	Personal de supraveghere inclusiv pentru activități de curățenie și întreținere în birouri, hoteluri și alte instituții
C000352_ro_000	Administratori în gospodării individuale
C000353_ro_000	Administratori de clădiri
C000354_ro_000	Alți lucrători în domeniul serviciilor personale
C000355_ro_000	Astrologi, prezicători și asimilați
C000356_ro_000	Însoțitori și valeți
C000357_ro_000	Agenți de pompe funebre și îmbălsămători
C000358_ro_000	Îngrijitor animale și animale de companie
C000359_ro_000	Instructori conducere auto
C000360_ro_000	Lucrători în domeniul serviciilor personale neclasificați în grupele de bază anterioare
C000361_ro_000	Lucrători în domeniul vânzărilor
C000362_ro_000	Vânzători stradali și în piețe
C000363_ro_000	Vânzători la standuri și în piețe
C000364_ro_000	Vânzători stradali de produse alimentare
C000365_ro_000	Vânzători în magazine
C000366_ro_000	Vânzători în magazine
C000367_ro_000	Supraveghetori în magazine
C000368_ro_000	Asistenți vânzare în magazin
C000369_ro_000	Casieri și vânzători de bilete
C000370_ro_000	Casieri și vânzători de bilete
C000371_ro_000	Alți lucrători în domeniul vânzărilor
C000372_ro_000	Manechine și asimilați
C000373_ro_000	Prezentatori produse
C000374_ro_000	Vânzători la domiciliu
C000375_ro_000	Vânzători în case de comenzi
C000376_ro_000	Lucrători în benzinării
C000377_ro_000	Lucrători în unități de alimentație publică
C000378_ro_000	Lucrători în domeniul vânzărilor neclasificați în grupele de bază anterioare
C000379_ro_000	Personal de îngrijire
C000380_ro_000	Personal de îngrijire copii inclusiv în servicii suport pentru învățământul preșcolar, primar și gimnazial
C000381_ro_000	Personal de îngrijire copii
C000382_ro_000	Personal în domeniul serviciilor suport pentru învățământul preșcolar, primar și gimnazial
C000383_ro_000	Personal de îngrijire în domeniul sănătății
C000384_ro_000	Îngrijitori în domeniul sănătății
C000385_ro_000	Îngrijitor la domiciliu
C000386_ro_000	Personal de îngrijire în domeniul sănătății neclasificat în grupele de bază anterioare
C000387_ro_000	Lucrători în servicii de protecție
C000388_ro_000	Lucrători în servicii de protecție
C000389_ro_000	Pompieri
C000390_ro_000	Polițiști
C000391_ro_000	Agenți de penitenciare
C000392_ro_000	Paznici
C000393_ro_000	Lucrători în servicii de protecție neclasificați în grupele de bază anterioare
C000394_ro_000	Lucrători calificați în agricultură, silvicultură și pescuit
C000395_ro_000	Muncitori calificați în agricultură
C000396_ro_000	Grădinari și cultivatori
C000397_ro_000	Agricultori și lucrători calificați în culturi de câmp și legumicultură
C000398_ro_000	Arboricultori și pomicultori
C000399_ro_000	Agricultori și lucrători calificați în grădinărit, horticultură și pepiniere
C000400_ro_000	Agricultori și lucrători calificați în culturi vegetale mixte
C000401_ro_000	Crescători de animale
C000402_ro_000	Crescători de animale pentru producția de lapte și carne
C000403_ro_000	Crescători de păsări
C000404_ro_000	Apicultori și sericicultori
C000405_ro_000	Crescători de animale neclasificați în grupele de bază anterioare
C000406_ro_000	Muncitori calificați în culturi vegetale și crescători de animale
C000407_ro_000	Agricultori și lucrători calificați în culturi vegetale și crescători de animale
C000408_ro_000	Lucrători calificați în silvicultură, pescuit și vânătoare
C000409_ro_000	Lucrători forestieri și asimilați
C000410_ro_000	Lucrători forestieri și asimilați
C000411_ro_000	Lucrători în domeniul pescuitului și vânătorii
C000412_ro_000	Lucrători în culturi acvatice
C000413_ro_000	Pescari pe cursuri de ape interioare și în zone costiere
C000414_ro_000	Pescari în mări și oceane
C000415_ro_000	Lucrători în domeniul vânătorii
C000416_ro_000	Fermieri, pescari și vânători a căror producție este destinată consumului propriu (inclusiv culegători de produse agricole din flora spontană)
C000417_ro_000	Fermieri a căror producție este destinată consumului propriu
C000418_ro_000	Fermieri a căror producție este destinată consumului propriu
C000419_ro_000	Crescători de animale a căror producție este destinată consumului propriu
C000420_ro_000	Crescători de animale a căror producție este destinată consumului propriu
C000421_ro_000	Lucrători în ferme mixte a căror producție este destinată consumului propriu
C000422_ro_000	Lucrători în ferme mixte a căror producție este destinată consumului propriu
C000423_ro_000	Pescari și vânători a căror producție este destinată consumului propriu (inclusiv culegători de produse agricole din flora spontană)
C000424_ro_000	Pescari și vânători a căror producție este destinată consumului propriu (inclusiv culegători de produse agricole din flora spontană)
C000425_ro_000	Muncitori calificați și asimilați
C000426_ro_000	Muncitori constructori și asimilați, exclusiv electricieni
C000427_ro_000	Muncitori constructori și asimilați
C000428_ro_000	Constructori de case
C000429_ro_000	Zidari și asimilați
C000430_ro_000	Spărgători, tăietori și cioplitori în piatră
C000431_ro_000	Muncitori constructori în lucrări de beton și asimilați
C000432_ro_000	Dulgheri și tâmplari
C000433_ro_000	Muncitori constructori și asimilați neclasificați în grupele de bază anterioare
C000434_ro_000	Muncitori constructori la lucrări de finisare și asimilați
C000435_ro_000	Constructori de acoperișuri
C000436_ro_000	Parchetari, linoliști, mozaicari și faianțari
C000437_ro_000	Ipsosari
C000438_ro_000	Montatori izolații
C000439_ro_000	Geamgii
C000440_ro_000	Instalatori și montatori de țevi
C000441_ro_000	Mecanici pentru instalații de climatizare și refrigerare
C000442_ro_000	Zugravi, vopsitori, curățitori de fațade și asimilați
C000443_ro_000	Zugravi și asimilați
C000444_ro_000	Vopsitori, lăcuitori și asimilați
C000445_ro_000	Curățitori de fațade
C000446_ro_000	Muncitori calificați în metalurgie, construcții de mașini și asimilați
C000447_ro_000	Turnători, tinichigii-cazangii, sudori și formatori și asimilați
C000448_ro_000	Formatori și miezuitori
C000449_ro_000	Sudori și debitatori autogeni
C000450_ro_000	Tinichigii-cazangii
C000451_ro_000	Constructori și montatori de structuri metalice
C000452_ro_000	Macaragii și alți lucrători la instalații de ridicat
C000453_ro_000	Forjori, matrițeri și asimilați
C000454_ro_000	Forjori, fierari și matrițeri
C000455_ro_000	Lăcătuși și asimilați
C000456_ro_000	Reglori și operatori de mașini-unelte
C000457_ro_000	Operatori pe mașini de polizat, rectificat și ascuțit
C000458_ro_000	Mecanici de mașini și utilaje
C000459_ro_000	Mecanici de autovehicule
C000460_ro_000	Mecanici de motoare de avioane
C000461_ro_000	Mecanici de mașini agricole și industriale
C000462_ro_000	Lucrători specializați în repararea de biciclete și asimilați
C000463_ro_000	Muncitori calificați în domeniul produselor manufacturiere și muncitori tipografi
C000464_ro_000	Muncitori calificați în domeniul produselor manufacturiere
C000465_ro_000	Muncitori calificați în fabricarea/repararea instrumentelor și aparatelor de precizie
C000466_ro_000	Muncitori calificați în fabricarea/acordarea instrumentelor muzicale
C000467_ro_000	Giuvaergii și lucrători în metale prețioase
C000468_ro_000	Olari și lucrători asimilați
C000469_ro_000	Sticlari (suflători, tăietori de sticlă, polizori de sticlă etc.)
C000470_ro_000	Pictori decoratori, gravori pe sticlă și ceramică
C000471_ro_000	Muncitori calificați în executarea de produse artizanale din lemn și alte materiale
C000472_ro_000	Muncitori calificați în executarea de produse artizanale din textile, piele și materiale similare
C000473_ro_000	Muncitori calificați în domeniul produselor manufacturiere neclasificați în grupele de bază anterioare
C000474_ro_000	Lucrători poligrafi
C000475_ro_000	Zețari și linotipiști
C000476_ro_000	Tipografi
C000477_ro_000	Legători și lucrători finisare
C000478_ro_000	Tehnicieni la echipamente electrice și electronice
C000479_ro_000	Montatori de echipamente electrice
C000480_ro_000	Electricieni construcții și asimilați
C000481_ro_000	Mecanici și instalatori de echipamente electrice
C000482_ro_000	Montatori de linii electrice
C000483_ro_000	Montatori de echipamente electronice și de telecomunicații
C000484_ro_000	Mecanici de echipamente electronice
C000485_ro_000	Muncitori în tehnologia informației și comunicațiilor
C000486_ro_000	Muncitori calificați în industria alimentară, prelucrarea lemnului, confecții și alți lucrători asimilați
C000487_ro_000	Muncitori calificați în industria alimentară
C000488_ro_000	Măcelari și alți lucrători în prelucrarea cărnii și peștelui
C000489_ro_000	Brutari, patiseri și cofetari
C000490_ro_000	Lucrători în fabricarea produselor lactate
C000491_ro_000	Lucrători în conservarea fructelor și legumelor
C000492_ro_000	Controlori de calitate și degustători de mâncăruri și băuturi
C000493_ro_000	Lucrători în prelucrarea tutunului și produselor din tutun
C000494_ro_000	Muncitori calificați în tratarea lemnului și asimilați
C000495_ro_000	Lucrători în tratarea lemnului
C000496_ro_000	Ebeniști și asimilați
C000497_ro_000	Reglori și operatori mașini de prelucrat lemn
C000498_ro_000	Lucrători în industria textilă și confecții
C000499_ro_000	Croitori, confecționeri, blănari și pălărieri
C000500_ro_000	Confecționeri de șabloane și tipare
C000501_ro_000	Lucrători în broderie și asimilați
C000502_ro_000	Tapițeri și asimilați
C000503_ro_000	Tăbăcari și alți muncitori în prelucrarea pielii
C000504_ro_000	Cizmari și asimilați
C000505_ro_000	Alți muncitori calificați
C000506_ro_000	Scafandri
C000507_ro_000	Artificieri
C000508_ro_000	Sortatori și controlori de calitate pentru produse (exclusiv mâncăruri și băuturi)
C000509_ro_000	Lucrători specializați în servicii de erbicidare si dezinsecție
C000510_ro_000	Alți muncitori calificați neclasificați în grupele de bază anterioare
C000511_ro_000	Operatori la instalații și mașini; asamblori de mașini și echipamente
C000512_ro_000	Operatori la mașini și instalații
C000513_ro_000	Operatori la instalațiile de exploatare și prelucrare a minereurilor
C000514_ro_000	Mineri și lucrători în carieră
C000515_ro_000	Operatori la instalațiile de prelucrare a minereurilor și rocilor
C000516_ro_000	Operatori la instalații de foraj și sonde de extracție a țițeiului
