C000001_es_000	Ocupaciones militares
C000142_es_000	Profesionales de relaciones públicas
C000143_es_000	Profesionales de ventas técnicas y médicas (excluyendo la TIC)
C000144_es_000	Profesionales de ventas de tecnología de la información y las comunicaciones
C000145_es_000	Profesionales de tecnología de la información y las comunicaciones
C000146_es_000	Desarrolladores y analistas de software y multimedios
C000147_es_000	Analistas de sistemas
C000148_es_000	Desarrolladores de software
C000149_es_000	Desarrolladores web y multimedios
C000150_es_000	Programadores de aplicaciones
C000151_es_000	Desarrolladores y analistas de software y multimedios y analistas no clasificados bajo otros epígrafes
C000152_es_000	Especialistas en bases de datos y en redes de computadores
C000153_es_000	Diseñadores y administradores de bases de datos
C000154_es_000	Administradores de sistemas
C000155_es_000	Profesionales en redes de computadores
C000156_es_000	Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes
C000157_es_000	Profesionales en derecho, en ciencias sociales y culturales
C000158_es_000	Profesionales en derecho
C000159_es_000	Abogados
C000160_es_000	Jueces
C000161_es_000	Profesionales en derecho no clasificados bajo otros epígrafes
C000162_es_000	Archivistas, bibliotecarios, curadores y afines
C000163_es_000	Archivistas y curadores de museos
C000164_es_000	Bibliotecarios, documentalistas y afines
C000165_es_000	Especialistas en ciencias sociales y teología
C000166_es_000	Economistas
C000167_es_000	Sociólogos, antropólogos y afines
C000168_es_000	Filósofos, historiadores y especialistas en ciencias políticas
C000169_es_000	Psicólogos
C000170_es_000	Profesionales del trabajo social
C000171_es_000	Profesionales religiosos
C000172_es_000	Autores, periodistas y lingüistas
C000173_es_000	Autores y otros escritores
C000174_es_000	Periodistas
C000175_es_000	Traductores, intérpretes y lingüistas
C000176_es_000	Artistas creativos e interpretativos
C000177_es_000	Artistas de artes plásticas
C000178_es_000	Músicos, cantantes y compositores
C000179_es_000	Bailarines y coreógrafos
C000180_es_000	Directores de cine, de teatro y afines
C000181_es_000	Actores
C000182_es_000	Locutores de radio, televisión y otros medios de comunicación
C000183_es_000	Artistas creativos e interpretativos no clasificados bajo otros epígrafes
C000184_es_000	Técnicos y profesionales de nivel medio
C000185_es_000	Profesionales de las ciencias y la ingeniería de nivel medio
C000186_es_000	Técnicos en ciencias físicas y en ingeniería
C000187_es_000	Técnicos en ciencias físicas y químicas
C000188_es_000	Técnicos en ingeniería civil
C000189_es_000	Electrotécnicos
C000190_es_000	Técnicos en electrónica
C000191_es_000	Técnicos en ingeniería mecánica
C000192_es_000	Técnicos en química industrial
C000193_es_000	Técnicos en ingeniería de minas y metalurgia
C000194_es_000	Delineantes y dibujantes técnicos
C000195_es_000	Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes
C000196_es_000	Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción
C000197_es_000	Supervisores en ingeniería de minas
C000198_es_000	Supervisores de industrias manufactureras
C000199_es_000	Supervisores de la construcción
C000200_es_000	Técnicos en control de procesos
C000201_es_000	Operadores de instalaciones de producción de energía
C000202_es_000	Operadores de incineradores, instalaciones de tratamiento de agua y afines
C000203_es_000	Controladores de instalaciones de procesamiento de productos químicos
C000204_es_000	Operadores de instalaciones de refinación de petróleo y gas natural
C000205_es_000	Controladores de procesos de producción de metales
C000206_es_000	Técnicos en control de procesos no clasificados bajo otros epígrafes
C000207_es_000	Técnicos y profesionales de nivel medio en ciencias biológicas y afines
C000208_es_000	Técnicos en ciencias biológicas (excluyendo la medicina)
C000209_es_000	Técnicos agropecuarios
C000210_es_000	Técnicos forestales
C000211_es_000	Técnicos y controladores en navegación marítima y aeronáutica
C000212_es_000	Oficiales maquinistas en navegación
C000213_es_000	Capitanes, oficiales de cubierta y prácticos
C000214_es_000	Pilotos de aviación y afines
C000215_es_000	Controladores de tráfico aéreo
C000216_es_000	Técnicos en seguridad aeronáutica
C000217_es_000	Profesionales de nivel medio de la salud
C000218_es_000	Técnicos médicos y farmacéuticos
C000219_es_000	Técnicos en aparatos de diagnóstico y tratamiento médico
C000220_es_000	Técnicos de laboratorios médicos
C000221_es_000	Técnicos y asistentes farmacéuticos
C000222_es_000	Técnicos de prótesis médicas y dentales
C000223_es_000	Profesionales de nivel medio de enfermería y partería
C000224_es_000	Profesionales de nivel medio de enfermería
C000225_es_000	Profesionales de nivel medio de partería
C000226_es_000	Profesionales de nivel medio de medicina tradicional y alternativa
C000227_es_000	Profesionales de nivel medio de medicina tradicional y alternativa
C000228_es_000	Técnicos y asistentes veterinarios
C000229_es_000	Técnicos y asistentes veterinarios
C000230_es_000	Otros profesionales de nivel medio de la salud
C000231_es_000	Dentistas auxiliares y ayudantes de odontología
C000232_es_000	Técnicos en documentación sanitaria
C000233_es_000	Trabajadores comunitarios de la salud
C000234_es_000	Técnicos en optometría y ópticos
C000235_es_000	Técnicos y asistentes fisioterapeutas
C000236_es_000	Practicantes y asistentes médicos
C000237_es_000	Inspectores de la salud laboral, medioambiental y afines
C000238_es_000	Ayudantes de ambulancias
C000239_es_000	Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes
C000240_es_000	Profesionales de nivel medio en operaciones financieras y administrativas
C000241_es_000	Profesionales de nivel medio en finanzas y matemáticas
C000242_es_000	Agentes de bolsa, cambio y otros servicios financieros
C000243_es_000	Oficiales de préstamos y créditos
C000244_es_000	Tenedores de libros
C000245_es_000	Profesionales de nivel medio de servicios estadísticos, matemáticos y afines
C000246_es_000	Tasadores
C000247_es_000	Agentes comerciales y corredores
C000248_es_000	Agentes de seguros
C000249_es_000	Representantes comerciales
C000250_es_000	Agentes de compras
C000251_es_000	Agentes de compras y consignatarios
C000252_es_000	Agentes de servicios comerciales
C000253_es_000	Declarantes o gestores de aduana
C000254_es_000	Organizadores de conferencias y eventos
C000255_es_000	Agentes de empleo y contratistas de mano de obra
C000256_es_000	Agentes inmobiliarios
C000257_es_000	Agentes de servicios comerciales no clasificados bajo otros epígrafes
C000258_es_000	Secretarios administrativos y especializados
C000259_es_000	Supervisores de secretaría
C000260_es_000	Secretarios jurídicos
C000261_es_000	Secretarios administrativos y ejecutivos
C000262_es_000	Secretarios médicos
C000263_es_000	Agentes de la administración pública para la aplicación de la ley y afines
C000264_es_000	Agentes de aduana e inspectores de fronteras
C000265_es_000	Agentes de administración tributaria
C000266_es_000	Agentes de servicios de seguridad social
C000267_es_000	Agentes de servicios de expedición de licencias y permisos
C000268_es_000	Inspectores de policía y detectives
C000269_es_000	Agentes de la administración pública para la aplicación de la ley y afines no clasificados bajo otros epígrafes
C000270_es_000	Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines
C000271_es_000	Profesionales de nivel medio, de servicios jurídicos, sociales y religiosos
C000272_es_000	Profesionales de nivel medio del derecho y servicios legales y afines
C000273_es_000	Trabajadores y asistentes sociales de nivel medio
C000274_es_000	Auxiliares laicos de las religiones
C000275_es_000	Entrenadores de deportes y aptitud física
C000276_es_000	Atletas y deportistas
C000277_es_000	Entrenadores, instructores y árbitros de actividades deportivas
C000278_es_000	Instructores de educación física y actividades recreativas
C000279_es_000	Profesionales de nivel medio en actividades culturales, artísticas y culinarias
C000280_es_000	Fotógrafos
C000281_es_000	Diseñadores y decoradores de interior
C000282_es_000	Técnicos en galerías de arte, museos y bibliotecas
C000283_es_000	Chefs
C000284_es_000	Otros profesionales de nivel medio en actividades culturales y artísticas
C000285_es_000	Técnicos de la tecnología de la información y las comunicaciones
C000286_es_000	Técnicos en operaciones de tecnología de la información y las comunicaciones y asistencia al usuario
C000287_es_000	Técnicos en operaciones de tecnología de la información y las comunicaciones
C000288_es_000	Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones
C000289_es_000	Técnicos en redes y sistemas de computadores
C000290_es_000	Técnicos de la web
C000291_es_000	Técnicos en telecomunicaciones y radiodifusión
C000292_es_000	Técnicos de radiodifusión y grabación audio visual
C000293_es_000	Técnicos de ingeniería de las telecomunicaciones
C000294_es_000	Personal de apoyo administrativo
C000295_es_000	Oficinistas
C000296_es_000	Oficinistas generales
C000297_es_000	Oficinistas generales
C000298_es_000	Secretarios (general)
C000299_es_000	Secretarios (general)
C000300_es_000	Operadores de máquinas de oficina
C000301_es_000	Operadores de máquinas de procesamiento de texto y mecanógrafos
C000302_es_000	Grabadores de datos
C000303_es_000	Empleados en trato directo con el público
C000304_es_000	Pagadores y cobradores de ventanilla y afines
C000305_es_000	Cajeros de bancos y afines
C000306_es_000	Receptores de apuestas y afines
C000307_es_000	Prestamistas
C000308_es_000	Cobradores y afines
C000309_es_000	Empleados de servicios de información al cliente
C000310_es_000	Empleados de agencias de viajes
C000311_es_000	Empleados de centros de llamadas
C000312_es_000	Telefonistas
C000313_es_000	Recepcionistas de hoteles
C000314_es_000	Empleados de ventanillas de informaciones
C000315_es_000	Recepcionistas (general)
C000316_es_000	Entrevistadores de encuestas y de investigaciones de mercados
C000317_es_000	Empleados de servicios de información al cliente no clasificados bajo otros epígrafes
C000318_es_000	Empleados contables y encargados del registro de materiales
C000319_es_000	Auxiliares contables y financieros
C000320_es_000	Empleados de contabilidad y cálculo de costos
C000321_es_000	Empleados de servicios estadísticos, financieros y de seguros
C000322_es_000	Empleados encargados de las nóminas
C000323_es_000	Empleados encargados del registro de materiales y de transportes
C000324_es_000	Empleados de control de abastecimientos e inventario
C000325_es_000	Empleados de servicios de apoyo a la producción
C000326_es_000	Empleados de servicios de transporte
C000327_es_000	Otro personal de apoyo administrativo
C000328_es_000	Otro personal de apoyo administrativo
C000329_es_000	Empleados de bibliotecas
C000330_es_000	Empleados de servicios de correos
C000331_es_000	Codificadores de datos, correctores de pruebas de imprenta y afines
C000332_es_000	Escribientes públicos y afines
C000333_es_000	Empleados de archivos
C000334_es_000	Empleados del servicio de personal
C000335_es_000	Personal de apoyo administrativo no clasificado bajo otros epígrafes
C000336_es_000	Trabajadores de los servicios y vendedores de comercios y mercados
C000337_es_000	Trabajadores de los servicios personales
C000338_es_000	Personal al servicio directo de los pasajeros
C000339_es_000	Auxiliares de servicio de a bordo
C000340_es_000	Revisores y cobradores de los transportes públicos
C000341_es_000	Guías de turismo
C000342_es_000	Cocineros
C000343_es_000	Cocineros
C000344_es_000	Camareros
C000345_es_000	Camareros de mesas
C000346_es_000	Camareros de barra
C000347_es_000	Peluqueros, especialistas en tratamientos de belleza y afines
C000348_es_000	Peluqueros
C000349_es_000	Especialistas en tratamientos de belleza y afines
C000350_es_000	Supervisores de mantenimiento y limpieza de edificios
C000351_es_000	Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos
C000352_es_000	Ecónomos y mayordomos domésticos
C000353_es_000	Conserjes
C000354_es_000	Otros trabajadores de servicios personales
C000355_es_000	Astrólogos, adivinadores y afines
C000356_es_000	Acompañantes y ayudantes de cámara
C000357_es_000	Personal de pompas fúnebres y embalsamadores
C000358_es_000	Cuidadores de animales
C000359_es_000	Instructores de autoescuela
C000360_es_000	Trabajadores de servicios personales no clasificados bajo otros epígrafes
C000361_es_000	Vendedores
C000362_es_000	Vendedores callejeros y de puestos de mercado
C000363_es_000	Vendedores de quioscos y de puestos de mercado
C000364_es_000	Vendedores ambulantes de productos comestibles
C000365_es_000	Comerciantes y vendedores de tiendas y almacenes
C000366_es_000	Comerciantes de tiendas
C000367_es_000	Supervisores de tiendas y almacenes
C000368_es_000	Asistentes de venta de tiendas y almacenes
C000369_es_000	Cajeros y expendedores de billetes
C000370_es_000	Cajeros y expendedores de billetes
C000371_es_000	Otros vendedores
C000372_es_000	Modelos de moda, arte y publicidad
C000373_es_000	Demostradores de tiendas
C000374_es_000	Vendedores puerta a puerta
C000375_es_000	Vendedores por teléfono
C000376_es_000	Expendedores de gasolineras
C000377_es_000	Vendedores de comidas al mostrador
C000378_es_000	Vendedores no clasificados bajo otros epígrafes
C000379_es_000	Trabajadores de los cuidados personales
C000380_es_000	Cuidadores de niños y auxiliares de maestros
C000381_es_000	Cuidadores de niños
C000382_es_000	Auxiliares de maestros
C000383_es_000	Trabajadores de los cuidados personales en servicios de salud
C000384_es_000	Trabajadores de los cuidados personales en instituciones
C000385_es_000	Trabajadores de los cuidados personales a domicilio
C000386_es_000	Trabajadores de los cuidados personales en servicios de salud no clasificados bajo otros epígrafes
C000387_es_000	Personal de los servicios de protección
C000388_es_000	Personal de los servicios de protección
C000389_es_000	Bomberos
C000390_es_000	Policías
C000391_es_000	Guardianes de prisión
C000392_es_000	Guardias de protección
C000393_es_000	Personal de los servicios de protección no clasificados bajo otros epígrafes
C000394_es_000	Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros
C000395_es_000	Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado
C000396_es_000	Agricultores y trabajadores calificados de jardines y de cultivos para el mercado
C000397_es_000	Agricultores y trabajadores calificados de cultivos extensivos
C000398_es_000	Agricultores y trabajadores calificados de plantaciones de árboles y arbustos
C000399_es_000	Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines
C000400_es_000	Agricultores y trabajadores calificados de cultivos mixtos
C000401_es_000	Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines
C000402_es_000	Criadores de ganado
C000403_es_000	Avicultores y trabajadores calificados de la avicultura
C000404_es_000	Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura
C000405_es_000	Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes
C000406_es_000	Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado
C000407_es_000	Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado
C000408_es_000	Trabajadores forestales calificados, pescadores y cazadores
C000409_es_000	Trabajadores forestales calificados y afines
C000410_es_000	Trabajadores forestales calificados y afines
C000411_es_000	Pescadores, cazadores y tramperos
C000412_es_000	Trabajadores de explotaciones de acuicultura
C000413_es_000	Pescadores de agua dulce y en aguas costeras
C000414_es_000	Pescadores de alta mar
C000415_es_000	Cazadores y tramperos
C000416_es_000	Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia
C000417_es_000	Trabajadores agrícolas de subsistencia
C000418_es_000	Trabajadores agrícolas de subsistencia
C000419_es_000	Trabajadores pecuarios de subsistencia
C000420_es_000	Trabajadores pecuarios de subsistencia
C000421_es_000	Trabajadores agropecuarios de subsistencia
C000422_es_000	Trabajadores agropecuarios de subsistencia
C000423_es_000	Pescadores, cazadores, tramperos y recolectores de subsistencia
C000424_es_000	Pescadores, cazadores, tramperos y recolectores de subsistencia
C000425_es_000	Oficiales, operarios y artesanos de artes mecánicas y de otros oficios
C000426_es_000	Oficiales y operarios de la construcción excluyendo electricistas
C000427_es_000	Oficiales y operarios de la construcción (obra gruesa) y afines
C000428_es_000	Constructores de casas
C000429_es_000	Albañiles
C000430_es_000	Mamposteros, tronzadores, labrantes y grabadores de piedra
C000431_es_000	Operarios en cemento armado, enfoscadores y afines
C000432_es_000	Carpinteros de armar y de obra blanca
C000433_es_000	Oficiales y operarios de la construcción (obra gruesa) y afines no clasificados bajo otros epígrafes
C000434_es_000	Oficiales y operarios de la construcción (trabajos de acabado) y afines
C000435_es_000	Techadores
C000436_es_000	Parqueteros y colocadores de suelos
C000437_es_000	Revocadores
C000438_es_000	Instaladores de material aislante y de insonorización
C000439_es_000	Cristaleros
C000440_es_000	Fontaneros e instaladores de tuberías
C000441_es_000	Mecánicos-montadores de instalaciones de refrigeración y climatización
C000442_es_000	Pintores, limpiadores de fachadas y afines
C000443_es_000	Pintores y empapeladores
C000444_es_000	Barnizadores y afines
C000445_es_000	Limpiadores de fachadas y deshollinadores
C000446_es_000	Oficiales y operarios de la metalurgia, la construcción mecánica y afines
C000447_es_000	Moldeadores, soldadores, chapistas, caldereros, montadores de estructuras metálicas y afines
C000448_es_000	Moldeadores y macheros
C000449_es_000	Soldadores y oxicortadores
C000450_es_000	Chapistas y caldereros
C000451_es_000	Montadores de estructuras metálicas
C000452_es_000	Aparejadores y empalmadores de cables
C000453_es_000	Herreros, herramentistas y afines
C000454_es_000	Herreros y forjadores
C000455_es_000	Herramentistas y afines
C000456_es_000	Reguladores y operadores de máquinas herramientas
C000457_es_000	Pulidores de metales y afiladores de herramientas
C000458_es_000	Mecánicos y reparadores de máquinas
C000459_es_000	Mecánicos y reparadores de vehículos de motor
C000460_es_000	Mecánicos y reparadores de motores de avión
C000461_es_000	Mecánicos y reparadores de máquinas agrícolas e industriales
C000462_es_000	Reparadores de bicicletas y afines
C000463_es_000	Artesanos y operarios de las artes gráficas
C000464_es_000	Artesanos
C000465_es_000	Mecánicos y reparadores de instrumentos de precisión
C000466_es_000	Fabricantes y afinadores de instrumentos musicales
C000467_es_000	Joyeros, orfebres y plateros
C000468_es_000	Alfareros y afines (barro, arcilla y abrasivos)
C000469_es_000	Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio
C000470_es_000	Redactores de carteles, pintores decorativos y grabadores
C000471_es_000	Artesanos en madera, cestería y materiales similares
C000472_es_000	Artesanos de los tejidos, el cuero y materiales similares
C000473_es_000	Artesanos no clasificados bajo otros epígrafes
C000474_es_000	Oficiales y operarios de las artes gráficas
C000475_es_000	Cajistas, tipógrafos y afines
C000476_es_000	Impresores
C000477_es_000	Encuadernadores y afines
C000478_es_000	Trabajadores especializados en electricidad y la electrotecnología
C000479_es_000	Instaladores y reparadores de equipos eléctricos
C000480_es_000	Electricistas de obras y afines
C000481_es_000	Mecánicos y ajustadores electricistas
C000482_es_000	Instaladores y reparadores de líneas eléctricas
C000483_es_000	Instaladores y reparadores de equipos electrónicos y de telecomunicaciones
C000484_es_000	Mecánicos y reparadores en electrónica
C000485_es_000	Instaladores y reparadores en tecnología de la información y las comunicaciones
C000486_es_000	Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines
C000487_es_000	Oficiales y operarios de procesamiento de alimentos y afines
C000488_es_000	Carniceros, pescaderos y afines
C000489_es_000	Panaderos, pasteleros y confiteros
C000490_es_000	Operarios de la elaboración de productos lácteos
C000491_es_000	Operarios de la conservación de frutas, legumbres, verduras y afines
C000492_es_000	Catadores y clasificadores de alimentos y bebidas
C000493_es_000	Preparadores y elaboradores de tabaco y sus productos
C000494_es_000	Oficiales y operarios del tratamiento de la madera, ebanistas y afines
C000495_es_000	Operarios del tratamiento de la madera
C000496_es_000	Ebanistas y afines
C000497_es_000	Reguladores y operadores de máquinas de labrar madera
C000498_es_000	Oficiales y operarios de la confección y afines
C000499_es_000	Sastres, modistos, peleteros y sombrereros
C000500_es_000	Patronistas y cortadores de tela y afines
C000501_es_000	Costureros, bordadores y afines
C000502_es_000	Tapiceros, colchoneros y afines
C000503_es_000	Apelambradores, pellejeros y curtidores
C000504_es_000	Zapateros y afines
C000505_es_000	Otros oficiales, operarios y artesanos de artes mecánicas y de otros oficios
C000506_es_000	Buzos
C000507_es_000	Dinamiteros y pegadores
C000508_es_000	Clasificadores y probadores de productos (excluyendo alimentos y bebidas)
C000509_es_000	Fumigadores y otros controladores de plagas y malas hierbas
C000510_es_000	Oficiales, operarios y artesanos de artes mecánicas y de otros oficios no clasificados bajo otros epígrafes
C000511_es_000	Operadores de instalaciones y máquinas y ensambladores
C000512_es_000	Operadores de instalaciones fijas y máquinas
C000513_es_000	Operadores de instalaciones mineras y de extracción y procesamiento de minerales
C000514_es_000	Mineros y operadores de instalaciones mineras
C000515_es_000	Operadores de instalaciones de procesamiento de minerales y rocas
C000516_es_000	Perforadores y sondistas de pozos y afines
C000517_es_000	Operadores de máquinas para fabricar cemento y otros productos minerales
C000518_es_000	Operadores de instalaciones de procesamiento y recubridoras de metales
C000519_es_000	Operadores de instalaciones de procesamiento de metales
C000520_es_000	Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales
C000521_es_000	Operadores de instalaciones y máquinas de productos químicos y fotográficos
C000522_es_000	Operadores de plantas y máquinas de productos químicos
C000523_es_000	Operadores de máquinas para fabricar productos fotográficos
C000524_es_000	Operadores de máquinas para fabricar productos de caucho, de papel y de material plástico
C000525_es_000	Operadores de máquinas para fabricar productos de caucho
C000526_es_000	Operadores de máquinas para fabricar productos de material plástico
C000527_es_000	Operadores de máquinas para fabricar productos de papel
C000528_es_000	Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero
C000529_es_000	Operadores de máquinas de preparación de fibras, hilado y devanado
C000530_es_000	Operadores de telares y otras máquinas tejedoras
C000531_es_000	Operadores de máquinas de coser
C000532_es_000	Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos
C000533_es_000	Operadores de máquinas de tratamiento de pieles y cueros
C000534_es_000	Operadores de máquinas para la fabricación de calzado y afines
C000535_es_000	Operadores de máquinas lavarropas
C000536_es_000	Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados bajo otros epígrafes
C000537_es_000	Operadores de máquinas para elaborar alimentos y productos afines
C000538_es_000	Operadores de máquinas para elaborar alimentos y productos afines
C000539_es_000	Operadores de instalaciones para la preparación de papel y de procesamiento de la madera
C000540_es_000	Operadores de instalaciones para la preparación de pasta para papel y papel
C000541_es_000	Operadores de instalaciones de procesamiento de la madera
C000542_es_000	Otros operadores de máquinas y de instalaciones fijas
C000543_es_000	Operadores de instalaciones de vidriería y cerámica
C000544_es_000	Operadores de máquinas de vapor y calderas
C000545_es_000	Operadores de máquinas de embalaje, embotellamiento y etiquetado
