ESCO/ISCO Code,ESCO/ISCO Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
1211.1.4,corporate treasurer,11-3031.00,Financial Managers
1211.1.4,corporate treasurer,11-3031.01,Treasurers and Controllers
1212,Human resource managers,11-3111.00,Compensation and Benefits Managers
1212,Human resource managers,11-3121.00,Human Resources Managers
1212.1,employee volunteering programme coordinator,11-2033.00,Fundraising Managers
1212.1,employee volunteering programme coordinator,41-9041.00,Telemarketers
1212.2,human resources manager,11-3111.00,Compensation and Benefits Managers
1212.2,human resources manager,11-3121.00,Human Resources Managers
1212.2,human resources manager,13-1071.00,Human Resources Specialists
1212.2,human resources manager,13-1075.00,Labor Relations Specialists
1212.2,human resources manager,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
1212.2.1,equality and inclusion manager,11-3111.00,Compensation and Benefits Managers
1212.2.1,equality and inclusion manager,11-3121.00,Human Resources Managers
1212.2.1,equality and inclusion manager,13-1041.03,Equal Opportunity Representatives and Officers
1212.2.1,equality and inclusion manager,13-1075.00,Labor Relations Specialists
1212.3,volunteer manager,11-2033.00,Fundraising Managers
1212.3,volunteer manager,21-2021.00,"Directors, Religious Activities and Education"
1212.3,volunteer manager,41-9041.00,Telemarketers
1213.1,director of compliance and information security in gambling,11-9199.02,Compliance Managers
1213.1,director of compliance and information security in gambling,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
1213.2,policy manager,11-9199.02,Compliance Managers
1213.2,policy manager,19-2041.01,Climate Change Policy Analysts
1213.2.1,social security administrator,11-9151.00,Social and Community Service Managers
1213.2.1,social security administrator,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
1213.2.1,social security administrator,43-4061.00,"Eligibility Interviewers, Government Programs"
1213.2.2,strategic planning manager,11-1021.00,General and Operations Managers
1213.2.3,tourism policy director,13-1161.00,Market Research Analysts and Marketing Specialists
1213.3,procurement department manager,11-3061.00,Purchasing Managers
1213.3,procurement department manager,43-3061.00,Procurement Clerks
1213.4,programme manager,13-1082.00,Project Management Specialists
1213.4,programme manager,15-1299.09,Information Technology Project Managers
1219,Business services and administration managers not elsewhere classified,11-3013.00,Facilities Managers
1219,Business services and administration managers not elsewhere classified,11-3013.01,Security Managers
1219,Business services and administration managers not elsewhere classified,11-3051.02,Geothermal Production Managers
1219,Business services and administration managers not elsewhere classified,11-3051.03,Biofuels Production Managers
1219,Business services and administration managers not elsewhere classified,11-3051.04,Biomass Power Plant Managers
1219,Business services and administration managers not elsewhere classified,11-3051.06,Hydroelectric Production Managers
1219,Business services and administration managers not elsewhere classified,11-9199.08,Loss Prevention Managers
1219,Business services and administration managers not elsewhere classified,11-9199.09,Wind Energy Operations Managers
1219,Business services and administration managers not elsewhere classified,13-1082.00,Project Management Specialists
1219.1,business service manager,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
1219.1.1,facilities manager,11-3013.00,Facilities Managers
1219.1.1,facilities manager,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
1219.1.2,security manager,11-3013.01,Security Managers
1219.1.2,security manager,11-9199.08,Loss Prevention Managers
1219.1.2,security manager,13-1199.07,Security Management Specialists
1219.1.2,security manager,33-1091.00,First-Line Supervisors of Security Workers
1219.1.2,security manager,33-9099.02,Retail Loss Prevention Specialists
1219.2,corporate social responsibility manager,11-1011.03,Chief Sustainability Officers
1219.3,defence administration officer,11-3012.00,Administrative Services Managers
1219.3,defence administration officer,13-1111.00,Management Analysts
1219.4,department manager,11-9199.00,"Managers, All Other"
1219.5,manufacturing facility manager,11-3013.00,Facilities Managers
1219.5.1,chemical plant manager,11-3051.00,Industrial Production Managers
1219.5.1,chemical plant manager,11-3051.03,Biofuels Production Managers
1219.5.2,foundry manager,11-3051.00,Industrial Production Managers
1219.5.3,power plant manager,11-3051.02,Geothermal Production Managers
1219.5.3,power plant manager,11-3051.04,Biomass Power Plant Managers
1219.5.3,power plant manager,11-3051.06,Hydroelectric Production Managers
1219.5.3,power plant manager,11-9199.09,Wind Energy Operations Managers
1219.5.3,power plant manager,11-9199.10,Wind Energy Development Managers
1219.5.3,power plant manager,51-8012.00,Power Distributors and Dispatchers
1219.5.4,water treatment plant manager,17-2051.02,Water/Wastewater Engineers
1219.5.4,water treatment plant manager,51-8031.00,Water and Wastewater Treatment Plant and System Operators
1219.5.5,wood factory manager,11-1021.00,General and Operations Managers
1219.6,project manager,11-9041.00,Architectural and Engineering Managers
1219.6,project manager,13-1082.00,Project Management Specialists
1219.6,project manager,15-1299.09,Information Technology Project Managers
1219.7,quality services manager,11-3051.01,Quality Control Systems Managers
1221,Sales and marketing managers,11-2011.00,Advertising and Promotions Managers
1221,Sales and marketing managers,11-2021.00,Marketing Managers
1221,Sales and marketing managers,11-2022.00,Sales Managers
1221.1,auction house manager,11-2022.00,Sales Managers
1221.2,banking products manager,11-3031.00,Financial Managers
1221.3,chief marketing officer,11-2021.00,Marketing Managers
1221.3.1,destination manager,11-2032.00,Public Relations Managers
1221.3.2,marketing manager,11-2011.00,Advertising and Promotions Managers
1221.3.2,marketing manager,11-2021.00,Marketing Managers
1221.3.2.1,sales manager,11-2022.00,Sales Managers
1221.3.2.1.1,category manager,11-2022.00,Sales Managers
1221.3.2.1.1,category manager,11-3061.00,Purchasing Managers
1221.3.2.1.2,licensing manager,11-9199.01,Regulatory Affairs Managers
1221.3.2.1.2,licensing manager,13-1041.07,Regulatory Affairs Specialists
1221.3.2.1.3,motor vehicle aftersales manager,11-2022.00,Sales Managers
1221.3.2.1.4,online sales channel manager,11-2022.00,Sales Managers
1221.3.2.1.4,online sales channel manager,13-1199.06,Online Merchants
1221.3.3,promotion manager,11-2011.00,Advertising and Promotions Managers
1221.3.3,promotion manager,11-2021.00,Marketing Managers
1221.3.3,promotion manager,11-2022.00,Sales Managers
1221.4,commercial director,11-2021.00,Marketing Managers
1221.5,digital marketing manager,11-2021.00,Marketing Managers
1221.5,digital marketing manager,13-1161.01,Search Marketing Strategists
1221.6,tourism product manager,11-1021.00,General and Operations Managers
1222,Advertising and public relations managers,11-2032.00,Public Relations Managers
1222.1,communication manager,11-2032.00,Public Relations Managers
1222.1,communication manager,27-3031.00,Public Relations Specialists
1222.1.1,advertising manager,11-2011.00,Advertising and Promotions Managers
1222.1.1,advertising manager,11-2032.00,Public Relations Managers
1222.1.2,public relations manager,11-2032.00,Public Relations Managers
1222.1.2,public relations manager,27-3031.00,Public Relations Specialists
1223,Research and development managers,11-9041.00,Architectural and Engineering Managers
1223,Research and development managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
1223,Research and development managers,11-9121.00,Natural Sciences Managers
1223,Research and development managers,11-9121.01,Clinical Research Coordinators
1223.1,product manager,11-9199.00,"Managers, All Other"
1223.1.1,insurance product manager,15-2011.00,Actuaries
1223.1.1,insurance product manager,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
1223.2,research and development manager,11-9121.00,Natural Sciences Managers
1223.2,research and development manager,11-9121.01,Clinical Research Coordinators
1223.2,research and development manager,13-1082.00,Project Management Specialists
1223.2.1,product development manager,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
1223.2.1.1,clothing development manager,11-2021.00,Marketing Managers
1223.2.1.1,clothing development manager,11-9199.00,"Managers, All Other"
1223.2.1.2,footwear product development manager,11-3051.00,Industrial Production Managers
1223.2.1.3,games development manager,11-9199.00,"Managers, All Other"
1223.2.1.4,leather goods product development manager,11-3051.00,Industrial Production Managers
1223.2.2,research manager,11-9121.00,Natural Sciences Managers
1223.2.2,research manager,11-9121.01,Clinical Research Coordinators
1223.2.2,research manager,29-9092.00,Genetic Counselors
1223.2.2.1,ICT research manager,15-1221.00,Computer and Information Research Scientists
1311,Agricultural and forestry production managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1311,Agricultural and forestry production managers,19-1031.02,Range Managers
1311.1,forester,19-1031.02,Range Managers
1311.1,forester,19-1032.00,Foresters
1311.1,forester,19-4071.00,Forest and Conservation Technicians
1311.1,forester,33-2022.00,Forest Fire Inspectors and Prevention Specialists
1311.1,forester,33-3031.00,Fish and Game Wardens
1311.1,forester,37-3013.00,Tree Trimmers and Pruners
1311.1,forester,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1311.1,forester,45-3031.00,Fishing and Hunting Workers
1311.1,forester,45-4011.00,Forest and Conservation Workers
1312.1,aquaculture harvesting manager,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1312.2,aquaculture husbandry manager,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1312.3,aquaculture production manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1321,Manufacturing managers,11-3051.00,Industrial Production Managers
1321,Manufacturing managers,11-3051.01,Quality Control Systems Managers
1321.1,greenÂ coffeeÂ coordinator,51-1011.00,First-Line Supervisors of Production and Operating Workers
1321.2,manufacturing manager,11-3051.00,Industrial Production Managers
1321.2.1,industrial production manager,11-3051.00,Industrial Production Managers
1321.2.1,industrial production manager,51-1011.00,First-Line Supervisors of Production and Operating Workers
1321.2.1.1,chemical production manager,11-3051.03,Biofuels Production Managers
1321.2.1.1,chemical production manager,17-2041.00,Chemical Engineers
1321.2.1.2,clothing operations manager,11-9199.00,"Managers, All Other"
1321.2.1.3,food production manager,11-9199.00,"Managers, All Other"
1321.2.1.4,footwear production manager,11-3051.00,Industrial Production Managers
1321.2.1.5,leather finishing operations manager,11-3051.00,Industrial Production Managers
1321.2.1.6,leather production manager,11-3051.00,Industrial Production Managers
1321.2.1.6.1,leather goods production manager,11-3051.00,Industrial Production Managers
1321.2.1.6.2,leather wet processing department manager,51-1011.00,First-Line Supervisors of Production and Operating Workers
1321.2.1.7,metallurgical manager,11-3051.00,Industrial Production Managers
1321.2.1.8,metal production manager,11-3051.00,Industrial Production Managers
1321.2.2,industrial quality manager,11-3051.01,Quality Control Systems Managers
1321.2.2,industrial quality manager,19-4099.01,Quality Control Analysts
1321.2.2.1,footwear quality manager,11-3051.01,Quality Control Systems Managers
1321.2.2.2,leather goods quality manager,11-3051.01,Quality Control Systems Managers
1321.2.2.3,textile quality manager,11-3051.01,Quality Control Systems Managers
1321.2.3,operations manager,11-1021.00,General and Operations Managers
1321.2.3,operations manager,11-3013.00,Facilities Managers
1321.2.4,sewerage systems manager,11-9121.02,Water Resource Specialists
1321.2.4,sewerage systems manager,17-2051.02,Water/Wastewater Engineers
1321.2.5,waste management officer,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
1321.2.5,waste management officer,53-1042.01,Recycling Coordinators
1321.3,textile operations manager,11-1021.00,General and Operations Managers
1322.1,mine manager,11-9199.00,"Managers, All Other"
1322.1.1,mine production manager,11-9199.00,"Managers, All Other"
1322.1.2,oil and gas production manager,11-9041.00,Architectural and Engineering Managers
1322.2,quarry manager,11-9199.00,"Managers, All Other"
1323,Construction managers,11-9021.00,Construction Managers
1323,Construction managers,47-1011.03,Solar Energy Installation Managers
1323.1,construction manager,11-9021.00,Construction Managers
1323.1,construction manager,11-9041.00,Architectural and Engineering Managers
1323.1,construction manager,17-3022.00,Civil Engineering Technologists and Technicians
1323.1.1,construction general contractor,11-9021.00,Construction Managers
1323.1.2,property developer,13-2023.00,Appraisers and Assessors of Real Estate
1323.1.2,property developer,41-9021.00,Real Estate Brokers
1324,"Supply, distribution and related managers",11-3061.00,Purchasing Managers
1324,"Supply, distribution and related managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324,"Supply, distribution and related managers",11-3071.04,Supply Chain Managers
1324.1,airport director,11-1021.00,General and Operations Managers
1324.2,air traffic manager,53-1041.00,Aircraft Cargo Handling Supervisors
1324.2,air traffic manager,53-2021.00,Air Traffic Controllers
1324.2,air traffic manager,53-2022.00,Airfield Operations Specialists
1324.3,logistics and distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3,logistics and distribution manager,11-3071.04,Supply Chain Managers
1324.3,logistics and distribution manager,13-1081.00,Logisticians
1324.3,logistics and distribution manager,13-1081.01,Logistics Engineers
1324.3,logistics and distribution manager,13-1081.02,Logistics Analysts
1324.3.1,distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1,distribution manager,11-3071.04,Supply Chain Managers
1324.3.1,distribution manager,13-1081.00,Logisticians
1324.3.1,distribution manager,13-1081.01,Logistics Engineers
1324.3.1,distribution manager,13-1081.02,Logistics Analysts
1324.3.1.1,inland water transport general manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.2,maritime water transport general manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.3,rail operations manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.4,road operations manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.4,road operations manager,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
1324.3.1.5,road transport division manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6,specialised goods distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.1,agricultural machinery and equipment distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.10,electrical household appliances distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.11,electronic and telecommunications equipment and parts distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.11,electronic and telecommunications equipment and parts distribution manager,11-3071.04,Supply Chain Managers
1324.3.1.6.12,"fish, crustaceans and molluscs distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.13,flowers and plants distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.14,fruit and vegetables distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.15,"furniture, carpets and lighting equipment distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.16,"hardware, plumbing and heating equipment and supplies distribution manager",11-3013.00,Facilities Managers
1324.3.1.6.16,"hardware, plumbing and heating equipment and supplies distribution manager",11-3071.04,Supply Chain Managers
1324.3.1.6.17,"hides, skins and leather products distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.18,household goods distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.19,live animals distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.19,live animals distribution manager,11-3071.04,Supply Chain Managers
1324.3.1.6.2,"agricultural raw materials, seeds and animal feeds distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.20,"machinery, industrial equipment, ships and aircraft distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.20,"machinery, industrial equipment, ships and aircraft distribution manager",11-3071.04,Supply Chain Managers
1324.3.1.6.20,"machinery, industrial equipment, ships and aircraft distribution manager",13-1081.02,Logistics Analysts
1324.3.1.6.21,meat and meat products distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.22,metals and metal ores distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.23,"mining, construction and civil engineering machinery distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.24,perfume and cosmetics distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.25,pharmaceutical goods distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.26,"sugar, chocolate and sugar confectionery distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.27,textile industry machinery distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.28,"textiles, textile semi-finished and raw materials distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.29,tobacco products distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.3,beverages distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.30,waste and scrap distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.30,waste and scrap distribution manager,11-3071.04,Supply Chain Managers
1324.3.1.6.31,watches and jewellery distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.32,wood and construction materials distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.4,chemical products distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.5,china and glassware distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.6,clothing and footwear distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.7,"coffee, tea, cocoa and spices distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.8,"computers, computer peripheral equipment and software distribution manager",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.1.6.9,dairy products and edible oils distribution manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2,import export manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.1,import export manager in agricultural machinery and equipment,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.10,import export manager in electrical household appliances,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.11,import export manager in electronic and telecommunications equipment and parts,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.12,"import export manager in fish, crustaceans and molluscs",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.13,import export manager in flowers and plants,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.14,import export manager in fruit and vegetables,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.15,"import export manager in furniture, carpets and lighting equipment",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.16,"import export manager in hardware, plumbing and heating equipment and supplies",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.17,"import export manager in hides, skins and leather products",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.18,import export manager in household goods,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.19,import export manager in live animals,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.2,"import export manager in agricultural raw materials, seeds and animal feeds",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.20,"import export manager in machinery, industrial equipment, ships and aircraft",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.21,import export manager in machine tools,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.22,import export manager in meat and meat products,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.23,import export manager in metals and metal ores,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.24,"import export manager in mining, construction and civil engineering machinery",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.25,import export manager in office furniture,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.26,import export manager in office machinery and equipment,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.27,import export manager in perfume and cosmetics,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.28,import export manager in pharmaceutical goods,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.29,"import export manager in sugar, chocolate and sugar confectionery",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.3,import export manager in beverages,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.30,import export manager in textile industry machinery,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.31,import export manager in textiles and textile semi-finished and raw materials,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.32,import export manager in tobacco products,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.33,import export manager in waste and scrap,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.34,import export manager in watches and jewellery,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.35,import export manager in wood and construction materials,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.4,import export manager in chemical products,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.5,import export manager in china and other glassware,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.6,import export manager in clothing and footwear,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.7,"import export manager in coffee, tea, cocoa and spices",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.8,"import export manager in computers, computer peripheral equipment and software",11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.2.9,import export manager in dairy products and edible oils,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.3,intermodal logistics manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.3,intermodal logistics manager,13-1081.00,Logisticians
1324.3.3,intermodal logistics manager,13-1081.01,Logistics Engineers
1324.3.3,intermodal logistics manager,13-1081.02,Logistics Analysts
1324.3.4,warehouse manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.3.4.1,finished leather warehouse manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.4,move manager,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
1324.5,movie distributor,11-2022.00,Sales Managers
1324.6,pipelineÂ superintendent,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324.7,railway station manager,11-9199.00,"Managers, All Other"
1324.8,supply chain manager,11-3061.00,Purchasing Managers
1324.8,supply chain manager,11-3071.04,Supply Chain Managers
1324.8,supply chain manager,13-1081.00,Logisticians
1324.8,supply chain manager,13-1081.01,Logistics Engineers
1324.8,supply chain manager,13-1081.02,Logistics Analysts
1324.8.1,forecast manager,11-9199.00,"Managers, All Other"
1324.8.2,purchasing manager,11-3061.00,Purchasing Managers
1324.8.2,purchasing manager,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
1324.8.2,purchasing manager,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1324.8.2,purchasing manager,43-3061.00,Procurement Clerks
1324.8.2.1,leather raw materials purchasing manager,11-3061.00,Purchasing Managers
1324.8.2.1,leather raw materials purchasing manager,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1324.8.2.1,leather raw materials purchasing manager,43-3061.00,Procurement Clerks
1324.8.3,resource manager,11-3121.00,Human Resources Managers
1330,Information and communications technology service managers,11-3021.00,Computer and Information Systems Managers
1330,Information and communications technology service managers,15-1299.09,Information Technology Project Managers
1330.1,chief data officer,15-1243.01,Data Warehousing Specialists
1330.1.1,ICT information and knowledge manager,15-1299.03,Document Management Specialists
1330.1.1,ICT information and knowledge manager,29-9021.00,Health Information Technologists and Medical Registrars
1330.2,chief information officer,11-3021.00,Computer and Information Systems Managers
1330.2,chief information officer,15-1299.09,Information Technology Project Managers
1330.3,chief technology officer,11-3021.00,Computer and Information Systems Managers
