Q000001	Offizier im militärfachlichen Dienst
Q000206	Papierpräger/Papierprägerin
Q000207	Flexodrucker/Flexodruckerin
Q000208	Foliendrucker/Foliendruckerin
Q000209	Textildrucker/Textildruckerin
Q000210	Vervielfältiger/Vervielfältigerin
Q000211	Kleinoffsetdrucker/Kleinoffsetdruckerin
Q000212	Drucker/Druckerin Fachrichtung Digitaldruck
Q000213	Drucker/Druckerin Fachrichtung Tiefdruck
Q000214	Drucker/Druckerin Fachrichtung Hochdruck
Q000215	Drucker/Druckerin Fachrichtung Flachdruck
Q000216	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Druck- und Medientechnik
Q000217	Ingenieur/Ingenieurin für Druck- und Medientechnik
Q000218	Buchbinder/Buchbinderin für Restaurierungsarbeiten
Q000219	Geprüfter Restaurator im Buchbinderhandwerk/Geprüfte Restauratorin im Buchbinderhandwerk - Master Professional für Restaurierung im Handwerk
Q000220	Druckermeister/Druckermeisterin
Q000221	Siebdruckermeister/Siebdruckermeisterin
Q000222	Industriemeister/Industriemeisterin Fachrichtung Buchbinderei
Q000223	Metallschmelzer/Metallschmelzerin
Q000224	Verfahrenstechnologe/Verfahrenstechnologin Metall Fachrichtung Nichteisenmetallurgie
Q000225	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Hüttentechnik
Q000226	Ingenieur/Ingenieurin für Hüttentechnik
Q000227	Walzer/Walzerin
Q000228	Kabeljungwerker/Kabeljungwerkerin
Q000229	Gießereimechaniker/Gießereimechanikerin Fachrichtung Druck- und Kokillenguss
Q000230	Gießereimechaniker/Gießereimechanikerin Fachrichtung Maschinenformguss
Q000231	Gießereimechaniker/Gießereimechanikerin
Q000232	Gießereimechaniker/Gießereimechanikerin Schwerpunkt Druck- und Kokillenguss
Q000233	Gießereimechaniker/Gießereimechanikerin Schwerpunkt Kernherstellung
Q000234	Gießereimechaniker/Gießereimechanikerin Schwerpunkt Maschinenformguss
Q000235	Gießereimechaniker/Gießereimechanikerin Fachrichtung Handformguss
Q000236	Kernmacher/Kernmacherin
Q000237	Gießereimechaniker/Gießereimechanikerin Schwerpunkt Handformguss
Q000238	Industriemeister/Industriemeisterin Fachrichtung Gießerei
Q000239	Helfer/Helferin in der Metallbearbeitung
Q000240	Teilezurichter/Teilezurichterin
Q000241	Metallbearbeiter/Metallbearbeiterin
Q000242	Metallbearbeitungstechniker/Metallbearbeitungstechnikerin
Q000243	Metallstanzer/Metallstanzerin
Q000244	Metallgewebemacher/Metallgewebemacherin
Q000245	Drahtwarenmacher/Drahtwarenmacherin
Q000246	Federmacher/Federmacherin
Q000247	CNC-Schleifer/CNC-Schleiferin
Q000248	Metallschleifer/Metallschleiferin
Q000249	Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Schleiftechnik
Q000250	Schleifer/Schleiferin
Q000251	Flächenschleifer/Flächenschleiferin
Q000252	Rundschleifer/Rundschleiferin
Q000253	Werkzeugschleifer/Werkzeugschleiferin
Q000254	Vorpolierer/Vorpoliererin - Schmuck- und Kleingeräteherstellung
Q000255	CNC-Dreher/CNC-Dreherin
Q000256	Dreher/Dreherin
Q000257	CNC-Fräser/CNC-Fräserin
Q000258	Fräser/Fräserin
Q000259	Zerspanungsmechaniker/Zerspanungsmechanikerin Fachrichtung Frästechnik
Q000260	Hobler/Hoblerin
Q000261	Bohrer/Bohrerin
Q000262	CNC-Bohrer/CNC-Bohrerin
Q000263	Metallsäger/Metallsägerin
Q000264	Erodierer/Erodiererin
Q000265	Zerspanungsmechaniker/Zerspanungsmechanikerin
Q000266	Universalhobler/Universalhoblerin
Q000267	Feinwerkmechaniker/Feinwerkmechanikerin Schwerpunkt Zerspanungstechnik
Q000268	Fachkraft für Metalltechnik Fachrichtung Zerspanungstechnik
Q000269	CNC-Fachkraft/NC-Anwendungsfachmann / CNC-Fachkraft/NC-Anwendungsfachfrau
Q000270	Industriemeister/Industriemeisterin Fachrichtung Metall
Q000271	Industriemeister/Industriemeisterin Fachrichtung Aluminiumbe- und -verarbeitung
Q000272	Metallvergüter, -härter/Metallvergüterin, -härterin
Q000273	Galvaniseur/Galvaniseurin
Q000274	Galvaniseur und Metallschleifer/Galvaniseurin und Metallschleifer
Q000275	Oberflächenbeschichter/Oberflächenbeschichterin
Q000276	Universalhärter/Universalhärterin
Q000277	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Korrosionsschutztechnik
Q000278	Schmied/Schmiedin
Q000279	Metallbauer/Metallbauerin Fachrichtung Metallgestaltung
Q000280	Metallbauer/Metallbauerin Fachrichtung Konstruktionstechnik
Q000281	Konstruktionsmechaniker/Konstruktionsmechanikerin
Q000282	Fachkraft für Metalltechnik Fachrichtung Konstruktionstechnik
Q000283	Anlagenmechaniker/Anlagenmechanikerin Fachrichtung Schweißtechnik
Q000284	Konstruktionsmechaniker/Konstruktionsmechanikerin Fachrichtung Schweißtechnik
Q000285	Schweißer/Schweißerin
Q000286	Elektroschweißer/Elektroschweißerin
Q000287	Brennschneider/Brennschneiderin
Q000288	Rohrschweißer/Rohrschweißerin
Q000289	Löter/Löterin
Q000290	Nieter/Nieterin
Q000291	Schweißfachingenieur/Schweißfachingenieurin
Q000292	Geprüfter Taucher/Geprüfte Taucherin
Q000293	Metallbauermeister/Metallbauermeisterin
Q000294	Industriemechaniker/Industriemechanikerin Fachrichtung Geräte- und Feinwerktechnik
Q000295	Feinmechaniker/Feinmechanikerin Fachrichtung Feingerätebau
Q000296	Feinwerkmechaniker/Feinwerkmechanikerin
Q000297	Feinwerkmechaniker/Feinwerkmechanikerin Schwerpunkt Feinmechanik
Q000298	Chirurgiemechaniker/Chirurgiemechanikerin
Q000299	Ingenieur/Ingenieurin für Feinwerktechnik
Q000300	Büchsenmacher/Büchsenmacherin
Q000301	Werkzeugmacher/Werkzeugmacherin
Q000302	Werkzeugmechaniker/Werkzeugmechanikerin
Q000303	Systemmacher/Systemmacherin - Gewehr
Q000304	Werkzeugingenieur/Werkzeugingenieurin
Q000305	Uhrmacher/Uhrmacherin
Q000306	Feinwerkmechanikermeister/Feinwerkmechanikermeisterin
Q000307	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Geräte- und Feinwerktechnik
Q000308	Konstruktionsmechaniker/Konstruktionsmechanikerin Fachrichtung Ausrüstungstechnik
Q000309	Betriebsschlosser/Betriebsschlosserin
Q000310	Industriemechaniker/Industriemechanikerin
Q000311	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Maschinentechnik (ohne Schwerpunkt)
Q000312	Ingenieur/Ingenieurin für Maschinenbau
Q000313	Ingenieur/Ingenieurin für Verfahrenstechnik
Q000314	Maschinenzusammensetzer/Maschinenzusammensetzerin
Q000315	Fachkraft für Metalltechnik Fachrichtung Montagetechnik
Q000316	Fachkraft für Demontage
Q000317	Geprüfter Kesselwärter/Geprüfte Kesselwärterin
Q000318	Zählerableser/Zählerableserin
Q000319	Wartungs- und Servicetechniker/Wartungs- und Servicetechnikerin im Maschinenbau
Q000320	Aufzugmonteur/Aufzugmonteurin
Q000321	Kundendienstmonteur, Kundendiensttechniker/Kundendienstmonteurin, Kundendiensttechnikerin
Q000322	Serviceingenieur/Serviceingenieurin
Q000323	Motorenmechaniker/Motorenmechanikerin
Q000324	Hydraulik-Fachkraft
Q000325	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Mühlenbau, Getreide- und Futtermitteltechnik Schwerpunkt Verfahrenstechnik
Q000326	Industriemeister/Industriemeisterin in Instandhaltung und Kundendienst
Q000327	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Produktionstechnik
Q000328	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Ausrüstungstechnik
Q000329	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Betriebstechnik
Q000330	Leiter/Leiterin des Kundendienstes (technisch)
Q000331	Leiter/Leiterin - Betriebliche Instandhaltung
Q000332	Helfer/Helferin für Fahrzeugbau und -instandhaltung
Q000333	Karosserie- und Fahrzeugbauer/Karosserie- und Fahrzeugbauerin Fachrichtung Karosseriebau
Q000334	Kraftfahrzeugmechaniker/Kraftfahrzeugmechanikerin
Q000335	Pannendienstfahrer/Pannendienstfahrerin
Q000336	Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosseriebautechnik
Q000337	Karosseriebauer/Karosseriebauerin
Q000338	Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin Schwerpunkt System- und Hochvolttechnik
Q000339	Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosserie- und Fahrzeugbautechnik
Q000340	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Kraftfahrzeugtechnik
Q000341	Baumaschinenmechaniker/Baumaschinenmechanikerin
Q000342	Kranmonteur/Kranmonteurin
Q000343	Landmaschinenmechaniker/Landmaschinenmechanikerin
Q000344	Metallbauer/Metallbauerin Fachrichtung Landtechnik
Q000345	Ingenieur/Ingenieurin für Agrartechnik
Q000346	Fluggerätmechaniker/Fluggerätmechanikerin Fachrichtung Instandhaltungstechnik
Q000347	Fluggerätmechaniker/Fluggerätmechanikerin Fachrichtung Triebwerkstechnik
Q000348	Leichtflugzeugbauer/Leichtflugzeugbauerin
Q000349	Fluggerätbauer/Fluggerätbauerin
Q000350	Flugtriebwerkmechaniker/Flugtriebwerkmechanikerin
Q000351	Holzflugzeugbauer/Holzflugzeugbauerin
Q000352	Metallflugzeugbauer/Metallflugzeugbauerin
Q000353	Ingenieur/Ingenieurin für Luft- und Raumfahrttechnik
Q000354	Schiffbauer/Schiffbauerin
Q000355	Schiffsmechaniker/Schiffsmechanikerin
Q000356	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schiffbautechnik
Q000357	Ingenieur/Ingenieurin für Schiffbau und Meerestechnik
Q000358	Zweiradmechaniker/Zweiradmechanikerin Fachrichtung Motorradtechnik
Q000359	Zweiradmechaniker/Zweiradmechanikerin Fachrichtung Fahrradtechnik
Q000360	Fahrradmonteur/Fahrradmonteurin
Q000361	Zweiradmechatroniker/Zweiradmechatronikerin Fachrichtung Motorradtechnik
Q000362	Zweiradmechatroniker/Zweiradmechatronikerin Fachrichtung Fahrradtechnik
Q000363	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Automobilindustrie
Q000364	Roboterprogrammierer/Roboterprogrammiererin
Q000365	Mechatroniker/Mechatronikerin
Q000366	Staatlich geprüfter Technischer Assistent/Staatlich geprüfte Technische Assistentin für Automatisierungstechnik
Q000367	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Mechatronik
Q000368	Ingenieur/Ingenieurin für Mechatronik
Q000369	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik Schwerpunkt Automatisierungstechnik
Q000370	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Produktionstechnik und Datenmanagement
Q000371	Ingenieur/Ingenieurin für Automatisierungstechnik
Q000372	Messingenieur/Messingenieurin
Q000373	Ingenieur/Ingenieurin für Robotik, Autonome Systeme
Q000374	Bauelektriker/Bauelektrikerin
Q000375	Elektroinstallateur/Elektroinstallateurin
Q000376	Elektroniker/Elektronikerin Fachrichtung Energie- und Gebäudetechnik
Q000377	Elektroniker/Elektronikerin für Gebäude- und Infrastruktursysteme
Q000378	Elektromaschinenbauer/Elektromaschinenbauerin
Q000379	Elektromaschinenmonteur/Elektromaschinenmonteurin
Q000380	Elektroniker/Elektronikerin für Maschinen und Antriebstechnik (Ausbildung bis 2021)
Q000381	Elektroniker/Elektronikerin für Maschinen und Antriebstechnik nach der Handwerksordnung
Q000382	Elektroniker/Elektronikerin für Maschinen und Antriebstechnik nach dem Berufsbildungsgesetz
Q000383	Geprüfter Kraftwerker/Geprüfte Kraftwerkerin
Q000384	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik Schwerpunkt Energietechnik
Q000385	Ingenieur/Ingenieurin für Energietechnik
Q000386	Staatlich geprüfter Technischer Assistent/Staatlich geprüfte Technische Assistentin - nachwachsende Rohstoffe
Q000387	Servicetechniker/Servicetechnikerin für Biogasanlagen
Q000388	Solarmonteur/Solarmonteurin
Q000389	Solartechniker/Solartechnikerin
Q000390	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Windenergietechnik
Q000391	Fachwirt/Fachwirtin für Solartechnik
Q000392	Ingenieur/Ingenieurin für Erneuerbare Energien
Q000393	Elektroniker/Elektronikerin - Prüffeld
Q000394	Industrieelektriker/Industrieelektrikerin - Betriebstechnik
Q000395	Energieelektroniker/Energieelektronikerin Fachrichtung Betriebstechnik
Q000396	Elektroniker/Elektronikerin für Betriebstechnik
Q000397	Elektromaschinenbauermeister/Elektromaschinenbauermeisterin
Q000398	Kraftwerksmeister/Kraftwerksmeisterin Fachrichtung Maschinentechnik/Kerntechnik
