C000001_pt_000	Profissões militares
C000145_pt_000	Especialistas em tecnologias da informação e comunicação
C000146_pt_000	Analistas e programadores de software e aplicações
C000147_pt_000	Analistas de sistemas
C000148_pt_000	Programadores de software
C000149_pt_000	Programadores de sítios web e de multimédia
C000150_pt_000	Programadores de aplicações
C000151_pt_000	Outros analistas e programadores de software e aplicações
C000152_pt_000	Especialistas em bases de dados e redes
C000153_pt_000	Administradores e especialistas de concepção de bases de dados
C000154_pt_000	Administradores de sistemas
C000155_pt_000	Especialistas de redes informáticas
C000156_pt_000	Outros especialistas de bases de dados e redes
C000157_pt_000	Especialistas em assuntos jurídicos, sociais, artísticos e culturais
C000158_pt_000	Especialistas em assuntos jurídicos
C000159_pt_000	Advogados
C000160_pt_000	Juízes e magistrados
C000161_pt_000	Outros especialistas em assuntos jurídicos
C000162_pt_000	Bibliotecários, arquivistas e curadores de museus
C000163_pt_000	Arquivistas e curadores de museus
C000164_pt_000	Bibliotecários e outros especialistas de informação relacionados
C000165_pt_000	Especialistas em ciências sociais e religiosas
C000166_pt_000	Economistas
C000167_pt_000	Sociólogos, antropólogos e especialistas similares
C000168_pt_000	Filósofos, historiadores e especialistas das ciências políticas
C000169_pt_000	Psicólogos
C000170_pt_000	Especialistas do trabalho social
C000171_pt_000	Ministros de culto e membros de ordens religiosas
C000172_pt_000	Autores, jornalistas e linguistas
C000173_pt_000	Autores e outros escritores
C000174_pt_000	Jornalistas
C000175_pt_000	Tradutores, intérpretes e outros linguistas
C000176_pt_000	Artistas criativos e das artes do espectáculo
C000177_pt_000	Artistas de artes visuais (plásticas)
C000178_pt_000	Músicos, cantores e compositores
C000179_pt_000	Bailarinos e coreógrafos
C000180_pt_000	Encenadores, realizadores e directores e produtores similares
C000181_pt_000	Actores
C000182_pt_000	Locutores e apresentadores de rádio, televisão e outros meios de comunicação
C000183_pt_000	Outros artistas criativos e das artes do espectáculo
C000184_pt_000	Técnicos e profissões de nível intermédio
C000185_pt_000	Técnicos e profissões das ciências e engenharia, de nível intermédio
C000186_pt_000	Técnicos das ciências físicas e engenharia
C000187_pt_000	Técnicos das ciências químicas e físicas
C000188_pt_000	Técnicos de engenharia civil
C000189_pt_000	Técnicos de electrotecnia
C000190_pt_000	Técnicos de electrónica
C000191_pt_000	Técnicos de engenharia mecânica
C000192_pt_000	Técnicos de química industrial
C000193_pt_000	Técnicos da indústria extractiva e metalúrgica
C000194_pt_000	Desenhadores
C000195_pt_000	Outros técnicos das ciências físicas e da engenharia
C000196_pt_000	Supervisores de indústrias extractivas, transformadoras e construção
C000197_pt_000	Supervisores de indústrias extractivas
C000198_pt_000	Supervisores de indústrias transformadoras
C000199_pt_000	Supervisores de construção
C000200_pt_000	Técnicos de controlo de processos industriais
C000201_pt_000	Operadores de instalações de produção de energia
C000202_pt_000	Operadores de incineradores e instalações de tratamento de água
C000203_pt_000	Técnicos de controlo de instalações da indústria química
C000204_pt_000	Operadores de instalações de refinação de petróleo e gás natural
C000205_pt_000	Técnicos de controlo de instalações de produção de metais
C000206_pt_000	Outros técnicos de controlo de processos industriais
C000207_pt_000	Técnicos e profissões afins, de nível intermédio das ciências da vida
C000208_pt_000	Técnicos das ciências da vida (excluindo medicina)
C000209_pt_000	Técnicos agrícolas e da produção animal
C000210_pt_000	Técnicos florestais
C000211_pt_000	Técnicos e controladores, dos meios de transporte marítimos e aéreos
C000212_pt_000	Oficiais maquinistas de navios
C000213_pt_000	Oficiais de convés e pilotos de navios
C000214_pt_000	Pilotos de avião e profissionais associados
C000215_pt_000	Controladores de tráfego aéreo
C000216_pt_000	Técnicos de segurança aérea
C000217_pt_000	Técnicos da área da saúde, de nível intermédio
C000218_pt_000	Técnicos de medicina e de farmácia
C000219_pt_000	Técnicos de equipamentos de imagiologia médica e terapêutica
C000220_pt_000	Técnicos de laboratório, de anatomia patológica e medicina
C000221_pt_000	Técnicos e assistentes, farmacêuticos
C000222_pt_000	Técnicos de próteses médicas e dentárias
C000223_pt_000	Auxiliares de enfermagem e obstetrícia
C000224_pt_000	Auxiliares de enfermagem
C000225_pt_000	Auxiliares de obstetrícia
C000226_pt_000	Profissionais de nível intermédio das medicinas tradicionais e alternativas
C000227_pt_000	Profissionais de nível intermédio das medicinas tradicionais e alternativas
C000228_pt_000	Técnicos e assistentes veterinários
C000229_pt_000	Técnicos e assistentes veterinários
C000230_pt_000	Outros profissionais de nível intermédio da saúde
C000231_pt_000	Assistentes e terapeutas de medicina dentária
C000232_pt_000	Técnicos de registos médicos e de informação sobre saúde
C000233_pt_000	Técnicos dos serviços de saúde comunitária
C000234_pt_000	Ópticos
C000235_pt_000	Técnicos e assistentes de fisioterapia
C000236_pt_000	Assistentes de médicos
C000237_pt_000	Inspectores e técnicos de saúde ambiental e do trabalho
C000238_pt_000	Técnicos de ambulância
C000239_pt_000	Outros profissionais de nível intermédio da saúde, n.e.
C000240_pt_000	Técnicos de nível intermédio, das áreas administrativas e de negócios
C000241_pt_000	Técnicos de nível intermédio da área financeira e matemática
C000242_pt_000	Cambistas e corretores de bolsa e similares
C000243_pt_000	Agentes de créditos e empréstimos
C000244_pt_000	Técnicos de contabilidade
C000245_pt_000	Técnicos de nível intermédio da estatística, matemática e similares
C000246_pt_000	Avaliadores
C000247_pt_000	Agentes de compras e de vendas e corretores
C000248_pt_000	Agentes de seguros
C000249_pt_000	Representantes comerciais
C000250_pt_000	Compradores
C000251_pt_000	Corretores de mercadorias
C000252_pt_000	Agentes de negócios
C000253_pt_000	Despachantes
C000254_pt_000	Organizadores de conferências e eventos
C000255_pt_000	Agentes de emprego e contratadores de mão-de-obra
C000256_pt_000	Agentes imobiliários e gestores de património
C000257_pt_000	Outros agentes de negócios
C000258_pt_000	Secretários de administração e especializados
C000259_pt_000	Chefe de escritório
C000260_pt_000	Secretários da área jurídica
C000261_pt_000	Secretários, administrativo e executivo
C000262_pt_000	Secretários da área da medicina
C000263_pt_000	Agentes de nível intermédio da administração pública, para aplicação da lei e similares
C000264_pt_000	Inspectores das alfândegas e fronteiras
C000265_pt_000	Agentes dos impostos
C000266_pt_000	Agentes dos serviços da segurança social
C000267_pt_000	Agentes dos serviços de licenças e autorizações
C000268_pt_000	Inspectores de polícia e detectives
C000269_pt_000	Outros agentes de nível intermédio para aplicação da lei e similares
C000270_pt_000	Técnicos de nível intermédio dos serviços jurídicos, sociais, culturais e similares
C000271_pt_000	Técnicos de nível intermédio dos serviços jurídicos, sociais e religiosos
C000272_pt_000	Técnicos de nível intermédio dos serviços jurídicos e relacionados
C000273_pt_000	Técnicos de nível intermédio de apoio social
C000274_pt_000	Técnicos de nível intermédio de apoio religioso
C000275_pt_000	Técnicos do desporto e de ginásio (fitness)
C000276_pt_000	Atletas e desportistas, de competição
C000277_pt_000	Treinadores, instrutores e árbitros, desportivos
C000278_pt_000	Instrutores e monitores, de educação física e de recreação
C000279_pt_000	Técnicos de nível intermédio das actividades culturais, artísticas e culinárias
C000280_pt_000	Fotógrafos
C000281_pt_000	Designers de interiores e decoradores
C000282_pt_000	Técnicos de galerias de arte, museus e bibliotecas
C000283_pt_000	Chefes de cozinha
C000284_pt_000	Outros técnicos de nível intermédio das actividades culturais e artísticas
C000285_pt_000	Técnicos das tecnologias de informação e comunicação
C000286_pt_000	Técnicos, das tecnologias da informação e comunicação e de apoio aos utilizadores
C000287_pt_000	Técnicos das tecnologias da informação e comunicação
C000288_pt_000	Técnicos de apoio ao utilizador das tecnologias da informação e comunicação
C000289_pt_000	Técnicos de redes e sistemas de computadores
C000290_pt_000	Técnicos da web
C000291_pt_000	Técnicos de telecomunicações e de emissões de rádio e televisão
C000292_pt_000	Técnicos de emissões de rádio e televisão e de gravação audiovisual
C000293_pt_000	Técnicos de telecomunicações
C000294_pt_000	Empregados administrativos
C000295_pt_000	Empregados de escritório
C000296_pt_000	Empregados de escritório – funções gerais
C000297_pt_000	Empregados de escritório – funções gerais
C000298_pt_000	Secretários (funções gerais)
C000299_pt_000	Secretários (funções gerais)
C000300_pt_000	Operadores de processamento, de texto e dados
C000301_pt_000	Dactilógrafos e operadores de processamento de texto
C000302_pt_000	Operadores de registo de dados
C000303_pt_000	Empregados de atendimento ao público
C000304_pt_000	Caixas, bilheteiros e trabalhadores similares
C000305_pt_000	Caixas bancários e similares
C000306_pt_000	Empregados de apostas, em casinos e similares
C000307_pt_000	Penhoristas e prestamistas
C000308_pt_000	Cobradores de facturas e similares
C000309_pt_000	Empregados que prestam informações ao cliente
C000310_pt_000	Empregados das agências de viagem e similares
C000311_pt_000	Empregados dos centros de chamadas
C000312_pt_000	Operadores de centrais telefónicas
C000313_pt_000	Recepcionistas de hotel
C000314_pt_000	Empregados de serviços de informação ao cliente
C000315_pt_000	Recepcionistas (funções gerais)
C000316_pt_000	Entrevistadores de inquéritos e estudos de mercado
C000317_pt_000	Outros empregados que prestam informações ao cliente
C000318_pt_000	Empregados de contabilidade e registo de materiais
C000319_pt_000	Empregados de contabilidade, estatística, financeiros e similares
C000320_pt_000	Empregados, de contabilidade e escrituração comercial
C000321_pt_000	Empregados, dos serviços de estatística, financeiros e seguros
C000322_pt_000	Empregados dos serviços de pagamento de salários
C000323_pt_000	Empregados de aprovisionamento, de planeamento e dos transportes
C000324_pt_000	Empregados de aprovisionamento e armazém
C000325_pt_000	Empregados dos serviços de apoio à produção
C000326_pt_000	Empregados dos serviços de transportes
C000327_pt_000	Outros empregados de apoio administrativo
C000328_pt_000	Outros empregados de apoio administrativo
C000329_pt_000	Empregados de biblioteca
C000330_pt_000	Carteiros e similares
C000331_pt_000	Codificadores, revisores de provas e similares
C000332_pt_000	Escrivães públicos e similares
C000333_pt_000	Classificadores arquivistas
C000334_pt_000	Empregados dos serviços de pessoal
C000335_pt_000	Outros empregados de apoio administrativo, n.e.
C000336_pt_000	Pessoal dos serviços e vendedores
C000337_pt_000	Pessoal dos serviços pessoais
C000338_pt_000	Assistentes de viagem, cobradores, revisores e guias intérpretes
C000339_pt_000	Assistentes de viagem, e comissários
C000340_pt_000	Cobradores, revisores de bilhetes e trabalhadores similares dos transportes
C000341_pt_000	Guias-intérpretes
C000342_pt_000	Cozinheiros
C000343_pt_000	Cozinheiros
C000344_pt_000	Empregados de mesa e de bar
C000345_pt_000	Empregados de mesa
C000346_pt_000	Empregados de bar
C000347_pt_000	Cabeleireiros, esteticistas e similares
C000348_pt_000	Cabeleireiros
C000349_pt_000	Esteticistas e similares
C000350_pt_000	Encarregados de limpeza e de trabalhos domésticos
C000351_pt_000	Encarregados de limpeza e de trabalhos domésticos em escritórios, hotéis e outros estabelecimentos
C000352_pt_000	Governantes e mordomos domésticos
C000353_pt_000	Porteiros de edifícios
C000354_pt_000	Outro pessoal dos serviços pessoais
C000355_pt_000	Astrólogos, adivinhadores e similares
C000356_pt_000	Pessoal de companhia e ajudantes de quarto
C000357_pt_000	Agentes funerários e embalsamadores
C000358_pt_000	Tratadores e guardadores de animais
C000359_pt_000	Instrutores de condução
C000360_pt_000	Outro pessoal dos serviços pessoais, n.e.
C000361_pt_000	Vendedores
C000362_pt_000	Vendedores em mercados e vendedores ambulantes
C000363_pt_000	Vendedores em quiosques e mercados
C000364_pt_000	Vendedores ambulantes de produtos comestíveis
C000365_pt_000	Vendedores em lojas
C000366_pt_000	Comerciantes de loja
C000367_pt_000	Supervisores de loja
C000368_pt_000	Vendedores em loja
C000369_pt_000	Operadores de caixa e de venda de bilhetes
C000370_pt_000	Operadores de caixa e de venda de bilhetes
C000371_pt_000	Outros trabalhadores relacionados com vendas
C000372_pt_000	Manequins e outros modelos
C000373_pt_000	Demonstradores em lojas
C000374_pt_000	Vendedores ao domicílio
C000375_pt_000	Vendedores de centros de contacto
C000376_pt_000	Empregados de estações de serviço
C000377_pt_000	Empregados de venda de alimentos ao balcão
C000378_pt_000	Outros trabalhadores relacionados com vendas, n.e.
C000379_pt_000	Trabalhadores de serviços de assistência pessoal
C000380_pt_000	Auxiliares de cuidados de crianças e auxiliares de educação
C000381_pt_000	Auxiliares de cuidados de crianças
C000382_pt_000	Auxiliares de educação
C000383_pt_000	Trabalhadores de assistência pessoal nos serviços de saúde
C000384_pt_000	Assistentes de cuidados de saúde
C000385_pt_000	Ajudantes familiares
C000386_pt_000	Outros trabalhadores de serviços de assistência pessoal nos serviços de saúde
C000387_pt_000	Pessoal dos serviços de protecção e segurança
C000388_pt_000	Pessoal dos serviços de protecção e segurança
C000389_pt_000	Bombeiros
C000390_pt_000	Agentes de polícia
C000391_pt_000	Guardas dos serviços prisionais
C000392_pt_000	Agentes de segurança
C000393_pt_000	Outro pessoal dos serviços de protecção e segurança
C000394_pt_000	Trabalhadores qualificados da agricultura, da silvicultura e da pesca
C000395_pt_000	Trabalhadores qualificados da agricultura orientadas para o mercado
C000396_pt_000	Floricultores e trabalhadores qualificados de culturas agrícolas de mercado
C000397_pt_000	Trabalhadores qualificados de produção de cereais e vegetais
C000398_pt_000	Trabalhadores qualificados de árvores e arbustos
C000399_pt_000	Floricultores, horticultores e viveiristas
C000400_pt_000	Trabalhadores qualificados de culturas agrícolas mistas
C000401_pt_000	Produtores e trabalhadores qualificados na criação de animais
C000402_pt_000	Produtores e trabalhadores qualificados na criação de animais e produtores de leite
C000403_pt_000	Trabalhadores qualificados da avicultura
C000404_pt_000	Apicultores e sericultores
C000405_pt_000	Outros produtores e trabalhadores qualificados da criação de animais
C000406_pt_000	Agricultores e trabalhadores qualificados da agricultura e da criação animal combinadas
C000407_pt_000	Agricultores e trabalhadores qualificados da agricultura e da criação animal combinadas
C000408_pt_000	Trabalhadores qualificados da silvicultura, da pesca e da caça, orientadas para o mercado
C000409_pt_000	Trabalhadores florestais e similares
C000410_pt_000	Trabalhadores florestais e similares
C000411_pt_000	Trabalhadores qualificados da aquicultura, das pescas, caçadores e utilizadores de armadilhas
C000412_pt_000	Trabalhadores qualificados da aquicultura
C000413_pt_000	Trabalhadores qualificados da pesca – águas costeiras e interiores
C000414_pt_000	Trabalhadores qualificados da pesca do alto mar
C000415_pt_000	Caçadores qualificados e utilizadores de armadilhas
C000416_pt_000	Agricultores, pescadores, caçadores e recolectores de subsistência
C000417_pt_000	Agricultores de subsistência
C000418_pt_000	Agricultores de subsistência
C000419_pt_000	Criadores de animais de subsistência
C000420_pt_000	Criadores de animais de subsistência
C000421_pt_000	Agricultores e produtores de animais de subsistência, combinadas
C000422_pt_000	Agricultores e produtores de animais de subsistência, combinadas
C000423_pt_000	Pescadores, caçadores, utilizadores de armadilhas e recolectores de subsistência
C000424_pt_000	Pescadores, caçadores, utilizadores de armadilhas e recolectores de subsistência
C000425_pt_000	Operários, artífices e trabalhadores similares
C000426_pt_000	Trabalhadores qualificados da construção excluindo electricistas
C000427_pt_000	Trabalhadores qualificados da construção das estruturas básicas e similares
C000428_pt_000	Construtores de edifícios
C000429_pt_000	Pedreiros e trabalhadores similares
C000430_pt_000	Trabalhadores da pedra, canteiros e similares
C000431_pt_000	Trabalhadores em betão armado e similares
C000432_pt_000	Carpinteiros e marceneiros
C000433_pt_000	Outros trabalhadores qualificados da construção das estruturas básicas e similares
C000434_pt_000	Trabalhadores qualificados da construção em acabamentos e similares
C000435_pt_000	Colocadores de telhados e coberturas
C000436_pt_000	Assentadores de revestimentos e ladrilhadores
C000437_pt_000	Estucadores
C000438_pt_000	Trabalhadores em isolamentos
C000439_pt_000	Vidraceiros
C000440_pt_000	Canalizadores e instaladores de tubagens
C000441_pt_000	Instaladores de ar condicionado e de sistemas de refrigeração
C000442_pt_000	Pintores, limpadores de fachadas e similares
C000443_pt_000	Pintores da construção e similares
C000444_pt_000	Pintores à pistola e envernizadores
C000445_pt_000	Limpadores de fachadas
C000446_pt_000	Trabalhadores qualificados da metalurgia e da metalomecânica e similares
C000447_pt_000	Moldadores, soldadores, bate-chapas, caldeireiros, montadores de estruturas metálicas e trabalhadores similares
C000448_pt_000	Fundidores – moldadores e macheiros
C000449_pt_000	Soldadores e maçariqueiros
C000450_pt_000	Caldeireiros, latoeiros e bate-chapas
C000451_pt_000	Montadores de estruturas metálicas e similares
C000452_pt_000	Armadores e montadores de cabos
C000453_pt_000	Forjadores, serralheiros mecânicos e similares
C000454_pt_000	Forjadores, ferreiros e operadores de prensas de forjar
C000455_pt_000	Serralheiros mecânicos e similares
C000456_pt_000	Afinadores e operadores de máquinas do tratamento das superfícies dos metais
C000457_pt_000	Rectificadores de rodas metálicas, polidores de metais e afiadores de ferramentas
C000458_pt_000	Mecânicos e reparadores de máquinas
C000459_pt_000	Mecânicos e reparadores de veículos a motor
C000460_pt_000	Mecânicos e reparadores de motores de avião
C000461_pt_000	Mecânicos e reparadores de máquinas agrícolas e industriais
C000462_pt_000	Reparadores de bicicletas e similares
C000463_pt_000	Trabalhadores qualificados do artesanato e da impressão
C000464_pt_000	Trabalhadores qualificados do artesanato
C000465_pt_000	Mecânicos e reparadores de instrumentos de precisão
C000466_pt_000	Fabricantes e afinadores de instrumentos de música
C000467_pt_000	Joalheiros e trabalhadores de metais preciosos
C000468_pt_000	Oleiros e similares
C000469_pt_000	Sopradores, moldadores, cortadores, polidores de vidro e similares
C000470_pt_000	Pintores de tabuletas, pintores-decoradores, lapidadores e gravadores
C000471_pt_000	Artesãos de artigos em madeira, cestaria e materiais similares
C000472_pt_000	Artesãos de artigos em têxteis, couro e materiais similares
C000473_pt_000	Outros trabalhadores qualificados do artesanato
C000474_pt_000	Trabalhadores da impressão
C000475_pt_000	Técnicos de pré-impressão
C000476_pt_000	Impressores gráficos
C000477_pt_000	Encadernadores e similares
C000478_pt_000	Trabalhadores qualificados em electricidade e electrónica
C000479_pt_000	Instaladores e reparadores de equipamento eléctrico
C000480_pt_000	Electricistas da construção e similares
C000481_pt_000	Electromecânicos e afinadores de aparelhos eléctricos
C000482_pt_000	Instaladores e reparadores de linhas eléctricas
C000483_pt_000	Instaladores e reparadores de equipamento electrónico e de telecomunicações
C000484_pt_000	Mecânicos e reparadores de equipamentos electrónicos
C000485_pt_000	Instaladores e reparadores de tecnologias da informação e comunicação
C000486_pt_000	Trabalhadores da transformação de alimentos, da madeira, do vestuário e de outras indústrias, artífices e similares
C000487_pt_000	Trabalhadores da transformação de alimentos e similares
C000488_pt_000	Magarefes, cortadores de carnes e trabalhadores similares da preparação de carnes e peixes
C000489_pt_000	Padeiros, pasteleiros e confeiteiros
C000490_pt_000	Trabalhadores do fabrico de produtos lácteos
C000491_pt_000	Conserveiros de frutas, legumes e similares
C000492_pt_000	Provadores e classificadores de produtos alimentares e bebidas
C000493_pt_000	Preparadores e transformadores de tabaco e seus produtos
C000494_pt_000	Trabalhadores do tratamento de madeira, marceneiros e similares
C000495_pt_000	Trabalhadores do tratamento da madeira
C000496_pt_000	Marceneiros e similares
C000497_pt_000	Operadores de máquinas para trabalhar madeira
C000498_pt_000	Trabalhadores do sector do vestuário e trabalhadores similares
C000499_pt_000	Alfaiates, costureiros, peleiros e chapeleiros
C000500_pt_000	Riscadores e cortadores de moldes para vestuário e afins
C000501_pt_000	Costureiras, bordadeiras e trabalhadores similares
C000502_pt_000	Estofadores e trabalhadores similares
C000503_pt_000	Trabalhadores de peles e couro
C000504_pt_000	Sapateiros e similares
C000505_pt_000	Outros operários, artífices e similares
C000506_pt_000	Mergulhadores
C000507_pt_000	Carregadores de fogo e dinamitadores
C000508_pt_000	Calibrador e verificador de produtos (excluindo produtos alimentares e bebidas)
C000509_pt_000	Fumigadores e outros controladores de pragas e ervas daninhas
C000510_pt_000	Outros operários, artífices e similares, n.e.
C000511_pt_000	Operadores de instalações e máquinas e trabalhadores da montagem
C000512_pt_000	Operadores de instalações fixas e de máquinas
C000513_pt_000	Operadores de instalações da extracção mineira e de processamento de minerais
C000514_pt_000	Mineiros e trabalhadores das pedreiras
C000515_pt_000	Operadores de instalações de processamento de minérios e rochas
C000516_pt_000	Perfuradores de poços, sondadores e similares
C000517_pt_000	Operadores de máquinas para trabalhar cimento, pedra e outros minerais
C000518_pt_000	Operadores de instalações de transformação e acabamento de metais
C000519_pt_000	Operadores de instalações de transformação de metais
C000520_pt_000	Operadores de máquinas, de revestimento, metalização e acabamento de metais
C000521_pt_000	Operadores de instalações e de máquinas para o fabrico de produtos químicos e fotográficos
C000522_pt_000	Operadores de instalações e de máquinas para o fabrico de produtos químicos
C000523_pt_000	Operadores de máquinas para o fabrico de produtos fotográficos
C000524_pt_000	Operadores de máquinas do fabrico de produtos de borracha, plástico e papel
C000525_pt_000	Operadores de máquinas do fabrico de produtos de borracha
C000526_pt_000	Operadores de máquinas do fabrico de produtos de plástico
C000527_pt_000	Operadores de máquinas do fabrico de produtos de papel
C000528_pt_000	Operadores de máquinas do fabrico de produtos têxteis, de pele com pêlo e couro
