Mapping project name,ESCO - CS NOC [1.0.9]
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-11-25
Classification 1 Name,Povolání ESCO
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.9
Classification 1 Language,cs
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Klasifikace zaměstnání CZ-ISCO
Classification 2 Concept type,unknown
Classification 2 Version,2020
Classification 2 Language,cs
Classification 2 Landing page,


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/e75305db-9011-4ee0-ab62-8d41a98f807e,osobní řidič/osobní řidička,http://data.europa.eu/esco/occupation/e75305db-9011-4ee0-ab62-8d41a98f807e,8322.1,Řidiči osobních a malých dodávkových automobilů (kromě taxikářů a řidičů zdravotnické dopravní služby),,skos:broadMatch,
http://data.europa.eu/esco/occupation/6b304370-0112-4881-a1bd-27d8df645d00,policejní instruktor/policejní instruktorka,http://data.europa.eu/esco/occupation/6b304370-0112-4881-a1bd-27d8df645d00,2320.4,Lektoři dalšího vzdělávání,,skos:broadMatch,
http://data.europa.eu/esco/occupation/b2f5ed56-c83f-40d0-b861-f5253cd3d1d9,umělecký sklář/umělecká sklářka,http://data.europa.eu/esco/occupation/b2f5ed56-c83f-40d0-b861-f5253cd3d1d9,7315.1,Umělečtí skláři a umělečtí sklenáři,,skos:exactMatch,z podskupiny 7315 CZ ISCO. ESCO  2651.7 umělecký sklář/umělecká sklářka
http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,zubní lékař/zubní lékařka,http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,2261.1,Zubní lékaři bez specializace,,skos:exactMatch,
http://data.europa.eu/esco/occupation/c71ee6a5-ce48-4afd-aa1e-eaabf17ccbc0,manažer pro dovoz a vývoz odpadu a šrotu/manažerka pro dovoz a vývoz odpadu a šrotu,http://data.europa.eu/esco/occupation/c71ee6a5-ce48-4afd-aa1e-eaabf17ccbc0,1324.5,Řídící pracovníci v oblasti logistiky,,skos:broadMatch,
http://data.europa.eu/esco/occupation/21f4eb29-f6e5-4623-acb9-f3ff9c2f525d,lektor mluveného projevu/lektorka mluveného projevu,http://data.europa.eu/esco/occupation/21f4eb29-f6e5-4623-acb9-f3ff9c2f525d,2359,Specialisté a odborní pracovníci v oblasti výchovy a vzdělávání jinde neuvedení,,skos:broadMatch,
http://data.europa.eu/esco/occupation/dc14bed4-87ca-4e6c-9f69-458e2689d2d6,pracovník slévárny/pracovnice slévárny,http://data.europa.eu/esco/occupation/dc14bed4-87ca-4e6c-9f69-458e2689d2d6,7211.2,Formíři a jádraři ve slévárnách,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/76a950cb-3def-47f4-895d-555ad138657e,učitel montessoriovské školy/učitelka montessoriovské školy,http://data.europa.eu/esco/occupation/76a950cb-3def-47f4-895d-555ad138657e,2341,Učitelé na 1. stupni základních škol,,skos:broadMatch,
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,telekomunikační inženýr/telekomunikační inženýrka,http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,2153.4,"Inženýři přípravy a realizace investic, inženýringu v oblasti elektronických komunikací",,skos:narrowMatch,doplnil miro
http://data.europa.eu/esco/occupation/3f0093ab-651b-401a-b542-bba84ff46deb,"velkoobchodník s kůžemi, kožkami a koženými výrobky/velkoobchodnice s kůžemi, kožkami a koženými výrobky",http://data.europa.eu/esco/occupation/3f0093ab-651b-401a-b542-bba84ff46deb,3324.0,Obchodní makléři,,skos:broadMatch,
http://data.europa.eu/esco/occupation/dc69f2ed-ebe9-43da-bf9d-31aac874d4c2,sociální pracovník v oblasti rehabilitace/sociální pracovnice v oblasti rehabilitace,http://data.europa.eu/esco/occupation/dc69f2ed-ebe9-43da-bf9d-31aac874d4c2,2635.2,Sociální pracovníci specialisté v oblasti zdravotnictví (kromě péče o zdravotně postižené),,skos:broadMatch,
http://data.europa.eu/esco/occupation/605e58d6-ad27-4828-b1f5-16707f327fa0,přednášející v oboru pedagogika,http://data.europa.eu/esco/occupation/605e58d6-ad27-4828-b1f5-16707f327fa0,2310,Učitelé na vysokých a vyšších odborných školách,,skos:broadMatch,
http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,vedoucí výroby v akvakultuře,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,1312.2,Řídící pracovníci v rybářství a akvakultuře,,skos:broadMatch,
http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8,obsluha plovoucího rypadla,http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8,8342.2,Obsluha zemních a příbuzných strojů,,skos:broadMatch,
http://data.europa.eu/esco/occupation/74d47633-8e9e-4e08-9cba-d2292c211218,poradce pro přepravu nebezpečného zboží/poradkyně pro přepravu nebezpečného zboží,http://data.europa.eu/esco/occupation/74d47633-8e9e-4e08-9cba-d2292c211218,2141.4,Specialisté v oblasti dopravy,,skos:broadMatch,
http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,matematik/matematička,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,2120.1,Specialisté v oblasti matematiky,,skos:exactMatch,
http://data.europa.eu/esco/occupation/32fcdc6f-1c8a-44e9-99b8-5519e4db4414,technik potiskovaného textilu/technička potiskovaného textilu,http://data.europa.eu/esco/occupation/32fcdc6f-1c8a-44e9-99b8-5519e4db4414,7322.0,Tiskaři,,skos:broadMatch,
http://data.europa.eu/esco/occupation/fc1da244-880f-407d-bfa7-789a2f468ea0,trenér zvířat/trenérka zvířat,http://data.europa.eu/esco/occupation/fc1da244-880f-407d-bfa7-789a2f468ea0,5164.4,Instruktoři výcviku služebních zvířat,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/60f7eb23-a7ea-4cbe-98a5-1248291f62d5,knihovník/knihovnice,http://data.europa.eu/esco/occupation/60f7eb23-a7ea-4cbe-98a5-1248291f62d5,2622.0,Specialisté v knihovnách a v příbuzných oblastech,,skos:broadMatch,
http://data.europa.eu/esco/occupation/3afd6af4-0c34-4311-ad73-65adc2571f0c,oděvní manažer/oděvní manažerka,http://data.europa.eu/esco/occupation/3afd6af4-0c34-4311-ad73-65adc2571f0c,1321.1,Výrobní a techničtí náměstci (ředitelé) v průmyslové výrobě,,skos:broadMatch,
http://data.europa.eu/esco/occupation/d8e5410b-5199-403f-8cbd-d32efb17a296,vedoucí prodejny počítačů a příslušenství,http://data.europa.eu/esco/occupation/d8e5410b-5199-403f-8cbd-d32efb17a296,1420.1,Řídící pracovníci v maloobchodě,,skos:broadMatch,
http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f,skladník/skladnice,http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f,9333.1,Pomocní skladníci,,skos:exactMatch,
http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407,projektant/projektantka,http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407,3113.2,"Elektrotechnici a technici energetici projektanti, konstruktéři",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,prodavač v prodejně automobilů/prodavačka v prodejně automobilů,http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2,5223,Prodavači v prodejnách,,skos:broadMatch,
http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42,účetní,http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42,3313.1,Odborní účetní všeobecní,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/33960bab-4423-4808-af6c-ec2b485dba41,stavební elektrikář/stavební elektrikářka,http://data.europa.eu/esco/occupation/33960bab-4423-4808-af6c-ec2b485dba41,7411.0,Stavební a provozní elektrikáři,,skos:broadMatch,
http://data.europa.eu/esco/occupation/c6239b9e-5973-4b0a-a2ed-4c4b41331e04,pracovník služeb komunitní péče pro dospělé/pracovnice služeb komunitní péče pro dospělé,http://data.europa.eu/esco/occupation/c6239b9e-5973-4b0a-a2ed-4c4b41331e04,3412.2,Sociální pracovníci v oblasti zdravotnictví (kromě péče o zdravotně postižené),,skos:broadMatch,
http://data.europa.eu/esco/isco/C2621,Specialisté archiváři a kurátoři,http://data.europa.eu/esco/isco/C2621,2621.3,"Správci památkových objektů, kasteláni",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/8fc3d559-d61c-418c-ad4a-bf4c6b2909e3,pracovník ostrahy veřejných akcí/pracovnice ostrahy veřejných akcí,http://data.europa.eu/esco/occupation/8fc3d559-d61c-418c-ad4a-bf4c6b2909e3,5414.2,"Pracovníci ostrahy, strážní",,skos:broadMatch,
http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0,filmový režisér/filmová režisérka,http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0,2654.1,Režiséři,,skos:broadMatch,2166.4.8
http://data.europa.eu/esco/occupation/e20eee17-4876-4f21-a0cb-5d7f40c63cd8,správce aktiv/správkyně aktiv,http://data.europa.eu/esco/occupation/e20eee17-4876-4f21-a0cb-5d7f40c63cd8,3311.0,Zprostředkovatelé finančních transakcí a finanční makléři,,skos:broadMatch,
http://data.europa.eu/esco/isco/C5142,Kosmetici a pracovníci v příbuzných oborech,http://data.europa.eu/esco/isco/C5142,5142.9,Ostatní pracovníci v oborech příbuzných kosmetice,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,manažer výzkumu a vývoje/manažerka výzkumu a vývoje,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,1223.2,Řídící pracovníci v oblasti technického rozvoje,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be,provozně technický pracovník/provozně technická pracovnice,http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be,3521.3,Technici audiovize,,skos:broadMatch,
http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,zemědělský technik/zemědělská technička,http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,3142.9,Ostatní technici v oblasti zemědělství,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/790c8dca-f624-4bdc-ac16-27bc13ead188,zvukový designér/zvuková designérka,http://data.europa.eu/esco/occupation/790c8dca-f624-4bdc-ac16-27bc13ead188,3521.1,Zvukaři a osvětlovači,,skos:broadMatch,
http://data.europa.eu/esco/occupation/ca2da084-3bfa-47d8-84ba-ef890191708d,pracovník výroby vermutu/pracovnice výroby vermutu,http://data.europa.eu/esco/occupation/ca2da084-3bfa-47d8-84ba-ef890191708d,8160.5,Obsluha strojů na výrobu nápojů,,skos:broadMatch,
http://data.europa.eu/esco/occupation/5f45a1ea-4d1b-43c3-b6a8-53b2276b3eb3,genealog/genealožka,http://data.europa.eu/esco/occupation/5f45a1ea-4d1b-43c3-b6a8-53b2276b3eb3,2633.0,"Filozofové, historici a politologové",,skos:closeMatch,
http://data.europa.eu/esco/occupation/cd94def5-3442-4c2e-ae3d-0761a3008bcb,pracovník skladu pro přípravu zboží na základě objednávky/pracovnice skladu pro přípravu zboží na základě objednávky,http://data.europa.eu/esco/occupation/cd94def5-3442-4c2e-ae3d-0761a3008bcb,9333.1,Pomocní skladníci,,skos:broadMatch,
http://data.europa.eu/esco/occupation/6837611a-7093-40fb-9e7f-74947bf6f54f,obsluha pece na vypalování cihlářských výrobků,http://data.europa.eu/esco/occupation/6837611a-7093-40fb-9e7f-74947bf6f54f,8181.2,Obsluha strojů a zařízení na výrobu keramiky a porcelánu (kromě cihel a dlaždic),,skos:broadMatch,
http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,prodavač v prodejně ryb a mořských plodů/prodavačka v prodejně ryb a mořských plodů,http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,5223.2,Prodavači potravinářského zboží,,skos:broadMatch,
http://data.europa.eu/esco/occupation/bf802371-4758-4268-a780-58e3d269831b,referent protiradiační ochrany/referentka protiradiační ochrany,http://data.europa.eu/esco/occupation/bf802371-4758-4268-a780-58e3d269831b,2263.0,Specialisté v oblasti ochrany veřejného zdraví,,skos:broadMatch,
http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,čistič textilního zboží a koberců/čistička textilního zboží a koberců,http://data.europa.eu/esco/occupation/f8438d21-c726-4534-8d7c-1c5aa9ef05ef,9129.0,Ostatní pracovníci pro ruční čištění,,skos:broadMatch,
http://data.europa.eu/esco/occupation/095169ac-feee-4fcf-bff7-222ab6d84bc4,nákupčí zelené kávy,http://data.europa.eu/esco/occupation/095169ac-feee-4fcf-bff7-222ab6d84bc4,3323.0,Nákupčí,,skos:broadMatch,
http://data.europa.eu/esco/occupation/6aa78e46-ce22-421f-8a75-e915ac63c9d0,manažer call centra/manažerka call centra,http://data.europa.eu/esco/occupation/6aa78e46-ce22-421f-8a75-e915ac63c9d0,3341.5,Vedoucí pracovníků informačních služeb,,skos:broadMatch,
http://data.europa.eu/esco/isco/C4323,Úředníci v dopravě a přepravě,http://data.europa.eu/esco/isco/C4323,4323.7,Komandující,,skos:narrowMatch,nsp...Komandující (CZ-ISCO 43237)
http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,specialista v oblasti behaviorálních věd/specialistka v oblasti behaviorálních věd,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,2632,"Sociologové, antropologové a specialisté v příbuzných oborech",,skos:broadMatch,
http://data.europa.eu/esco/occupation/37f7677a-97d1-420b-a8b0-09339472121f,vedoucí montáže strojů a zařízení,http://data.europa.eu/esco/occupation/37f7677a-97d1-420b-a8b0-09339472121f,3122.3,Mistři a příbuzní pracovníci ve strojírenství,,skos:broadMatch,
http://data.europa.eu/esco/isco/C1112,Vysocí státní úředníci,http://data.europa.eu/esco/isco/C1112,1112.6,"Poradci prezidenta republiky, předsedy vlády a vedoucích ústředních orgánů",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee,strojvedoucí,http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee,8311.3,"Strojvedoucí metra, podzemních drah",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4,asistent správy investičního fondu / asistentka správy investičního fondu,http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4,2412.2,Investiční poradci specialisté,,skos:broadMatch,
http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,zedník/zednice,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,7112.2,"Kamnáři, zedníci ohnivzdorného zdiva",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/16d7bae5-503e-4e19-bc8b-619c9bcf5c4f,obsluha napínacích strojů,http://data.europa.eu/esco/occupation/16d7bae5-503e-4e19-bc8b-619c9bcf5c4f,8156.1,Obsluha strojů na výrobu obuvi,,skos:broadMatch,
http://data.europa.eu/esco/occupation/3dab5c3f-84d0-4d52-901d-dd262eaea509,výzkumný inženýr/výzkumná inženýrka,http://data.europa.eu/esco/occupation/3dab5c3f-84d0-4d52-901d-dd262eaea509,2146.1,Důlní a hutní inženýři ve výzkumu a vývoji a specialisté v příbuzných oborech,,skos:narrowMatch,doplnil miro
http://data.europa.eu/esco/occupation/cadbf9af-1da0-406f-8282-b6d27a7e1a74,montér/montérka,http://data.europa.eu/esco/occupation/cadbf9af-1da0-406f-8282-b6d27a7e1a74,7215.0,Montéři lan a zdvihacích zařízení,,skos:broadMatch,
http://data.europa.eu/esco/occupation/e1416610-ad08-4f37-8b46-9f99632a5c0f,výrobce nábytku/výrobkyně nábytku,http://data.europa.eu/esco/occupation/e1416610-ad08-4f37-8b46-9f99632a5c0f,7522.0,Truhláři (kromě stavebních) a pracovníci v příbuzných oborech,,skos:broadMatch,
http://data.europa.eu/esco/occupation/78625dd8-257b-483b-bca0-172dd9b02754,montážní dělník dílů motorových vozidel/montážní dělnice dílů motorových vozidel,http://data.europa.eu/esco/occupation/78625dd8-257b-483b-bca0-172dd9b02754,8211.0,Montážní dělníci mechanických zařízení,,skos:broadMatch,
http://data.europa.eu/esco/occupation/3f74aad8-2d60-4be2-b059-8dba5568d530,pracovník denní péče o děti/pracovnice denní péče o děti,http://data.europa.eu/esco/occupation/3f74aad8-2d60-4be2-b059-8dba5568d530,5311.1,Zdravotničtí pracovníci péče o děti v mimoškolských zařízeních,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/a4dd6eae-ca75-456f-829d-333671a7c186,kaplan/kaplanka,http://data.europa.eu/esco/occupation/a4dd6eae-ca75-456f-829d-333671a7c186,2636.0,Specialisté v církevní oblasti a v příbuzných oblastech,,skos:broadMatch,
http://data.europa.eu/esco/occupation/3a17bd32-8a00-47cb-82aa-2b5660cf1192,prodavač v prodejně audiologických přístrojů/prodavačka v prodejně audiologických přístrojů,http://data.europa.eu/esco/occupation/3a17bd32-8a00-47cb-82aa-2b5660cf1192,5223,Prodavači v prodejnách,,skos:broadMatch,
http://data.europa.eu/esco/occupation/0f5cc4eb-925d-4b99-be6d-b0964a253a9a,stavební technik/stavební technička,http://data.europa.eu/esco/occupation/0f5cc4eb-925d-4b99-be6d-b0964a253a9a,3112.8,"Technici požární ochrany, revizní technici staveb",,skos:narrowMatch,
http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,výrobce obuvi/výrobkyně obuvi,http://data.europa.eu/esco/occupation/f8e76759-811e-4b39-9adf-3e77429cff8f,7536.1,Výrobci a opraváři obuvi,,skos:exactMatch,
http://data.europa.eu/esco/occupation/4efdf62f-a1d9-450e-aebc-2d6a6110f05d,komunitní umělec/komunitní umělkyně,http://data.europa.eu/esco/occupation/4efdf62f-a1d9-450e-aebc-2d6a6110f05d,2659.0,Výkonní umělci a příbuzní specialisté jinde neuvedení,,skos:broadMatch,
http://data.europa.eu/esco/occupation/3ae4fd99-814a-4d06-a7db-5ee680c22e26,vyjednávač podmínek pro cestovní kanceláře/vyjednávačka podmínek pro cestovní kanceláře,http://data.europa.eu/esco/occupation/3ae4fd99-814a-4d06-a7db-5ee680c22e26,3339.2,Obchodní referenti,,skos:broadMatch,
http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,vedoucí kanceláře,http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,3341.2,Vedoucí všeobecných sekretářů,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/f8d14b95-6a36-4290-b226-2342e236406e,redaktor časopisu/redaktorka časopisu,http://data.europa.eu/esco/occupation/f8d14b95-6a36-4290-b226-2342e236406e,2642.2,Redaktoři (kromě technických),,skos:broadMatch,
http://data.europa.eu/esco/occupation/1c25fdb4-c6e2-4118-99a5-519e9657a2bd,kontrolor elektrických zařízení/kontrolorka elektrických zařízení,http://data.europa.eu/esco/occupation/1c25fdb4-c6e2-4118-99a5-519e9657a2bd,7543.0,"Kvalitáři a testovači výrobků, laboranti (kromě potravin a nápojů)",,skos:broadMatch,
http://data.europa.eu/esco/isco/C1439,Vedoucí a řídící pracovníci jinde neuvedení,http://data.europa.eu/esco/isco/C1439,1439.5,Řídící pracovníci v oblasti veterinárních činností,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/b2eacfdf-5de5-4e8c-a8cb-3d32e201c210,operátor jaderného reaktoru/operátorka jaderného reaktoru,http://data.europa.eu/esco/occupation/b2eacfdf-5de5-4e8c-a8cb-3d32e201c210,3131.1,Operátoři velínů na výrobu a rozvod elektrické energie,,skos:broadMatch,
http://data.europa.eu/esco/isco/C1311,Vedoucí a řídící pracovníci v zemědělství a lesnictví,http://data.europa.eu/esco/isco/C1311,1311.4,Řídící pracovníci ve vodním hospodářství (kromě úpravy a rozvodu vody),,skos:narrowMatch,
http://data.europa.eu/esco/occupation/11eb55d3-4dbe-45c5-a6ce-f04ae843c938,hodinář/hodinářka,http://data.europa.eu/esco/occupation/11eb55d3-4dbe-45c5-a6ce-f04ae843c938,7311.1,"Výrobci, mechanici a opraváři hodin",,skos:broadMatch,
http://data.europa.eu/esco/isco/C7532,"Modeláři oděvů, střihači a pracovníci v příbuzných oborech",http://data.europa.eu/esco/isco/C7532,7532.9,Ostatní pracovníci příbuzní modelářům oděvů a střihačům,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b,diplomovaný fyzioterapeut/diplomovaná fyzioterapeutka,http://data.europa.eu/esco/occupation/a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b,2264.2,Odborní fyzioterapeuti pro vnitřní lékařství,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/f0f6d531-eb96-4bad-84ff-8e2999ea68e6,opravář mobilních telefonů/opravářka mobilních telefonů,http://data.europa.eu/esco/occupation/f0f6d531-eb96-4bad-84ff-8e2999ea68e6,7422.0,Mechanici a opraváři informačních a komunikačních technologií,,skos:broadMatch,
http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,specialista náboru pracovních sil/specialistka náboru pracovních sil,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,2423.0,Specialisté v oblasti personálního řízení,,skos:broadMatch,
http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5,fotoreportér/fotoreportérka,http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5,3431.2,Fotoreportéři,,skos:exactMatch,
http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,ekonom/ekonomka,http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,2631.1,Specialisté v oblasti národohospodářství,,skos:narrowMatch,
http://data.europa.eu/esco/occupation/ebb4061a-906f-45fe-b4c0-a871c11f6fab,pracovník bezpečnosti pohostinského zařízení/pracovnice bezpečnosti pohostinského zařízení,http://data.europa.eu/esco/occupation/ebb4061a-906f-45fe-b4c0-a871c11f6fab,5414.2,"Pracovníci ostrahy, strážní",,skos:broadMatch,
http://data.europa.eu/esco/occupation/b2cede50-82bb-4684-9f11-1930e12ad672,energetický inženýr/energetická inženýrka,http://data.europa.eu/esco/occupation/b2cede50-82bb-4684-9f11-1930e12ad672,2151.7,Inženýři energetici výroby energie,,skos:narrowMatch,doplnil miro
http://data.europa.eu/esco/isco/C7549,Řemeslní a příbuzní pracovníci jinde neuvedení,http://data.europa.eu/esco/isco/C7549,7549.2,Modeláři a formíři (kromě modelářů a formířů ve slévárenství),,skos:narrowMatch,
http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,pracovník služeb pro zákazníky/pracovnice služeb pro zákazníky,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,4225.0,Pracovníci v informačních kancelářích,,skos:broadMatch,
http://data.europa.eu/esco/occupation/e93d5c8d-1219-4c11-91d7-9d0ab8d9c08e,technik líhňař v odvětví akvakultury/technička líhňařka v odvětví akvakultury,http://data.europa.eu/esco/occupation/e93d5c8d-1219-4c11-91d7-9d0ab8d9c08e,6221.0,Kvalifikovaní pracovníci v oblasti akvakultury,,skos:broadMatch,
