00747307-6341-4266-a061-25416f7c6a96,2310.1.30,docent drama hoger onderwijs,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,ec0555da-a2bf-4814-b95f-9e7a8143334b,OP-526,Leerkracht deeltijds kunstonderwijs,Enseignant dans l'enseignement secondaire artistique à horaire réduit (h/f/x),,skos:narrowMatch,,Leerkracht deeltijds kunstonderwijs
00747307-6341-4266-a061-25416f7c6a96,2310.1.30,docent drama hoger onderwijs,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,ec0555da-a2bf-4814-b95f-9e7a8143334b,OP-526,Leerkracht deeltijds kunstonderwijs,Enseignant dans l'enseignement secondaire artistique à horaire réduit (h/f/x),,skos:narrowMatch,,Enseignant dans l'enseignement secondaire artistique à horaire réduit (h/f/x)
0085f271-5999-4d42-b879-75c3b4269883,8160.39,hydrogeneermachinebediener,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,f6bcfacc-d8f0-4515-a47b-5d98a06fcd84,OP-204,Procesoperator chemische en farmaceutische industrie,Conducteur d'installation en industrie chimique ou pharmaceutique (h/f/x),,skos:narrowMatch,,Procesoperator chemische en farmaceutische industrie
0085f271-5999-4d42-b879-75c3b4269883,8160.39,hydrogeneermachinebediener,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,f6bcfacc-d8f0-4515-a47b-5d98a06fcd84,OP-204,Procesoperator chemische en farmaceutische industrie,Conducteur d'installation en industrie chimique ou pharmaceutique (h/f/x),,skos:narrowMatch,,Conducteur d'installation en industrie chimique ou pharmaceutique (h/f/x)
0085f271-5999-4d42-b879-75c3b4269883,8160.39,hydrogeneermachinebediener,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,af332f1f-8134-4799-92e7-00d6f2119e2d,OP-529,Productieoperator voedingsindustrie,Opérateur de production en industrie alimentaire (h/f/x),,skos:narrowMatch,,Productieoperator voedingsindustrie
0085f271-5999-4d42-b879-75c3b4269883,8160.39,hydrogeneermachinebediener,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,af332f1f-8134-4799-92e7-00d6f2119e2d,OP-529,Productieoperator voedingsindustrie,Opérateur de production en industrie alimentaire (h/f/x),,skos:narrowMatch,,Opérateur de production en industrie alimentaire (h/f/x)
0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160.46,operator pastamaker,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,af332f1f-8134-4799-92e7-00d6f2119e2d,OP-529,Productieoperator voedingsindustrie,Opérateur de production en industrie alimentaire (h/f/x),,skos:narrowMatch,,Productieoperator voedingsindustrie
0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160.46,operator pastamaker,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,af332f1f-8134-4799-92e7-00d6f2119e2d,OP-529,Productieoperator voedingsindustrie,Opérateur de production en industrie alimentaire (h/f/x),,skos:narrowMatch,,Opérateur de production en industrie alimentaire (h/f/x)
00913533-5237-4870-9003-d1cb806603c9,1420.4.42,manager tabakswinkel,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,63a5cd7c-7981-4da5-ae20-cb0ae913fb4d,OP-259,Winkelmanager,Responsable de magasin (h/f/x),,skos:narrowMatch,,Winkelmanager
00913533-5237-4870-9003-d1cb806603c9,1420.4.42,manager tabakswinkel,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,63a5cd7c-7981-4da5-ae20-cb0ae913fb4d,OP-259,Winkelmanager,Responsable de magasin (h/f/x),,skos:narrowMatch,,Responsable de magasin (h/f/x)
009d29de-5872-43be-8d9b-abd27f8c99f1,5249.2.1,"verhuurmedewerker van andere machines, materialen en roerende goederen",http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,39abe52f-e6c9-4453-8a10-254987d14013,OP-80,"Verhuurder van gereedschappen en machines, auto's en vrijetijdsmaterieel",Loueur de véhicules et de matériel de loisirs (h/f/x),,skos:narrowMatch,,"Verhuurder van gereedschappen en machines, auto's en vrijetijdsmaterieel"
009d29de-5872-43be-8d9b-abd27f8c99f1,5249.2.1,"verhuurmedewerker van andere machines, materialen en roerende goederen",http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,39abe52f-e6c9-4453-8a10-254987d14013,OP-80,"Verhuurder van gereedschappen en machines, auto's en vrijetijdsmaterieel",Loueur de véhicules et de matériel de loisirs (h/f/x),,skos:narrowMatch,,Loueur de véhicules et de matériel de loisirs (h/f/x)
00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165.4.2,mijnmeter,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,7d63beb9-03ad-44e9-a77b-c02f2c28ebc0,OP-39,Landmeter,Géomètre (h/f/x),,skos:narrowMatch,,Landmeter
00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165.4.2,mijnmeter,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,7d63beb9-03ad-44e9-a77b-c02f2c28ebc0,OP-39,Landmeter,Géomètre (h/f/x),,skos:narrowMatch,,Géomètre (h/f/x)
00c8d1cf-24f2-47d1-9f10-765e1c102811,7233.8,technicus landbouwmachines,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,da50b460-bfac-4eeb-b328-fc7c66ed6088,OP-360,"Technicus  werf-, landbouw- en hefmachines","Technicien de maintenance d'engins de chantier, agricoles et levage (h/f/x)",,skos:narrowMatch,,"Technicus  werf-, landbouw- en hefmachines"
00c8d1cf-24f2-47d1-9f10-765e1c102811,7233.8,technicus landbouwmachines,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,da50b460-bfac-4eeb-b328-fc7c66ed6088,OP-360,"Technicus  werf-, landbouw- en hefmachines","Technicien de maintenance d'engins de chantier, agricoles et levage (h/f/x)",,skos:narrowMatch,,"Technicien de maintenance d'engins de chantier, agricoles et levage (h/f/x)"
00fdad73-4551-4e43-b256-1d4a3759db1e,1324.3.2.22,import-exportmanager vlees en vleesproducten,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,ac06a4bd-017b-49bb-9808-a74c1fe63823,OP-402,Medewerker internationaal goederenverkeer,Agent de transit (h/f/x),,skos:closeMatch,,Medewerker internationaal goederenverkeer
00fdad73-4551-4e43-b256-1d4a3759db1e,1324.3.2.22,import-exportmanager vlees en vleesproducten,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,ac06a4bd-017b-49bb-9808-a74c1fe63823,OP-402,Medewerker internationaal goederenverkeer,Agent de transit (h/f/x),,skos:closeMatch,,Agent de transit (h/f/x)
01205776-db8d-4588-a6a6-56d0b9c660a9,2422.10.8,beleidsmedewerker volkshuisvesting,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,0ed25a44-f398-48e3-996c-e99e6fee660e,OP-610,Beleidsuitvoerend medewerker overheidsdienst,Chargé de mission dans le service public (h/f/x),,skos:narrowMatch,,Beleidsuitvoerend medewerker overheidsdienst
01205776-db8d-4588-a6a6-56d0b9c660a9,2422.10.8,beleidsmedewerker volkshuisvesting,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,0ed25a44-f398-48e3-996c-e99e6fee660e,OP-610,Beleidsuitvoerend medewerker overheidsdienst,Chargé de mission dans le service public (h/f/x),,skos:narrowMatch,,Chargé de mission dans le service public (h/f/x)
01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345.1.5,directeur hogeronderwijsinstelling,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,2e86b794-68d7-4bf5-a608-02b36a7c3e42,OP-527,Leidinggevende onderwijsinstelling,Responsable d'un établissement scolaire (h/f/x),,skos:narrowMatch,,Leidinggevende onderwijsinstelling
01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345.1.5,directeur hogeronderwijsinstelling,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,2e86b794-68d7-4bf5-a608-02b36a7c3e42,OP-527,Leidinggevende onderwijsinstelling,Responsable d'un établissement scolaire (h/f/x),,skos:narrowMatch,,Responsable d'un établissement scolaire (h/f/x)
0181835d-dd00-49e2-9fc4-e1382a65957f,3123.1.13,teamleider isolatie,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,30a7c267-19eb-40ee-a55b-551b44517d9f,OP-268,Industrieel isolatiewerker,Monteur d'isolation industrielle (h/f/x),,skos:narrowMatch,,Industrieel isolatiewerker
0181835d-dd00-49e2-9fc4-e1382a65957f,3123.1.13,teamleider isolatie,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,30a7c267-19eb-40ee-a55b-551b44517d9f,OP-268,Industrieel isolatiewerker,Monteur d'isolation industrielle (h/f/x),,skos:narrowMatch,,Monteur d'isolation industrielle (h/f/x)
0181835d-dd00-49e2-9fc4-e1382a65957f,3123.1.13,teamleider isolatie,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,bc1d48d2-763e-477b-b1e8-d0038fdd0a14,OP-47,Werfleider,Chef de chantier (h/f/x),,skos:narrowMatch,,Werfleider
0181835d-dd00-49e2-9fc4-e1382a65957f,3123.1.13,teamleider isolatie,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,bc1d48d2-763e-477b-b1e8-d0038fdd0a14,OP-47,Werfleider,Chef de chantier (h/f/x),,skos:narrowMatch,,Chef de chantier (h/f/x)
01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149.6,ontmantelingsdeskundige,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,10203e69-1230-448a-af29-6981b7f8aa23,OP-95,Proces- en productontwikkelaar,Responsable de recherche et développement en industrie (h/f/x),,skos:narrowMatch,,Proces- en productontwikkelaar
01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149.6,ontmantelingsdeskundige,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,10203e69-1230-448a-af29-6981b7f8aa23,OP-95,Proces- en productontwikkelaar,Responsable de recherche et développement en industrie (h/f/x),,skos:narrowMatch,,Responsable de recherche et développement en industrie (h/f/x)
01bcac9f-7881-4664-bd63-dea700e3b117,1223.2.1.1,manager productontwikkeling kleding,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,6373a5a4-32dd-49ad-b06f-eaa63d88c919,OP-704,Digital marketeer,Digital marketeer (h/f/x),,skos:closeMatch,,Digital marketeer
01bcac9f-7881-4664-bd63-dea700e3b117,1223.2.1.1,manager productontwikkeling kleding,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,6373a5a4-32dd-49ad-b06f-eaa63d88c919,OP-704,Digital marketeer,Digital marketeer (h/f/x),,skos:closeMatch,,Digital marketeer (h/f/x)
01bcac9f-7881-4664-bd63-dea700e3b117,1223.2.1.1,manager productontwikkeling kleding,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,10203e69-1230-448a-af29-6981b7f8aa23,OP-95,Proces- en productontwikkelaar,Responsable de recherche et développement en industrie (h/f/x),,skos:narrowMatch,,Proces- en productontwikkelaar
01bcac9f-7881-4664-bd63-dea700e3b117,1223.2.1.1,manager productontwikkeling kleding,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,10203e69-1230-448a-af29-6981b7f8aa23,OP-95,Proces- en productontwikkelaar,Responsable de recherche et développement en industrie (h/f/x),,skos:narrowMatch,,Responsable de recherche et développement en industrie (h/f/x)
01da600c-ddb3-4a37-95e9-5301b459ae90,8131.14,operator nitroglycerineseparator,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,e4dbd033-f00a-4471-adac-a4e101db8db5,OP-235,Menger-bereider van grondstoffen,Préparateur de matières premières (h/f/x),,skos:narrowMatch,,Menger-bereider van grondstoffen
01da600c-ddb3-4a37-95e9-5301b459ae90,8131.14,operator nitroglycerineseparator,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,e4dbd033-f00a-4471-adac-a4e101db8db5,OP-235,Menger-bereider van grondstoffen,Préparateur de matières premières (h/f/x),,skos:narrowMatch,,Préparateur de matières premières (h/f/x)
01ffb917-98dc-48c1-91ad-93c4104e791d,2149.4.1,biomedisch technoloog,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,6c5df307-5fc5-4dab-9039-1e41585472d0,OP-434,Onderzoeker exacte wetenschappen,Chercheur en sciences exactes (h/f/x),,skos:narrowMatch,,Onderzoeker exacte wetenschappen
01ffb917-98dc-48c1-91ad-93c4104e791d,2149.4.1,biomedisch technoloog,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,6c5df307-5fc5-4dab-9039-1e41585472d0,OP-434,Onderzoeker exacte wetenschappen,Chercheur en sciences exactes (h/f/x),,skos:narrowMatch,,Chercheur en sciences exactes (h/f/x)
0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420.4.38,bedrijfsleider verkoop schoenen en lederwaren,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,63a5cd7c-7981-4da5-ae20-cb0ae913fb4d,OP-259,Winkelmanager,Responsable de magasin (h/f/x),,skos:narrowMatch,,Winkelmanager
0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420.4.38,bedrijfsleider verkoop schoenen en lederwaren,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,63a5cd7c-7981-4da5-ae20-cb0ae913fb4d,OP-259,Winkelmanager,Responsable de magasin (h/f/x),,skos:narrowMatch,,Responsable de magasin (h/f/x)
026a5233-cad9-4b1d-8852-22c2685ab34e,3134.4,operator oliepompsysteem,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,e7eb1192-d93f-414a-946f-594fd541f721,OP-213,Operator energetische en petrochemische installaties,Opérateur de production en énergie et pétrochimie (h/f/x),,skos:closeMatch,,Operator energetische en petrochemische installaties
026a5233-cad9-4b1d-8852-22c2685ab34e,3134.4,operator oliepompsysteem,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,e7eb1192-d93f-414a-946f-594fd541f721,OP-213,Operator energetische en petrochemische installaties,Opérateur de production en énergie et pétrochimie (h/f/x),,skos:closeMatch,,Opérateur de production en énergie et pétrochimie (h/f/x)
029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,8153.1.5,productiemedewerker beschermende kleding,http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,a36601d9-7179-40d7-a28c-bfe2158e18a1,OP-684,Productiemedewerker textielproductielijn,Collaborateur de production ligne de production textile (h/f/x),,skos:narrowMatch,,Productiemedewerker textielproductielijn
029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,8153.1.5,productiemedewerker beschermende kleding,http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,a36601d9-7179-40d7-a28c-bfe2158e18a1,OP-684,Productiemedewerker textielproductielijn,Collaborateur de production ligne de production textile (h/f/x),,skos:narrowMatch,,Collaborateur de production ligne de production textile (h/f/x)
02d4f153-8e43-444d-8bd4-8171d49eab12,7223.8,werktuigkundige aandrijvingen,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,97fb4ff4-6b1f-47c0-8c11-34d9514bb7a6,OP-603,Machinebouwer,Constructeur de machines (h/f/x),,skos:narrowMatch,,Machinebouwer
02d4f153-8e43-444d-8bd4-8171d49eab12,7223.8,werktuigkundige aandrijvingen,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,97fb4ff4-6b1f-47c0-8c11-34d9514bb7a6,OP-603,Machinebouwer,Constructeur de machines (h/f/x),,skos:narrowMatch,,Constructeur de machines (h/f/x)
02e19186-458f-40eb-9e78-31c656d12ac7,1411.2,reserveringsmanager,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,a8e7532f-a194-4c23-a8c4-998339428661,OP-535,Hotelreceptionist,Réceptionniste en établissement hôtelier (h/f/x),,skos:narrowMatch,,Hotelreceptionist
02e19186-458f-40eb-9e78-31c656d12ac7,1411.2,reserveringsmanager,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,a8e7532f-a194-4c23-a8c4-998339428661,OP-535,Hotelreceptionist,Réceptionniste en établissement hôtelier (h/f/x),,skos:narrowMatch,,Réceptionniste en établissement hôtelier (h/f/x)
02e94cd6-8e6d-4e9b-b695-edb460c70528,7316.1.1,aardewerkschilder,http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,53e359b3-15b7-49d1-bfdb-a95399affc6b,OP-556,Decorateur van kunst- en artisanale objecten,Décorateur d'objets d'art et artisanaux (h/f/x),,skos:narrowMatch,,Decorateur van kunst- en artisanale objecten
02e94cd6-8e6d-4e9b-b695-edb460c70528,7316.1.1,aardewerkschilder,http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,53e359b3-15b7-49d1-bfdb-a95399affc6b,OP-556,Decorateur van kunst- en artisanale objecten,Décorateur d'objets d'art et artisanaux (h/f/x),,skos:narrowMatch,,Décorateur d'objets d'art et artisanaux (h/f/x)
02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,2352.1.1,docent alfabetisering,http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,233d057a-9097-4504-8113-47d8b4a8e2c6,OP-577,Opleider volwassenen,Formateur pour adultes (h/f/x),,skos:narrowMatch,,Opleider volwassenen
02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,2352.1.1,docent alfabetisering,http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,233d057a-9097-4504-8113-47d8b4a8e2c6,OP-577,Opleider volwassenen,Formateur pour adultes (h/f/x),,skos:narrowMatch,,Formateur pour adultes (h/f/x)
02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.1.2.1,kwaliteitsmanager schoenproductie,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,3d87a629-d78d-4fee-8597-3b5daf475447,OP-174,Verantwoordelijke kwaliteitscontrole,Responsable contrôle qualité en industrie (h/f/x),,skos:narrowMatch,,Verantwoordelijke kwaliteitscontrole
02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.1.2.1,kwaliteitsmanager schoenproductie,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,3d87a629-d78d-4fee-8597-3b5daf475447,OP-174,Verantwoordelijke kwaliteitscontrole,Responsable contrôle qualité en industrie (h/f/x),,skos:narrowMatch,,Responsable contrôle qualité en industrie (h/f/x)
02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.1.2.1,kwaliteitsmanager schoenproductie,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,3dcbb16a-90df-44a6-bcbe-5c16e04b4aeb,OP-335,Kwaliteitscontroleur textiel leder en confectie,"Contrôleur de la qualité des textiles, du cuir et de la confection (h/f/x)",,skos:closeMatch,,Kwaliteitscontroleur textiel leder en confectie
02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.1.2.1,kwaliteitsmanager schoenproductie,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,3dcbb16a-90df-44a6-bcbe-5c16e04b4aeb,OP-335,Kwaliteitscontroleur textiel leder en confectie,"Contrôleur de la qualité des textiles, du cuir et de la confection (h/f/x)",,skos:closeMatch,,"Contrôleur de la qualité des textiles, du cuir et de la confection (h/f/x)"
02ff199e-38b3-45fd-b659-68846cfeeb92,7126.12,sprinklermonteur,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,c83ca2c2-0c1a-4bd4-add2-542b953eae51,OP-96,Steigerbouwer,Monteur d'échafaudages (h/f/x),,skos:narrowMatch,,Steigerbouwer
02ff199e-38b3-45fd-b659-68846cfeeb92,7126.12,sprinklermonteur,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,c83ca2c2-0c1a-4bd4-add2-542b953eae51,OP-96,Steigerbouwer,Monteur d'échafaudages (h/f/x),,skos:narrowMatch,,Monteur d'échafaudages (h/f/x)
032d4115-03ec-49c9-853d-678f8a41969b,1324.3.1.6.11,distributiemanager elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,06d059a3-6f65-4b4f-b359-8a27ce3c3594,OP-406,Logistiek verantwoordelijke,Responsable logistique (h/f/x),,skos:narrowMatch,,Logistiek verantwoordelijke
032d4115-03ec-49c9-853d-678f8a41969b,1324.3.1.6.11,distributiemanager elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,06d059a3-6f65-4b4f-b359-8a27ce3c3594,OP-406,Logistiek verantwoordelijke,Responsable logistique (h/f/x),,skos:narrowMatch,,Responsable logistique (h/f/x)
03632d98-0ae3-4dd2-941c-3b48de9a0219,1431.1.2,uitvoerend producent,http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,45a20485-a51c-4323-b709-173bf689bb79,OP-375,Productieleider van podiumvoorstellingen en audiovisuele producties,Responsable de la programmation audiovisuelle ou de spectacles (h/f/x),,skos:broadMatch,,Productieleider van podiumvoorstellingen en audiovisuele producties
03632d98-0ae3-4dd2-941c-3b48de9a0219,1431.1.2,uitvoerend producent,http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,45a20485-a51c-4323-b709-173bf689bb79,OP-375,Productieleider van podiumvoorstellingen en audiovisuele producties,Responsable de la programmation audiovisuelle ou de spectacles (h/f/x),,skos:broadMatch,,Responsable de la programmation audiovisuelle ou de spectacles (h/f/x)
0368c4d4-94cf-4168-a84d-283a25880e0d,1321.1.1.8,manager metaalproductie,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,5bd047c5-a940-44b2-b192-77c7a90f367d,OP-153,Productiemanager,Responsable de production (h/f/x),,skos:narrowMatch,,Productiemanager
0368c4d4-94cf-4168-a84d-283a25880e0d,1321.1.1.8,manager metaalproductie,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,5bd047c5-a940-44b2-b192-77c7a90f367d,OP-153,Productiemanager,Responsable de production (h/f/x),,skos:narrowMatch,,Responsable de production (h/f/x)
