Q000001	Vojni namještenik/vojna namještenica
Q000095	Direktor/direktorica maloga građevinskog društva
Q000096	Direktor/direktorica male trgovine
Q000097	Direktor/direktorica male kavane
Q000098	Direktor/direktorica malog disko-bara
Q000099	Direktor/direktorica maloga prijevoznog društva
Q000100	Direktor/direktorica maloga skladišta
Q000101	Direktor/direktorica maloga telekomunikacijskog društva
Q000102	Direktor/direktorica male turističke agencije
Q000103	Direktor/direktorica malog društva za informatičke usluge
Q000104	Direktor/direktorica revizije za poslovanje poduzetnika
Q000105	Direktor/direktorica revizije za poslovanje banaka i financijskih organizacija
Q000106	Direktor/direktorica malog društva za urbanizam
Q000107	Direktor/direktorica malog društva za poslovne usluge
Q000108	Direktor/direktorica malog društva za pranje i čišćenje
Q000109	Direktor/direktorica male zdravstvene ustanove
Q000110	Direktor/direktorica malog veterinarskog društva
Q000111	Direktor/direktorica male ustanove socijalnog rada
Q000112	Direktor/direktorica male izvanteritorijalne organizacije
Q000113	Slobodna profesija p.n.
Q000114	Diplomirani inženjer/diplomirana inženjerka fizike
Q000115	Diplomirani astronom/diplomirana astronomka
Q000116	Istraživač fizičar/istraživačica  fizičarka
Q000117	Samostalni istraživač fizičar/samostalna istraživačica fizičarka
Q000118	Diplomirani meteorolog/diplomirana meteorologinja
Q000119	Diplomirani hidrolog/diplomirana hidrologinja
Q000120	Samostalni prognostičar/samostalna prognostičarka vremena
Q000121	Istraživač meteorolog/istraživačica meteorologinja
Q000122	Samostalni istraživač meteorolog/samostalna istraživačica meteorologinja
Q000123	Diplomirani kemičar/diplomirana kemičarka anorganskih sustava
Q000124	Diplomirani kemičar/diplomirana kemičarka elektrokemijskih sustava
Q000125	Diplomirani kemičar/diplomirana kemičarka organskih sustava
Q000126	Diplomirani kemičar/diplomirana kemičarka radioloških sustava
Q000127	Diplomirani kemičar/diplomirana kemičarka farmaceutskih sustava
Q000128	Istraživač kemičar/istraživačica kemičarka
Q000129	Samostalni istraživač kemičar/samostalna istraživačica kemičarka
Q000130	Diplomirani geolog/diplomirana geologinja za istraživanje metalnih i nemetalnih sirovina
Q000131	Diplomirani geolog/diplomirana geologinja za hidrologiju
Q000132	Diplomirani geolog/diplomirana geologinja za geotermiku
Q000133	Diplomirani geolog/diplomirana geologinja za inženjersku geologiju
Q000134	Diplomirani geolog/diplomirana geologinja za geomehaniku
Q000135	Diplomirani geolog/diplomirana geologinja za stratigrafiju
Q000136	Diplomirani geolog/diplomirana geologinja za tektoniku
Q000137	Diplomirani geolog/diplomirana geologinja za sedimentologiju
Q000138	Diplomirani geolog/diplomirana geologinja za paleontologiju
Q000139	Diplomirani geolog/diplomirana geologinja za petrografiju
Q000140	Diplomirani geolog/diplomirana geologinja za obradu podataka
Q000141	Diplomirani inženjer/diplomirana inženjerka za geološko istraživanje ležišta
Q000142	Diplomirani inženjer/diplomirana inženjerka za laboratorijsko ispitivanje stijena
Q000143	Diplomirani inženjer/diplomirana inženjerka za geofizičko istraživanje ležišta
Q000144	Diplomirani inženjer/diplomirana inženjerka za geofizička mjerenja
Q000145	Diplomirani inženjer/diplomirana inženjerka za obradu geofizičkih podataka
Q000146	Diplomirani seizmolog/diplomirana seizmologinja
Q000147	Istraživač geolog/istraživačica geologinja
Q000148	Samostalni istraživač geolog/samostalna istraživačica geologinja
Q000149	Diplomirani inženjer/diplomirana inženjerka geofizike
Q000150	Diplomirani matematičar/diplomirana matematičarka
Q000151	Aktuar/aktuarica
Q000152	Istraživač matematičar/istraživačica matematičarka
Q000153	Samostalni istraživač matematičar/samostalna istraživačica matematičarka
Q000154	Diplomirani statističar, metodolog/diplomirana statističarka, metodologinja
Q000155	Demograf/demografkinja
Q000156	Diplomirani statističar/diplomirana statističarka
Q000157	Istraživač statističar/istraživačica statističarka
Q000158	Samostalni istraživač statističar/samostalna istraživačica statističarka
Q000159	Diplomirani analitičar/diplomirana analitičarka sustava za računalne mreže
Q000160	Diplomirani programer/diplomirana programerka za računalne mreže
Q000161	Diplomirani programer/diplomirana programerka strojeva upravljanih brojčano
Q000162	Diplomirani inženjer/diplomirana inženjerka sustava za osobna računala
Q000163	Administrator/administratorica baza podataka
Q000164	Diplomirani projektant/diplomirana projektantica arhitekture
Q000165	Diplomirani projektant/diplomirana projektantica interijera
Q000166	Diplomirani arhitekt konzervator/diplomirana arhitektica konzervatorica
Q000167	Diplomirani planer/diplomirana planerka visokogradnje
Q000168	Diplomirani inženjer/diplomirana inženjerka arhitekture
Q000169	Diplomirani dizajner/diplomirana dizajnerica
Q000170	Diplomirani inženjer/diplomirana inženjerka željezničkoga prometa
Q000171	Diplomirani inženjer/diplomirana inženjerka cestovnog prometa
Q000172	Diplomirani inženjer/diplomirana inženjerka zračnoga prometa
Q000173	Diplomirani inženjer/diplomirana inženjerka poštanskoga prometa
Q000174	Diplomirani inženjer/diplomirana inženjerka aeronautike
Q000175	Diplomirani inženjer/diplomirana inženjerka pomorskoga prometa
Q000176	Diplomirani inženjer/diplomirana inženjerka unutarnje plovidbe
Q000177	Voditelj/voditeljica špeditersko-agencijskih poslova
Q000178	Diplomirani projektant/diplomirana projektantica građevinskih konstrukcija
Q000179	Diplomirani projektant/diplomirana projektantica hidrotehničkih građevina
Q000180	Diplomirani inženjer/diplomirana inženjerka za geotehniku
Q000181	Diplomirani projektant/diplomirana projektantica organizacije gradnje
Q000182	Diplomirani voditelj/diplomirana voditeljica gradnje
Q000183	Diplomirani inženjer/diplomirana inženjerka elektroenergetike
Q000184	Projektant/projektantica elektroenergetskih postrojenja
Q000185	Diplomirani elektroinženjer/diplomirana elektroinženjerka za automatizaciju u elektroenergetici
Q000186	Diplomirani inženjer/diplomirana inženjerka elektrostrojarstva
Q000187	Diplomirani elektroinženjer/diplomirana elektroinženjerka za električnu vuču
Q000188	Diplomirani elektroinženjer/diplomirana elektroinženjerka za plovila
Q000189	Diplomirani elektroinženjer/diplomirana elektroinženjerka  za automatizaciju u transportu
Q000190	Diplomirani inženjer/diplomirana inženjerka za normizaciju u elektroenergetici i elektrostrojarstvu
Q000191	Istraživač/istraživačica za elektroenergetiku i elektrostrojarstvo
Q000192	Diplomirani inženjer/diplomirana inženjerka elektrotehnike
Q000193	Diplomirani inženjer/diplomirana inženjerka za elektroničke proizvode
Q000194	Diplomirani inženjer/diplomirana inženjerka za elektroničke komponente
Q000195	Diplomirani inženjer/diplomirana inženjerka medicinske elektronike
Q000196	Diplomirani inženjer/diplomirana inženjerka zrakoplovne elektronike
Q000197	Diplomirani inženjer/diplomirana inženjerka računalne elektronike
Q000198	Diplomirani inženjer/diplomirana inženjerka telekomunikacija
Q000199	Diplomirani elektroinženjer/diplomirana elektroinženjerka  za mjerenja i instrumentaciju
Q000200	Diplomirani elektroinženjer/diplomirana elektroinženjerka  za automatiku
Q000201	Diplomirani inženjer/diplomirana inženjerka za optoelektroniku
Q000202	Diplomirani inženjer/diplomirana inženjerka elektronike za normizaciju i mjerenje
Q000203	Istraživač/istraživačica elektronike, telekomunikacija i automatike
Q000204	Diplomirani inženjer/diplomirana inženjerka elektronike
Q000205	Projektant/projektantica mreže za distribuciju plinovitih medija
Q000206	Strojarski projektant/strojarska projektantica postrojenja procesne industrije
Q000207	Projektant/projektantica strojarskog dijela energetskog postrojenja
Q000208	Strojarski projektant/strojarska projektantica postrojenja
Q000209	Projektant konstruktor/projektantica konstruktorica cestovnih vozila
Q000210	Projektant konstruktor/projektantica konstruktorica pružnih vozila
Q000211	Projektant konstruktor/projektantica konstruktorica alatnih strojeva
Q000212	Projektant konstruktor/projektantica konstruktorica dizalica
Q000213	Projektant konstruktor/projektantica konstruktorica pumpi i kompresora
Q000214	Projektant konstruktor/projektantica konstruktorica tlačnih posuda
Q000215	Projektant konstruktor/projektantica konstruktorica metalnih konstrukcija
Q000216	Projektant konstruktor/projektantica konstruktorica preciznih instrumenata
Q000217	Strojarski projektant/strojarska projektantica male automatizacije
Q000218	Projektant konstruktor/projektantica konstruktorica plovila
Q000219	Projektant konstruktor/projektantica konstruktorica brodskih motora
Q000220	Projektant/projektantica tehnologije gradnje plovila
Q000221	Diplomirani strojarski tehnolog/diplomirana strojarska tehnologinja za održavanje procesne opreme
Q000222	Diplomirani strojarski tehnolog/diplomirana strojarska tehnologinja za održavanje metalurške opreme
Q000223	Diplomirani strojarski tehnolog/diplomirana strojarska tehnologinja za održavanje energetskih postrojenja
Q000224	Projektant/projektantica tehnologije za održavanje cestovnih vozila
Q000225	Projektant/projektantica tehnologije održavanja zrakoplova
Q000226	Diplomirani strojarski inženjer/diplomirana strojarska inženjerka za normizaciju
Q000227	Istraživač/istraživačica strojarstva
Q000228	Istraživač/istraživačica brodogradnje
Q000229	Samostalni istraživač/samostalna istraživačica strojarstva
Q000230	Samostalni istraživač/samostalna istraživačica brodogradnje
Q000231	Diplomirani petrokemijski tehnolog/diplomirana petrokemijska tehnologinja
Q000232	Diplomirani tehnolog/diplomirana tehnologinja prerade polimera
Q000233	Diplomirani tehnolog/diplomirana tehnologinja farmaceutskih proizvoda
Q000234	Diplomirani tehnolog/diplomirana tehnologinja kozmetičkih proizvoda
Q000235	Diplomirani tehnolog/diplomirana tehnologinja papirničarstva
Q000236	Diplomirani tehnolog/diplomirana tehnologinja prerade mesa i ribe
Q000237	Diplomirani tehnolog/diplomirana tehnologinja prerade mlijeka i mliječnih prerađevina
Q000238	Diplomirani tehnolog/diplomirana tehnologinja mlinarstva i prerade brašna
Q000239	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje šećera, škroba i derivata
Q000240	Diplomirani tehnolog/diplomirana tehnologinja konditorske proizvodnje
Q000241	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje biljnih ulja i masti
Q000242	Diplomirani tehnolog/diplomirana tehnologinja prerade voća, povrća i bezalkoholnih pića
Q000243	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje gotove hrane
Q000244	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje vina, alkohola, octa
Q000245	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje piva
Q000246	Istraživač/istraživačica prehrambene tehnologije
Q000247	Samostalni istraživač/samostalna istraživačica prehrambene tehnologije
Q000248	Diplomirani inženjer/diplomirana inženjerka biotehnologije
Q000249	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje soli
Q000250	Diplomirani naftno-rudarski inženjer/diplomirana naftno-rudarska inženjerka za razvoj
Q000251	Diplomirani inženjer/diplomirana inženjerka za izradu i održavanje naftnih bušotina
Q000252	Diplomirani inženjer/diplomirana inženjerka za proizvodnju nafte i plina
Q000253	Diplomirani inženjer/diplomirana inženjerka za transport nafte i plina
Q000254	Diplomirani tehnolog/diplomirana tehnologinja za metale i legure
Q000255	Diplomirani tehnolog/diplomirana tehnologinja za lijevanje čelika
Q000256	Diplomirani tehnolog/diplomirana tehnologinja za toplinsku preradu čelika
Q000257	Diplomirani tehnolog/diplomirana tehnologinja proizvodnje obojenih metala
Q000258	Diplomirani tehnolog/diplomirana tehnologinja lijevanja i valjanja obojenih  metala
Q000259	Diplomirani tehnolog/diplomirana tehnologinja prešanja obojenih metala
Q000260	Istraživač metalurg/istraživačica metalurginja
Q000261	Samostalni istraživač metalurg/samostalna istraživačica metalurginja
Q000262	Diplomirani inženjer/diplomirana inženjerka metalurgije
Q000263	Diplomirani kartograf/diplomirana kartografkinja
Q000264	Diplomirani pomorski kartograf/diplomirana pomorska kartografkinja
Q000265	Diplomirani geodet hidrograf/diplomirana geodetkinja hidrografkinja
Q000266	Savjetnik/savjetnica zemljišno-informatičkog sustava
Q000267	Diplomirani rudarski mjernik/diplomirana rudarska mjernica
Q000268	Glavni planer/glavna planerka održavanja
Q000269	Glavni planer/glavna planerka izgradnje
Q000270	Diplomirani inženjer/diplomirana inženjerka za zaštitu na radu
Q000271	Voditelj/voditeljica zaštitarske službe
Q000272	Diplomirani inženjer/diplomirana inženjerka za zaštitu okoliša
Q000273	Diplomirani tehnolog/diplomirana tehnologinja pakiranja
Q000274	Diplomirani tehnolog/diplomirana tehnologinja za preciznu optiku
Q000275	Diplomirani tekstilnomehanički inženjer/diplomirana tekstilnomehanička inženjerka
Q000276	Diplomirani tekstilno-kemijski inženjer/diplomirana tekstilno-kemijska inženjerka
Q000277	Diplomirani inženjer/diplomirana inženjerka tekstilne tehnologije
Q000278	Diplomirani inženjer/diplomirana inženjerka kožarstva
Q000279	Diplomirani dizajner/diplomirana dizajnerica obuće i kožne galanterije
Q000280	Diplomirani inženjer/diplomirana inženjerka drvne tehnologije
Q000281	Grafički urednik/grafička urednica
Q000282	Diplomirani grafički dizajner/diplomirana grafička dizajnerica
Q000283	Diplomirani snimatelj/diplomirana snimateljica slike
Q000284	Diplomirani montažer/diplomirana montažerka slike i zvuka
Q000285	Diplomirani inženjer bakteriolog/diplomirana inženjerka bakteriologinja
Q000286	Diplomirani inženjer ekolog/diplomirana inženjerka ekologinja
Q000287	Diplomirani inženjer botaničar/diplomirana inženjerka botaničarka
Q000288	Diplomirani inženjer molekularni biolog/diplomirana inženjerka molekularna biologinja
Q000289	Diplomirani inženjer genetičar/diplomirana inženjerka genetičarka
Q000290	Diplomirani inženjer mikrobiolog/diplomirana inženjerka mikrobiologinja
Q000291	Diplomirani inženjer ribarstveni biolog/diplomirana inženjerka ribarstvena biologinja
Q000292	Diplomirani inženjer imunolog/diplomirana inženjerka imunologinja
Q000293	Diplomirani inženjer parazitolog/diplomirana inženjerka parazitologinja
Q000294	Diplomirani inženjer hidrobiolog/diplomirana inženjerka hidrobiologinja
Q000295	Diplomirani inženjer marinski biolog/diplomirana inženjerka marinska biologinja
Q000296	Diplomirani inženjer biolog/diplomirana inženjerka biologinja
Q000297	Istraživač biolog/istraživačica biologinja
Q000298	Samostalni istraživač biolog/samostalna istraživačica biologinja
Q000299	Diplomirani anatom/diplomirana anatomka
Q000300	Diplomirani fiziolog/diplomirana fiziologinja
Q000301	Diplomirani patolog/diplomirana patologinja
Q000302	Diplomirani biofizičar/diplomirana biofizičarka
Q000303	Diplomirani farmakolog/diplomirana farmakologinja
Q000304	Diplomirani toksikolog/diplomirana toksikologinja
Q000305	Diplomirani biokemičar/diplomirana biokemičarka
Q000306	Diplomirani inženjer/diplomirana inženjerka medicinske biokemije
Q000307	Diplomirani tehnolog/diplomirana tehnologinja peradarstva
Q000308	Agronom/agronomka savjetodavne službe
Q000309	Diplomirani inženjer/diplomirana inženjerka šumarstva
Q000310	Istraživač agronom/istraživačica agronomka
Q000311	Samostalni istraživač agronom/samostalna istraživačica agronomka
Q000312	Doktor/doktorica opće medicine
Q000313	Doktor/doktorica obiteljske medicine
Q000314	Doktor/doktorica medicine rada
Q000315	Doktor medicine internist/doktorica medicine internistica
Q000316	Doktor medicine pneumoftizeolog/doktorica medicine pneumoftizeologinja
Q000317	Doktor medicine infektolog/doktorica medicine infektologinja
Q000318	Doktor medicine neurolog/doktorica medicine neurologinja
Q000319	Doktor medicine psihijatar/doktorica medicine psihijatrica
Q000320	Doktor medicine neuropsihijatar/doktorica medicine neuropsihijatrica
Q000321	Doktor medicine dermatolog i venerolog/doktorica medicine dermatologinja i venerologinja
Q000322	Doktor medicine dermatolog/doktorica medicine dermatologinja
Q000323	Doktor medicine pedijatar/doktorica medicine pedijatrica
Q000324	Doktor medicine opći kirurg/doktorica medicine opća kirurginja
Q000325	Doktor medicine neurokirurg/doktorica medicine neurokirurginja
Q000326	Doktor medicine dječji kirurg/doktorica medicine dječja kirurginja
Q000327	Doktor medicine maksilofacijalni kirurg/doktorica medicine maksilofacijalna kirurginja
Q000328	Doktor medicine urolog/doktorica medicine urologinja
Q000329	Doktor medicine ortoped/doktorica medicine ortopedica
Q000330	Doktor medicine otorinolaringolog/doktorica medicine otorinolaringologinja
Q000331	Doktor medicine oftalmolog/doktorica medicine oftalmologinja
Q000332	Doktor medicine ginekolog i opstetričar/doktorica medicine ginekologinja i opstetričarka
Q000333	Doktor medicine anesteziolog i reanimatolog/doktorica medicine anesteziologinja i reanimatologinja
Q000334	Doktor medicine transfuziolog/doktorica medicine transfuziologinja
Q000335	Doktor medicine radiolog/doktorica medicine radiologinja
Q000336	Doktor medicine radioterapeut/doktorica medicine radioterapeutkinja
Q000337	Doktor medicine radioterapeut i onkolog/doktorica medicine radioterapeutkinja i onkologinja
Q000338	Doktor/doktorica nuklearne medicine
Q000339	Doktor/doktorica fizikalne medicine i rehabilitacije
Q000340	Doktor/doktorica medicinske mikrobiologije s parazitologijom
Q000341	Doktor medicine klinički citolog/doktorica medicine klinička citologinja
Q000342	Doktor/doktorica sudske medicine
Q000343	Doktor medicine klinički farmakolog/doktorica medicine klinička farmakologinja
Q000344	Doktor medicine klinički farmakolog i toksikolog/doktorica medicine klinička farmakologinja i toksikologinja
Q000345	Doktor/doktorica socijalne medicine
Q000346	Doktor/doktorica javnog zdravstva
Q000347	Doktor medicine epidemiolog/doktorica medicine epidemiologinja
Q000348	Doktor/doktorica obiteljske stomatologije
Q000349	Doktor/doktorica dječje i preventivne stomatologije
Q000350	Doktor stomatologije ortodont/doktorica stomatologije ortodontica
Q000351	Doktor stomatologije parodontolog/doktorica stomatologije parodontologinja
Q000352	Doktor stomatologije protetičar/doktorica stomatologije protetičarka
Q000353	Doktor stomatologije oralni kirurg/doktorica stomatologije oralna kirurginja
Q000354	Doktor stomatologije oralni patolog/doktorica stomatologije oralna patologinja
Q000355	Doktor/doktorica stomatologije
Q000356	Veterinar/veterinarka
Q000357	Veterinar/veterinarka kućnih ljubimaca
Q000358	Magistar/magistra farmacije
Q000359	Magistar/magistra farmacije za ljekovito bilje
Q000360	Magistar/magistra farmacije na ispitivanju i kontroli lijekova
Q000361	Magistar/magistra farmacije u veleprodaji
Q000362	Predavač/predavačica filozofije
Q000363	Sveučilišni asistent/sveučilišna asistentica filozofije
Q000364	Sveučilišni profesor/sveučilišna profesorica filozofije
Q000365	Predavač/predavačica povijesti
Q000366	Sveučilišni asistent/sveučilišna asistentica povijesti
Q000367	Sveučilišni profesor/sveučilišna profesorica povijesti
Q000368	Predavač/predavačica arheologije
Q000369	Sveučilišni asistent/sveučilišna asistentica arheologije
Q000370	Sveučilišni profesor/sveučilišna profesorica arheologije
Q000371	Predavač/predavačica etnologije
Q000372	Sveučilišni asistent/sveučilišna asistentica etnologije
Q000373	Sveučilišni profesor/sveučilišna profesorica etnologije
Q000374	Predavač/predavačica filologije
Q000375	Sveučilišni asistent/sveučilišna asistentica filologije
Q000376	Sveučilišni profesor/sveučilišna profesorica filologije
Q000377	Predavač/predavačica pedagogije
Q000378	Sveučilišni profesor/sveučilišna profesorica pedagogije
Q000379	Predavač/predavačica psihologije
Q000380	Sveučilišni asistent/sveučilišna asistentica psihologije
Q000381	Sveučilišni profesor/sveučilišna profesorica psihologije
Q000382	Predavač/predavačica sociologije
Q000383	Sveučilišni asistent/sveučilišna asistentica sociologije
Q000384	Sveučilišni profesor/sveučilišna profesorica sociologije
Q000385	Predavač/predavačica prava
Q000386	Sveučilišni profesor/sveučilišna profesorica prava
Q000387	Predavač/predavačica ekonomije
Q000388	Sveučilišni asistent/sveučilišna asistentica ekonomije
Q000389	Sveučilišni profesor/sveučilišna profesorica ekonomije
Q000390	Predavač/predavačica politologije
Q000391	Sveučilišni asistent/sveučilišna asistentica politologije
Q000392	Sveučilišni profesor/sveučilišna profesorica politologije
Q000393	Predavač/predavačica defektologije
Q000394	Sveučilišni profesor/sveučilišna profesorica defektologije
Q000395	Predavač/predavačica socijalnog rada
Q000396	Sveučilišni asistent/sveučilišna asistentica socijalnog rada
Q000397	Sveučilišni profesor/sveučilišna profesorica socijalnog rada
Q000398	Predavač/predavačica organizacijskih znanosti
Q000399	Sveučilišni profesor/sveučilišna profesorica organizacijskih znanosti
Q000400	Predavač/predavačica informacijskih znanosti
Q000401	Sveučilišni asistent/sveučilišna asistentica informacijskih znanosti
Q000402	Sveučilišni profesor/sveučilišna profesorica informacijskih znanosti
Q000403	Predavač/predavačica glazbenih umjetnosti
Q000404	Sveučilišni asistent/sveučilišna asistentica glazbenih umjetnosti
Q000405	Sveučilišni profesor/sveučilišna profesorica glazbenih umjetnosti
Q000406	Predavač/predavačica likovnih umjetnosti
Q000407	Sveučilišni asistent/sveučilišna asistentica likovnih umjetnosti
Q000408	Sveučilišni profesor/sveučilišna profesorica likovnih umjetnosti
Q000409	Sveučilišni asistent/sveučilišna asistentica primijenjenih umjetnosti
Q000410	Sveučilišni profesor/sveučilišna profesorica primijenjenih umjetnosti
Q000411	Predavač/predavačica scenskih umjetnosti
Q000412	Sveučilišni asistent/sveučilišna asistentica scenskih umjetnosti
Q000413	Sveučilišni profesor/sveučilišna profesorica scenskih umjetnosti
Q000414	Sveučilišni asistent/sveučilišna asistentica kineziologije
Q000415	Sveučilišni profesor/sveučilišna profesorica kineziologije
Q000416	Sveučilišni asistent/sveučilišna asistentica kriminalistike
Q000417	Sveučilišni profesor/sveučilišna profesorica kriminalistike
Q000418	Predavač/predavačica društveno-humanističkih znanosti
Q000419	Sveučilišni asistent/sveučilišna asistentica društveno-humanističkih znanosti
Q000420	Sveučilišni profesor/sveučilišna profesorica društveno-humanističkih znanosti
Q000421	Predavač/predavačica matematike
Q000422	Predavač/predavačica fizike
Q000423	Predavač/predavačica astronomije
Q000424	Predavač/predavačica mehanike
Q000425	Predavač/predavačica kemije
Q000426	Predavač/predavačica biologije
Q000427	Predavač/predavačica geologije
Q000428	Sveučilišni asistent/sveučilišna asistentica matematike
Q000429	Sveučilišni asistent/sveučilišna asistentica fizike
Q000430	Sveučilišni asistent/sveučilišna asistentica geofizike
Q000431	Sveučilišni asistent/sveučilišna asistentica astronomije
Q000432	Sveučilišni asistent/sveučilišna asistentica mehanike
Q000433	Sveučilišni asistent/sveučilišna asistentica kemije
Q000434	Sveučilišni asistent/sveučilišna asistentica geografije
Q000435	Sveučilišni profesor/sveučilišna profesorica matematike
Q000436	Sveučilišni profesor/sveučilišna profesorica fizike
Q000437	Sveučilišni profesor/sveučilišna profesorica geofizike
Q000438	Sveučilišni profesor/sveučilišna profesorica astronomije
Q000439	Sveučilišni profesor/sveučilišna profesorica mehanike
Q000440	Sveučilišni profesor/sveučilišna profesorica kemije
Q000441	Sveučilišni profesor/sveučilišna profesorica biologije
Q000442	Sveučilišni profesor/sveučilišna profesorica geografije
Q000443	Sveučilišni profesor/sveučilišna profesorica geologije
Q000444	Sveučilišni profesor/sveučilišna profesorica prirodnih znanosti
Q000445	Predavač/predavačica medicine
Q000446	Predavač/predavačica stomatologije
Q000447	Predavač/predavačica veterine
Q000448	Predavač/predavačica farmacije
Q000449	Sveučilišni asistent/sveučilišna asistentica medicine
Q000450	Sveučilišni asistent/sveučilišna asistentica stomatologije
Q000451	Sveučilišni asistent/sveučilišna asistentica medicinske biokemije
Q000452	Sveučilišni profesor/sveučilišna profesorica medicine
