C000001_sk_000	Príslušníci ozbrojených síl
C000031_sk_000	Riadiaci pracovníci (manažéri) v poľnohospodárstve, lesníctve a rybolove
C000032_sk_000	Riadiaci pracovníci (manažéri) v poľnohospodárstve a lesníctve
C000033_sk_000	Riadiaci pracovníci (manažéri) v rybolove a akvakultúre
C000034_sk_000	Riadiaci pracovníci (manažéri) v priemyselnej výrobe, ťažbe, stavebníctve, doprave a logistike
C000035_sk_000	Riadiaci pracovníci (manažéri) v priemyselnej výrobe
C000036_sk_000	Riadiaci pracovníci (manažéri) v ťažobnom priemysle
C000037_sk_000	Riadiaci pracovníci (manažéri) v stavebníctve
C000038_sk_000	Riadiaci pracovníci (manažéri) v doprave a logistike
C000039_sk_000	Riadiaci pracovníci (manažéri) v oblasti informačných a komunikačných technológií
C000040_sk_000	Riadiaci pracovníci (manažéri) v oblasti informačných a komunikačných technológií
C000041_sk_000	Riadiaci pracovníci (manažéri) v špecializovaných službách
C000042_sk_000	Riadiaci pracovníci (manažéri) v oblasti starostlivosti o deti
C000043_sk_000	Riadiaci pracovníci (manažéri) v oblasti zdravotnej starostlivosti
C000044_sk_000	Riadiaci pracovníci (manažéri) v oblasti starostlivosti o starších ľudí
C000045_sk_000	Riadiaci pracovníci (manažéri) v oblasti sociálnej starostlivosti
C000046_sk_000	Riadiaci pracovníci (manažéri) vo výchove a vzdelávaní
C000047_sk_000	Riadiaci pracovníci (manažéri) vo finančníctve a poisťovníctve
C000048_sk_000	Riadiaci pracovníci (manažéri) v špecializovaných službách inde neuvedení
C000049_sk_000	Riadiaci pracovníci (manažéri) v hotelových, reštauračných, obchodných a v ostatných službách
C000050_sk_000	Riadiaci pracovníci (manažéri) v hoteloch a v reštauračných zariadeniach
C000051_sk_000	Riadiaci pracovníci (manažéri) v hoteloch
C000052_sk_000	Riadiaci pracovníci (manažéri) v reštauračných zariadeniach
C000053_sk_000	Riadiaci pracovníci (manažéri) vo veľkoobchode a maloobchode
C000054_sk_000	Riadiaci pracovníci (manažéri) vo veľkoobchode a maloobchode
C000055_sk_000	Riadiaci pracovníci (manažéri) v ostatných službách
C000056_sk_000	Riadiaci pracovníci (manažéri) v športových, rekreačných a kultúrnych zariadeniach
C000057_sk_000	Riadiaci pracovníci (manažéri) v ostatných službách inde neuvedení
C000058_sk_000	Špecialisti
C000059_sk_000	Špecialisti v oblasti vedy a techniky
C000060_sk_000	Špecialisti v oblasti fyzikálnych a prírodných vied
C000061_sk_000	Fyzici a astronómovia
C000062_sk_000	Meteorológovia
C000063_sk_000	Chemici
C000064_sk_000	Geológovia a geofyzici
C000065_sk_000	Špecialisti v oblasti matematiky, poistnej matematiky a štatistiky
C000066_sk_000	Špecialisti v oblasti matematiky, poistnej matematiky a štatistiky
C000067_sk_000	Špecialisti v oblasti biologických vied
C000068_sk_000	Biológovia, botanici, zoológovia a špecialisti v príbuzných odboroch
C000069_sk_000	Špecialisti v oblasti poľnohospodárstva, lesníctva a rybárstva
C000070_sk_000	Špecialisti v oblasti ochrany životného prostredia
C000071_sk_000	Technickí špecialisti (okrem špecialistov v oblasti elektrotechnológií)
C000072_sk_000	Špecialisti v oblasti priemyslu a výroby
C000073_sk_000	Stavební špecialisti
C000074_sk_000	Špecialisti v oblasti životného prostredia
C000075_sk_000	Strojárski špecialisti
C000076_sk_000	Chemickí špecialisti
C000077_sk_000	Špecialisti v baníctve, metalurgii a príbuzných odboroch
C000078_sk_000	Technickí špecialisti inde neuvedení (okrem špecialistov v oblasti elektrotechnológií)
C000079_sk_000	Špecialisti v oblasti eletrotechnológií
C000080_sk_000	Elektroinžinieri
C000081_sk_000	Špecialisti elektronici
C000082_sk_000	Špecialisti v oblasti telekomunikácií
C000083_sk_000	Architekti, projektanti, zememerači, dizajnéri
C000084_sk_000	Stavební architekti
C000085_sk_000	Krajinní a záhradní architekti
C000086_sk_000	Dizajnéri a módni návrhári
C000087_sk_000	Urbanisti a projektanti dopravy
C000088_sk_000	Kartografi a zememerači
C000089_sk_000	Grafickí a multimediálni dizajnéri
C000090_sk_000	Špecialisti v zdravotníctve
C000091_sk_000	Lekári
C000092_sk_000	Všeobecní lekári
C000093_sk_000	Lekári špecialisti
C000094_sk_000	Špecialisti v ošetrovateľstve a pôrodníctve
C000095_sk_000	Špecialisti v ošetrovateľstve
C000096_sk_000	Špecialisti v pôrodníctve
C000097_sk_000	Špecialisti v oblasti tradičnej a alternatívnej medicíny
C000098_sk_000	Špecialisti v oblasti tradičnej a alternatívnej medicíny
C000099_sk_000	Paramedici
C000100_sk_000	Paramedici
C000101_sk_000	Veterinárni lekári
C000102_sk_000	Veterinárni lekári
C000103_sk_000	Ostatní špecialisti v zdravotníctve
C000104_sk_000	Zubní lekári
C000105_sk_000	Farmaceuti
C000106_sk_000	Špecialisti hygieny, verejného zdravia a zdravia pri práci
C000107_sk_000	Fyzioterapeuti
C000108_sk_000	Špecialisti na výživu a dietetiku
C000109_sk_000	Špecialisti v oblasti foniatrie a klinickej logopédie
C000110_sk_000	Špecialisti v oftalmológii
C000111_sk_000	Špecialisti v zdravotníctve inde neuvedení
C000112_sk_000	Učitelia a odborní pedagogickí pracovníci
C000113_sk_000	Univerzitní a vysokoškolskí učitelia
C000114_sk_000	Univerzitní a vysokoškolskí učitelia
C000115_sk_000	Učitelia ďalšieho odborného vzdelávania
C000116_sk_000	Učitelia ďalšieho odborného vzdelávania
C000117_sk_000	Učitelia na stredných školách
C000118_sk_000	Učitelia na stredných školách
C000119_sk_000	Učitelia na základných školách a v predškolských zariadeniach
C000120_sk_000	Učitelia na základných školách
C000121_sk_000	Učitelia v predškolských zariadeniach
C000122_sk_000	Ostatní odborní pedagogickí pracovníci
C000123_sk_000	Metodici v oblasti výchovy a vzdelávania
C000124_sk_000	Učitelia na špeciálnych školách
C000125_sk_000	Ostatní učitelia jazykov
C000126_sk_000	Ostatní učitelia hudby
C000127_sk_000	Ostatní učitelia umenia
C000128_sk_000	Lektori informačných technológií
C000129_sk_000	Odborní pedagogickí pracovníci inde neuvedení
C000130_sk_000	Špecialisti administratívnych, podporných a obchodných činností
C000131_sk_000	Špecialisti v oblasti financií
C000132_sk_000	Špecialisti v účtovníctve
C000133_sk_000	Finanční a investiční poradcovia
C000134_sk_000	Finanční analytici
C000135_sk_000	Špecialisti v oblasti riadenia a správy
C000136_sk_000	Analytici v oblasti riadenia a organizácie práce
C000137_sk_000	Špecialisti v oblasti stratégie
C000138_sk_000	Špecialisti v oblasti personalistiky
C000139_sk_000	Špecialisti v oblasti vzdelávania a rozvoja ľudských zdrojov
C000140_sk_000	Špecialisti v oblasti predaja, marketingu a styku s verejnosťou
C000141_sk_000	Špecialisti v oblasti reklamy a marketingu
C000142_sk_000	Špecialisti pre styk s verejnosťou
C000143_sk_000	Špecialisti v oblasti predaja technického a lekárskeho vybavenia (okrem IKT)
C000144_sk_000	Špecialisti v oblasti predaja informačných a komunikačných technológií (IKT)
C000145_sk_000	Špecialisti v oblasti informačných a komunikačných technológií
C000146_sk_000	Vývojári a analytici softvéru a aplikácií
C000147_sk_000	Systémoví analytici
C000148_sk_000	Vývojári softvéru
C000149_sk_000	Vývojári webových aplikácií a multimediálnych aplikácií
C000150_sk_000	Aplikační programátori
C000151_sk_000	Vývojári a analytici softvéru a aplikácií inde neuvedení
C000152_sk_000	Špecialisti v oblasti databáz a počítačových sietí
C000153_sk_000	Dizajnéri a správcovia databáz
C000154_sk_000	Správcovia systémov
C000155_sk_000	Špecialisti v oblasti počítačových sietí
C000156_sk_000	Špecialisti v oblasti databáz a počítačových sietí inde neuvedení
C000157_sk_000	Špecialisti v oblasti práva, sociálnych vecí a kultúry
C000158_sk_000	Špecialisti v oblasti práva
C000159_sk_000	Právnici
C000160_sk_000	Sudcovia
C000161_sk_000	Špecialisti v oblasti práva inde neuvedení
C000162_sk_000	Knihovníci, archivári a kurátori
C000163_sk_000	Archivári a kurátori
C000164_sk_000	Knihovníci a podobní špecialisti v oblasti informácií
C000165_sk_000	Špecialisti v spoločenských vedách a religionistike
C000166_sk_000	Ekonómovia
C000167_sk_000	Sociológovia, antropológovia a podobní špecialisti
C000168_sk_000	Filozofi, historici a politológovia
C000169_sk_000	Psychológovia
C000170_sk_000	Špecialisti v oblasti sociálnej práce a poradenstva
C000171_sk_000	Špecialisti v oblasti religionistiky
C000172_sk_000	Spisovatelia, novinári a jazykovedci
C000173_sk_000	Spisovatelia a podobní autori
C000174_sk_000	Novinári
C000175_sk_000	Prekladatelia, tlmočníci a jazykovedci
C000176_sk_000	Tvoriví a interpretační umelci
C000177_sk_000	Výtvarní umelci
C000178_sk_000	Hudobníci, speváci a skladatelia
C000179_sk_000	Tanečníci a choreografi
C000180_sk_000	Filmoví, divadelní a podobní režiséri a producenti
C000181_sk_000	Herci
C000182_sk_000	Moderátori a hlásatelia v rozhlase, televízii a v ostatných médiách
C000183_sk_000	Tvoriví a interpretační umelci inde neuvedení
C000184_sk_000	Technici a odborní pracovníci
C000185_sk_000	Technici a odborní pracovníci v oblasti vedy a techniky
C000186_sk_000	Technici vo fyzikálnych a technických vedách
C000187_sk_000	Technici v chemických a fyzikálnych vedách
C000188_sk_000	Stavební technici
C000189_sk_000	Elektrotechnici
C000190_sk_000	Elektronici
C000191_sk_000	Strojárski technici
C000192_sk_000	Chemickí technici
C000193_sk_000	Banskí a hutnícki technici
C000194_sk_000	Projektanti
C000195_sk_000	Technici vo fyzikálnych a technických vedách inde neuvedení
C000196_sk_000	Vedúci pracovníci v baníctve, výrobe a stavebníctve
C000197_sk_000	Vedúci pracovníci v baníctve (supervízori)
C000198_sk_000	Vedúci pracovníci vo výrobe (supervízori)
C000199_sk_000	Vedúci pracovníci v stavebníctve (supervízori)
C000200_sk_000	Technici procesu výroby
C000201_sk_000	Dispečeri vo výrobe elektrickej energie
C000202_sk_000	Dispečeri v spaľovniach a vodárňach
C000203_sk_000	Dispečeri v chemických prevádzkach
C000204_sk_000	Dispečeri v ropných a plynárenských prevádzkach
C000205_sk_000	Dispečeri v prevádzkach spracovania kovov
C000206_sk_000	Technici procesu výroby inde neuvedení
C000207_sk_000	Technici v oblasti biologických vied, poľnohospodárstva a lesníctva
C000208_sk_000	Technici v oblasti biologických vied (okrem medicíny)
C000209_sk_000	Technici v poľnohospodárstve
C000210_sk_000	Technici v lesníctve
C000211_sk_000	Dispečeri a technici v lodnej a leteckej doprave
C000212_sk_000	Lodní technici
C000213_sk_000	Lodní dôstojníci a lodivodi
C000214_sk_000	Leteckí piloti a pomocní technici
C000215_sk_000	Dispečeri leteckej dopravy
C000216_sk_000	Technici bezpečnostných elektronických zariadení v leteckej doprave
C000217_sk_000	Odborní pracovníci v zdravotníctve
C000218_sk_000	Technici v oblasti zdravotníctva a farmácie
C000219_sk_000	Rádiologickí asistenti
C000220_sk_000	Laboranti v zdravotníckych laboratóriách a na patológii
C000221_sk_000	Farmaceutickí laboranti
C000222_sk_000	Technici zdravotníckej a zubnej protetiky
C000223_sk_000	Odborní pracovníci v ošetrovateľstve a pôrodníctve
C000224_sk_000	Zdravotné sestry
C000225_sk_000	Pôrodné asistentky
C000226_sk_000	Odborní pracovníci v oblasti tradičnej a alternatívnej medicíny
C000227_sk_000	Odborní pracovníci v oblasti tradičnej a alternatívnej medicíny
C000228_sk_000	Veterinárni technici a asistenti
C000229_sk_000	Veterinárni technici a asistenti
C000230_sk_000	Ostatní odborní pracovníci v zdravotníctve
C000231_sk_000	Zubní asistenti a dentálni hygienici
C000232_sk_000	Odborní pracovníci v oblasti zdravotnej dokumentácie a informácií
C000233_sk_000	Pracovníci ochrany a prevencie verejného zdravia
C000234_sk_000	Optici a optometristi
C000235_sk_000	Fyzioterapeutickí technici a asistenti
C000236_sk_000	Zdravotnícki asistenti
C000237_sk_000	Inšpektori hygieny, životného prostredia a zdravia pri práci
C000238_sk_000	Zdravotnícki záchranári
C000239_sk_000	Odborní pracovníci v zdravotníctve inde neuvedení
C000240_sk_000	Odborní pracovníci administratívnych, podporných a obchodných činností
C000241_sk_000	Odborní pracovníci v oblasti financií a matematiky
C000242_sk_000	Makléri a sprostredkovatelia finančných transakcií a obchodu s cennými papiermi
C000243_sk_000	Odborní referenti v oblasti úverov a pôžičiek
C000244_sk_000	Odborní pracovníci v oblasti účtovníctva
C000245_sk_000	Štatistici, matematici a podobní odborní pracovníci
C000246_sk_000	Odhadcovia a likvidátori škôd
C000247_sk_000	Obchodní zástupcovia a sprostredkovatelia
C000248_sk_000	Poisťovací agenti
C000249_sk_000	Obchodní zástupcovia
C000250_sk_000	Nákupcovia
C000251_sk_000	Obchodní sprostredkovatelia
C000252_sk_000	Sprostredkovatelia obchodných služieb
C000253_sk_000	Prepravní a colní agenti
C000254_sk_000	Organizátori konferencií a spoločenských podujatí
C000255_sk_000	Sprostredkovatelia práce a agenti úradov práce
C000256_sk_000	Realitní makléri a manažéri
C000257_sk_000	Sprostredkovatelia obchodných služieb inde neuvedení
C000258_sk_000	Odborní asistenti v administratíve
C000259_sk_000	Supervízori v administratíve
C000260_sk_000	Právni asistenti
C000261_sk_000	Odborní administratívni a osobní asistenti
C000262_sk_000	Odborní administratívni asistenti v zdravotníckych zariadeniach
C000263_sk_000	Odborní pracovníci štátnej správy
C000264_sk_000	Colní a hraniční inšpektori
C000265_sk_000	Štátni úradníci v daňovej oblasti
C000266_sk_000	Štátni úradníci v oblasti sociálnych dávok
C000267_sk_000	Štátni úradníci v oblasti udeľovania licencií
C000268_sk_000	Policajní inšpektori a detektívi
C000269_sk_000	Odborní pracovníci štátnej správy inde neuvedení
C000270_sk_000	Odborní pracovníci v oblasti práva, sociálnych vecí a kultúry a podobní pracovníci
C000271_sk_000	Odborní pracovníci v oblasti práva, sociálnych vecí a religionistiky
C000272_sk_000	Odborní pracovníci v oblasti práva a podobní pracovníci
C000273_sk_000	Odborní pracovníci v oblasti sociálnych vecí
C000274_sk_000	Odborní pracovníci v oblasti religionistiky
C000275_sk_000	Odborní pracovníci v oblasti športu a fitnes
C000276_sk_000	Športovci
C000277_sk_000	Športoví tréneri, inštruktori a funkcionári
C000278_sk_000	Inštruktori a programoví vedúci fitnes a rekreačných činností
C000279_sk_000	Odborní pracovníci v oblasti umenia, kultúry a kulinárstva
C000280_sk_000	Fotografi
C000281_sk_000	Interiéroví dizajnéri a dekoratéri
C000282_sk_000	Odborní pracovníci v galériách, múzeách a knižniciach
C000283_sk_000	Šéfkuchári
C000284_sk_000	Ostatní odborní pracovníci v oblasti umenia a kultúry inde neuvedení
C000285_sk_000	Technici v oblasti informačných a komunikačných technológií
C000286_sk_000	Technici prevádzky a užívateľskej podpory informačných a komunikačných technológií
C000287_sk_000	Technici prevádzky informačných a komunikačných technológií
C000288_sk_000	Technici užívateľskej podpory informačných a komunikačných technológií
C000289_sk_000	Technici počítačových sietí a systémov
C000290_sk_000	Weboví technici
C000291_sk_000	Technici v oblasti telekomunikačných a vysielacích zariadení
C000292_sk_000	Technici v oblasti vysielacích a audiovizuálnych zariadení
C000293_sk_000	Technici v oblasti telekomunikačných zariadení
C000294_sk_000	Administratívni pracovníci, úradníci
C000295_sk_000	Všeobecní administratívni pracovníci a zapisovatelia
C000296_sk_000	Všeobecní administratívni pracovníci
C000297_sk_000	Všeobecní administratívni pracovníci
C000298_sk_000	Sekretárky
C000299_sk_000	Sekretárky
C000300_sk_000	Zapisovatelia, pracovníci s dátami a textami
C000301_sk_000	Zapisovatelia, pracovníci pre spracovanie textov
C000302_sk_000	Operátori dát
C000303_sk_000	Administratívni pracovníci v zákazníckych službách
C000304_sk_000	Pracovníci pri peňažných priehradkách a podobní úradníci
C000305_sk_000	Bankoví pracovníci pri peňažných priehradkách a podobní úradníci
C000306_sk_000	Bookmakeri, krupieri a pracovníci v stávkových kanceláriách a herniach
C000307_sk_000	Pracovníci v záložniach a veritelia
C000308_sk_000	Vymáhatelia dlhov a podobní pracovníci
C000309_sk_000	Pracovníci informačných služieb
C000310_sk_000	Pracovníci cestovných kancelárií
C000311_sk_000	Pracovníci kontaktných informačných centier
C000312_sk_000	Operátori telefónnych ústrední
C000313_sk_000	Hoteloví recepční
C000314_sk_000	Informátori
C000315_sk_000	Recepční (okrem hotelových)
C000316_sk_000	Anketári, prieskumníci trhu
C000317_sk_000	Pracovníci informačných služieb inde neuvedení
C000318_sk_000	Administratívni pracovníci na záznam číselných a skladových údajov
C000319_sk_000	Administratívni pracovníci na záznam číselných údajov
C000320_sk_000	Administratívni pracovníci v účtovníctve
C000321_sk_000	Administratívni pracovníci v oblasti štatistiky, financií a poistenia
C000322_sk_000	Administratívni pracovníci v oblasti mzdového účtovníctva
C000323_sk_000	Administratívni pracovníci v skladoch a doprave
C000324_sk_000	Administratívni pracovníci v skladoch
C000325_sk_000	Administratívni pracovníci vo výrobe
C000326_sk_000	Administratívni pracovníci v doprave
C000327_sk_000	Ostatní pomocní administratívni pracovníci
C000328_sk_000	Ostatní pomocní administratívni pracovníci
C000329_sk_000	Administratívni pracovníci v knižniciach
C000330_sk_000	Poštoví doručovatelia a pracovníci v triediarňach
C000331_sk_000	Kódovači, korektori a podobní pracovníci
C000332_sk_000	Prepisovači a podobní pracovníci
C000333_sk_000	Administratívni pracovníci v oblasti registratúry a reprografie
C000334_sk_000	Administratívni pracovníci v oblasti personalistiky
C000335_sk_000	Pomocní administratívni pracovníci inde neuvedení
C000336_sk_000	Pracovníci v službách a obchode
C000337_sk_000	Pracovníci v osobných službách
C000338_sk_000	Obsluhujúci pracovníci a sprievodcovia v doprave a cestovnom ruchu
C000339_sk_000	Obsluhujúci pracovníci v doprave a stevardi
C000340_sk_000	Sprievodcovia v doprave
C000341_sk_000	Turistickí sprievodcovia
C000342_sk_000	Kuchári
C000343_sk_000	Kuchári
C000344_sk_000	Čašníci a barmani
C000345_sk_000	Čašníci
C000346_sk_000	Barmani
C000347_sk_000	Kaderníci, kozmetici a podobní pracovníci
C000348_sk_000	Kaderníci
C000349_sk_000	Kozmetici a podobní pracovníci
C000350_sk_000	Správcovia budov a bytov
C000351_sk_000	Supervízori upratovacích a prevádzkových služieb v úradoch, hoteloch a podobných zariadeniach
C000352_sk_000	Správcovia domácností
C000353_sk_000	Správcovia budov
C000354_sk_000	Pracovníci v ostatných osobných službách
C000355_sk_000	Astrológovia, jasnovidci a podobní pracovníci
C000356_sk_000	Spoločníci a sluhovia (komorníci)
C000357_sk_000	Pracovníci pohrebnej služby a balzamovači
C000358_sk_000	Pracovníci zabezpečujúci starostlivosť o zvieratá
C000359_sk_000	Inštruktori autoškoly
C000360_sk_000	Ostatní pracovníci v osobných službách inde neuvedení
C000361_sk_000	Predavači
C000362_sk_000	Pouliční predavači a predavači na trhoch
C000363_sk_000	Predavači v stánkoch a na trhoch
C000364_sk_000	Pouliční predavači jedla
C000365_sk_000	Predavači v obchodoch
C000366_sk_000	Obchodníci (v malých obchodoch, butikoch)
C000367_sk_000	Vedúci predajne/oddelenia
C000368_sk_000	Predavači
C000369_sk_000	Pokladníci a predavači lístkov
C000370_sk_000	Pokladníci a predavači lístkov
C000371_sk_000	Ostatní pracovníci v oblasti predaja
C000372_sk_000	Manekýni a modelky
C000373_sk_000	Predvádzači tovaru
C000374_sk_000	Podomoví predavači
C000375_sk_000	Predavači cez telefón, internet a pod.
C000376_sk_000	Obsluha na čerpacích staniciach
C000377_sk_000	Predavači jedál za pultom alebo pri okienku
C000378_sk_000	Pracovníci v oblasti predaja inde neuvedení
C000379_sk_000	Pracovníci v oblasti osobnej starostlivosti
C000380_sk_000	Detské pestúnky, vychovávatelia a pedagogickí asistenti
C000381_sk_000	Detské pestúnky
C000382_sk_000	Pedagogickí asistenti a vychovávatelia
C000383_sk_000	Pracovníci v oblasti osobnej zdravotnej starostlivosti
C000384_sk_000	Asistenti zdravotnej starostlivosti
C000385_sk_000	Ošetrovatelia zabezpečujúci domácu zdravotnú starostlivosť
C000386_sk_000	Pracovníci v oblasti osobnej zdravotnej starostlivosti inde neuvedení
C000387_sk_000	Pracovníci verejnej ochrany a bezpečnostných služieb
C000388_sk_000	Pracovníci verejnej ochrany a bezpečnostných služieb
C000389_sk_000	Hasiči
C000390_sk_000	Policajti
C000391_sk_000	Väzenskí dozorcovia
C000392_sk_000	Pracovníci bezpečnostných služieb
C000393_sk_000	Pracovníci verejnej ochrany a bezpečnostných služieb inde neuvedení
C000394_sk_000	Kvalifikovaní pracovníci v poľnohospodárstve, lesníctve a rybárstve
C000395_sk_000	Kvalifikovaní pracovníci v poľnohospodárstve (trhovo orientovaní)
C000396_sk_000	Záhradníci a pestovatelia plodín
C000397_sk_000	Pestovatelia poľných plodín a zeleniny
C000398_sk_000	Pestovatelia stromových a kríkových plodín
C000399_sk_000	Záhradníci a pestovatelia sadeníc
C000400_sk_000	Pestovatelia rôznorodých plodín
C000401_sk_000	Chovatelia zvierat
C000402_sk_000	Chovatelia hospodárskych zvierat a dojníc
C000403_sk_000	Chovatelia hydiny
C000404_sk_000	Včelári a chovatelia priadky morušovej
C000405_sk_000	Chovatelia zvierat inde neuvedení
C000406_sk_000	Pestovatelia a chovatelia v zmiešanom hospodárstve
C000407_sk_000	Pestovatelia a chovatelia v zmiešanom hospodárstve
C000408_sk_000	Kvalifikovaní pracovníci v lesníctve, rybárstve a poľovníctve (trhovo orientovaní)
C000409_sk_000	Pracovníci v lesníctve
C000410_sk_000	Pracovníci v lesníctve
C000411_sk_000	Pracovníci v rybárstve, poľovníctve a love
C000412_sk_000	Pracovníci v akvakultúre
C000413_sk_000	Pracovníci v rybárstve vo vnútrozemských a pobrežných vodách
C000414_sk_000	Pracovníci v rybárstve na mori
C000415_sk_000	Poľovníci a lovci
C000416_sk_000	Farmári, rybári, poľovníci a zberači úrody (samozásobovatelia)
C000417_sk_000	Farmári samozásobovatelia v rastlinnej výrobe
C000418_sk_000	Farmári samozásobovatelia v rastlinnej výrobe
C000419_sk_000	Farmári samozásobovatelia v živočíšnej výrobe
C000420_sk_000	Farmári samozásobovatelia v živočíšnej výrobe
C000421_sk_000	Farmári samozásobovatelia v zmiešanom hospodárstve
C000422_sk_000	Farmári samozásobovatelia v zmiešanom hospodárstve
C000423_sk_000	Samozásobovatelia v rybárstve, poľovníctve, love a zbere úrody
C000424_sk_000	Samozásobovatelia v rybárstve, poľovníctve, love a zbere úrody
C000425_sk_000	Kvalifikovaní robotníci a remeselníci
C000426_sk_000	Kvalifikovaní stavební robotníci a remeselníci okrem elektrikárov
C000427_sk_000	Kvalifikovaní stavební robotníci a remeselníci
C000428_sk_000	Kvalifikovaní stavební robotníci malých stavieb
C000429_sk_000	Murári a podobní robotníci
C000430_sk_000	Kamenári, rezači a štiepači kameňa a podobní robotníci
C000431_sk_000	Betonári, špecialisti na kladenie betónových povrchov a príbuzní robotníci
C000432_sk_000	Tesári a stavební stolári
C000433_sk_000	Kvalifikovaní stavební robotníci a remeselníci inde neuvedení
C000434_sk_000	Kvalifikovaní robotníci pri dokončovacích a podobných stavebných prácach
C000435_sk_000	Pokrývači
C000436_sk_000	Podlahári a obkladači
C000437_sk_000	Omietkari
C000438_sk_000	Izolatéri
C000439_sk_000	Sklenári
C000440_sk_000	Inštalatéri a potrubári
C000441_sk_000	Mechanici klimatizačných a chladiarenských zariadení
C000442_sk_000	Maliari, natierači, čističi stavieb a podobní kvalifikovaní robotníci
C000443_sk_000	Maliari a podobní robotníci
C000444_sk_000	Natierači a lakovači
C000445_sk_000	Kvalifikovaní čističi stavieb
C000446_sk_000	Kvalifikovaní robotníci v hutníctve, strojárstve a podobní robotníci
C000447_sk_000	Formovači, zvárači, opravári, montéri a podobní robotníci pracujúci s kovmi
C000448_sk_000	Odlievači a formovači kovov
C000449_sk_000	Zvárači a rezači plameňom
C000450_sk_000	Klampiari
C000451_sk_000	Prípravári a montéri kovových konštrukcií
C000452_sk_000	Montéri lán a zdvíhacích zariadení
C000453_sk_000	Kováči, nástrojári, zámočníci a podobní robotníci
C000454_sk_000	Zámočníci a kováči
C000455_sk_000	Nástrojári a podobní robotníci
C000456_sk_000	Nastavovači a operátori kovoobrábacích strojov
C000457_sk_000	Leštiči a brusiči kovov a ostriči nástrojov
C000458_sk_000	Mechanici a opravári strojov
C000459_sk_000	Mechanici a opravári motorových vozidiel
C000460_sk_000	Mechanici a opravári leteckých motorov
C000461_sk_000	Mechanici a opravári poľnohospodárskych a priemyselných strojov
C000462_sk_000	Opravári bicyklov a podobných vozidiel
C000463_sk_000	Umeleckí a ruční remeselníci a tlačiari
C000464_sk_000	Umeleckí a ruční remeselníci
C000465_sk_000	Výrobcovia a opravári presných prístrojov
C000466_sk_000	Výrobcovia a ladiči hudobných nástrojov
C000467_sk_000	Výrobcovia šperkov a výrobkov z drahých kovov
C000468_sk_000	Hrnčiari a podobní remeselníci
C000469_sk_000	Sklári, brusiči skla a remeselníci konečnej úpravy skla
C000470_sk_000	Písmomaliari, dekoratívni maliari, rytci a leptači
C000471_sk_000	Remeselníci spracúvajúci drevo, prútie a podobný materiál
C000472_sk_000	Remeselníci spracúvajúci textil, kožu a podobný materiál
C000473_sk_000	Ostatní remeselníci inde neuvedení
C000474_sk_000	Tlačiari
C000475_sk_000	Technici pri príprave tlače
C000476_sk_000	Tlačiari
C000477_sk_000	Pracovníci dokončovacích prác tlače a väzby
C000478_sk_000	Elektrikári a elektronici
C000479_sk_000	Montéri a opravári elektrických prístrojov
C000480_sk_000	Stavební elektrikári
C000481_sk_000	Elektromechanici a nastavovači
C000482_sk_000	Montéri a opravári elektrických vedení
C000483_sk_000	Montéri a opravári elektronických a telekomunikačných zariadení
C000484_sk_000	Mechanici a opravári elektronických zariadení
C000485_sk_000	Montéri a opravári zariadení informačných a komunikačných technológií
